* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 20, 2025 11:15:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Defiant (Velvet M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.876, 170.3453
20.600000, 80.855, 169.9957
20.900000, 80.826, 169.6005
21.200001, 80.796, 169.2002
21.400000, 80.779, 168.9330
21.799999, 80.752, 168.4073
22.000000, 80.743, 168.1561
22.400000, 80.731, 167.6978
22.700001, 80.725, 167.4023
23.000000, 80.720, 167.1475
23.299999, 80.714, 166.9224
23.600000, 80.704, 166.7114
24.000000, 80.681, 166.4269
24.299999, 80.657, 166.1990
24.700001, 80.617, 165.8705
25.000000, 80.584, 165.6071
25.400000, 80.546, 165.2361
25.799999, 80.516, 164.8433
26.200001, 80.496, 164.4304
26.500000, 80.485, 164.1129
26.900000, 80.469, 163.6950
27.200001, 80.453, 163.4004
27.600000, 80.423, 163.0525
28.000000, 80.384, 162.7666
28.500000, 80.332, 162.4781
29.000000, 80.285, 162.2041
29.500000, 80.247, 161.8793
30.000000, 80.213, 161.4861
30.400000, 80.186, 161.1447
30.700001, 80.166, 160.8890
31.100000, 80.138, 160.5610
31.500000, 80.110, 160.2505
32.000000, 80.073, 159.8796
32.500000, 80.035, 159.5179
33.000000, 79.997, 159.1556
33.500000, 79.959, 158.7857
34.000000, 79.920, 158.4199
34.500000, 79.877, 158.0965
35.000000, 79.833, 157.8439
35.500000, 79.796, 157.6321
36.000000, 79.763, 157.3815
36.500000, 79.728, 157.0386
37.000000, 79.684, 156.6311
37.500000, 79.633, 156.2321
38.200001, 79.570, 155.7534
38.700001, 79.536, 155.4509
39.500000, 79.488, 155.0241
40.000000, 79.462, 154.8004
40.599998, 79.437, 154.5234
41.200001, 79.410, 154.1919
41.799999, 79.368, 153.8605
42.500000, 79.305, 153.5539
43.099998, 79.249, 153.2944
43.700001, 79.191, 152.9538
44.400002, 79.122, 152.5125
45.000000, 79.076, 152.1856
45.500000, 79.048, 151.9550
46.200001, 79.010, 151.6689
46.799999, 78.965, 151.4521
47.500000, 78.910, 151.1838
48.200001, 78.861, 150.8147
48.700001, 78.828, 150.5040
49.400002, 78.773, 150.1232
50.000000, 78.715, 149.9248
50.799999, 78.632, 149.7742
51.500000, 78.567, 149.5669
52.200001, 78.511, 149.2374
53.000000, 78.459, 148.8789
53.799999, 78.426, 148.5995
54.500000, 78.392, 148.3197
55.200001, 78.338, 148.0247
56.000000, 78.264, 147.7275
57.000000, 78.171, 147.3078
58.000000, 78.070, 146.8653
59.000000, 77.999, 146.4292
60.000000, 77.948, 146.1002
60.799999, 77.907, 146.0253
61.500000, 77.867, 145.9397
62.200001, 77.813, 145.7149
63.000000, 77.740, 145.3675
64.000000, 77.661, 145.0540
65.000000, 77.600, 144.7958
66.000000, 77.519, 144.4414
67.000000, 77.450, 144.2654
68.000000, 77.423, 144.1856
69.000000, 77.369, 143.9856
70.000000, 77.312, 143.6473
71.000000, 77.296, 142.9871
72.000000, 77.233, 142.4061
73.000000, 77.105, 142.4276
74.000000, 77.015, 142.5480
75.000000, 76.971, 142.3075
76.199997, 76.897, 142.1194
77.500000, 76.785, 142.0825
