* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 20, 2025 11:12:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Defiant (Velvet Wide M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.625, 169.0737
20.600000, 81.543, 168.9562
20.900000, 81.455, 169.0112
21.200001, 81.397, 169.2071
21.400000, 81.383, 169.3517
21.799999, 81.424, 169.4685
22.000000, 81.473, 169.3629
22.400000, 81.596, 168.7556
22.700001, 81.676, 168.0358
23.000000, 81.721, 167.2652
23.299999, 81.722, 166.6404
23.600000, 81.690, 166.3144
24.000000, 81.636, 166.3797
24.299999, 81.619, 166.6252
24.700001, 81.637, 166.7596
25.000000, 81.661, 166.4778
25.400000, 81.655, 165.5870
25.799999, 81.580, 164.5063
26.200001, 81.465, 163.7933
26.500000, 81.400, 163.6769
26.900000, 81.393, 163.9032
27.200001, 81.446, 164.0621
27.600000, 81.535, 163.9095
28.000000, 81.563, 163.3212
28.500000, 81.460, 162.4942
29.000000, 81.296, 162.1491
29.500000, 81.220, 162.1294
30.000000, 81.251, 161.7820
30.400000, 81.281, 161.1729
30.700001, 81.273, 160.7162
31.100000, 81.226, 160.3949
31.500000, 81.179, 160.5388
32.000000, 81.178, 161.0669
32.500000, 81.225, 161.3521
33.000000, 81.236, 161.0918
33.500000, 81.158, 160.4685
34.000000, 81.010, 159.7559
34.500000, 80.849, 159.0847
35.000000, 80.737, 158.4986
35.500000, 80.711, 158.0111
36.000000, 80.764, 157.5778
36.500000, 80.838, 157.1597
37.000000, 80.869, 156.8272
37.500000, 80.844, 156.6504
38.200001, 80.770, 156.3441
38.700001, 80.690, 155.7886
39.500000, 80.437, 154.9700
40.000000, 80.261, 155.2205
40.599998, 80.195, 155.8983
41.200001, 80.294, 155.5546
41.799999, 80.379, 153.8356
42.500000, 80.337, 151.8034
43.099998, 80.268, 151.3440
43.700001, 80.250, 151.8453
44.400002, 80.233, 152.4621
45.000000, 80.168, 152.5703
45.500000, 80.111, 152.3385
46.200001, 80.081, 151.5616
46.799999, 80.086, 150.7132
47.500000, 80.061, 150.0255
48.200001, 79.969, 149.9566
48.700001, 79.875, 150.2079
49.400002, 79.762, 150.6250
50.000000, 79.734, 150.6165
50.799999, 79.770, 149.7237
51.500000, 79.758, 148.6533
52.200001, 79.647, 148.1972
53.000000, 79.455, 148.6902
53.799999, 79.299, 149.4513
54.500000, 79.228, 149.6477
55.200001, 79.197, 149.3874
56.000000, 79.184, 148.8708
57.000000, 79.186, 147.9076
58.000000, 79.134, 146.9592
59.000000, 79.066, 147.1945
60.000000, 79.051, 147.6807
60.799999, 79.005, 147.4171
61.500000, 78.934, 146.9874
62.200001, 78.869, 146.5652
63.000000, 78.805, 145.9025
64.000000, 78.699, 144.8859
65.000000, 78.632, 144.3733
66.000000, 78.597, 144.0043
67.000000, 78.485, 143.3586
68.000000, 78.403, 143.0101
69.000000, 78.399, 143.0836
70.000000, 78.325, 143.3204
71.000000, 78.225, 143.3433
72.000000, 78.196, 143.1116
73.000000, 78.176, 143.1362
74.000000, 78.096, 143.2328
75.000000, 77.997, 142.9025
76.199997, 77.930, 142.1692
77.500000, 77.872, 141.6155
78.800003, 77.767, 141.2029
80.000000, 77.649, 140.8618
81.199997, 77.578, 140.6949
82.500000, 77.499, 140.7330
83.800003, 77.398, 140.6208
85.000000, 77.314, 140.3071
86.199997, 77.263, 140.1137
87.500000, 77.217, 139.8590
88.500000, 77.174, 139.6333
90.000000, 77.080, 139.4015
91.199997, 76.986, 139.3071
92.500000, 76.886, 139.0923
93.800003, 76.831, 138.9101
95.000000, 76.799, 138.8592
96.199997, 76.741, 138.7395
97.500000, 76.652, 138.5762
98.800003, 76.567, 138.5314
100.000000, 76.502, 138.3347
101.500000, 76.426, 138.0727
103.000000, 76.349, 138.0475
104.400002, 76.272, 137.9700
106.000000, 76.173, 137.7876
107.500000, 76.092, 137.6001
109.000000, 76.021, 137.5070
110.599998, 75.937, 137.4176
112.000000, 75.866, 137.1917
113.800003, 75.763, 136.9914
115.000000, 75.697, 136.9811
117.199997, 75.617, 136.6800
118.000000, 75.586, 136.5904
120.599998, 75.482, 136.4430
122.000000, 75.420, 136.4189
124.099998, 75.316, 136.4340
125.000000, 75.271, 136.3918
126.500000, 75.202, 136.2245
128.000000, 75.139, 136.0530
131.500000, 74.995, 135.8246
132.000000, 74.977, 135.8021
134.000000, 74.906, 135.7428
136.000000, 74.833, 135.6342
138.000000, 74.752, 135.5782
140.000000, 74.670, 135.5349
143.000000, 74.552, 135.4826
145.000000, 74.475, 135.4903
147.500000, 74.387, 135.4551
150.000000, 74.304, 135.4468
152.500000, 74.220, 135.3035
155.000000, 74.141, 135.1613
157.500000, 74.055, 135.1915
160.000000, 73.976, 135.1406
162.500000, 73.894, 135.1450
165.000000, 73.816, 135.1718
167.500000, 73.737, 135.1726
170.000000, 73.664, 135.1614
172.500000, 73.592, 135.0921
175.000000, 73.512, 135.0148
177.500000, 73.438, 134.9791
180.000000, 73.379, 134.9572
182.500000, 73.328, 134.9948
185.000000, 73.271, 135.0371
187.500000, 73.201, 134.9772
190.000000, 73.127, 134.9656
192.500000, 73.063, 135.0073
195.000000, 73.007, 135.0065
197.500000, 72.954, 134.9955
200.000000, 72.895, 135.0039
203.000000, 72.827, 135.0405
206.000000, 72.760, 135.0663
209.000000, 72.693, 135.0970
212.000000, 72.632, 135.0698
214.000000, 72.596, 135.0366
218.000000, 72.534, 135.0435
220.000000, 72.500, 135.0523
224.000000, 72.430, 135.0622
227.000000, 72.384, 135.0900
230.000000, 72.342, 135.1500
233.000000, 72.294, 135.2459
236.000000, 72.239, 135.3063
240.000000, 72.167, 135.3217
243.000000, 72.122, 135.3714
247.000000, 72.071, 135.4305
250.000000, 72.034, 135.4476
254.000000, 71.980, 135.4954
258.000000, 71.921, 135.5589
262.000000, 71.868, 135.5468
265.000000, 71.836, 135.5736
269.000000, 71.787, 135.6480
272.000000, 71.751, 135.7127
276.000000, 71.714, 135.7892
280.000000, 71.677, 135.8293
285.000000, 71.628, 135.8583
290.000000, 71.578, 135.9104
295.000000, 71.532, 135.9953
300.000000, 71.482, 136.0742
304.000000, 71.445, 136.0947
307.000000, 71.422, 136.1390
311.000000, 71.393, 136.2237
315.000000, 71.363, 136.3178
320.000000, 71.329, 136.4156
325.000000, 71.291, 136.4572
330.000000, 71.260, 136.5178
335.000000, 71.232, 136.5373
340.000000, 71.203, 136.5816
345.000000, 71.175, 136.6411
350.000000, 71.149, 136.7327
355.000000, 71.125, 136.8128
360.000000, 71.100, 136.8884
365.000000, 71.076, 136.9775
370.000000, 71.063, 137.0693
375.000000, 71.047, 137.1462
382.000000, 71.026, 137.2681
387.000000, 71.007, 137.3532
395.000000, 70.982, 137.5190
400.000000, 70.971, 137.6105
406.000000, 70.955, 137.7112
412.000000, 70.944, 137.7928
418.000000, 70.940, 137.8857
425.000000, 70.932, 138.0132
431.000000, 70.929, 138.1310
437.000000, 70.930, 138.2190
