* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2024 1:32:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: E500 (Final E M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 73.668, -115.2728
20.600000, 73.762, -115.6692
20.900000, 73.862, -116.1275
21.200001, 73.953, -116.6194
21.400000, 74.008, -116.9564
21.799999, 74.108, -117.6173
22.000000, 74.156, -117.9277
22.400000, 74.256, -118.4991
22.700001, 74.339, -118.9018
23.000000, 74.428, -119.3094
23.299999, 74.518, -119.7419
23.600000, 74.604, -120.2040
24.000000, 74.702, -120.8451
24.299999, 74.763, -121.3187
24.700001, 74.833, -121.9117
25.000000, 74.884, -122.3249
25.400000, 74.958, -122.8516
25.799999, 75.040, -123.3748
26.200001, 75.127, -123.9052
26.500000, 75.193, -124.3026
26.900000, 75.277, -124.8203
27.200001, 75.337, -125.1950
27.600000, 75.411, -125.6790
28.000000, 75.481, -126.1533
28.500000, 75.567, -126.7427
29.000000, 75.653, -127.3283
29.500000, 75.741, -127.9016
30.000000, 75.827, -128.4537
30.400000, 75.892, -128.8761
30.700001, 75.938, -129.1817
31.100000, 75.996, -129.5772
31.500000, 76.052, -129.9651
32.000000, 76.121, -130.4506
32.500000, 76.191, -130.9480
33.000000, 76.261, -131.4649
33.500000, 76.326, -132.0038
34.000000, 76.383, -132.5580
34.500000, 76.435, -133.1147
35.000000, 76.486, -133.6637
35.500000, 76.541, -134.2018
36.000000, 76.600, -134.7206
36.500000, 76.656, -135.1978
37.000000, 76.706, -135.6139
37.500000, 76.754, -135.9824
38.200001, 76.821, -136.5141
38.700001, 76.866, -136.9574
39.500000, 76.930, -137.7166
40.000000, 76.967, -138.1470
40.599998, 77.018, -138.6002
41.200001, 77.076, -139.0416
41.799999, 77.134, -139.5231
42.500000, 77.191, -140.1224
43.099998, 77.231, -140.6161
43.700001, 77.268, -141.0655
44.400002, 77.311, -141.5550
45.000000, 77.348, -141.9787
45.500000, 77.378, -142.3435
46.200001, 77.417, -142.8594
46.799999, 77.451, -143.2902
47.500000, 77.491, -143.7715
48.200001, 77.527, -144.2319
48.700001, 77.550, -144.5510
49.400002, 77.578, -144.9948
50.000000, 77.599, -145.3829
50.799999, 77.629, -145.9085
51.500000, 77.658, -146.3551
52.200001, 77.691, -146.7773
53.000000, 77.725, -147.2357
53.799999, 77.754, -147.6731
54.500000, 77.776, -148.0463
55.200001, 77.800, -148.4297
56.000000, 77.826, -148.8943
57.000000, 77.851, -149.4627
58.000000, 77.868, -149.9334
59.000000, 77.889, -150.3724
60.000000, 77.914, -150.8660
60.799999, 77.935, -151.2742
61.500000, 77.954, -151.6239
62.200001, 77.970, -151.9616
63.000000, 77.984, -152.3324
64.000000, 77.990, -152.7606
65.000000, 77.988, -153.1115
66.000000, 78.001, -153.5005
67.000000, 78.020, -153.9845
68.000000, 78.040, -154.4075
69.000000, 78.059, -154.8028
70.000000, 78.066, -155.1990
71.000000, 78.072, -155.5591
72.000000, 78.074, -155.9002
73.000000, 78.077, -156.2430
74.000000, 78.089, -156.6261
75.000000, 78.100, -156.9759
76.199997, 78.108, -157.3362
77.500000, 78.116, -157.7730
78.800003, 78.120, -158.1864
80.000000, 78.120, -158.5104
81.199997, 78.126, -158.8421
82.500000, 78.131, -159.2167
83.800003, 78.128, -159.5792
85.000000, 78.122, -159.9103
86.199997, 78.117, -160.2426
87.500000, 78.111, -160.5741
88.500000, 78.105, -160.8011
90.000000, 78.099, -161.1239
91.199997, 78.098, -161.4042
92.500000, 78.094, -161.6855
93.800003, 78.088, -161.9434
95.000000, 78.079, -162.1756
96.199997, 78.073, -162.4221
97.500000, 78.066, -162.6778
98.800003, 78.057, -162.9046
100.000000, 78.048, -163.1273
101.500000, 78.042, -163.4014
103.000000, 78.032, -163.6702
104.400002, 78.020, -163.9393
106.000000, 78.004, -164.2266
107.500000, 77.990, -164.4322
109.000000, 77.976, -164.6361
110.599998, 77.963, -164.8718
112.000000, 77.950, -165.0665
113.800003, 77.931, -165.2512
115.000000, 77.919, -165.3994
117.199997, 77.899, -165.7435
118.000000, 77.893, -165.8400
120.599998, 77.868, -166.1672
122.000000, 77.846, -166.3095
124.099998, 77.823, -166.5213
125.000000, 77.814, -166.6139
126.500000, 77.799, -166.7438
128.000000, 77.785, -166.8530
131.500000, 77.745, -167.2058
132.000000, 77.739, -167.2550
134.000000, 77.715, -167.3929
136.000000, 77.691, -167.5141
138.000000, 77.667, -167.6605
140.000000, 77.646, -167.7720
143.000000, 77.610, -167.8952
145.000000, 77.585, -167.9870
147.500000, 77.553, -168.1492
150.000000, 77.525, -168.3098
152.500000, 77.493, -168.4149
155.000000, 77.463, -168.4985
157.500000, 77.434, -168.5798
160.000000, 77.398, -168.6508
162.500000, 77.366, -168.6969
165.000000, 77.338, -168.7472
167.500000, 77.308, -168.7990
170.000000, 77.276, -168.8415
172.500000, 77.248, -168.8763
175.000000, 77.220, -168.9210
177.500000, 77.188, -168.9675
180.000000, 77.158, -168.9741
182.500000, 77.131, -168.9704
185.000000, 77.102, -168.9715
187.500000, 77.070, -168.9727
190.000000, 77.040, -168.9597
