* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 23, 2025 4:08:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM (Azla Foamax) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.147, -157.4446
20.600000, 84.157, -157.9148
20.900000, 84.168, -158.4289
21.200001, 84.178, -158.9322
21.400000, 84.186, -159.2634
21.799999, 84.200, -159.9283
22.000000, 84.207, -160.2651
22.400000, 84.215, -160.9431
22.700001, 84.217, -161.4434
23.000000, 84.215, -161.9241
23.299999, 84.214, -162.3792
23.600000, 84.215, -162.8106
24.000000, 84.221, -163.3645
24.299999, 84.229, -163.7767
24.700001, 84.239, -164.3313
25.000000, 84.244, -164.7479
25.400000, 84.246, -165.2928
25.799999, 84.243, -165.8171
26.200001, 84.239, -166.3245
26.500000, 84.236, -166.7010
26.900000, 84.234, -167.2040
27.200001, 84.233, -167.5808
27.600000, 84.230, -168.0741
28.000000, 84.225, -168.5473
28.500000, 84.219, -169.1080
29.000000, 84.212, -169.6504
29.500000, 84.204, -170.1910
30.000000, 84.196, -170.7292
30.400000, 84.188, -171.1490
30.700001, 84.182, -171.4536
31.100000, 84.173, -171.8454
31.500000, 84.163, -172.2242
32.000000, 84.149, -172.6887
32.500000, 84.133, -173.1523
33.000000, 84.118, -173.6178
33.500000, 84.103, -174.0798
34.000000, 84.088, -174.5290
34.500000, 84.072, -174.9588
35.000000, 84.056, -175.3689
35.500000, 84.038, -175.7654
36.000000, 84.021, -176.1566
36.500000, 84.005, -176.5484
37.000000, 83.988, -176.9397
37.500000, 83.970, -177.3218
38.200001, 83.941, -177.8251
38.700001, 83.919, -178.1653
39.500000, 83.886, -178.7124
40.000000, 83.865, -179.0634
40.599998, 83.839, -179.4744
41.200001, 83.813, -179.8579
41.799999, 83.789, 179.7746
42.500000, 83.761, 179.3396
43.099998, 83.735, 178.9661
43.700001, 83.707, 178.6112
44.400002, 83.675, 178.2205
45.000000, 83.648, 177.8885
45.500000, 83.624, 177.6105
46.200001, 83.589, 177.2305
46.799999, 83.561, 176.9203
47.500000, 83.528, 176.5736
48.200001, 83.496, 176.2391
48.700001, 83.473, 176.0058
49.400002, 83.441, 175.6831
50.000000, 83.411, 175.4113
50.799999, 83.370, 175.0615
51.500000, 83.333, 174.7604
52.200001, 83.298, 174.4604
53.000000, 83.262, 174.1350
53.799999, 83.227, 173.8319
54.500000, 83.191, 173.5782
55.200001, 83.150, 173.3298
56.000000, 83.106, 173.0063
57.000000, 83.050, 172.5312
58.000000, 82.990, 172.2199
59.000000, 82.946, 172.0361
60.000000, 82.901, 171.7266
60.799999, 82.858, 171.4576
61.500000, 82.822, 171.2509
62.200001, 82.787, 171.0573
63.000000, 82.742, 170.8461
64.000000, 82.685, 170.5890
65.000000, 82.634, 170.3242
66.000000, 82.583, 170.0680
67.000000, 82.529, 169.8268
68.000000, 82.477, 169.5876
69.000000, 82.425, 169.3631
70.000000, 82.374, 169.1692
71.000000, 82.325, 168.9732
72.000000, 82.275, 168.7791
73.000000, 82.226, 168.6014
74.000000, 82.175, 168.4177
75.000000, 82.125, 168.2501
76.199997, 82.065, 168.0933
77.500000, 81.999, 167.9229
78.800003, 81.931, 167.7189
80.000000, 81.869, 167.5432
81.199997, 81.812, 167.3907
82.500000, 81.749, 167.2458
83.800003, 81.683, 167.0935
85.000000, 81.623, 166.9589
86.199997, 81.566, 166.8569
87.500000, 81.503, 166.7849
88.500000, 81.454, 166.7386
90.000000, 81.382, 166.6357
91.199997, 81.327, 166.5262
92.500000, 81.266, 166.4355
93.800003, 81.205, 166.3638
95.000000, 81.150, 166.3138
96.199997, 81.095, 166.2480
97.500000, 81.031, 166.1929
98.800003, 80.973, 166.1705
100.000000, 80.921, 166.1494
101.500000, 80.855, 166.1080
103.000000, 80.787, 166.0642
104.400002, 80.723, 166.0534
106.000000, 80.653, 165.9813
107.500000, 80.592, 165.9438
109.000000, 80.527, 166.0240
110.599998, 80.457, 166.0797
112.000000, 80.400, 166.1002
113.800003, 80.329, 166.1537
115.000000, 80.284, 166.1989
117.199997, 80.188, 166.2112
118.000000, 80.152, 166.2259
120.599998, 80.040, 166.3223
122.000000, 79.980, 166.3958
124.099998, 79.897, 166.5249
125.000000, 79.863, 166.5752
126.500000, 79.809, 166.6585
128.000000, 79.753, 166.7534
131.500000, 79.629, 166.9190
132.000000, 79.611, 166.9423
134.000000, 79.535, 167.0607
136.000000, 79.461, 167.2197
138.000000, 79.390, 167.3715
140.000000, 79.316, 167.5303
143.000000, 79.201, 167.7886
145.000000, 79.136, 167.9250
147.500000, 79.060, 168.0879
150.000000, 78.982, 168.3530
152.500000, 78.902, 168.6525
155.000000, 78.824, 168.8773
157.500000, 78.746, 169.1234
160.000000, 78.667, 169.3901
162.500000, 78.593, 169.6597
165.000000, 78.520, 169.9266
167.500000, 78.445, 170.2044
170.000000, 78.372, 170.4779
172.500000, 78.301, 170.7422
175.000000, 78.230, 171.0562
177.500000, 78.162, 171.3579
180.000000, 78.098, 171.6490
182.500000, 78.035, 171.9620
185.000000, 77.973, 172.2592
187.500000, 77.912, 172.5697
190.000000, 77.849, 172.8971
192.500000, 77.789, 173.2281
195.000000, 77.730, 173.5592
197.500000, 77.671, 173.8713
200.000000, 77.608, 174.1907
203.000000, 77.536, 174.5952
206.000000, 77.472, 174.9977
209.000000, 77.410, 175.4009
212.000000, 77.346, 175.8119
214.000000, 77.303, 176.0921
218.000000, 77.216, 176.6598
220.000000, 77.174, 176.9426
224.000000, 77.096, 177.5153
227.000000, 77.042, 177.9528
230.000000, 76.988, 178.3627
233.000000, 76.928, 178.7468
236.000000, 76.871, 179.1841
240.000000, 76.802, 179.7767
243.000000, 76.748, -179.7948
247.000000, 76.681, -179.2090
250.000000, 76.631, -178.7754
254.000000, 76.567, -178.2115
258.000000, 76.506, -177.6332
262.000000, 76.439, -177.0242
265.000000, 76.392, -176.5647
269.000000, 76.336, -175.9672
272.000000, 76.295, -175.5411
276.000000, 76.239, -174.9737
280.000000, 76.188, -174.4108
285.000000, 76.120, -173.6360
290.000000, 76.050, -172.8904
295.000000, 75.992, -172.1826
300.000000, 75.935, -171.4834
304.000000, 75.891, -170.8895
307.000000, 75.858, -170.4275
311.000000, 75.812, -169.7852
315.000000, 75.770, -169.1748
320.000000, 75.719, -168.4574
325.000000, 75.664, -167.7717
330.000000, 75.615, -167.0355
335.000000, 75.567, -166.3217
340.000000, 75.519, -165.6278
345.000000, 75.477, -164.9053
350.000000, 75.435, -164.1869
