* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 25, 2024 3:49:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EA500LM (BGVP Foam M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.063, -157.1416
20.600000, 82.073, -157.5966
20.900000, 82.086, -158.1311
21.200001, 82.104, -158.6967
21.400000, 82.116, -159.0834
21.799999, 82.139, -159.8484
22.000000, 82.148, -160.2101
22.400000, 82.159, -160.8632
22.700001, 82.163, -161.2895
23.000000, 82.165, -161.6797
23.299999, 82.166, -162.0619
23.600000, 82.168, -162.4634
24.000000, 82.172, -163.0523
24.299999, 82.175, -163.5292
24.700001, 82.179, -164.1770
25.000000, 82.182, -164.6441
25.400000, 82.187, -165.2161
25.799999, 82.192, -165.7303
26.200001, 82.196, -166.2129
26.500000, 82.197, -166.5738
26.900000, 82.194, -167.0704
27.200001, 82.190, -167.4550
27.600000, 82.183, -167.9713
28.000000, 82.177, -168.4714
28.500000, 82.174, -169.0509
29.000000, 82.172, -169.5790
29.500000, 82.166, -170.0756
30.000000, 82.153, -170.5645
30.400000, 82.141, -170.9648
30.700001, 82.133, -171.2771
31.100000, 82.126, -171.7113
31.500000, 82.122, -172.1544
32.000000, 82.116, -172.6777
32.500000, 82.107, -173.1219
33.000000, 82.098, -173.5041
33.500000, 82.090, -173.9119
34.000000, 82.076, -174.4146
34.500000, 82.048, -174.9736
35.000000, 82.010, -175.4753
35.500000, 81.978, -175.8541
36.000000, 81.966, -176.1650
36.500000, 81.967, -176.5130
37.000000, 81.963, -176.9314
37.500000, 81.946, -177.3616
38.200001, 81.911, -177.8751
38.700001, 81.890, -178.1938
39.500000, 81.859, -178.7229
40.000000, 81.836, -179.0632
40.599998, 81.807, -179.4537
41.200001, 81.784, -179.8294
41.799999, 81.764, 179.7941
42.500000, 81.740, 179.3507
43.099998, 81.716, 178.9689
43.700001, 81.687, 178.5922
44.400002, 81.652, 178.1818
45.000000, 81.625, 177.8618
45.500000, 81.604, 177.6070
46.200001, 81.577, 177.2499
46.799999, 81.552, 176.9378
47.500000, 81.517, 176.5694
48.200001, 81.479, 176.2083
48.700001, 81.453, 175.9623
49.400002, 81.418, 175.6370
50.000000, 81.391, 175.3776
50.799999, 81.355, 175.0626
51.500000, 81.321, 174.7931
52.200001, 81.285, 174.4974
53.000000, 81.240, 174.1386
53.799999, 81.199, 173.7905
54.500000, 81.165, 173.4951
55.200001, 81.129, 173.2153
56.000000, 81.089, 172.9305
57.000000, 81.039, 172.6019
58.000000, 80.980, 172.2814
59.000000, 80.924, 171.9654
60.000000, 80.884, 171.6359
60.799999, 80.852, 171.3930
61.500000, 80.816, 171.2163
62.200001, 80.776, 171.0536
63.000000, 80.732, 170.8294
64.000000, 80.681, 170.4828
65.000000, 80.623, 170.1781
66.000000, 80.570, 169.9489
67.000000, 80.528, 169.7066
68.000000, 80.478, 169.4639
69.000000, 80.423, 169.2544
70.000000, 80.378, 169.0294
71.000000, 80.331, 168.8329
72.000000, 80.275, 168.6608
73.000000, 80.218, 168.4565
74.000000, 80.165, 168.2484
75.000000, 80.108, 168.0860
76.199997, 80.045, 167.9321
77.500000, 79.986, 167.7039
78.800003, 79.922, 167.5280
80.000000, 79.864, 167.3795
81.199997, 79.802, 167.2311
82.500000, 79.729, 167.0590
83.800003, 79.659, 166.9171
85.000000, 79.603, 166.8006
86.199997, 79.547, 166.6955
87.500000, 79.491, 166.5959
88.500000, 79.442, 166.5031
90.000000, 79.365, 166.3731
91.199997, 79.305, 166.2851
92.500000, 79.242, 166.2137
93.800003, 79.179, 166.1742
95.000000, 79.122, 166.1248
96.199997, 79.065, 166.0432
97.500000, 79.010, 165.9826
98.800003, 78.956, 165.9335
100.000000, 78.902, 165.9093
101.500000, 78.832, 165.8763
103.000000, 78.767, 165.8465
104.400002, 78.709, 165.8238
106.000000, 78.639, 165.7719
107.500000, 78.574, 165.7783
109.000000, 78.509, 165.8257
110.599998, 78.440, 165.8450
112.000000, 78.379, 165.8550
113.800003, 78.299, 165.8805
115.000000, 78.248, 165.9207
117.199997, 78.156, 165.9650
118.000000, 78.121, 165.9800
120.599998, 78.022, 166.0847
122.000000, 77.972, 166.1057
124.099998, 77.891, 166.1765
125.000000, 77.855, 166.2175
126.500000, 77.796, 166.2801
128.000000, 77.736, 166.3531
131.500000, 77.605, 166.5858
132.000000, 77.587, 166.6058
134.000000, 77.514, 166.6981
136.000000, 77.437, 166.8695
138.000000, 77.369, 167.0324
140.000000, 77.301, 167.1845
143.000000, 77.193, 167.4175
145.000000, 77.121, 167.5524
147.500000, 77.037, 167.7109
150.000000, 76.953, 167.9203
152.500000, 76.876, 168.1992
155.000000, 76.798, 168.4615
157.500000, 76.715, 168.6521
160.000000, 76.636, 168.9096
162.500000, 76.562, 169.1995
165.000000, 76.487, 169.4177
167.500000, 76.409, 169.6979
170.000000, 76.334, 170.0286
172.500000, 76.263, 170.3287
175.000000, 76.197, 170.5792
177.500000, 76.132, 170.8563
180.000000, 76.062, 171.1479
182.500000, 75.997, 171.4408
185.000000, 75.930, 171.7534
187.500000, 75.865, 172.0859
190.000000, 75.802, 172.4459
192.500000, 75.742, 172.7671
195.000000, 75.685, 173.0539
197.500000, 75.628, 173.3519
200.000000, 75.569, 173.7117
203.000000, 75.494, 174.1230
206.000000, 75.421, 174.4872
209.000000, 75.351, 174.9124
212.000000, 75.288, 175.3057
214.000000, 75.248, 175.5459
218.000000, 75.158, 176.0736
220.000000, 75.113, 176.3533
224.000000, 75.034, 176.9362
227.000000, 74.979, 177.4030
230.000000, 74.919, 177.8183
233.000000, 74.858, 178.2264
236.000000, 74.801, 178.6286
240.000000, 74.732, 179.1923
243.000000, 74.682, 179.6162
247.000000, 74.617, -179.8268
250.000000, 74.567, -179.3908
