* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2024 3:20:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM (Final E) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.677, 196.2712
20.600000, 83.684, 195.7592
20.900000, 83.690, 195.2032
21.200001, 83.696, 194.6415
21.400000, 83.701, 194.2659
21.799999, 83.714, 193.5184
22.000000, 83.720, 193.1511
22.400000, 83.731, 192.4424
22.700001, 83.737, 191.9411
23.000000, 83.741, 191.4679
23.299999, 83.743, 191.0191
23.600000, 83.745, 190.5869
24.000000, 83.750, 190.0194
24.299999, 83.756, 189.5896
24.700001, 83.765, 189.0036
25.000000, 83.773, 188.5561
25.400000, 83.782, 187.9577
25.799999, 83.788, 187.3667
26.200001, 83.790, 186.7861
26.500000, 83.790, 186.3545
26.900000, 83.788, 185.7773
27.200001, 83.785, 185.3407
27.600000, 83.781, 184.7572
28.000000, 83.775, 184.1843
28.500000, 83.768, 183.5067
29.000000, 83.761, 182.8856
29.500000, 83.757, 182.3068
30.000000, 83.753, 181.7357
30.400000, 83.750, 181.2654
30.700001, 83.746, 180.9034
31.100000, 83.738, 180.4171
31.500000, 83.727, 179.9414
32.000000, 83.711, 179.3802
32.500000, 83.696, 178.8562
33.000000, 83.682, 178.3497
33.500000, 83.668, 177.8416
34.000000, 83.655, 177.3281
34.500000, 83.642, 176.8162
35.000000, 83.630, 176.3124
35.500000, 83.617, 175.8187
36.000000, 83.602, 175.3364
36.500000, 83.586, 174.8671
37.000000, 83.569, 174.4093
37.500000, 83.553, 173.9570
38.200001, 83.530, 173.3241
38.700001, 83.512, 172.8725
39.500000, 83.480, 172.1581
40.000000, 83.460, 171.7209
40.599998, 83.439, 171.2115
41.200001, 83.419, 170.7236
41.799999, 83.396, 170.2567
42.500000, 83.365, 169.7309
43.099998, 83.336, 169.2847
43.700001, 83.311, 168.8310
44.400002, 83.286, 168.2939
45.000000, 83.263, 167.8463
45.500000, 83.241, 167.4891
46.200001, 83.208, 166.9956
46.799999, 83.180, 166.5672
47.500000, 83.149, 166.0906
48.200001, 83.124, 165.6736
48.700001, 83.108, 165.3968
49.400002, 83.082, 164.9892
50.000000, 83.052, 164.6029
50.799999, 83.009, 164.0641
51.500000, 82.976, 163.6051
52.200001, 82.946, 163.1738
53.000000, 82.909, 162.7159
53.799999, 82.869, 162.2708
54.500000, 82.834, 161.8703
55.200001, 82.798, 161.4674
56.000000, 82.757, 161.0251
57.000000, 82.709, 160.5019
58.000000, 82.666, 159.9945
59.000000, 82.623, 159.4762
60.000000, 82.571, 158.9543
60.799999, 82.528, 158.5617
61.500000, 82.492, 158.2354
62.200001, 82.458, 157.9146
63.000000, 82.421, 157.5500
64.000000, 82.373, 157.1102
65.000000, 82.324, 156.6977
66.000000, 82.273, 156.2870
67.000000, 82.224, 155.8787
68.000000, 82.177, 155.4799
69.000000, 82.127, 155.0786
70.000000, 82.076, 154.6758
71.000000, 82.025, 154.2823
72.000000, 81.972, 153.9069
73.000000, 81.921, 153.5328
74.000000, 81.874, 153.1636
75.000000, 81.827, 152.8245
76.199997, 81.768, 152.4336
77.500000, 81.704, 152.0045
78.800003, 81.637, 151.5854
80.000000, 81.574, 151.2178
81.199997, 81.512, 150.8534
82.500000, 81.446, 150.4676
83.800003, 81.386, 150.0912
85.000000, 81.331, 149.7487
86.199997, 81.272, 149.4147
87.500000, 81.205, 149.0687
88.500000, 81.153, 148.8250
90.000000, 81.079, 148.4778
91.199997, 81.018, 148.1871
92.500000, 80.949, 147.8587
93.800003, 80.884, 147.5334
95.000000, 80.821, 147.2461
96.199997, 80.755, 146.9824
97.500000, 80.684, 146.7400
98.800003, 80.611, 146.5271
100.000000, 80.543, 146.3466
101.500000, 80.466, 146.1116
103.000000, 80.384, 145.8922
104.400002, 80.304, 145.7119
106.000000, 80.209, 145.5774
107.500000, 80.120, 145.5544
109.000000, 80.036, 145.6080
110.599998, 79.956, 145.7527
112.000000, 79.901, 145.9197
113.800003, 79.860, 146.1945
115.000000, 79.853, 146.3759
117.199997, 79.867, 146.4828
118.000000, 79.877, 146.4312
120.599998, 79.902, 146.0211
122.000000, 79.902, 145.6828
124.099998, 79.882, 145.0833
125.000000, 79.865, 144.8190
126.500000, 79.827, 144.4035
128.000000, 79.781, 144.0134
131.500000, 79.659, 143.1756
132.000000, 79.640, 143.0760
134.000000, 79.564, 142.7060
136.000000, 79.491, 142.3970
138.000000, 79.426, 142.1391
140.000000, 79.360, 141.8797
143.000000, 79.242, 141.4198
145.000000, 79.171, 141.1504
147.500000, 79.087, 140.9691
150.000000, 79.005, 140.7742
152.500000, 78.922, 140.5486
155.000000, 78.827, 140.4092
157.500000, 78.737, 140.2580
160.000000, 78.676, 140.0116
162.500000, 78.610, 139.8459
165.000000, 78.537, 139.6843
167.500000, 78.463, 139.5492
170.000000, 78.391, 139.4086
172.500000, 78.323, 139.2524
175.000000, 78.251, 139.1069
177.500000, 78.179, 139.0036
180.000000, 78.116, 138.9218
182.500000, 78.057, 138.8719
185.000000, 77.990, 138.7919
187.500000, 77.923, 138.6696
190.000000, 77.858, 138.5382
192.500000, 77.795, 138.4556
195.000000, 77.734, 138.3872
197.500000, 77.674, 138.3084
200.000000, 77.616, 138.2391
203.000000, 77.548, 138.1900
206.000000, 77.484, 138.1288
209.000000, 77.415, 138.0939
212.000000, 77.347, 138.0869
214.000000, 77.303, 138.0678
218.000000, 77.217, 138.0122
220.000000, 77.173, 138.0028
224.000000, 77.092, 138.0162
227.000000, 77.034, 138.0576
230.000000, 76.980, 138.1144
233.000000, 76.931, 138.1765
236.000000, 76.887, 138.2102
240.000000, 76.833, 138.2220
243.000000, 76.792, 138.1889
247.000000, 76.735, 138.1215
250.000000, 76.689, 138.0577
254.000000, 76.630, 137.9809
258.000000, 76.570, 137.9129
262.000000, 76.513, 137.8557
265.000000, 76.468, 137.8347
269.000000, 76.405, 137.8234
272.000000, 76.360, 137.8053
276.000000, 76.300, 137.8028
280.000000, 76.243, 137.8220
285.000000, 76.175, 137.8345
290.000000, 76.112, 137.8611
295.000000, 76.051, 137.8733
300.000000, 75.986, 137.8980
304.000000, 75.937, 137.9096
307.000000, 75.903, 137.9328
311.000000, 75.858, 137.9821
315.000000, 75.815, 138.0317
320.000000, 75.762, 138.0596
325.000000, 75.709, 138.1151
330.000000, 75.657, 138.1806
335.000000, 75.609, 138.1913
340.000000, 75.561, 138.2152
345.000000, 75.516, 138.3017
350.000000, 75.471, 138.3579
355.000000, 75.425, 138.3846
360.000000, 75.382, 138.4167
365.000000, 75.343, 138.4778
370.000000, 75.305, 138.5631
375.000000, 75.267, 138.6387
382.000000, 75.214, 138.6759
387.000000, 75.179, 138.7241
395.000000, 75.124, 138.8141
400.000000, 75.088, 138.8683
406.000000, 75.048, 138.9416
412.000000, 75.017, 139.0168
418.000000, 74.984, 139.1071
425.000000, 74.939, 139.2523
431.000000, 74.903, 139.3320
437.000000, 74.871, 139.3995
444.000000, 74.838, 139.4717
450.000000, 74.809, 139.5378
455.000000, 74.785, 139.5793
462.000000, 74.754, 139.6285
468.000000, 74.727, 139.6911
475.000000, 74.695, 139.8050
482.000000, 74.666, 139.9125
487.000000, 74.647, 139.9548
494.000000, 74.620, 140.0181
500.000000, 74.596, 140.0901
508.000000, 74.569, 140.1772
515.000000, 74.548, 140.2926
522.000000, 74.529, 140.4016
530.000000, 74.504, 140.5158
538.000000, 74.481, 140.6321
545.000000, 74.467, 140.7368
552.000000, 74.454, 140.8423
560.000000, 74.433, 140.9487
570.000000, 74.406, 141.0786
580.000000, 74.386, 141.2357
590.000000, 74.374, 141.4165
600.000000, 74.359, 141.5151
608.000000, 74.347, 141.6157
615.000000, 74.338, 141.7482
622.000000, 74.331, 141.8898
630.000000, 74.323, 142.0404
640.000000, 74.313, 142.2052
650.000000, 74.306, 142.3814
660.000000, 74.306, 142.5408
670.000000, 74.305, 142.7306
680.000000, 74.304, 142.9261
690.000000, 74.308, 143.1075
700.000000, 74.309, 143.3007
710.000000, 74.316, 143.4940
720.000000, 74.330, 143.6833
730.000000, 74.341, 143.8931
740.000000, 74.352, 144.1078
750.000000, 74.365, 144.3256
762.000000, 74.386, 144.5778
775.000000, 74.413, 144.8702
788.000000, 74.446, 145.1642
800.000000, 74.478, 145.4853
812.000000, 74.514, 145.7852
825.000000, 74.558, 146.0782
838.000000, 74.608, 146.3683
850.000000, 74.661, 146.6220
862.000000, 74.718, 146.8909
875.000000, 74.782, 147.1685
885.000000, 74.834, 147.3681
900.000000, 74.920, 147.6674
912.000000, 74.991, 147.9207
925.000000, 75.075, 148.1434
938.000000, 75.163, 148.3670
950.000000, 75.249, 148.5601
962.000000, 75.338, 148.7067
975.000000, 75.439, 148.8419
988.000000, 75.544, 148.9971
1000.000000, 75.641, 149.1180
1015.000000, 75.772, 149.1681
1030.000000, 75.908, 149.1925
1044.000000, 76.038, 149.2029
1060.000000, 76.189, 149.1792
1075.000000, 76.329, 149.0841
1090.000000, 76.469, 148.9060
1106.000000, 76.620, 148.6695
1120.000000, 76.753, 148.4532
1138.000000, 76.921, 148.1308
1150.000000, 77.033, 147.8896
1172.000000, 77.233, 147.3948
1180.000000, 77.303, 147.1913
1206.000000, 77.531, 146.4886
1220.000000, 77.651, 146.0811
1241.000000, 77.826, 145.4342
1250.000000, 77.899, 145.1462
1265.000000, 78.019, 144.6429
1280.000000, 78.138, 144.1167
1315.000000, 78.406, 142.8674
1320.000000, 78.443, 142.6921
1340.000000, 78.587, 141.9881
1360.000000, 78.729, 141.2736
1380.000000, 78.867, 140.5473
1400.000000, 79.002, 139.7997
1430.000000, 79.203, 138.7011
1450.000000, 79.336, 137.9650
1475.000000, 79.500, 137.0285
1500.000000, 79.662, 136.0956
1525.000000, 79.819, 135.1674
1550.000000, 79.978, 134.2271
1575.000000, 80.139, 133.2661
1600.000000, 80.297, 132.3041
1625.000000, 80.458, 131.3337
1650.000000, 80.618, 130.3542
1675.000000, 80.777, 129.3690
1700.000000, 80.939, 128.3743
1725.000000, 81.101, 127.3619
1750.000000, 81.261, 126.3199
1775.000000, 81.422, 125.2691
1800.000000, 81.584, 124.2078
1825.000000, 81.750, 123.1282
1850.000000, 81.915, 122.0220
1875.000000, 82.079, 120.8810
1900.000000, 82.243, 119.7235
1925.000000, 82.406, 118.5364
1950.000000, 82.571, 117.3135
1975.000000, 82.735, 116.0677
2000.000000, 82.898, 114.8045
2030.000000, 83.095, 113.2317
2060.000000, 83.288, 111.6039
2090.000000, 83.479, 109.9297
2120.000000, 83.668, 108.2039
2140.000000, 83.793, 107.0238
2180.000000, 84.034, 104.5891
2200.000000, 84.151, 103.3340
2240.000000, 84.378, 100.7535
2270.000000, 84.538, 98.7618
2300.000000, 84.689, 96.7230
2330.000000, 84.831, 94.6407
2360.000000, 84.963, 92.5228
2400.000000, 85.121, 89.6617
2430.000000, 85.222, 87.4941
2470.000000, 85.339, 84.6135
2500.000000, 85.414, 82.4870
2540.000000, 85.499, 79.7291
2580.000000, 85.575, 77.0784
2620.000000, 85.658, 74.4992
2650.000000, 85.728, 72.5475
2690.000000, 85.825, 69.8286
2720.000000, 85.891, 67.6834
2760.000000, 85.955, 64.7183
2800.000000, 85.984, 61.7128
2850.000000, 85.976, 58.0324
2900.000000, 85.929, 54.5254
2950.000000, 85.857, 51.2047
3000.000000, 85.768, 48.0821
3040.000000, 85.690, 45.7272
3070.000000, 85.628, 44.0350
3110.000000, 85.544, 41.8771
3150.000000, 85.459, 39.8188
3200.000000, 85.352, 37.3698
3250.000000, 85.249, 35.0529
3300.000000, 85.150, 32.8532
3350.000000, 85.059, 30.7663
3400.000000, 84.977, 28.7646
3450.000000, 84.903, 26.8154
3500.000000, 84.838, 24.9221
3550.000000, 84.781, 23.0734
3600.000000, 84.732, 21.2445
3650.000000, 84.690, 19.4356
3700.000000, 84.652, 17.6418
3750.000000, 84.620, 15.8543
3820.000000, 84.586, 13.3654
3870.000000, 84.570, 11.5697
3950.000000, 84.552, 8.5957
4000.000000, 84.537, 6.6476
4060.000000, 84.501, 4.2617
4120.000000, 84.441, 1.9224
4180.000000, 84.366, -0.2266
4250.000000, 84.294, -2.4247
4310.000000, 84.272, -4.1778
4370.000000, 84.291, -6.0088
4440.000000, 84.344, -8.3993
4500.000000, 84.397, -10.7163
4550.000000, 84.434, -12.8347
4620.000000, 84.466, -16.0281
4680.000000, 84.466, -18.9362
4750.000000, 84.429, -22.4638
4820.000000, 84.350, -26.0676
4870.000000, 84.268, -28.6658
4940.000000, 84.116, -32.3201
5000.000000, 83.949, -35.4196
5080.000000, 83.670, -39.4421
5150.000000, 83.379, -42.7994
5220.000000, 83.050, -45.9457
5300.000000, 82.629, -49.2536
5380.000000, 82.171, -52.1960
5450.000000, 81.745, -54.4329
5520.000000, 81.306, -56.3367
5600.000000, 80.800, -58.0900
5700.000000, 80.182, -59.6828
5800.000000, 79.605, -60.7388
5900.000000, 79.071, -61.4326
6000.000000, 78.572, -61.8319
6080.000000, 78.194, -61.9529
6150.000000, 77.881, -61.9213
6220.000000, 77.586, -61.7818
6300.000000, 77.271, -61.5202
6400.000000, 76.911, -61.0282
6500.000000, 76.585, -60.3996
6600.000000, 76.290, -59.6674
6700.000000, 76.026, -58.8233
6800.000000, 75.787, -57.8832
6900.000000, 75.571, -56.8286
7000.000000, 75.383, -55.6474
7100.000000, 75.236, -54.3578
7200.000000, 75.132, -53.0481
7300.000000, 75.070, -51.7543
7400.000000, 75.030, -50.5258
7500.000000, 75.006, -49.3362
7620.000000, 75.007, -47.8571
7750.000000, 75.052, -46.1692
7880.000000, 75.150, -44.4558
8000.000000, 75.290, -42.8809
8120.000000, 75.480, -41.3715
8250.000000, 75.741, -39.8264
8380.000000, 76.070, -38.4091
8500.000000, 76.432, -37.2427
8620.000000, 76.847, -36.2714
8750.000000, 77.365, -35.5091
8850.000000, 77.815, -35.1674
9000.000000, 78.572, -35.1944
9120.000000, 79.244, -35.8176
9250.000000, 80.028, -37.2484
9380.000000, 80.858, -39.6105
9500.000000, 81.644, -42.8089
9620.000000, 82.414, -47.1317
9750.000000, 83.173, -53.1952
9880.000000, 83.775, -60.6688
10000.000000, 84.118, -68.5529
10150.000000, 84.185, -78.9995
10300.000000, 83.838, -89.0216
10440.000000, 83.202, -97.0484
10600.000000, 82.248, -103.9786
10750.000000, 81.277, -108.2231
10900.000000, 80.343, -110.5605
11060.000000, 79.461, -111.4176
11200.000000, 78.819, -111.1679
11380.000000, 78.187, -109.9683
11500.000000, 77.887, -108.8257
11720.000000, 77.590, -106.4520
11800.000000, 77.559, -105.6109
12060.000000, 77.742, -103.3793
12200.000000, 78.019, -102.7753
12410.000000, 78.656, -103.3096
