* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2024 3:23:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM (Stock) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.751, -162.4016
20.600000, 83.715, -162.9132
20.900000, 83.693, -163.4032
21.200001, 83.698, -163.8714
21.400000, 83.716, -164.2018
21.799999, 83.772, -164.9646
22.000000, 83.802, -165.4028
22.400000, 83.848, -166.3491
22.700001, 83.867, -167.0559
23.000000, 83.878, -167.7061
23.299999, 83.891, -168.2787
23.600000, 83.917, -168.7870
24.000000, 83.977, -169.4323
24.299999, 84.036, -169.9409
24.700001, 84.111, -170.6714
25.000000, 84.148, -171.2247
25.400000, 84.153, -171.8756
25.799999, 84.110, -172.3355
26.200001, 84.040, -172.5931
26.500000, 83.988, -172.7201
26.900000, 83.937, -172.9551
27.200001, 83.918, -173.2764
27.600000, 83.912, -173.9472
28.000000, 83.914, -174.8061
28.500000, 83.919, -175.8459
29.000000, 83.935, -176.5671
29.500000, 83.965, -176.9762
30.000000, 83.986, -177.3052
30.400000, 83.971, -177.6225
30.700001, 83.935, -177.8903
31.100000, 83.869, -178.2530
31.500000, 83.806, -178.6110
32.000000, 83.771, -179.1202
32.500000, 83.791, -179.7861
33.000000, 83.830, 179.4341
33.500000, 83.851, 178.6950
34.000000, 83.842, 178.0866
34.500000, 83.807, 177.5740
35.000000, 83.764, 177.0979
35.500000, 83.737, 176.6533
36.000000, 83.752, 176.2255
36.500000, 83.805, 175.7280
37.000000, 83.854, 175.0958
37.500000, 83.850, 174.4129
38.200001, 83.751, 173.7121
38.700001, 83.678, 173.4489
39.500000, 83.649, 172.9367
40.000000, 83.655, 172.3805
40.599998, 83.625, 171.6891
41.200001, 83.559, 171.2206
41.799999, 83.505, 170.8889
42.500000, 83.485, 170.3632
43.099998, 83.481, 169.8473
43.700001, 83.476, 169.4961
44.400002, 83.469, 169.2592
45.000000, 83.453, 168.9287
45.500000, 83.427, 168.4889
46.200001, 83.384, 167.8020
46.799999, 83.360, 167.3309
47.500000, 83.334, 166.9534
48.200001, 83.282, 166.6601
48.700001, 83.233, 166.4254
49.400002, 83.179, 165.9580
50.000000, 83.158, 165.4196
50.799999, 83.150, 164.6941
51.500000, 83.137, 164.2105
52.200001, 83.111, 163.8632
53.000000, 83.070, 163.5519
53.799999, 83.030, 163.2530
54.500000, 82.993, 162.9116
55.200001, 82.952, 162.4396
56.000000, 82.906, 161.8021
57.000000, 82.857, 161.1759
58.000000, 82.817, 160.8987
59.000000, 82.780, 160.5208
60.000000, 82.737, 159.8743
60.799999, 82.703, 159.4324
61.500000, 82.674, 159.1851
62.200001, 82.642, 158.9623
63.000000, 82.600, 158.5668
64.000000, 82.538, 157.8536
65.000000, 82.489, 157.2541
66.000000, 82.468, 156.9234
67.000000, 82.446, 156.5990
68.000000, 82.394, 156.1033
69.000000, 82.326, 155.6283
70.000000, 82.262, 155.3291
71.000000, 82.199, 155.0807
72.000000, 82.144, 154.7872
73.000000, 82.106, 154.4561
74.000000, 82.066, 154.1208
