* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 27, 2024 12:51:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EDC PRO (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.261, -163.3816
20.600000, 84.270, -163.9791
20.900000, 84.276, -164.6314
21.200001, 84.279, -165.2845
21.400000, 84.281, -165.7143
21.799999, 84.288, -166.5524
22.000000, 84.293, -166.9590
22.400000, 84.304, -167.7498
22.700001, 84.312, -168.3277
23.000000, 84.319, -168.8965
23.299999, 84.323, -169.4571
23.600000, 84.324, -170.0086
24.000000, 84.324, -170.7281
24.299999, 84.325, -171.2572
24.700001, 84.328, -171.9557
25.000000, 84.332, -172.4789
25.400000, 84.337, -173.1756
25.799999, 84.338, -173.8600
26.200001, 84.333, -174.5150
26.500000, 84.327, -174.9818
26.900000, 84.319, -175.5785
27.200001, 84.314, -176.0180
27.600000, 84.310, -176.6091
28.000000, 84.304, -177.2079
28.500000, 84.293, -177.9400
29.000000, 84.278, -178.6169
29.500000, 84.264, -179.2475
30.000000, 84.253, -179.8927
30.400000, 84.244, 179.5472
30.700001, 84.236, 179.1041
31.100000, 84.220, 178.5081
31.500000, 84.202, 177.9394
32.000000, 84.182, 177.2936
32.500000, 84.168, 176.6989
33.000000, 84.156, 176.1105
33.500000, 84.139, 175.5111
34.000000, 84.115, 174.9183
34.500000, 84.089, 174.3517
35.000000, 84.066, 173.8094
35.500000, 84.046, 173.2759
36.000000, 84.027, 172.7404
36.500000, 84.007, 172.1998
37.000000, 83.985, 171.6552
37.500000, 83.961, 171.1131
38.200001, 83.926, 170.3864
38.700001, 83.901, 169.9047
39.500000, 83.863, 169.1699
40.000000, 83.839, 168.7028
40.599998, 83.806, 168.1318
41.200001, 83.769, 167.5782
41.799999, 83.733, 167.0633
42.500000, 83.694, 166.4953
43.099998, 83.662, 166.0028
43.700001, 83.632, 165.4929
44.400002, 83.597, 164.9062
45.000000, 83.567, 164.4439
45.500000, 83.539, 164.0863
46.200001, 83.497, 163.5897
46.799999, 83.457, 163.1393
47.500000, 83.413, 162.5850
48.200001, 83.375, 162.0265
48.700001, 83.348, 161.6501
49.400002, 83.304, 161.1841
50.000000, 83.266, 160.8265
50.799999, 83.218, 160.3224
51.500000, 83.176, 159.8364
52.200001, 83.131, 159.3751
53.000000, 83.081, 158.8954
53.799999, 83.036, 158.3970
54.500000, 82.995, 157.9570
55.200001, 82.952, 157.5613
56.000000, 82.901, 157.1425
57.000000, 82.833, 156.5914
58.000000, 82.775, 156.0012
59.000000, 82.720, 155.4360
60.000000, 82.655, 154.9605
60.799999, 82.604, 154.5751
61.500000, 82.561, 154.2102
62.200001, 82.519, 153.8657
63.000000, 82.471, 153.5159
64.000000, 82.412, 153.0751
65.000000, 82.352, 152.5952
66.000000, 82.289, 152.1291
67.000000, 82.221, 151.7216
68.000000, 82.160, 151.3244
69.000000, 82.107, 150.9141
70.000000, 82.052, 150.5046
71.000000, 81.990, 150.0865
72.000000, 81.925, 149.6965
73.000000, 81.862, 149.3602
74.000000, 81.801, 149.0390
75.000000, 81.742, 148.6971
76.199997, 81.673, 148.2967
77.500000, 81.602, 147.8619
78.800003, 81.532, 147.4147
80.000000, 81.465, 147.0380
81.199997, 81.388, 146.6779
82.500000, 81.300, 146.3182
83.800003, 81.220, 145.9560
85.000000, 81.157, 145.6043
86.199997, 81.096, 145.2829
87.500000, 81.020, 144.9593
88.500000, 80.960, 144.6891
90.000000, 80.878, 144.2869
91.199997, 80.814, 144.0257
92.500000, 80.743, 143.7756
93.800003, 80.675, 143.5196
95.000000, 80.612, 143.2563
96.199997, 80.549, 142.9836
97.500000, 80.479, 142.7061
98.800003, 80.408, 142.4840
100.000000, 80.347, 142.2725
101.500000, 80.268, 141.9493
103.000000, 80.186, 141.6770
104.400002, 80.112, 141.4476
106.000000, 80.034, 141.1815
107.500000, 79.959, 140.9903
109.000000, 79.880, 140.7577
110.599998, 79.798, 140.4989
112.000000, 79.732, 140.3079
113.800003, 79.647, 140.0818
115.000000, 79.588, 139.9218
117.199997, 79.483, 139.6357
118.000000, 79.446, 139.5399
120.599998, 79.328, 139.2331
122.000000, 79.262, 139.0715
124.099998, 79.165, 138.8837
125.000000, 79.124, 138.8153
126.500000, 79.056, 138.6797
128.000000, 78.988, 138.5020
131.500000, 78.826, 138.2110
132.000000, 78.805, 138.1807
134.000000, 78.721, 138.0402
136.000000, 78.632, 137.8634
138.000000, 78.539, 137.7390
140.000000, 78.451, 137.6358
143.000000, 78.330, 137.4999
145.000000, 78.245, 137.4078
147.500000, 78.140, 137.2314
150.000000, 78.030, 137.1342
152.500000, 77.926, 137.3787
155.000000, 77.827, 137.8969
157.500000, 77.725, 137.8851
160.000000, 77.628, 137.5569
162.500000, 77.539, 137.6170
165.000000, 77.465, 137.8053
167.500000, 77.397, 138.0212
170.000000, 77.341, 138.2465
172.500000, 77.302, 138.3777
