* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jan 24, 2025 10:22:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EDC Pro (Stock Shall) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 90.590, -160.2584
20.600000, 90.696, -162.0476
20.900000, 90.796, -163.4157
21.200001, 90.853, -163.9512
21.400000, 90.863, -163.8763
21.799999, 90.838, -163.1371
22.000000, 90.809, -162.7680
22.400000, 90.725, -162.7433
22.700001, 90.629, -163.6567
23.000000, 90.503, -165.3145
23.299999, 90.364, -167.3479
23.600000, 90.248, -169.2223
24.000000, 90.203, -170.7064
24.299999, 90.289, -170.8884
24.700001, 90.544, -170.3878
25.000000, 90.767, -169.9966
25.400000, 90.974, -169.9664
25.799999, 90.983, -170.5062
26.200001, 90.799, -171.2289
26.500000, 90.597, -171.6336
26.900000, 90.369, -171.8660
27.200001, 90.289, -171.9181
27.600000, 90.314, -172.1016
28.000000, 90.414, -172.5907
28.500000, 90.498, -173.4833
29.000000, 90.474, -174.3047
29.500000, 90.401, -174.9174
30.000000, 90.372, -175.5063
30.400000, 90.404, -176.0708
30.700001, 90.452, -176.5283
31.100000, 90.527, -177.1088
31.500000, 90.586, -177.5898
32.000000, 90.604, -178.0567
32.500000, 90.535, -178.4535
33.000000, 90.378, -178.8006
33.500000, 90.179, -179.0180
34.000000, 90.015, -179.0932
34.500000, 89.964, -179.2708
35.000000, 90.032, -179.9442
35.500000, 90.144, 178.7746
36.000000, 90.200, 177.2891
36.500000, 90.160, 176.2329
37.000000, 90.053, 175.9145
37.500000, 89.933, 176.0343
38.200001, 89.762, 175.9518
38.700001, 89.634, 175.6220
39.500000, 89.554, 175.4172
40.000000, 89.622, 175.3994
40.599998, 89.685, 175.0618
41.200001, 89.591, 174.6261
41.799999, 89.433, 174.5150
42.500000, 89.454, 174.0978
43.099998, 89.624, 172.7310
43.700001, 89.707, 171.1943
44.400002, 89.629, 170.9346
45.000000, 89.583, 171.8751
45.500000, 89.618, 172.3288
46.200001, 89.643, 171.6466
46.799999, 89.552, 170.6849
47.500000, 89.391, 170.2272
48.200001, 89.281, 170.1089
48.700001, 89.232, 169.7858
49.400002, 89.200, 169.0057
50.000000, 89.223, 168.1918
50.799999, 89.225, 167.0837
51.500000, 89.088, 166.6735
52.200001, 88.904, 166.9629
53.000000, 88.786, 166.9678
53.799999, 88.734, 166.1382
54.500000, 88.727, 165.6128
55.200001, 88.764, 165.5818
56.000000, 88.777, 165.8182
57.000000, 88.723, 165.9305
58.000000, 88.631, 165.2654
59.000000, 88.461, 165.2037
60.000000, 88.354, 165.6830
60.799999, 88.317, 164.9999
61.500000, 88.288, 163.7663
62.200001, 88.254, 162.6970
63.000000, 88.218, 162.2790
64.000000, 88.210, 162.2782
65.000000, 88.175, 161.7906
66.000000, 88.030, 161.5758
67.000000, 87.887, 161.9664
68.000000, 87.838, 161.8768
69.000000, 87.796, 161.3585
70.000000, 87.750, 161.1515
71.000000, 87.755, 160.8875
72.000000, 87.756, 160.4610
73.000000, 87.692, 159.9203
74.000000, 87.560, 159.2925
75.000000, 87.449, 159.2214
76.199997, 87.371, 159.4899
77.500000, 87.250, 159.0603
78.800003, 87.156, 158.8577
80.000000, 87.156, 159.2827
81.199997, 87.223, 159.1005
82.500000, 87.207, 159.0507
83.800003, 87.076, 158.9760
85.000000, 86.896, 158.5170
86.199997, 86.755, 158.5921
87.500000, 86.651, 158.5982
88.500000, 86.602, 158.1754
90.000000, 86.529, 157.5234
91.199997, 86.507, 157.3636
92.500000, 86.517, 157.5111
93.800003, 86.443, 157.7836
95.000000, 86.327, 157.9437
96.199997, 86.248, 158.0403
97.500000, 86.196, 158.2855
98.800003, 86.124, 158.4346
100.000000, 86.016, 158.3282
101.500000, 85.852, 158.0959
103.000000, 85.754, 157.9273
104.400002, 85.726, 157.8388
106.000000, 85.664, 157.9475
