* Measurement data measured by REW V5.40 beta 98
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Aug 27, 2025 11:27:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EO-IG955BBE L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.276, 46.7464
20.600000, 83.314, 46.4939
20.900000, 83.372, 46.0760
21.200001, 83.436, 45.5073
21.400000, 83.476, 45.0786
21.799999, 83.539, 44.2521
22.000000, 83.562, 43.9203
22.400000, 83.603, 43.5055
22.700001, 83.641, 43.3863
23.000000, 83.691, 43.3397
23.299999, 83.753, 43.2606
23.600000, 83.818, 43.0720
24.000000, 83.897, 42.6217
24.299999, 83.942, 42.1802
24.700001, 83.986, 41.5637
25.000000, 84.009, 41.1396
25.400000, 84.034, 40.6593
25.799999, 84.053, 40.2672
26.200001, 84.069, 39.9409
26.500000, 84.082, 39.7274
26.900000, 84.111, 39.4576
27.200001, 84.146, 39.2360
27.600000, 84.210, 38.8712
28.000000, 84.277, 38.4216
28.500000, 84.336, 37.8560
29.000000, 84.354, 37.4920
29.500000, 84.357, 37.3824
30.000000, 84.380, 37.2976
30.400000, 84.416, 37.0537
30.700001, 84.442, 36.7465
31.100000, 84.467, 36.2564
31.500000, 84.477, 35.8329
32.000000, 84.484, 35.5594
32.500000, 84.509, 35.5132
33.000000, 84.555, 35.4539
33.500000, 84.608, 35.2141
34.000000, 84.654, 34.8078
34.500000, 84.693, 34.3433
35.000000, 84.720, 33.9223
35.500000, 84.730, 33.6264
36.000000, 84.731, 33.5004
36.500000, 84.742, 33.4887
37.000000, 84.778, 33.4268
37.500000, 84.827, 33.1764
38.200001, 84.862, 32.6155
38.700001, 84.848, 32.3021
39.500000, 84.821, 32.1244
40.000000, 84.835, 32.0268
40.599998, 84.883, 31.7653
41.200001, 84.941, 31.4244
41.799999, 84.997, 31.1307
42.500000, 85.049, 30.8464
43.099998, 85.073, 30.6013
43.700001, 85.075, 30.3759
44.400002, 85.065, 30.1698
45.000000, 85.060, 29.9647
45.500000, 85.066, 29.7020
46.200001, 85.089, 29.2585
46.799999, 85.121, 29.0375
47.500000, 85.171, 29.1533
48.200001, 85.212, 29.4253
48.700001, 85.217, 29.4582
49.400002, 85.187, 29.1505
50.000000, 85.163, 28.7222
50.799999, 85.179, 28.2598
51.500000, 85.216, 28.0607
52.200001, 85.224, 27.9878
53.000000, 85.211, 27.9222
53.799999, 85.223, 27.7596
54.500000, 85.248, 27.6109
55.200001, 85.262, 27.5923
56.000000, 85.267, 27.6158
57.000000, 85.247, 27.3764
58.000000, 85.186, 27.3224
59.000000, 85.197, 27.3759
60.000000, 85.284, 26.9170
60.799999, 85.347, 26.6690
61.500000, 85.373, 26.7533
62.200001, 85.373, 26.9708
63.000000, 85.375, 27.1120
64.000000, 85.408, 26.9379
65.000000, 85.426, 26.6105
66.000000, 85.416, 26.2662
67.000000, 85.419, 26.0908
68.000000, 85.469, 26.2368
69.000000, 85.512, 26.2167
70.000000, 85.506, 25.9434
71.000000, 85.485, 25.6931
72.000000, 85.464, 25.5854
73.000000, 85.464, 25.5843
74.000000, 85.485, 25.5985
75.000000, 85.503, 25.5525
76.199997, 85.523, 25.3767
77.500000, 85.561, 25.3342
78.800003, 85.576, 25.3819
80.000000, 85.588, 25.2905
81.199997, 85.596, 25.2548
82.500000, 85.598, 25.1930
83.800003, 85.589, 24.9238
85.000000, 85.568, 25.0007
86.199997, 85.586, 25.2360
87.500000, 85.611, 25.2600
88.500000, 85.603, 25.2608
90.000000, 85.603, 25.1247
91.199997, 85.619, 25.0210
92.500000, 85.639, 24.9512
93.800003, 85.649, 24.8474
95.000000, 85.644, 24.8718
96.199997, 85.642, 24.9012
97.500000, 85.645, 24.8260
98.800003, 85.651, 24.8127
100.000000, 85.672, 25.1620
101.500000, 85.714, 25.6608
103.000000, 85.708, 25.4385
104.400002, 85.689, 25.0667
106.000000, 85.685, 25.0651
107.500000, 85.693, 25.2535
109.000000, 85.699, 25.1999
110.599998, 85.695, 25.0793
112.000000, 85.702, 25.1178
113.800003, 85.714, 25.3367
115.000000, 85.719, 25.4194
117.199997, 85.733, 25.4688
118.000000, 85.734, 25.4981
120.599998, 85.731, 25.6161
122.000000, 85.736, 25.5710
124.099998, 85.733, 25.5875
125.000000, 85.732, 25.5936
126.500000, 85.733, 25.5842
128.000000, 85.738, 25.5887
131.500000, 85.755, 25.7545
132.000000, 85.758, 25.7898
134.000000, 85.761, 25.9009
136.000000, 85.758, 25.9660
138.000000, 85.764, 26.0318
140.000000, 85.772, 26.1298
143.000000, 85.788, 26.2681
145.000000, 85.788, 26.4826
147.500000, 85.775, 26.6987
150.000000, 85.768, 26.7309
152.500000, 85.765, 26.9090
155.000000, 85.759, 27.0438
157.500000, 85.757, 27.1764
160.000000, 85.762, 27.2908
162.500000, 85.757, 27.4194
165.000000, 85.748, 27.4936
167.500000, 85.753, 27.6848
170.000000, 85.763, 27.8631
172.500000, 85.765, 28.0099
175.000000, 85.763, 28.2250
177.500000, 85.762, 28.3716
180.000000, 85.776, 28.5028
182.500000, 85.786, 28.6238
185.000000, 85.782, 28.8120
187.500000, 85.766, 28.9851
190.000000, 85.740, 29.1487
192.500000, 85.723, 29.3052
195.000000, 85.719, 29.4718
197.500000, 85.723, 29.6275
200.000000, 85.718, 29.8575
203.000000, 85.712, 30.1222
206.000000, 85.706, 30.2978
209.000000, 85.709, 30.5134
