* Measurement data measured by REW V5.40 beta 98
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Aug 27, 2025 11:27:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EO-IG955BBE R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 86.182, 83.8513
20.600000, 86.275, 83.8590
20.900000, 86.385, 83.7574
21.200001, 86.494, 83.5550
21.400000, 86.565, 83.3899
21.799999, 86.711, 83.0582
22.000000, 86.788, 82.9108
22.400000, 86.953, 82.6495
22.700001, 87.084, 82.4516
23.000000, 87.215, 82.2231
23.299999, 87.337, 81.9595
23.600000, 87.447, 81.6824
24.000000, 87.575, 81.3530
24.299999, 87.664, 81.1718
24.700001, 87.784, 81.0214
25.000000, 87.882, 80.9477
25.400000, 88.018, 80.8471
25.799999, 88.153, 80.7139
26.200001, 88.279, 80.5574
26.500000, 88.368, 80.4366
26.900000, 88.485, 80.2643
27.200001, 88.574, 80.1073
27.600000, 88.694, 79.8378
28.000000, 88.810, 79.5139
28.500000, 88.943, 79.1339
29.000000, 89.070, 78.9012
29.500000, 89.208, 78.8028
30.000000, 89.358, 78.6898
30.400000, 89.475, 78.5068
30.700001, 89.555, 78.3178
31.100000, 89.647, 78.0384
31.500000, 89.729, 77.7812
32.000000, 89.833, 77.5232
32.500000, 89.952, 77.3032
33.000000, 90.086, 77.0779
33.500000, 90.226, 76.8557
34.000000, 90.365, 76.6740
34.500000, 90.498, 76.5421
35.000000, 90.617, 76.4314
35.500000, 90.717, 76.3111
36.000000, 90.800, 76.1726
36.500000, 90.879, 76.0169
37.000000, 90.966, 75.8366
37.500000, 91.067, 75.6235
38.200001, 91.222, 75.2885
38.700001, 91.328, 75.0491
39.500000, 91.478, 74.6813
40.000000, 91.562, 74.4540
40.599998, 91.668, 74.1927
41.200001, 91.789, 73.9541
41.799999, 91.923, 73.7291
42.500000, 92.071, 73.4828
43.099998, 92.177, 73.3122
43.700001, 92.270, 73.1815
44.400002, 92.380, 73.0219
45.000000, 92.479, 72.8449
45.500000, 92.564, 72.6778
46.200001, 92.682, 72.4301
46.799999, 92.781, 72.1972
47.500000, 92.893, 71.8976
48.200001, 93.002, 71.5970
48.700001, 93.078, 71.4036
49.400002, 93.181, 71.1855
50.000000, 93.267, 71.0504
50.799999, 93.378, 70.8975
51.500000, 93.474, 70.7320
52.200001, 93.568, 70.5307
53.000000, 93.677, 70.3000
53.799999, 93.790, 70.0967
54.500000, 93.889, 69.9213
55.200001, 93.986, 69.7012
56.000000, 94.089, 69.3713
57.000000, 94.211, 68.9677
58.000000, 94.333, 68.7312
59.000000, 94.456, 68.5391
60.000000, 94.574, 68.2192
60.799999, 94.666, 67.9526
61.500000, 94.750, 67.7799
62.200001, 94.835, 67.6379
63.000000, 94.928, 67.4576
64.000000, 95.046, 67.1956
65.000000, 95.162, 66.9083
66.000000, 95.256, 66.6314
67.000000, 95.340, 66.3920
68.000000, 95.440, 66.1549
69.000000, 95.548, 65.8658
70.000000, 95.648, 65.5203
71.000000, 95.745, 65.2114
72.000000, 95.849, 64.9853
73.000000, 95.947, 64.7519
74.000000, 96.034, 64.4823
75.000000, 96.124, 64.2291
76.199997, 96.234, 63.8931
77.500000, 96.345, 63.4755
78.800003, 96.457, 63.1686
80.000000, 96.554, 62.9383
81.199997, 96.650, 62.6983
82.500000, 96.760, 62.4314
83.800003, 96.867, 62.1021
85.000000, 96.962, 61.7527
86.199997, 97.055, 61.4407
87.500000, 97.152, 61.1010
88.500000, 97.225, 60.8595
90.000000, 97.330, 60.5236
91.199997, 97.414, 60.2492
92.500000, 97.511, 59.9877
93.800003, 97.602, 59.6855
95.000000, 97.681, 59.3985
96.199997, 97.757, 59.1124
97.500000, 97.837, 58.7995
98.800003, 97.922, 58.5388
100.000000, 98.000, 58.3175
101.500000, 98.086, 57.9628
103.000000, 98.170, 57.5794
104.400002, 98.248, 57.2490
106.000000, 98.341, 56.8789
107.500000, 98.432, 56.5146
109.000000, 98.518, 56.1554
110.599998, 98.604, 55.7942
112.000000, 98.678, 55.5123
113.800003, 98.765, 55.1438
115.000000, 98.822, 54.8837
117.199997, 98.931, 54.4220
118.000000, 98.971, 54.2512
120.599998, 99.094, 53.7181
122.000000, 99.158, 53.4343
124.099998, 99.254, 52.9883
125.000000, 99.294, 52.8053
126.500000, 99.360, 52.5082
128.000000, 99.422, 52.2004
