* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 25, 2024 11:14:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Gate (Final E MS) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 76.574, -158.6898
20.600000, 76.621, -159.1191
20.900000, 76.648, -159.4629
21.200001, 76.644, -159.6254
21.400000, 76.626, -159.6277
21.799999, 76.586, -159.4866
22.000000, 76.574, -159.4388
22.400000, 76.586, -159.6636
22.700001, 76.613, -160.2524
23.000000, 76.634, -161.1848
23.299999, 76.632, -162.3085
23.600000, 76.600, -163.4129
24.000000, 76.529, -164.5570
24.299999, 76.483, -165.1065
24.700001, 76.466, -165.6074
25.000000, 76.492, -166.0101
25.400000, 76.556, -166.7468
25.799999, 76.619, -167.5774
26.200001, 76.666, -168.1357
26.500000, 76.699, -168.1948
26.900000, 76.755, -167.8014
27.200001, 76.802, -167.3190
27.600000, 76.843, -166.7505
28.000000, 76.821, -166.5063
28.500000, 76.694, -166.7162
29.000000, 76.539, -167.3723
29.500000, 76.470, -168.4319
30.000000, 76.496, -169.8363
30.400000, 76.516, -170.9521
30.700001, 76.499, -171.5667
31.100000, 76.436, -171.8861
31.500000, 76.377, -171.6542
32.000000, 76.404, -171.2069
32.500000, 76.551, -171.5265
33.000000, 76.691, -172.8606
33.500000, 76.686, -174.4117
34.000000, 76.517, -175.1079
34.500000, 76.292, -174.5096
35.000000, 76.165, -173.2614
35.500000, 76.197, -172.5315
36.000000, 76.329, -172.8983
36.500000, 76.473, -173.9986
37.000000, 76.580, -175.1467
37.500000, 76.631, -175.9446
38.200001, 76.589, -176.5048
38.700001, 76.489, -176.6899
39.500000, 76.325, -176.9511
40.000000, 76.265, -177.3714
40.599998, 76.186, -178.2224
41.200001, 76.051, -179.0023
41.799999, 75.931, -179.2673
42.500000, 75.940, -179.2829
43.099998, 76.020, -179.4926
43.700001, 76.068, -179.6878
44.400002, 76.100, -179.7279
45.000000, 76.135, 179.8870
45.500000, 76.119, 179.2157
46.200001, 75.973, 178.5361
46.799999, 75.810, 178.6547
47.500000, 75.684, 178.7903
48.200001, 75.598, 178.2323
48.700001, 75.568, 177.8502
49.400002, 75.639, 177.8847
50.000000, 75.760, 178.1243
50.799999, 75.785, 178.1276
51.500000, 75.677, 177.8909
52.200001, 75.594, 177.4468
53.000000, 75.520, 177.0586
53.799999, 75.390, 177.5122
54.500000, 75.318, 177.9089
55.200001, 75.336, 177.2119
56.000000, 75.392, 175.8348
57.000000, 75.420, 175.3665
58.000000, 75.335, 174.9999
59.000000, 75.238, 173.8333
60.000000, 75.290, 173.8635
60.799999, 75.286, 174.7854
61.500000, 75.196, 175.1958
62.200001, 75.118, 174.5984
63.000000, 75.120, 173.3025
64.000000, 75.175, 173.0446
65.000000, 75.180, 173.9479
66.000000, 75.128, 173.8732
67.000000, 75.065, 173.5335
68.000000, 75.008, 173.5967
69.000000, 74.887, 173.2097
70.000000, 74.790, 172.8947
71.000000, 74.790, 173.1588
72.000000, 74.748, 173.5916
73.000000, 74.673, 173.8284
74.000000, 74.659, 173.7927
75.000000, 74.690, 173.7380
76.199997, 74.667, 173.5075
77.500000, 74.507, 173.1186
78.800003, 74.423, 172.1736
80.000000, 74.394, 171.5547
81.199997, 74.366, 171.6978
82.500000, 74.270, 171.4807
83.800003, 74.170, 171.7443
85.000000, 74.113, 172.0325
86.199997, 74.091, 171.7546
87.500000, 74.109, 171.8995
88.500000, 74.081, 172.2877
90.000000, 73.985, 172.3223
91.199997, 73.986, 172.2358
92.500000, 73.968, 172.1977
93.800003, 73.846, 172.2951
95.000000, 73.735, 172.3870
96.199997, 73.640, 172.1286
97.500000, 73.606, 172.1404
98.800003, 73.634, 172.2635
100.000000, 73.644, 171.9037
101.500000, 73.604, 171.6203
103.000000, 73.512, 171.9903
104.400002, 73.442, 172.3622
106.000000, 73.387, 172.7427
107.500000, 73.308, 172.7983
109.000000, 73.235, 172.7727
110.599998, 73.178, 172.7627
112.000000, 73.118, 172.6526
113.800003, 73.042, 172.7674
115.000000, 73.010, 172.9791
117.199997, 72.965, 173.0544
118.000000, 72.945, 173.1122
120.599998, 72.851, 173.3552
122.000000, 72.808, 173.4958
124.099998, 72.747, 173.9022
125.000000, 72.708, 174.0804
126.500000, 72.642, 174.2876
128.000000, 72.608, 174.4372
131.500000, 72.576, 174.4452
132.000000, 72.568, 174.4817
134.000000, 72.488, 174.6987
136.000000, 72.399, 174.8729
138.000000, 72.354, 175.0688
140.000000, 72.304, 175.1737
