* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 25, 2024 11:11:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Gate (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 77.184, -160.6839
20.600000, 77.181, -160.7260
20.900000, 77.177, -160.8016
21.200001, 77.175, -160.9941
21.400000, 77.174, -161.2278
21.799999, 77.157, -161.9730
22.000000, 77.135, -162.4546
22.400000, 77.058, -163.4800
22.700001, 76.983, -164.1700
23.000000, 76.917, -164.7235
23.299999, 76.878, -165.1618
23.600000, 76.879, -165.5655
24.000000, 76.936, -166.1981
24.299999, 77.003, -166.7839
24.700001, 77.095, -167.6406
25.000000, 77.155, -168.2463
25.400000, 77.218, -168.8931
25.799999, 77.259, -169.3145
26.200001, 77.272, -169.5223
26.500000, 77.260, -169.5527
26.900000, 77.227, -169.4637
27.200001, 77.201, -169.3645
27.600000, 77.185, -169.3564
28.000000, 77.193, -169.6810
28.500000, 77.207, -170.6257
29.000000, 77.182, -171.8174
29.500000, 77.114, -172.7177
30.000000, 77.034, -173.1188
30.400000, 76.973, -173.2151
30.700001, 76.928, -173.2545
31.100000, 76.871, -173.3089
31.500000, 76.833, -173.3488
32.000000, 76.859, -173.3735
32.500000, 76.982, -173.5054
33.000000, 77.141, -173.9011
33.500000, 77.238, -174.5352
34.000000, 77.220, -175.2535
34.500000, 77.107, -175.9380
35.000000, 76.973, -176.5605
35.500000, 76.900, -177.1380
36.000000, 76.916, -177.6901
36.500000, 76.974, -178.2005
37.000000, 76.992, -178.5875
37.500000, 76.928, -178.7696
38.200001, 76.771, -178.8871
38.700001, 76.703, -179.2619
39.500000, 76.718, -180.4352
40.000000, 76.772, -181.0020
40.599998, 76.849, -181.2506
41.200001, 76.881, -181.4346
41.799999, 76.806, -181.7974
42.500000, 76.643, -182.0325
43.099998, 76.583, -181.9705
43.700001, 76.623, -182.2017
44.400002, 76.643, -183.2139
45.000000, 76.559, -184.1589
45.500000, 76.467, -184.4455
