* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 30, 2024 12:34:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hexa (Beige Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 78.317, -3.6554
20.600000, 78.281, -4.0252
20.900000, 78.247, -4.3793
21.200001, 78.223, -4.7113
21.400000, 78.214, -4.9372
21.799999, 78.202, -5.4325
22.000000, 78.193, -5.7050
22.400000, 78.159, -6.2752
22.700001, 78.116, -6.6905
23.000000, 78.061, -7.0689
23.299999, 78.004, -7.4059
23.600000, 77.955, -7.7189
24.000000, 77.912, -8.1533
24.299999, 77.899, -8.5251
24.700001, 77.897, -9.0862
25.000000, 77.897, -9.5230
25.400000, 77.888, -10.0533
25.799999, 77.863, -10.4662
26.200001, 77.828, -10.7688
26.500000, 77.799, -10.9700
26.900000, 77.761, -11.2830
27.200001, 77.732, -11.5839
27.600000, 77.694, -12.0606
28.000000, 77.654, -12.5464
28.500000, 77.611, -13.0251
29.000000, 77.585, -13.3167
29.500000, 77.573, -13.5492
30.000000, 77.552, -13.8862
30.400000, 77.515, -14.2557
30.700001, 77.475, -14.5591
31.100000, 77.413, -14.9446
31.500000, 77.355, -15.2715
32.000000, 77.303, -15.6093
32.500000, 77.269, -15.9258
33.000000, 77.235, -16.2481
33.500000, 77.191, -16.5555
34.000000, 77.143, -16.8417
34.500000, 77.100, -17.1422
35.000000, 77.063, -17.4847
35.500000, 77.025, -17.8394
36.000000, 76.981, -18.1457
36.500000, 76.937, -18.3802
37.000000, 76.896, -18.5805
37.500000, 76.858, -18.8041
38.200001, 76.805, -19.1934
38.700001, 76.762, -19.4934
39.500000, 76.689, -19.9339
40.000000, 76.646, -20.1761
40.599998, 76.599, -20.4478
41.200001, 76.554, -20.7065
41.799999, 76.510, -20.9452
42.500000, 76.455, -21.1984
43.099998, 76.405, -21.4147
43.700001, 76.355, -21.6447
44.400002, 76.299, -21.9194
45.000000, 76.255, -22.1460
45.500000, 76.220, -22.3229
46.200001, 76.172, -22.5377
46.799999, 76.133, -22.6873
47.500000, 76.091, -22.8713
48.200001, 76.046, -23.1270
48.700001, 76.006, -23.3338
49.400002, 75.944, -23.5780
50.000000, 75.896, -23.7207
50.799999, 75.843, -23.8805
51.500000, 75.795, -24.0386
52.200001, 75.746, -24.2286
53.000000, 75.696, -24.5044
53.799999, 75.645, -24.7671
54.500000, 75.599, -24.8951
55.200001, 75.554, -24.9736
56.000000, 75.501, -25.1162
57.000000, 75.437, -25.3316
58.000000, 75.383, -25.4981
59.000000, 75.326, -25.6977
60.000000, 75.263, -25.9153
60.799999, 75.218, -26.0572
61.500000, 75.181, -26.1719
62.200001, 75.138, -26.2878
