* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 30, 2024 12:54:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hexa (Black Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 78.279, 2.1790
20.600000, 78.033, 1.1865
20.900000, 77.816, -0.4114
21.200001, 77.694, -2.3294
21.400000, 77.672, -3.6071
21.799999, 77.743, -5.7493
22.000000, 77.815, -6.4984
22.400000, 77.972, -7.2985
22.700001, 78.065, -7.4018
23.000000, 78.117, -7.2564
23.299999, 78.122, -7.0340
23.600000, 78.084, -6.8789
24.000000, 77.990, -6.9323
24.299999, 77.910, -7.1993
24.700001, 77.819, -7.7903
25.000000, 77.776, -8.3179
25.400000, 77.751, -8.9938
25.799999, 77.747, -9.5397
26.200001, 77.742, -9.9354
26.500000, 77.728, -10.1632
26.900000, 77.693, -10.4375
27.200001, 77.659, -10.6589
27.600000, 77.613, -11.0035
28.000000, 77.577, -11.3959
28.500000, 77.542, -11.8891
29.000000, 77.509, -12.3108
29.500000, 77.463, -12.6572
30.000000, 77.407, -13.0072
30.400000, 77.363, -13.3452
30.700001, 77.335, -13.6374
31.100000, 77.306, -14.0481
31.500000, 77.284, -14.4288
32.000000, 77.259, -14.7945
32.500000, 77.225, -15.0440
33.000000, 77.178, -15.2687
33.500000, 77.124, -15.5616
34.000000, 77.073, -15.9332
34.500000, 77.034, -16.3120
35.000000, 77.004, -16.6208
35.500000, 76.974, -16.8515
36.000000, 76.934, -17.0633
36.500000, 76.883, -17.3213
37.000000, 76.831, -17.6389
37.500000, 76.788, -17.9713
38.200001, 76.746, -18.3592
38.700001, 76.717, -18.5683
39.500000, 76.649, -18.8985
40.000000, 76.601, -19.1608
40.599998, 76.555, -19.5086
41.200001, 76.521, -19.8016
41.799999, 76.487, -19.9894
42.500000, 76.430, -20.1635
43.099998, 76.370, -20.3894
43.700001, 76.318, -20.6881
44.400002, 76.277, -21.0044
45.000000, 76.249, -21.1939
45.500000, 76.214, -21.3321
46.200001, 76.145, -21.5653
46.799999, 76.086, -21.7842
47.500000, 76.042, -21.9734
48.200001, 76.018, -22.0713
48.700001, 75.994, -22.1416
49.400002, 75.941, -22.3407
50.000000, 75.890, -22.6220
50.799999, 75.838, -23.0049
51.500000, 75.800, -23.2050
52.200001, 75.750, -23.3172
53.000000, 75.681, -23.4998
53.799999, 75.627, -23.7494
54.500000, 75.597, -23.9196
55.200001, 75.563, -24.0289
56.000000, 75.504, -24.1996
57.000000, 75.428, -24.5565
58.000000, 75.368, -24.7731
59.000000, 75.308, -24.7740
60.000000, 75.247, -24.8711
60.799999, 75.208, -25.0370
61.500000, 75.175, -25.1846
62.200001, 75.134, -25.3165
63.000000, 75.083, -25.4521
64.000000, 75.033, -25.6224
65.000000, 74.982, -25.7779
66.000000, 74.921, -25.9067
67.000000, 74.865, -26.0028
68.000000, 74.813, -26.0588
69.000000, 74.763, -26.1992
70.000000, 74.715, -26.3854
71.000000, 74.670, -26.4805
72.000000, 74.621, -26.5511
73.000000, 74.574, -26.6311
74.000000, 74.532, -26.7025
75.000000, 74.482, -26.8118
76.199997, 74.423, -26.9902
77.500000, 74.366, -27.0781
78.800003, 74.304, -27.1337
80.000000, 74.252, -27.2327
81.199997, 74.196, -27.2602
82.500000, 74.143, -27.3257
83.800003, 74.096, -27.4055
85.000000, 74.039, -27.4719
86.199997, 73.987, -27.5672
87.500000, 73.941, -27.6207
88.500000, 73.903, -27.6600
90.000000, 73.848, -27.6877
91.199997, 73.803, -27.6730
92.500000, 73.755, -27.7303
93.800003, 73.709, -27.8133
95.000000, 73.666, -27.8384
96.199997, 73.632, -27.8181
97.500000, 73.588, -27.8079
98.800003, 73.533, -27.9112
100.000000, 73.487, -28.0043
101.500000, 73.440, -27.9568
103.000000, 73.403, -27.9465
104.400002, 73.375, -27.9747
106.000000, 73.339, -27.9500
107.500000, 73.295, -27.9480
109.000000, 73.246, -27.9527
110.599998, 73.191, -27.9655
112.000000, 73.148, -27.9868
113.800003, 73.103, -27.9965
115.000000, 73.067, -28.0064
117.199997, 73.000, -27.9780
118.000000, 72.982, -27.9768
120.599998, 72.925, -28.0070
122.000000, 72.895, -28.0170
124.099998, 72.853, -27.9748
125.000000, 72.834, -27.9412
