* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 6, 2024 4:39:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hexa (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 77.792, 2.2083
20.600000, 77.775, 1.9492
20.900000, 77.757, 1.6114
21.200001, 77.741, 1.2083
21.400000, 77.731, 0.9137
21.799999, 77.706, 0.3106
22.000000, 77.692, 0.0256
22.400000, 77.659, -0.4717
22.700001, 77.635, -0.7779
23.000000, 77.611, -1.0466
23.299999, 77.587, -1.3047
23.600000, 77.562, -1.5728
24.000000, 77.523, -1.9525
24.299999, 77.489, -2.2374
24.700001, 77.441, -2.5814
25.000000, 77.407, -2.7974
25.400000, 77.370, -3.0367
25.799999, 77.342, -3.2576
26.200001, 77.319, -3.5070
26.500000, 77.300, -3.7294
26.900000, 77.268, -4.0705
27.200001, 77.238, -4.3439
27.600000, 77.193, -4.6990
28.000000, 77.146, -5.0112
28.500000, 77.098, -5.3205
29.000000, 77.065, -5.5683
29.500000, 77.043, -5.8151
30.000000, 77.021, -6.0974
30.400000, 76.995, -6.3385
30.700001, 76.970, -6.5131
31.100000, 76.933, -6.7234
31.500000, 76.897, -6.9079
32.000000, 76.855, -7.1271
32.500000, 76.814, -7.3609
33.000000, 76.769, -7.5990
33.500000, 76.720, -7.8028
34.000000, 76.676, -7.9657
34.500000, 76.642, -8.1392
35.000000, 76.613, -8.3806
35.500000, 76.576, -8.6779
36.000000, 76.530, -8.9556
36.500000, 76.484, -9.1598
37.000000, 76.451, -9.3168
37.500000, 76.426, -9.4875
38.200001, 76.378, -9.7431
38.700001, 76.325, -9.8510
39.500000, 76.238, -9.8677
40.000000, 76.201, -9.8873
40.599998, 76.173, -9.9964
41.200001, 76.152, -10.1519
41.799999, 76.123, -10.2759
42.500000, 76.065, -10.3379
43.099998, 76.002, -10.3628
43.700001, 75.944, -10.4653
44.400002, 75.891, -10.7563
45.000000, 75.851, -11.0447
45.500000, 75.822, -11.2137
46.200001, 75.791, -11.3531
46.799999, 75.763, -11.4761
47.500000, 75.711, -11.6004
48.200001, 75.654, -11.5976
48.700001, 75.619, -11.5605
49.400002, 75.571, -11.5920
50.000000, 75.518, -11.7049
50.799999, 75.445, -11.8355
51.500000, 75.402, -11.8778
52.200001, 75.376, -11.8864
53.000000, 75.338, -11.8650
53.799999, 75.291, -11.8173
54.500000, 75.256, -11.8178
55.200001, 75.223, -11.9085
56.000000, 75.169, -12.0616
57.000000, 75.087, -12.1901
58.000000, 75.024, -12.2905
59.000000, 74.971, -12.2847
60.000000, 74.925, -12.1206
60.799999, 74.889, -12.0071
61.500000, 74.854, -11.9613
62.200001, 74.817, -11.9565
63.000000, 74.770, -11.9711
64.000000, 74.712, -11.9606
65.000000, 74.654, -11.9274
66.000000, 74.593, -11.9142
67.000000, 74.548, -11.9598
68.000000, 74.509, -11.9388
69.000000, 74.460, -11.7423
70.000000, 74.405, -11.5809
71.000000, 74.364, -11.5856
72.000000, 74.330, -11.5908
73.000000, 74.281, -11.4786
74.000000, 74.229, -11.4332
75.000000, 74.187, -11.4902
76.199997, 74.158, -11.3646
77.500000, 74.128, -11.1591
78.800003, 74.060, -11.0625
80.000000, 73.997, -10.9041
81.199997, 73.945, -10.7682
82.500000, 73.886, -10.6500
83.800003, 73.835, -10.5266
85.000000, 73.789, -10.3540
86.199997, 73.748, -10.1601
87.500000, 73.699, -10.0347
88.500000, 73.655, -9.9619
90.000000, 73.596, -9.8295
91.199997, 73.567, -9.6317
92.500000, 73.540, -9.4143
93.800003, 73.496, -9.3205
95.000000, 73.449, -9.2388
96.199997, 73.413, -9.0824
97.500000, 73.380, -8.9117
98.800003, 73.332, -8.7810
100.000000, 73.281, -8.6004
101.500000, 73.233, -8.3433
103.000000, 73.202, -8.1329
104.400002, 73.166, -7.9689
106.000000, 73.119, -7.6980
107.500000, 73.084, -7.4932
109.000000, 73.046, -7.2580
110.599998, 72.999, -6.9764
112.000000, 72.953, -6.7622
113.800003, 72.902, -6.5052
115.000000, 72.872, -6.3438
117.199997, 72.820, -6.1828
118.000000, 72.804, -6.1296
120.599998, 72.742, -5.8039
122.000000, 72.706, -5.6076
124.099998, 72.660, -5.2008
125.000000, 72.645, -5.0395
126.500000, 72.618, -4.8365
128.000000, 72.582, -4.6578
131.500000, 72.506, -4.1190
132.000000, 72.497, -4.0457
134.000000, 72.477, -3.7825
136.000000, 72.459, -3.5297
138.000000, 72.424, -3.2800
140.000000, 72.385, -3.0458
143.000000, 72.320, -2.5878
145.000000, 72.285, -2.1966
147.500000, 72.253, -1.7281
150.000000, 72.224, -1.3662
152.500000, 72.177, -1.1278
155.000000, 72.125, -0.7755
157.500000, 72.079, -0.3762
160.000000, 72.038, 0.0221
162.500000, 72.005, 0.3207
165.000000, 71.986, 0.6171
167.500000, 71.969, 1.0051
170.000000, 71.943, 1.3891
172.500000, 71.907, 1.8113
175.000000, 71.874, 2.2314
177.500000, 71.844, 2.5492
180.000000, 71.814, 2.8607
182.500000, 71.782, 3.1192
185.000000, 71.755, 3.4365
187.500000, 71.728, 3.7802
190.000000, 71.689, 4.1211
192.500000, 71.657, 4.5309
195.000000, 71.642, 4.8616
197.500000, 71.626, 5.2066
200.000000, 71.609, 5.5643
203.000000, 71.586, 5.9249
206.000000, 71.553, 6.2362
209.000000, 71.516, 6.5341
212.000000, 71.487, 6.9002
214.000000, 71.476, 7.1729
218.000000, 71.466, 7.8063
220.000000, 71.454, 8.0777
224.000000, 71.422, 8.5562
227.000000, 71.403, 8.8797
230.000000, 71.379, 9.2482
233.000000, 71.348, 9.6738
236.000000, 71.322, 10.0932
240.000000, 71.295, 10.6002
243.000000, 71.282, 10.9228
247.000000, 71.262, 11.4069
250.000000, 71.243, 11.7748
254.000000, 71.221, 12.2776
258.000000, 71.189, 12.7316
262.000000, 71.154, 13.2140
265.000000, 71.134, 13.5769
269.000000, 71.112, 14.0798
272.000000, 71.095, 14.4283
276.000000, 71.073, 14.8423
280.000000, 71.048, 15.3208
285.000000, 71.018, 15.9122
290.000000, 71.004, 16.4528
295.000000, 70.980, 16.9801
300.000000, 70.946, 17.4855
304.000000, 70.925, 18.0007
307.000000, 70.915, 18.3870
311.000000, 70.901, 18.8374
315.000000, 70.881, 19.3057
320.000000, 70.854, 19.8505
325.000000, 70.824, 20.3820
330.000000, 70.791, 20.9841
335.000000, 70.771, 21.6137
340.000000, 70.756, 22.2211
345.000000, 70.745, 22.9099
350.000000, 70.731, 23.5028
355.000000, 70.718, 24.0379
360.000000, 70.719, 24.6515
365.000000, 70.728, 25.2025
370.000000, 70.720, 25.6542
375.000000, 70.710, 26.1492
382.000000, 70.690, 26.8660
387.000000, 70.680, 27.3490
395.000000, 70.670, 28.0932
400.000000, 70.653, 28.5495
406.000000, 70.635, 29.1345
412.000000, 70.619, 29.7173
418.000000, 70.611, 30.2682
425.000000, 70.593, 30.9697
431.000000, 70.571, 31.5597
437.000000, 70.547, 32.1711
444.000000, 70.523, 32.8235
450.000000, 70.508, 33.3943
455.000000, 70.499, 33.8816
462.000000, 70.485, 34.5459
468.000000, 70.472, 35.1570
475.000000, 70.452, 35.8491
482.000000, 70.435, 36.5176
487.000000, 70.423, 37.0273
494.000000, 70.410, 37.8044
500.000000, 70.402, 38.4329
508.000000, 70.384, 39.1497
515.000000, 70.362, 39.7777
522.000000, 70.344, 40.4175
530.000000, 70.323, 41.1942
538.000000, 70.298, 42.0423
545.000000, 70.284, 42.7630
552.000000, 70.274, 43.4776
560.000000, 70.261, 44.2527
570.000000, 70.246, 45.1318
580.000000, 70.233, 46.1235
590.000000, 70.211, 47.1770
600.000000, 70.193, 48.1525
608.000000, 70.184, 48.9241
615.000000, 70.179, 49.5618
622.000000, 70.172, 50.2247
630.000000, 70.156, 51.0224
640.000000, 70.136, 52.0022
650.000000, 70.123, 52.9885
660.000000, 70.116, 53.9998
670.000000, 70.116, 54.9563
680.000000, 70.110, 55.9277
690.000000, 70.103, 56.9487
700.000000, 70.095, 58.0135
710.000000, 70.087, 59.0360
720.000000, 70.083, 60.0544
730.000000, 70.081, 61.1068
740.000000, 70.077, 62.1483
750.000000, 70.081, 63.1876
762.000000, 70.096, 64.4317
775.000000, 70.108, 65.8071
788.000000, 70.126, 67.1860
800.000000, 70.145, 68.5015
812.000000, 70.170, 69.7604
825.000000, 70.203, 70.9999
838.000000, 70.227, 72.3058
850.000000, 70.246, 73.5454
862.000000, 70.273, 74.7748
875.000000, 70.317, 76.0727
885.000000, 70.357, 77.1095
900.000000, 70.413, 78.7620
912.000000, 70.464, 80.0975
925.000000, 70.534, 81.4678
938.000000, 70.614, 82.7279
950.000000, 70.687, 83.8815
962.000000, 70.758, 85.0243
975.000000, 70.844, 86.2340
988.000000, 70.943, 87.3678
1000.000000, 71.038, 88.4403
1015.000000, 71.147, 89.7679
1030.000000, 71.256, 91.0484
1044.000000, 71.364, 92.1496
1060.000000, 71.495, 93.2940
1075.000000, 71.619, 94.3431
1090.000000, 71.742, 95.3722
1106.000000, 71.875, 96.3893
1120.000000, 71.985, 97.1869
1138.000000, 72.128, 98.1345
1150.000000, 72.225, 98.7735
1172.000000, 72.395, 99.9138
1180.000000, 72.453, 100.2796
1206.000000, 72.641, 101.3836
1220.000000, 72.736, 101.9545
1241.000000, 72.869, 102.7770
1250.000000, 72.924, 103.1130
1265.000000, 73.016, 103.6718
1280.000000, 73.106, 104.2166
1315.000000, 73.294, 105.4291
1320.000000, 73.318, 105.6085
1340.000000, 73.410, 106.3240
1360.000000, 73.495, 107.0236
1380.000000, 73.576, 107.6886
1400.000000, 73.653, 108.3254
1430.000000, 73.763, 109.3319
1450.000000, 73.837, 110.0250
1475.000000, 73.924, 110.9026
1500.000000, 74.002, 111.7944
1525.000000, 74.076, 112.6575
1550.000000, 74.152, 113.5305
1575.000000, 74.229, 114.4323
1600.000000, 74.301, 115.3490
1625.000000, 74.374, 116.2679
1650.000000, 74.448, 117.1935
1675.000000, 74.524, 118.0798
1700.000000, 74.601, 119.0089
1725.000000, 74.674, 119.9324
1750.000000, 74.756, 120.8484
1775.000000, 74.840, 121.7904
1800.000000, 74.926, 122.7025
1825.000000, 75.010, 123.5992
1850.000000, 75.095, 124.4951
1875.000000, 75.186, 125.3751
1900.000000, 75.281, 126.2633
1925.000000, 75.377, 127.1380
1950.000000, 75.476, 128.0058
1975.000000, 75.583, 128.8620
