* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 6, 2024 4:25:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hexa (Velvet Wide M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 78.998, 3.3323
20.600000, 78.948, 2.4860
20.900000, 78.881, 1.5626
21.200001, 78.812, 0.7282
21.400000, 78.774, 0.2709
21.799999, 78.731, -0.3647
22.000000, 78.730, -0.5678
22.400000, 78.760, -0.9014
22.700001, 78.789, -1.2320
23.000000, 78.801, -1.7119
23.299999, 78.779, -2.3258
23.600000, 78.723, -2.9839
24.000000, 78.623, -3.7156
24.299999, 78.566, -4.0434
24.700001, 78.557, -4.2020
25.000000, 78.604, -4.2374
25.400000, 78.689, -4.3713
25.799999, 78.719, -4.6471
26.200001, 78.632, -4.8851
26.500000, 78.492, -4.8862
26.900000, 78.264, -4.5795
27.200001, 78.117, -4.2355
27.600000, 78.011, -3.9974
28.000000, 78.009, -4.3813
28.500000, 78.059, -5.7670
29.000000, 78.057, -7.4999
29.500000, 77.979, -8.8319
30.000000, 77.886, -9.6098
30.400000, 77.840, -10.0720
30.700001, 77.826, -10.4414
31.100000, 77.825, -10.9421
31.500000, 77.833, -11.2756
32.000000, 77.861, -11.1569
32.500000, 77.917, -10.4331
33.000000, 77.983, -9.5059
33.500000, 78.015, -8.8510
34.000000, 77.971, -8.6725
34.500000, 77.848, -8.8769
35.000000, 77.672, -9.2210
35.500000, 77.486, -9.4833
36.000000, 77.335, -9.6068
36.500000, 77.260, -9.7777
37.000000, 77.276, -10.3054
37.500000, 77.353, -11.3192
38.200001, 77.474, -12.9518
38.700001, 77.541, -13.4995
39.500000, 77.663, -12.7078
40.000000, 77.744, -11.7531
40.599998, 77.765, -11.0024
41.200001, 77.636, -10.9909
41.799999, 77.384, -11.5831
42.500000, 77.063, -12.4953
43.099998, 76.891, -12.7957
43.700001, 76.891, -12.4294
44.400002, 77.040, -12.0693
45.000000, 77.090, -12.6056
45.500000, 76.990, -13.4702
46.200001, 76.761, -14.4908
46.799999, 76.697, -15.0525
47.500000, 76.769, -15.7186
48.200001, 76.762, -15.7824
48.700001, 76.705, -15.0418
49.400002, 76.695, -13.8079
50.000000, 76.735, -13.7687
50.799999, 76.646, -14.4872
51.500000, 76.492, -13.9740
52.200001, 76.444, -12.7976
53.000000, 76.421, -12.6517
53.799999, 76.306, -13.4272
54.500000, 76.254, -13.8814
55.200001, 76.278, -14.0624
56.000000, 76.291, -13.9663
57.000000, 76.266, -13.7820
58.000000, 76.195, -14.4328
59.000000, 76.078, -14.8247
60.000000, 76.056, -14.3027
60.799999, 76.040, -14.1069
61.500000, 75.933, -14.2650
62.200001, 75.782, -14.3632
63.000000, 75.698, -14.3606
64.000000, 75.706, -14.7405
65.000000, 75.625, -15.0559
66.000000, 75.491, -14.8027
67.000000, 75.380, -14.0961
68.000000, 75.336, -13.2174
69.000000, 75.336, -13.1185
70.000000, 75.338, -13.7519
71.000000, 75.341, -14.4285
72.000000, 75.322, -14.6000
73.000000, 75.290, -14.1489
74.000000, 75.248, -13.4705
75.000000, 75.196, -13.2967
76.199997, 75.109, -13.7514
77.500000, 75.058, -14.0335
78.800003, 74.995, -13.8241
80.000000, 74.966, -13.0907
81.199997, 74.931, -13.0427
82.500000, 74.855, -13.3631
83.800003, 74.811, -13.3607
85.000000, 74.764, -13.0003
86.199997, 74.715, -12.8358
87.500000, 74.625, -12.8121
88.500000, 74.588, -12.6949
90.000000, 74.538, -12.7328
91.199997, 74.438, -12.8356
92.500000, 74.358, -12.6459
93.800003, 74.311, -12.2176
95.000000, 74.266, -12.1823
96.199997, 74.230, -12.0783
97.500000, 74.191, -11.7583
98.800003, 74.137, -11.5864
100.000000, 74.089, -11.3618
101.500000, 74.024, -11.1399
103.000000, 73.975, -11.0720
104.400002, 73.927, -11.0897
106.000000, 73.875, -11.0843
107.500000, 73.847, -10.7084
109.000000, 73.838, -10.3632
110.599998, 73.785, -10.0862
112.000000, 73.726, -9.8163
113.800003, 73.661, -9.4681
115.000000, 73.620, -9.2779
117.199997, 73.587, -9.0943
118.000000, 73.589, -9.0888
120.599998, 73.523, -8.7256
122.000000, 73.454, -8.4070
124.099998, 73.386, -7.8363
125.000000, 73.368, -7.7559
126.500000, 73.343, -7.6202
128.000000, 73.308, -7.3060
131.500000, 73.188, -6.8514
132.000000, 73.177, -6.7923
134.000000, 73.142, -6.4542
136.000000, 73.113, -6.1852
138.000000, 73.089, -5.8571
140.000000, 73.047, -5.4258
143.000000, 72.980, -5.0587
145.000000, 72.935, -4.8028
147.500000, 72.877, -4.5358
150.000000, 72.847, -4.0459
152.500000, 72.829, -3.6280
155.000000, 72.788, -3.2519
157.500000, 72.731, -3.0358
160.000000, 72.685, -2.7137
162.500000, 72.644, -2.3619
165.000000, 72.600, -2.0194
167.500000, 72.570, -1.6558
170.000000, 72.547, -1.2717
172.500000, 72.507, -0.7831
175.000000, 72.480, -0.3490
177.500000, 72.447, -0.1582
180.000000, 72.400, 0.1242
182.500000, 72.382, 0.4765
185.000000, 72.362, 0.8467
187.500000, 72.332, 1.2199
190.000000, 72.296, 1.5842
192.500000, 72.264, 1.9490
195.000000, 72.245, 2.3609
197.500000, 72.223, 2.7431
200.000000, 72.187, 3.0193
203.000000, 72.147, 3.3443
206.000000, 72.117, 3.7090
209.000000, 72.087, 4.1352
212.000000, 72.053, 4.6605
214.000000, 72.033, 4.9635
218.000000, 72.005, 5.4921
220.000000, 71.996, 5.7919
224.000000, 71.966, 6.2881
227.000000, 71.927, 6.6090
230.000000, 71.894, 6.9860
233.000000, 71.885, 7.3832
236.000000, 71.873, 7.8513
240.000000, 71.832, 8.3655
243.000000, 71.803, 8.7059
247.000000, 71.767, 9.1890
250.000000, 71.737, 9.5603
254.000000, 71.705, 9.9807
258.000000, 71.682, 10.4168
262.000000, 71.662, 10.9628
265.000000, 71.647, 11.3328
269.000000, 71.622, 11.7865
272.000000, 71.605, 12.2081
276.000000, 71.577, 12.7292
280.000000, 71.543, 13.2010
285.000000, 71.523, 13.8174
290.000000, 71.502, 14.3607
295.000000, 71.470, 14.9840
300.000000, 71.444, 15.5973
304.000000, 71.423, 16.0335
307.000000, 71.405, 16.2875
311.000000, 71.378, 16.6342
315.000000, 71.362, 17.1173
320.000000, 71.347, 17.7271
325.000000, 71.324, 18.3150
330.000000, 71.301, 18.8707
335.000000, 71.281, 19.3903
340.000000, 71.265, 19.9363
345.000000, 71.253, 20.4743
350.000000, 71.236, 20.9393
355.000000, 71.218, 21.5109
360.000000, 71.195, 22.1149
365.000000, 71.178, 22.6424
370.000000, 71.167, 23.1781
375.000000, 71.154, 23.7086
382.000000, 71.136, 24.4811
387.000000, 71.119, 25.0205
395.000000, 71.103, 25.8760
400.000000, 71.086, 26.3512
406.000000, 71.058, 26.9257
412.000000, 71.037, 27.5112
418.000000, 71.021, 28.0740
425.000000, 71.003, 28.8384
431.000000, 70.980, 29.5017
437.000000, 70.947, 30.1536
444.000000, 70.915, 30.9066
450.000000, 70.903, 31.4465
455.000000, 70.896, 31.8957
462.000000, 70.885, 32.6709
468.000000, 70.876, 33.2566
475.000000, 70.859, 33.8721
482.000000, 70.840, 34.5308
487.000000, 70.826, 35.0331
494.000000, 70.805, 35.7657
500.000000, 70.778, 36.3344
508.000000, 70.749, 37.1508
515.000000, 70.729, 37.8862
522.000000, 70.714, 38.6273
530.000000, 70.700, 39.3730
538.000000, 70.688, 40.1113
545.000000, 70.675, 40.8406
552.000000, 70.655, 41.5206
560.000000, 70.627, 42.2637
