* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 23, 2024 12:28:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L+R Nov 23
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.733, -154.2611
20.600000, 83.744, -154.5507
20.900000, 83.770, -154.8029
21.200001, 83.809, -155.0329
21.400000, 83.839, -155.2068
21.799999, 83.886, -155.6450
22.000000, 83.895, -155.8965
22.400000, 83.880, -156.3753
22.700001, 83.849, -156.6437
23.000000, 83.820, -156.8138
23.299999, 83.808, -156.9271
23.600000, 83.823, -157.0627
24.000000, 83.877, -157.3949
24.299999, 83.927, -157.7799
24.700001, 83.979, -158.3915
25.000000, 84.001, -158.8331
25.400000, 84.011, -159.3040
25.799999, 84.012, -159.6372
26.200001, 84.014, -159.9190
26.500000, 84.018, -160.1520
26.900000, 84.020, -160.5114
27.200001, 84.019, -160.7928
27.600000, 84.016, -161.1314
28.000000, 84.019, -161.3981
28.500000, 84.036, -161.6681
29.000000, 84.062, -161.9617
29.500000, 84.080, -162.3227
30.000000, 84.084, -162.7133
30.400000, 84.082, -163.0079
30.700001, 84.080, -163.2069
31.100000, 84.078, -163.4411
31.500000, 84.078, -163.6468
32.000000, 84.080, -163.8876
32.500000, 84.082, -164.1494
33.000000, 84.085, -164.4670
33.500000, 84.091, -164.8375
34.000000, 84.098, -165.2137
34.500000, 84.107, -165.5337
35.000000, 84.113, -165.7639
35.500000, 84.114, -165.9203
36.000000, 84.109, -166.0604
36.500000, 84.103, -166.2540
37.000000, 84.099, -166.5421
37.500000, 84.098, -166.9078
38.200001, 84.103, -167.4283
38.700001, 84.106, -167.7279
39.500000, 84.096, -168.0277
40.000000, 84.080, -168.1025
40.599998, 84.067, -168.1037
41.200001, 84.075, -168.1105
41.799999, 84.098, -168.2544
42.500000, 84.112, -168.6013
43.099998, 84.100, -168.9112
43.700001, 84.083, -169.1413
44.400002, 84.078, -169.3651
45.000000, 84.080, -169.5775
45.500000, 84.077, -169.7631
46.200001, 84.061, -170.0187
46.799999, 84.042, -170.2431
47.500000, 84.021, -170.4908
48.200001, 84.008, -170.6574
48.700001, 84.005, -170.7216
49.400002, 84.005, -170.8045
50.000000, 84.005, -170.9353
50.799999, 84.001, -171.1982
51.500000, 83.998, -171.4205
52.200001, 83.992, -171.5601
53.000000, 83.977, -171.6466
53.799999, 83.962, -171.7762
54.500000, 83.956, -171.9669
55.200001, 83.951, -172.1572
56.000000, 83.941, -172.2938
57.000000, 83.920, -172.4514
58.000000, 83.907, -172.6724
59.000000, 83.919, -172.8036
60.000000, 83.908, -172.8496
60.799999, 83.867, -172.9252
61.500000, 83.829, -173.0941
62.200001, 83.804, -173.3470
63.000000, 83.789, -173.6012
64.000000, 83.780, -173.7166
65.000000, 83.777, -173.7343
66.000000, 83.770, -173.8366
67.000000, 83.752, -173.9523
68.000000, 83.732, -174.0077
69.000000, 83.713, -174.0991
70.000000, 83.688, -174.2386
71.000000, 83.668, -174.3417
72.000000, 83.660, -174.4137
73.000000, 83.654, -174.5277
74.000000, 83.638, -174.6291
75.000000, 83.620, -174.6307
76.199997, 83.599, -174.5953
77.500000, 83.571, -174.7018
78.800003, 83.529, -174.8356
80.000000, 83.504, -174.8375
81.199997, 83.498, -174.8885
82.500000, 83.486, -174.9711
83.800003, 83.467, -175.0891
85.000000, 83.444, -175.1288
86.199997, 83.420, -175.0783
87.500000, 83.395, -175.0799
88.500000, 83.382, -175.0641
90.000000, 83.362, -175.0767
91.199997, 83.344, -175.1029
92.500000, 83.326, -175.1034
93.800003, 83.301, -175.1478
95.000000, 83.280, -175.1919
96.199997, 83.266, -175.1323
97.500000, 83.253, -175.0490
98.800003, 83.241, -175.0107
100.000000, 83.234, -174.9845
101.500000, 83.221, -174.8804
103.000000, 83.209, -174.7704
104.400002, 83.199, -174.7303
106.000000, 83.180, -174.7048
107.500000, 83.164, -174.6871
109.000000, 83.153, -174.6015
110.599998, 83.143, -174.5452
112.000000, 83.141, -174.5478
113.800003, 83.133, -174.5057
115.000000, 83.126, -174.4499
117.199997, 83.118, -174.3755
118.000000, 83.116, -174.3300
120.599998, 83.111, -174.2221
122.000000, 83.121, -174.1997
124.099998, 83.140, -174.2088
