* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 12:31:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kato (Steel, Spring L) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.074, -152.2625
20.600000, 80.075, -152.7695
20.900000, 80.075, -153.3171
21.200001, 80.074, -153.8716
21.400000, 80.074, -154.2451
21.799999, 80.075, -154.9984
22.000000, 80.076, -155.3741
22.400000, 80.079, -156.1110
22.700001, 80.081, -156.6429
23.000000, 80.083, -157.1536
23.299999, 80.086, -157.6449
23.600000, 80.087, -158.1209
24.000000, 80.089, -158.7412
24.299999, 80.089, -159.2002
24.700001, 80.088, -159.8068
25.000000, 80.086, -160.2563
25.400000, 80.083, -160.8446
25.799999, 80.079, -161.4158
26.200001, 80.076, -161.9682
26.500000, 80.075, -162.3709
26.900000, 80.072, -162.8954
27.200001, 80.070, -163.2814
27.600000, 80.067, -163.7883
28.000000, 80.062, -164.2863
28.500000, 80.055, -164.8954
29.000000, 80.047, -165.4921
29.500000, 80.040, -166.0820
30.000000, 80.031, -166.6679
30.400000, 80.023, -167.1308
30.700001, 80.017, -167.4717
31.100000, 80.008, -167.9156
31.500000, 80.000, -168.3470
32.000000, 79.989, -168.8721
32.500000, 79.979, -169.3853
33.000000, 79.968, -169.8884
33.500000, 79.956, -170.3816
34.000000, 79.943, -170.8670
34.500000, 79.930, -171.3466
35.000000, 79.917, -171.8202
35.500000, 79.904, -172.2858
36.000000, 79.891, -172.7416
36.500000, 79.877, -173.1874
37.000000, 79.864, -173.6250
37.500000, 79.850, -174.0573
38.200001, 79.829, -174.6565
38.700001, 79.814, -175.0783
39.500000, 79.790, -175.7383
40.000000, 79.774, -176.1447
40.599998, 79.752, -176.6285
41.200001, 79.726, -177.1008
41.799999, 79.701, -177.5552
42.500000, 79.675, -178.0738
43.099998, 79.657, -178.5250
43.700001, 79.639, -178.9830
44.400002, 79.613, -179.5085
45.000000, 79.587, -179.9421
45.500000, 79.564, 179.7042
46.200001, 79.533, 179.2063
46.799999, 79.507, 178.7754
47.500000, 79.474, 178.2906
48.200001, 79.440, 177.8441
48.700001, 79.415, 177.5355
49.400002, 79.377, 177.0848
50.000000, 79.341, 176.6729
50.799999, 79.286, 176.1153
51.500000, 79.238, 175.6413
52.200001, 79.189, 175.1816
53.000000, 79.129, 174.6678
53.799999, 79.061, 174.1601
54.500000, 78.993, 173.7188
55.200001, 78.918, 173.2851
56.000000, 78.819, 172.8120
57.000000, 78.671, 172.3040
58.000000, 78.492, 171.9730
59.000000, 78.280, 171.9127
60.000000, 78.041, 172.3004
60.799999, 77.855, 173.1008
61.500000, 77.722, 174.2269
62.200001, 77.645, 175.7072
63.000000, 77.655, 177.6255
64.000000, 77.829, 179.7704
65.000000, 78.130, -178.9904
66.000000, 78.449, -178.7955
67.000000, 78.710, -179.3443
68.000000, 78.896, 179.6327
69.000000, 79.014, 178.4612
70.000000, 79.096, 177.4674
71.000000, 79.159, 176.5965
72.000000, 79.186, 175.7449
73.000000, 79.188, 174.9312
74.000000, 79.180, 174.1604
75.000000, 79.164, 173.4548
76.199997, 79.134, 172.6696
77.500000, 79.095, 171.8543
78.800003, 79.057, 171.0986
80.000000, 79.018, 170.4746
81.199997, 78.978, 169.9021
82.500000, 78.934, 169.3112
83.800003, 78.891, 168.7764
85.000000, 78.851, 168.3290
86.199997, 78.810, 167.9014
87.500000, 78.763, 167.4558
88.500000, 78.726, 167.1277
90.000000, 78.669, 166.6611
91.199997, 78.624, 166.2996
92.500000, 78.574, 165.9300
93.800003, 78.524, 165.5889
95.000000, 78.479, 165.2908
96.199997, 78.435, 165.0246
97.500000, 78.387, 164.7692
98.800003, 78.341, 164.5296
100.000000, 78.301, 164.3179
101.500000, 78.253, 164.0656
103.000000, 78.209, 163.8222
104.400002, 78.172, 163.6035
106.000000, 78.131, 163.3544
107.500000, 78.092, 163.1077
109.000000, 78.052, 162.8623
110.599998, 78.011, 162.6093
112.000000, 77.975, 162.3942
113.800003, 77.931, 162.1172
115.000000, 77.900, 161.9257
117.199997, 77.843, 161.5735
118.000000, 77.821, 161.4459
120.599998, 77.746, 161.0452
122.000000, 77.702, 160.8562
124.099998, 77.633, 160.6208
125.000000, 77.603, 160.5434
126.500000, 77.554, 160.4565
128.000000, 77.511, 160.4139
131.500000, 77.444, 160.3988
132.000000, 77.438, 160.3915
134.000000, 77.425, 160.3060
136.000000, 77.416, 160.1159
138.000000, 77.402, 159.8269
140.000000, 77.379, 159.4933
143.000000, 77.325, 158.9933
145.000000, 77.282, 158.6909
147.500000, 77.225, 158.3325
150.000000, 77.167, 158.0093
152.500000, 77.105, 157.7319
155.000000, 77.044, 157.4665
157.500000, 76.984, 157.2297
160.000000, 76.924, 157.0142
162.500000, 76.866, 156.8058
165.000000, 76.808, 156.6089
167.500000, 76.750, 156.4083
170.000000, 76.692, 156.2469
172.500000, 76.635, 156.1351
175.000000, 76.580, 156.0058
177.500000, 76.526, 155.8752
180.000000, 76.473, 155.7492
182.500000, 76.421, 155.6349
185.000000, 76.369, 155.5345
187.500000, 76.317, 155.4409
190.000000, 76.267, 155.3519
192.500000, 76.218, 155.2695
195.000000, 76.170, 155.1913
197.500000, 76.122, 155.1188
200.000000, 76.074, 155.0510
203.000000, 76.017, 154.9720
206.000000, 75.963, 154.9033
209.000000, 75.910, 154.8431
212.000000, 75.856, 154.7842
214.000000, 75.821, 154.7509
218.000000, 75.753, 154.6976
220.000000, 75.720, 154.6743
224.000000, 75.654, 154.6363
227.000000, 75.605, 154.6160
230.000000, 75.556, 154.5960
233.000000, 75.509, 154.5769
236.000000, 75.464, 154.5612
240.000000, 75.404, 154.5466
243.000000, 75.360, 154.5390
247.000000, 75.302, 154.5336
250.000000, 75.259, 154.5357
254.000000, 75.204, 154.5447
258.000000, 75.151, 154.5578
262.000000, 75.098, 154.5828
265.000000, 75.059, 154.6050
269.000000, 75.008, 154.6374
272.000000, 74.970, 154.6624
276.000000, 74.921, 154.6916
280.000000, 74.873, 154.7283
285.000000, 74.814, 154.7826
290.000000, 74.759, 154.8327
295.000000, 74.704, 154.8958
300.000000, 74.651, 154.9706
304.000000, 74.609, 155.0287
307.000000, 74.578, 155.0708
311.000000, 74.537, 155.1309
315.000000, 74.498, 155.1910
320.000000, 74.449, 155.2641
325.000000, 74.403, 155.3475
330.000000, 74.358, 155.4326
335.000000, 74.314, 155.5280
340.000000, 74.271, 155.6226
345.000000, 74.229, 155.7089
350.000000, 74.188, 155.7989
355.000000, 74.149, 155.8955
360.000000, 74.111, 155.9963
365.000000, 74.073, 156.1012
370.000000, 74.036, 156.2046
375.000000, 74.000, 156.3019
382.000000, 73.952, 156.4363
387.000000, 73.918, 156.5383
395.000000, 73.867, 156.7082
400.000000, 73.836, 156.8161
406.000000, 73.800, 156.9504
412.000000, 73.765, 157.0846
418.000000, 73.730, 157.2167
425.000000, 73.691, 157.3649
431.000000, 73.659, 157.4868
437.000000, 73.628, 157.6196
444.000000, 73.593, 157.7838
450.000000, 73.564, 157.9200
455.000000, 73.541, 158.0326
462.000000, 73.509, 158.1904
468.000000, 73.483, 158.3173
475.000000, 73.454, 158.4775
482.000000, 73.425, 158.6409
487.000000, 73.405, 158.7569
494.000000, 73.377, 158.9155
500.000000, 73.355, 159.0515
508.000000, 73.327, 159.2375
515.000000, 73.303, 159.4008
522.000000, 73.281, 159.5627
530.000000, 73.257, 159.7506
538.000000, 73.233, 159.9424
545.000000, 73.213, 160.1021
552.000000, 73.194, 160.2704
560.000000, 73.173, 160.4639
570.000000, 73.148, 160.7048
580.000000, 73.125, 160.9488
590.000000, 73.104, 161.2012
600.000000, 73.083, 161.4598
608.000000, 73.068, 161.6664
615.000000, 73.057, 161.8468
622.000000, 73.047, 162.0264
630.000000, 73.036, 162.2395
640.000000, 73.024, 162.5161
650.000000, 73.014, 162.7952
660.000000, 73.006, 163.0708
670.000000, 73.001, 163.3640
680.000000, 72.998, 163.6697
690.000000, 72.999, 163.9727
700.000000, 73.002, 164.2660
710.000000, 73.009, 164.5555
720.000000, 73.018, 164.8460
730.000000, 73.029, 165.1361
740.000000, 73.042, 165.4214
750.000000, 73.057, 165.6899
762.000000, 73.077, 166.0071
775.000000, 73.100, 166.3546
788.000000, 73.127, 166.6983
800.000000, 73.155, 167.0200
812.000000, 73.186, 167.3529
825.000000, 73.223, 167.7188
838.000000, 73.264, 168.0807
850.000000, 73.306, 168.4111
862.000000, 73.353, 168.7341
875.000000, 73.410, 169.0810
885.000000, 73.457, 169.3427
900.000000, 73.531, 169.7248
912.000000, 73.596, 170.0207
925.000000, 73.673, 170.3196
938.000000, 73.755, 170.5898
950.000000, 73.834, 170.8158
962.000000, 73.918, 171.0188
975.000000, 74.013, 171.2049
988.000000, 74.112, 171.3549
1000.000000, 74.207, 171.4641
1015.000000, 74.328, 171.5561
