* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 6, 2024 4:47:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (10ohm, BGVP Foam)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.762, 16.7492
20.600000, 82.785, 16.2770
20.900000, 82.807, 15.6697
21.200001, 82.820, 15.0027
21.400000, 82.822, 14.5540
21.799999, 82.816, 13.7168
22.000000, 82.809, 13.3481
22.400000, 82.799, 12.7127
22.700001, 82.797, 12.2942
23.000000, 82.801, 11.8840
23.299999, 82.808, 11.4509
23.600000, 82.815, 10.9814
24.000000, 82.823, 10.3115
24.299999, 82.826, 9.8020
24.700001, 82.829, 9.1533
25.000000, 82.832, 8.7039
25.400000, 82.841, 8.1486
25.799999, 82.852, 7.6159
26.200001, 82.863, 7.0767
26.500000, 82.867, 6.6614
26.900000, 82.866, 6.1006
27.200001, 82.862, 5.6823
27.600000, 82.856, 5.1310
28.000000, 82.852, 4.5767
28.500000, 82.847, 3.8584
29.000000, 82.832, 3.1232
29.500000, 82.806, 2.4245
30.000000, 82.778, 1.7985
30.400000, 82.763, 1.3302
30.700001, 82.757, 0.9764
31.100000, 82.751, 0.4890
31.500000, 82.741, 0.0008
32.000000, 82.721, -0.5521
32.500000, 82.700, -1.0111
33.000000, 82.688, -1.4426
33.500000, 82.683, -1.9536
34.000000, 82.670, -2.5734
34.500000, 82.639, -3.2241
35.000000, 82.596, -3.8118
35.500000, 82.552, -4.3148
36.000000, 82.517, -4.7724
36.500000, 82.491, -5.2102
37.000000, 82.473, -5.6105
37.500000, 82.467, -5.9617
38.200001, 82.472, -6.4500
38.700001, 82.471, -6.8632
39.500000, 82.437, -7.6024
40.000000, 82.403, -8.0363
40.599998, 82.364, -8.5094
41.200001, 82.331, -8.9769
41.799999, 82.294, -9.4623
42.500000, 82.244, -10.0293
43.099998, 82.207, -10.5143
43.700001, 82.181, -11.0103
44.400002, 82.155, -11.5641
45.000000, 82.128, -11.9754
45.500000, 82.100, -12.2936
46.200001, 82.058, -12.7854
46.799999, 82.021, -13.2639
47.500000, 81.980, -13.7833
48.200001, 81.946, -14.1580
48.700001, 81.925, -14.3591
49.400002, 81.894, -14.6619
50.000000, 81.865, -15.0137
50.799999, 81.823, -15.5705
51.500000, 81.786, -15.9926
52.200001, 81.752, -16.2919
53.000000, 81.712, -16.6165
53.799999, 81.663, -17.0746
54.500000, 81.615, -17.5491
55.200001, 81.572, -18.0047
56.000000, 81.527, -18.4683
57.000000, 81.461, -18.9453
58.000000, 81.410, -19.3565
59.000000, 81.381, -19.9246
60.000000, 81.319, -20.4421
60.799999, 81.262, -20.6421
61.500000, 81.226, -20.8374
62.200001, 81.198, -21.1711
63.000000, 81.160, -21.6200
64.000000, 81.111, -22.1002
65.000000, 81.054, -22.5467
66.000000, 80.984, -22.9557
67.000000, 80.923, -23.2522
68.000000, 80.875, -23.5380
69.000000, 80.824, -23.8867
70.000000, 80.764, -24.1964
71.000000, 80.704, -24.4073
72.000000, 80.651, -24.6715
73.000000, 80.591, -25.1065
74.000000, 80.529, -25.5663
75.000000, 80.483, -25.9229
76.199997, 80.438, -26.2244
77.500000, 80.373, -26.5665
78.800003, 80.295, -26.9903
80.000000, 80.230, -27.2745
81.199997, 80.171, -27.5369
82.500000, 80.105, -27.8951
83.800003, 80.025, -28.2040
85.000000, 79.948, -28.5350
