* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 4, 2025 1:41:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Azla Foamax) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.453, 17.7565
20.600000, 81.458, 17.2704
20.900000, 81.463, 16.7145
21.200001, 81.466, 16.1447
21.400000, 81.467, 15.7637
21.799999, 81.469, 15.0185
22.000000, 81.470, 14.6638
22.400000, 81.473, 14.0037
22.700001, 81.478, 13.5466
23.000000, 81.485, 13.1051
23.299999, 81.494, 12.6588
23.600000, 81.503, 12.1921
24.000000, 81.511, 11.5333
24.299999, 81.513, 11.0242
24.700001, 81.511, 10.3567
25.000000, 81.508, 9.8817
25.400000, 81.505, 9.2884
25.799999, 81.504, 8.7260
26.200001, 81.504, 8.1707
26.500000, 81.502, 7.7508
26.900000, 81.497, 7.1885
27.200001, 81.490, 6.7720
27.600000, 81.482, 6.2323
28.000000, 81.475, 5.7124
28.500000, 81.469, 5.0805
29.000000, 81.463, 4.4557
29.500000, 81.452, 3.8379
30.000000, 81.434, 3.2373
30.400000, 81.418, 2.7736
30.700001, 81.406, 2.4350
31.100000, 81.393, 1.9924
31.500000, 81.382, 1.5561
32.000000, 81.370, 1.0165
32.500000, 81.356, 0.4852
33.000000, 81.338, -0.0326
33.500000, 81.318, -0.5345
34.000000, 81.297, -1.0230
34.500000, 81.278, -1.5039
35.000000, 81.260, -1.9816
35.500000, 81.242, -2.4583
36.000000, 81.223, -2.9343
36.500000, 81.203, -3.4065
37.000000, 81.182, -3.8665
37.500000, 81.161, -4.3038
38.200001, 81.134, -4.8790
38.700001, 81.113, -5.2799
39.500000, 81.073, -5.9294
40.000000, 81.045, -6.3348
40.599998, 81.013, -6.8151
41.200001, 80.985, -7.2928
41.799999, 80.958, -7.7597
42.500000, 80.924, -8.2656
43.099998, 80.895, -8.6715
43.700001, 80.868, -9.0776
44.400002, 80.833, -9.5480
45.000000, 80.802, -9.9277
45.500000, 80.776, -10.2394
46.200001, 80.739, -10.7090
46.799999, 80.704, -11.1296
47.500000, 80.661, -11.5745
48.200001, 80.623, -11.9608
48.700001, 80.600, -12.2395
49.400002, 80.564, -12.6641
50.000000, 80.528, -13.0337
50.799999, 80.480, -13.4808
51.500000, 80.443, -13.8292
52.200001, 80.408, -14.1795
53.000000, 80.364, -14.6130
53.799999, 80.317, -15.0274
