* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 2, 2024 8:06:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (BGVP Foam M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.567, 17.6331
20.600000, 81.556, 17.1150
20.900000, 81.552, 16.4852
21.200001, 81.560, 15.7993
21.400000, 81.571, 15.3301
21.799999, 81.598, 14.4439
22.000000, 81.612, 14.0636
22.400000, 81.641, 13.4711
22.700001, 81.666, 13.1466
23.000000, 81.694, 12.8545
23.299999, 81.721, 12.5192
23.600000, 81.742, 12.0893
24.000000, 81.749, 11.3641
24.299999, 81.736, 10.7571
24.700001, 81.701, 9.9719
25.000000, 81.670, 9.4554
25.400000, 81.636, 8.8765
25.799999, 81.617, 8.3675
26.200001, 81.612, 7.8450
26.500000, 81.613, 7.4112
26.900000, 81.618, 6.7739
27.200001, 81.621, 6.2711
27.600000, 81.626, 5.6098
28.000000, 81.631, 5.0048
28.500000, 81.633, 4.3695
29.000000, 81.629, 3.8508
29.500000, 81.617, 3.3660
30.000000, 81.598, 2.8264
30.400000, 81.580, 2.3395
30.700001, 81.566, 1.9594
31.100000, 81.548, 1.4656
31.500000, 81.532, 1.0151
32.000000, 81.515, 0.5166
32.500000, 81.495, 0.0536
33.000000, 81.469, -0.4165
33.500000, 81.442, -0.9168
34.000000, 81.422, -1.4609
34.500000, 81.413, -2.0554
35.000000, 81.406, -2.6804
35.500000, 81.391, -3.2799
36.000000, 81.368, -3.7965
36.500000, 81.347, -4.2204
37.000000, 81.336, -4.6003
37.500000, 81.330, -4.9944
38.200001, 81.303, -5.5787
38.700001, 81.264, -5.9680
39.500000, 81.195, -6.5159
40.000000, 81.169, -6.8793
40.599998, 81.152, -7.3856
41.200001, 81.136, -7.9271
41.799999, 81.109, -8.4523
42.500000, 81.068, -9.0473
43.099998, 81.035, -9.5368
43.700001, 81.013, -9.9544
44.400002, 80.998, -10.3454
45.000000, 80.979, -10.6927
45.500000, 80.949, -11.0428
46.200001, 80.893, -11.5878
46.799999, 80.853, -12.0326
47.500000, 80.823, -12.4859
48.200001, 80.790, -12.8683
48.700001, 80.759, -13.1071
49.400002, 80.718, -13.4511
50.000000, 80.691, -13.8024
50.799999, 80.651, -14.2821
51.500000, 80.600, -14.6234
52.200001, 80.549, -14.9653
53.000000, 80.504, -15.4482
53.799999, 80.470, -15.9141
54.500000, 80.437, -16.2672
55.200001, 80.389, -16.6378
56.000000, 80.332, -17.0641
57.000000, 80.280, -17.4588
58.000000, 80.189, -17.7851
59.000000, 80.059, -18.3390
60.000000, 80.011, -19.0413
60.799999, 80.037, -19.4111
61.500000, 80.040, -19.6047
62.200001, 79.995, -19.7668
63.000000, 79.934, -19.9916
64.000000, 79.893, -20.4532
65.000000, 79.812, -20.9005
66.000000, 79.718, -21.1780
67.000000, 79.696, -21.5800
68.000000, 79.691, -21.9212
69.000000, 79.650, -22.2078
70.000000, 79.585, -22.6574
71.000000, 79.530, -22.9985
72.000000, 79.486, -23.1999
73.000000, 79.432, -23.4927
74.000000, 79.379, -23.8326
75.000000, 79.328, -24.0563
76.199997, 79.267, -24.2650
77.500000, 79.202, -24.6856
78.800003, 79.127, -25.1254
80.000000, 79.066, -25.3978
81.199997, 79.012, -25.6248
82.500000, 78.946, -25.9346
83.800003, 78.874, -26.1893
85.000000, 78.808, -26.4025
86.199997, 78.756, -26.7023
87.500000, 78.714, -27.0379
88.500000, 78.667, -27.1987
90.000000, 78.594, -27.3804
91.199997, 78.543, -27.6378
92.500000, 78.489, -27.9158
93.800003, 78.432, -28.1603
95.000000, 78.383, -28.3262
96.199997, 78.335, -28.4868
97.500000, 78.275, -28.6711
98.800003, 78.210, -28.8606
100.000000, 78.147, -29.0218
101.500000, 78.078, -29.2321
103.000000, 78.019, -29.3904
104.400002, 77.963, -29.6092
106.000000, 77.915, -29.8594
107.500000, 77.873, -30.0494
109.000000, 77.817, -30.2817
110.599998, 77.749, -30.4257
112.000000, 77.687, -30.5241
113.800003, 77.611, -30.7148
115.000000, 77.563, -30.8824
117.199997, 77.484, -31.0887
118.000000, 77.458, -31.1131
120.599998, 77.379, -31.2403
122.000000, 77.331, -31.3736
124.099998, 77.255, -31.5801
125.000000, 77.222, -31.6912
126.500000, 77.176, -31.8515
128.000000, 77.133, -31.9063
131.500000, 77.010, -32.0930
132.000000, 76.992, -32.1219
134.000000, 76.939, -32.2139
136.000000, 76.891, -32.3162
138.000000, 76.821, -32.4288
140.000000, 76.757, -32.5963
143.000000, 76.662, -32.8681
145.000000, 76.619, -32.8997
147.500000, 76.550, -33.0118
150.000000, 76.482, -33.0316
152.500000, 76.431, -32.9474
155.000000, 76.383, -33.0228
157.500000, 76.328, -33.0919
160.000000, 76.266, -33.2011
162.500000, 76.199, -33.2558
165.000000, 76.145, -33.4058
167.500000, 76.094, -33.5692
170.000000, 76.028, -33.6914
172.500000, 75.972, -33.8197
175.000000, 75.926, -33.8456
177.500000, 75.884, -33.8052
180.000000, 75.836, -33.8479
182.500000, 75.786, -34.0773
185.000000, 75.736, -34.1944
187.500000, 75.695, -34.2113
190.000000, 75.655, -34.2002
192.500000, 75.609, -34.1969
195.000000, 75.569, -34.2647
197.500000, 75.531, -34.3815
200.000000, 75.497, -34.4673
203.000000, 75.458, -34.4511
206.000000, 75.421, -34.4066
209.000000, 75.380, -34.5593
212.000000, 75.331, -34.7454
214.000000, 75.307, -34.7527
218.000000, 75.265, -34.6519
220.000000, 75.240, -34.6139
224.000000, 75.190, -34.7028
227.000000, 75.158, -34.8019
230.000000, 75.127, -34.8357
233.000000, 75.093, -34.8313
236.000000, 75.061, -34.8692
240.000000, 75.023, -34.9398
243.000000, 74.995, -34.9364
247.000000, 74.969, -34.9505
250.000000, 74.942, -34.9508
254.000000, 74.902, -34.9350
258.000000, 74.874, -35.0351
262.000000, 74.846, -35.1882
265.000000, 74.825, -35.2424
269.000000, 74.795, -35.2648
272.000000, 74.770, -35.3129
276.000000, 74.743, -35.3782
280.000000, 74.719, -35.3974
285.000000, 74.709, -35.4914
290.000000, 74.696, -35.6506
295.000000, 74.676, -35.7343
300.000000, 74.662, -35.7782
304.000000, 74.643, -35.7896
307.000000, 74.627, -35.8091
311.000000, 74.617, -35.8776
315.000000, 74.612, -36.0092
320.000000, 74.590, -36.1132
