* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 2, 2024 11:48:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Beige Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.588, 24.2532
20.600000, 80.580, 23.9668
20.900000, 80.578, 23.6934
21.200001, 80.590, 23.3976
21.400000, 80.605, 23.1476
21.799999, 80.643, 22.4518
22.000000, 80.661, 21.9996
22.400000, 80.686, 20.9339
22.700001, 80.692, 20.0645
23.000000, 80.688, 19.2115
23.299999, 80.680, 18.4348
23.600000, 80.675, 17.7718
24.000000, 80.682, 17.0705
24.299999, 80.700, 16.6453
24.700001, 80.737, 16.1238
25.000000, 80.767, 15.7132
25.400000, 80.798, 15.1077
25.799999, 80.812, 14.4627
26.200001, 80.812, 13.8380
26.500000, 80.810, 13.4078
26.900000, 80.813, 12.8795
27.200001, 80.821, 12.4947
27.600000, 80.833, 11.9654
28.000000, 80.837, 11.4078
28.500000, 80.825, 10.6985
29.000000, 80.803, 10.0038
29.500000, 80.788, 9.3072
30.000000, 80.788, 8.5869
30.400000, 80.793, 8.0144
30.700001, 80.799, 7.6085
31.100000, 80.805, 7.1129
31.500000, 80.811, 6.6577
32.000000, 80.814, 6.0955
32.500000, 80.807, 5.5097
33.000000, 80.788, 4.9452
33.500000, 80.765, 4.4760
34.000000, 80.750, 4.1003
34.500000, 80.745, 3.7119
35.000000, 80.740, 3.2027
35.500000, 80.721, 2.5760
36.000000, 80.691, 1.9435
36.500000, 80.665, 1.4135
37.000000, 80.659, 0.9921
37.500000, 80.666, 0.6014
38.200001, 80.669, -0.0155
38.700001, 80.653, -0.5134
39.500000, 80.615, -1.3377
40.000000, 80.594, -1.8205
40.599998, 80.575, -2.3304
41.200001, 80.557, -2.8077
41.799999, 80.532, -3.3416
42.500000, 80.489, -4.0209
43.099998, 80.456, -4.5300
43.700001, 80.444, -4.9328
44.400002, 80.442, -5.3583
45.000000, 80.427, -5.7192
45.500000, 80.407, -6.0194
46.200001, 80.383, -6.5133
46.799999, 80.361, -7.0593
47.500000, 80.312, -7.7348
48.200001, 80.246, -8.2546
48.700001, 80.209, -8.5004
49.400002, 80.196, -8.7787
50.000000, 80.204, -9.0820
50.799999, 80.183, -9.6264
51.500000, 80.115, -10.1100
52.200001, 80.046, -10.5311
53.000000, 80.013, -11.0124
53.799999, 80.004, -11.5072
54.500000, 79.974, -11.9263
55.200001, 79.919, -12.3383
56.000000, 79.868, -12.7596
57.000000, 79.863, -13.3487
58.000000, 79.780, -14.0511
59.000000, 79.609, -14.2851
60.000000, 79.556, -14.3563
60.799999, 79.583, -14.6300
61.500000, 79.595, -14.9772
62.200001, 79.576, -15.3350
63.000000, 79.539, -15.5740
64.000000, 79.513, -15.6909
65.000000, 79.458, -16.0155
66.000000, 79.393, -16.5306
67.000000, 79.376, -17.2119
68.000000, 79.324, -17.7469
69.000000, 79.230, -18.1058
70.000000, 79.153, -18.6336
71.000000, 79.108, -19.0441
72.000000, 79.077, -19.2318
73.000000, 79.048, -19.5346
74.000000, 79.013, -19.9216
75.000000, 78.960, -20.1440
76.199997, 78.885, -20.3922
77.500000, 78.826, -20.8295
78.800003, 78.772, -21.1766
80.000000, 78.712, -21.4979
81.199997, 78.662, -21.8496
82.500000, 78.617, -22.2134
83.800003, 78.568, -22.5964
85.000000, 78.516, -22.9166
86.199997, 78.459, -23.2254
87.500000, 78.389, -23.4676
88.500000, 78.337, -23.5899
90.000000, 78.271, -23.8059
91.199997, 78.224, -24.0097
92.500000, 78.159, -24.2889
93.800003, 78.093, -24.5801
95.000000, 78.051, -24.8012
96.199997, 78.014, -25.0056
97.500000, 77.967, -25.2214
98.800003, 77.909, -25.4364
100.000000, 77.859, -25.6413
101.500000, 77.802, -25.8965
103.000000, 77.745, -26.0859
104.400002, 77.696, -26.2870
106.000000, 77.629, -26.5590
107.500000, 77.568, -26.7896
109.000000, 77.519, -26.9125
110.599998, 77.461, -27.0037
112.000000, 77.413, -27.1208
113.800003, 77.351, -27.3534
115.000000, 77.301, -27.5064
117.199997, 77.207, -27.7621
118.000000, 77.173, -27.8714
120.599998, 77.101, -28.2199
122.000000, 77.068, -28.3436
124.099998, 76.995, -28.5149
125.000000, 76.968, -28.5971
126.500000, 76.938, -28.6633
128.000000, 76.900, -28.6898
131.500000, 76.755, -28.9051
132.000000, 76.739, -28.9492
134.000000, 76.684, -29.1748
136.000000, 76.632, -29.3340
138.000000, 76.587, -29.4542
140.000000, 76.544, -29.6503
143.000000, 76.465, -29.9242
145.000000, 76.412, -30.0138
147.500000, 76.353, -30.0925
150.000000, 76.291, -30.1118
152.500000, 76.226, -30.1782
155.000000, 76.167, -30.3239
157.500000, 76.109, -30.5013
160.000000, 76.042, -30.6388
162.500000, 75.987, -30.8140
165.000000, 75.943, -30.9526
167.500000, 75.887, -31.0315
170.000000, 75.832, -31.1722
172.500000, 75.801, -31.2115
175.000000, 75.767, -31.2282
177.500000, 75.711, -31.3014
180.000000, 75.649, -31.4580
182.500000, 75.607, -31.4492
185.000000, 75.568, -31.4791
187.500000, 75.529, -31.6216
190.000000, 75.491, -31.6738
192.500000, 75.453, -31.6759
195.000000, 75.407, -31.6876
197.500000, 75.365, -31.7162
200.000000, 75.339, -31.7553
203.000000, 75.318, -31.8550
206.000000, 75.274, -31.8873
209.000000, 75.219, -31.8913
212.000000, 75.179, -31.8751
214.000000, 75.154, -31.8819
218.000000, 75.098, -32.0181
220.000000, 75.073, -32.0741
224.000000, 75.041, -32.1878
227.000000, 75.023, -32.2286
230.000000, 75.005, -32.3048
233.000000, 74.983, -32.3879
236.000000, 74.951, -32.3971
240.000000, 74.899, -32.3954
243.000000, 74.868, -32.4511
247.000000, 74.832, -32.5614
250.000000, 74.806, -32.5708
254.000000, 74.779, -32.5518
258.000000, 74.762, -32.5489
262.000000, 74.735, -32.5784
265.000000, 74.718, -32.6096
269.000000, 74.704, -32.7409
272.000000, 74.682, -32.8179
276.000000, 74.652, -32.8375
280.000000, 74.641, -32.8615
285.000000, 74.616, -32.8622
290.000000, 74.589, -32.8837
295.000000, 74.562, -32.9148
300.000000, 74.555, -33.0061
304.000000, 74.552, -33.1463
307.000000, 74.545, -33.2179
311.000000, 74.535, -33.2830
315.000000, 74.528, -33.3133
320.000000, 74.514, -33.3675
325.000000, 74.509, -33.4857
330.000000, 74.514, -33.5735
335.000000, 74.513, -33.6949
340.000000, 74.505, -33.7550
345.000000, 74.496, -33.8192
350.000000, 74.493, -33.9887
355.000000, 74.490, -34.1447
360.000000, 74.484, -34.1957
365.000000, 74.490, -34.2537
370.000000, 74.503, -34.3468
375.000000, 74.506, -34.4203
382.000000, 74.514, -34.5905
387.000000, 74.529, -34.6856
395.000000, 74.537, -34.8215
400.000000, 74.539, -34.9608
406.000000, 74.547, -35.1566
412.000000, 74.553, -35.3310
418.000000, 74.560, -35.4428
425.000000, 74.589, -35.5823
431.000000, 74.616, -35.7354
437.000000, 74.630, -35.9167
444.000000, 74.642, -36.1021
450.000000, 74.651, -36.2156
455.000000, 74.658, -36.3240
462.000000, 74.671, -36.5316
468.000000, 74.687, -36.7159
475.000000, 74.708, -36.9605
482.000000, 74.729, -37.1956
487.000000, 74.744, -37.3416
494.000000, 74.760, -37.5319
500.000000, 74.777, -37.6923
508.000000, 74.801, -37.9645
515.000000, 74.823, -38.2213
