* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 18, 2025 3:43:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Final E M Mid) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.502, 16.3998
20.600000, 81.513, 15.9292
20.900000, 81.525, 15.4270
21.200001, 81.535, 14.9469
21.400000, 81.540, 14.6379
21.799999, 81.541, 14.0388
22.000000, 81.537, 13.7466
22.400000, 81.523, 13.1710
22.700001, 81.513, 12.7387
23.000000, 81.506, 12.2946
23.299999, 81.506, 11.8292
23.600000, 81.513, 11.3386
24.000000, 81.533, 10.6559
24.299999, 81.551, 10.1410
24.700001, 81.574, 9.4829
25.000000, 81.586, 9.0254
25.400000, 81.593, 8.4655
25.799999, 81.589, 7.9453
26.200001, 81.574, 7.4410
26.500000, 81.559, 7.0644
26.900000, 81.536, 6.5618
27.200001, 81.522, 6.1835
27.600000, 81.513, 5.6704
28.000000, 81.513, 5.1354
28.500000, 81.519, 4.4341
29.000000, 81.516, 3.7421
29.500000, 81.501, 3.1209
30.000000, 81.481, 2.5690
30.400000, 81.466, 2.1283
30.700001, 81.454, 1.7778
31.100000, 81.434, 1.2940
31.500000, 81.409, 0.8432
32.000000, 81.380, 0.4032
32.500000, 81.370, 0.0799
33.000000, 81.377, -0.2740
33.500000, 81.379, -0.7699
34.000000, 81.353, -1.3549
34.500000, 81.309, -1.8836
35.000000, 81.276, -2.3023
35.500000, 81.271, -2.7146
36.000000, 81.278, -3.2481
36.500000, 81.264, -3.8946
37.000000, 81.218, -4.5084
37.500000, 81.163, -4.9560
38.200001, 81.139, -5.3702
38.700001, 81.161, -5.7008
39.500000, 81.165, -6.3586
40.000000, 81.114, -6.6982
40.599998, 81.038, -7.1003
41.200001, 80.991, -7.8033
41.799999, 80.968, -8.6791
42.500000, 80.979, -8.9425
43.099998, 81.077, -8.2481
43.700001, 81.232, -7.6687
44.400002, 81.283, -8.2311
45.000000, 81.134, -9.3959
45.500000, 80.955, -10.2416
46.200001, 80.803, -10.9694
46.799999, 80.779, -11.4462
47.500000, 80.748, -11.9439
48.200001, 80.677, -12.2735
48.700001, 80.636, -12.5250
49.400002, 80.610, -13.0573
50.000000, 80.595, -13.5059
50.799999, 80.561, -13.8144
51.500000, 80.520, -14.0127
52.200001, 80.471, -14.3694
53.000000, 80.423, -14.8385
53.799999, 80.386, -15.2096
54.500000, 80.343, -15.4973
55.200001, 80.295, -15.7535
56.000000, 80.265, -15.9475
57.000000, 80.238, -16.0372
58.000000, 80.157, -16.1528
59.000000, 80.076, -16.8512
60.000000, 80.012, -17.8880
60.799999, 79.971, -18.3766
61.500000, 79.942, -18.6459
62.200001, 79.908, -18.9241
63.000000, 79.864, -19.1865
64.000000, 79.818, -19.4729
65.000000, 79.767, -19.9520
66.000000, 79.718, -20.4122
67.000000, 79.674, -20.6500
68.000000, 79.614, -20.8634
69.000000, 79.570, -21.3500
70.000000, 79.547, -21.8070
71.000000, 79.522, -21.8449
72.000000, 79.465, -21.9372
73.000000, 79.359, -22.2465
74.000000, 79.273, -22.4688
75.000000, 79.229, -22.6787
76.199997, 79.183, -22.9363
77.500000, 79.125, -23.3098
78.800003, 79.059, -23.7124
80.000000, 78.980, -23.9806
81.199997, 78.893, -24.1704
82.500000, 78.830, -24.3829
83.800003, 78.782, -24.6520
85.000000, 78.736, -24.9483
86.199997, 78.684, -25.1912
87.500000, 78.617, -25.4442
88.500000, 78.569, -25.6818
90.000000, 78.472, -26.1431
91.199997, 78.388, -26.4252
92.500000, 78.342, -26.4635
93.800003, 78.305, -26.6446
95.000000, 78.246, -27.0634
96.199997, 78.169, -27.1289
97.500000, 78.082, -27.0433
98.800003, 78.023, -27.2046
