* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 2, 2024 11:41:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Final E M Shallow) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.383, 17.0218
20.600000, 81.367, 16.6589
20.900000, 81.349, 16.2072
21.200001, 81.339, 15.7055
21.400000, 81.339, 15.3479
21.799999, 81.358, 14.5839
22.000000, 81.376, 14.1774
22.400000, 81.425, 13.3083
22.700001, 81.465, 12.6046
23.000000, 81.501, 11.8680
23.299999, 81.525, 11.1289
23.600000, 81.537, 10.4329
24.000000, 81.536, 9.6488
24.299999, 81.527, 9.1994
24.700001, 81.514, 8.7604
25.000000, 81.506, 8.4946
25.400000, 81.495, 8.1238
25.799999, 81.480, 7.6537
26.200001, 81.459, 7.0628
26.500000, 81.443, 6.5607
26.900000, 81.425, 5.8662
27.200001, 81.416, 5.3704
27.600000, 81.402, 4.8070
28.000000, 81.382, 4.4079
28.500000, 81.349, 4.1268
29.000000, 81.328, 3.8952
29.500000, 81.337, 3.4353
30.000000, 81.378, 2.6358
30.400000, 81.418, 1.8578
30.700001, 81.444, 1.2888
31.100000, 81.461, 0.6358
31.500000, 81.444, 0.1366
32.000000, 81.374, -0.3236
32.500000, 81.273, -0.7203
33.000000, 81.196, -1.1709
33.500000, 81.187, -1.7261
34.000000, 81.233, -2.3192
34.500000, 81.278, -2.7957
35.000000, 81.274, -3.0754
35.500000, 81.217, -3.2913
36.000000, 81.138, -3.7110
36.500000, 81.074, -4.4655
37.000000, 81.042, -5.3652
37.500000, 81.040, -6.0614
38.200001, 81.045, -6.4497
38.700001, 81.024, -6.5656
39.500000, 80.956, -7.1366
40.000000, 80.936, -7.7412
40.599998, 80.954, -8.3662
41.200001, 80.969, -8.6076
41.799999, 80.926, -8.6099
42.500000, 80.812, -8.9394
43.099998, 80.728, -9.8134
43.700001, 80.703, -10.7881
44.400002, 80.715, -11.1704
45.000000, 80.698, -10.8402
45.500000, 80.641, -10.5848
46.200001, 80.547, -10.9462
46.799999, 80.528, -11.9368
47.500000, 80.566, -13.0992
48.200001, 80.554, -13.4056
48.700001, 80.499, -13.1936
49.400002, 80.421, -13.2471
50.000000, 80.374, -13.9908
50.799999, 80.321, -14.7927
51.500000, 80.288, -14.6402
52.200001, 80.233, -14.5894
53.000000, 80.171, -15.1923
53.799999, 80.252, -16.0576
54.500000, 80.266, -16.7597
55.200001, 80.064, -16.9190
56.000000, 79.930, -17.6228
