* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 2, 2024 8:05:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Final E M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.902, 19.3529
20.600000, 80.927, 18.9938
20.900000, 80.970, 18.3498
21.200001, 81.018, 17.4972
21.400000, 81.044, 16.8860
21.799999, 81.071, 15.7794
22.000000, 81.069, 15.3611
22.400000, 81.042, 14.8676
22.700001, 81.009, 14.7507
23.000000, 80.979, 14.7414
23.299999, 80.958, 14.7140
23.600000, 80.956, 14.5504
24.000000, 80.987, 13.9733
24.299999, 81.029, 13.2165
24.700001, 81.081, 11.8081
25.000000, 81.088, 10.5641
25.400000, 81.011, 8.9485
25.799999, 80.826, 7.8071
26.200001, 80.586, 7.5164
26.500000, 80.440, 7.8719
26.900000, 80.392, 8.6708
27.200001, 80.485, 9.0325
27.600000, 80.722, 8.6821
28.000000, 80.952, 7.4016
28.500000, 81.061, 5.4422
29.000000, 80.952, 4.4544
29.500000, 80.792, 4.9487
30.000000, 80.775, 5.8782
30.400000, 80.873, 5.8646
30.700001, 80.964, 5.1970
31.100000, 81.048, 3.6758
31.500000, 81.061, 2.0330
32.000000, 81.001, 0.6758
32.500000, 80.931, 0.4618
33.000000, 80.901, 0.9662
33.500000, 80.902, 1.4647
34.000000, 80.901, 1.5181
34.500000, 80.889, 1.0989
35.000000, 80.891, 0.3640
35.500000, 80.932, -0.5814
36.000000, 81.001, -1.7364
36.500000, 81.050, -3.0565
37.000000, 81.035, -4.3138
37.500000, 80.959, -5.1916
38.200001, 80.854, -5.6756
38.700001, 80.832, -5.8999
39.500000, 80.810, -6.6159
40.000000, 80.772, -6.9200
40.599998, 80.775, -6.9082
41.200001, 80.875, -7.1584
41.799999, 80.951, -8.2373
42.500000, 80.839, -9.6357
43.099998, 80.637, -9.7216
43.700001, 80.521, -8.8579
44.400002, 80.518, -8.2463
45.000000, 80.497, -8.5361
45.500000, 80.448, -8.8917
46.200001, 80.448, -9.0898
46.799999, 80.527, -9.2648
47.500000, 80.549, -9.7765
48.200001, 80.387, -10.2776
48.700001, 80.223, -10.4878
49.400002, 80.091, -10.8446
50.000000, 80.119, -11.4384
50.799999, 80.227, -12.3655
51.500000, 80.251, -12.9033
52.200001, 80.191, -13.2060
53.000000, 80.107, -13.5173
53.799999, 80.075, -13.8010
54.500000, 80.068, -14.0268
55.200001, 80.034, -14.3636
56.000000, 79.968, -14.8802
57.000000, 79.923, -15.5109
58.000000, 79.836, -15.8949
59.000000, 79.723, -15.9499
60.000000, 79.749, -16.7380
60.799999, 79.751, -17.8108
61.500000, 79.681, -18.4102
62.200001, 79.588, -18.5578
63.000000, 79.526, -18.3615
64.000000, 79.536, -17.8596
65.000000, 79.555, -17.7025
66.000000, 79.525, -18.1620
67.000000, 79.473, -18.7910
68.000000, 79.399, -19.3049
69.000000, 79.346, -19.9459
70.000000, 79.331, -20.6119
71.000000, 79.292, -20.9616
72.000000, 79.205, -21.3251
73.000000, 79.143, -21.8008
74.000000, 79.122, -22.0314
