* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 2, 2024 8:25:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Floaudio Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.964, 20.9214
20.600000, 80.984, 20.5138
20.900000, 81.009, 20.0566
21.200001, 81.036, 19.5862
21.400000, 81.053, 19.2581
21.799999, 81.082, 18.5399
22.000000, 81.092, 18.1406
22.400000, 81.100, 17.2610
22.700001, 81.094, 16.5528
23.000000, 81.083, 15.8396
23.299999, 81.072, 15.1580
23.600000, 81.067, 14.5339
24.000000, 81.080, 13.7997
24.299999, 81.104, 13.3038
24.700001, 81.147, 12.6734
25.000000, 81.177, 12.2046
25.400000, 81.203, 11.5865
25.799999, 81.208, 11.0034
26.200001, 81.196, 10.4844
26.500000, 81.182, 10.1399
26.900000, 81.168, 9.7190
27.200001, 81.163, 9.4073
27.600000, 81.165, 8.9591
28.000000, 81.172, 8.4419
28.500000, 81.178, 7.6865
29.000000, 81.172, 6.8606
29.500000, 81.153, 6.0691
30.000000, 81.134, 5.4092
30.400000, 81.126, 4.9860
30.700001, 81.125, 4.7037
31.100000, 81.129, 4.3277
31.500000, 81.131, 3.9103
32.000000, 81.118, 3.3238
32.500000, 81.091, 2.7232
33.000000, 81.063, 2.1728
33.500000, 81.047, 1.6747
34.000000, 81.043, 1.1804
34.500000, 81.038, 0.6574
35.000000, 81.020, 0.1253
35.500000, 80.991, -0.3759
36.000000, 80.962, -0.8390
36.500000, 80.942, -1.2930
37.000000, 80.927, -1.7589
37.500000, 80.912, -2.2262
38.200001, 80.887, -2.8600
38.700001, 80.871, -3.3205
39.500000, 80.848, -4.0928
40.000000, 80.833, -4.5356
40.599998, 80.813, -4.9678
41.200001, 80.788, -5.3414
41.799999, 80.752, -5.7643
42.500000, 80.697, -6.3862
43.099998, 80.652, -6.9753
43.700001, 80.621, -7.5027
44.400002, 80.604, -7.9557
45.000000, 80.595, -8.2771
45.500000, 80.577, -8.5884
46.200001, 80.526, -9.1144
46.799999, 80.479, -9.5776
47.500000, 80.451, -10.0857
48.200001, 80.440, -10.5521
48.700001, 80.421, -10.8210
49.400002, 80.377, -11.1048
50.000000, 80.336, -11.3891
50.799999, 80.283, -11.9632
51.500000, 80.237, -12.4816
52.200001, 80.199, -12.8520
53.000000, 80.167, -13.2260
53.799999, 80.134, -13.7306
54.500000, 80.103, -14.1994
55.200001, 80.074, -14.5533
56.000000, 80.038, -14.8278
57.000000, 79.977, -15.2344
58.000000, 79.922, -15.8248
59.000000, 79.898, -16.5419
60.000000, 79.846, -17.1313
60.799999, 79.785, -17.2623
61.500000, 79.746, -17.2678
62.200001, 79.715, -17.4055
63.000000, 79.666, -17.7490
64.000000, 79.603, -18.1625
65.000000, 79.563, -18.5142
66.000000, 79.497, -18.9600
67.000000, 79.403, -19.4720
68.000000, 79.344, -19.9894
69.000000, 79.310, -20.3997
70.000000, 79.264, -20.6498
71.000000, 79.208, -20.9101
72.000000, 79.158, -21.1907
73.000000, 79.132, -21.5204
74.000000, 79.105, -21.8304
75.000000, 79.073, -21.9694
76.199997, 79.013, -22.2191
77.500000, 78.930, -22.5681
78.800003, 78.865, -22.8603
80.000000, 78.797, -23.1945
81.199997, 78.731, -23.6267
82.500000, 78.665, -23.9230
83.800003, 78.595, -24.1722
85.000000, 78.535, -24.4729
86.199997, 78.498, -24.7587
87.500000, 78.461, -25.0091
88.500000, 78.411, -25.2015
90.000000, 78.320, -25.4670
91.199997, 78.266, -25.6574
92.500000, 78.209, -25.8529
93.800003, 78.153, -26.0829
95.000000, 78.104, -26.2776
96.199997, 78.049, -26.4790
97.500000, 77.987, -26.7860
98.800003, 77.932, -27.0461
100.000000, 77.891, -27.1632
101.500000, 77.837, -27.2972
103.000000, 77.779, -27.5004
104.400002, 77.726, -27.6466
106.000000, 77.659, -27.8403
107.500000, 77.597, -28.0550
109.000000, 77.535, -28.1510
110.599998, 77.476, -28.2842
112.000000, 77.420, -28.4595
113.800003, 77.358, -28.5771
115.000000, 77.315, -28.6849
117.199997, 77.230, -28.8969
118.000000, 77.202, -28.9780
120.599998, 77.131, -29.2881
122.000000, 77.094, -29.3869
124.099998, 77.017, -29.5184
125.000000, 76.983, -29.6024
126.500000, 76.938, -29.7569
128.000000, 76.899, -29.9349
131.500000, 76.769, -30.1282
132.000000, 76.751, -30.1422
134.000000, 76.689, -30.2357
136.000000, 76.651, -30.3438
138.000000, 76.600, -30.3652
140.000000, 76.548, -30.4291
143.000000, 76.458, -30.6538
145.000000, 76.405, -30.6622
147.500000, 76.332, -30.8217
150.000000, 76.268, -30.9640
152.500000, 76.214, -31.0035
155.000000, 76.160, -31.2390
157.500000, 76.100, -31.2663
160.000000, 76.049, -31.1477
162.500000, 76.005, -31.1965
165.000000, 75.947, -31.3774
167.500000, 75.899, -31.5636
170.000000, 75.847, -31.5794
172.500000, 75.795, -31.6185
175.000000, 75.747, -31.6893
177.500000, 75.701, -31.6837
180.000000, 75.655, -31.6398
182.500000, 75.609, -31.7641
185.000000, 75.568, -31.8769
187.500000, 75.527, -31.9539
190.000000, 75.487, -32.0007
192.500000, 75.447, -31.9988
195.000000, 75.407, -31.9913
197.500000, 75.368, -31.9996
200.000000, 75.329, -32.0437
203.000000, 75.288, -32.1089
206.000000, 75.244, -32.1700
209.000000, 75.218, -32.1846
212.000000, 75.201, -32.1360
214.000000, 75.184, -32.1601
218.000000, 75.131, -32.2046
220.000000, 75.099, -32.1704
224.000000, 75.041, -32.2297
227.000000, 75.017, -32.3186
230.000000, 74.996, -32.3675
233.000000, 74.961, -32.3870
236.000000, 74.930, -32.3941
240.000000, 74.894, -32.4819
243.000000, 74.876, -32.5921
247.000000, 74.866, -32.6768
250.000000, 74.846, -32.6625
254.000000, 74.802, -32.6421
258.000000, 74.770, -32.6521
262.000000, 74.747, -32.6922
265.000000, 74.724, -32.7455
269.000000, 74.700, -32.7743
272.000000, 74.686, -32.7579
276.000000, 74.666, -32.7888
