* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 2, 2024 8:03:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (H570 M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.668, 16.0560
20.600000, 81.647, 15.4038
20.900000, 81.623, 14.9439
21.200001, 81.618, 14.6505
21.400000, 81.628, 14.4465
21.799999, 81.671, 13.8039
22.000000, 81.695, 13.3321
22.400000, 81.733, 12.1719
22.700001, 81.752, 11.2485
23.000000, 81.766, 10.4001
23.299999, 81.780, 9.6899
23.600000, 81.793, 9.1323
24.000000, 81.797, 8.5926
24.299999, 81.785, 8.2974
24.700001, 81.746, 7.9777
25.000000, 81.705, 7.7461
25.400000, 81.650, 7.4001
25.799999, 81.611, 7.0121
26.200001, 81.602, 6.6355
26.500000, 81.617, 6.3892
26.900000, 81.659, 6.0840
27.200001, 81.691, 5.8135
27.600000, 81.704, 5.3078
28.000000, 81.652, 4.6120
28.500000, 81.488, 3.6287
29.000000, 81.298, 2.8100
29.500000, 81.221, 2.2725
30.000000, 81.335, 1.8232
30.400000, 81.530, 1.3727
30.700001, 81.693, 0.9761
31.100000, 81.881, 0.4373
31.500000, 81.998, -0.0149
32.000000, 82.028, -0.3840
32.500000, 81.955, -0.6227
33.000000, 81.822, -0.9999
33.500000, 81.656, -1.7883
34.000000, 81.460, -3.0018
34.500000, 81.246, -4.2720
35.000000, 81.070, -5.0932
35.500000, 81.020, -5.2878
36.000000, 81.116, -5.2006
36.500000, 81.274, -5.2845
37.000000, 81.371, -5.5954
37.500000, 81.357, -5.8706
38.200001, 81.241, -5.9952
38.700001, 81.185, -6.2036
39.500000, 81.172, -7.2360
40.000000, 81.169, -8.0098
40.599998, 81.150, -8.6438
41.200001, 81.122, -8.9918
41.799999, 81.085, -9.3386
42.500000, 81.038, -9.9006
43.099998, 81.002, -10.4295
43.700001, 80.967, -10.9039
44.400002, 80.910, -11.3600
45.000000, 80.854, -11.7188
45.500000, 80.818, -12.0504
46.200001, 80.788, -12.5782
46.799999, 80.770, -13.0115
47.500000, 80.736, -13.3893
48.200001, 80.691, -13.6473
48.700001, 80.663, -13.8404
49.400002, 80.630, -14.2277
50.000000, 80.598, -14.6493
50.799999, 80.541, -15.2219
51.500000, 80.493, -15.7337
52.200001, 80.445, -16.2473
53.000000, 80.383, -16.6621
53.799999, 80.333, -16.9132
54.500000, 80.306, -17.1793
55.200001, 80.289, -17.5046
56.000000, 80.261, -17.9408
57.000000, 80.158, -18.5425
58.000000, 80.102, -18.8384
59.000000, 80.221, -19.0909
60.000000, 80.245, -19.2735
60.799999, 80.132, -19.2431
61.500000, 80.031, -19.5618
62.200001, 79.956, -20.2852
63.000000, 79.887, -20.8034
64.000000, 79.867, -20.7520
65.000000, 79.822, -21.6238
66.000000, 79.608, -22.6437
67.000000, 79.467, -22.5911
68.000000, 79.487, -22.8384
69.000000, 79.511, -23.4392
70.000000, 79.424, -23.5411
71.000000, 79.281, -23.1967
72.000000, 79.273, -23.5148
73.000000, 79.320, -24.2579
74.000000, 79.284, -24.1246
75.000000, 79.209, -24.0370
76.199997, 79.096, -24.9465
77.500000, 79.015, -25.3064
78.800003, 78.951, -25.4529
80.000000, 78.873, -25.7679
81.199997, 78.849, -26.3739
82.500000, 78.809, -27.3311
83.800003, 78.749, -27.8563
85.000000, 78.684, -27.9000
86.199997, 78.629, -27.7985
87.500000, 78.566, -27.6655
88.500000, 78.474, -27.6504
90.000000, 78.341, -27.9695
91.199997, 78.304, -28.5268
92.500000, 78.256, -28.8341
93.800003, 78.134, -28.7225
95.000000, 78.038, -28.4772
96.199997, 78.034, -28.9504
97.500000, 78.007, -29.7337
98.800003, 77.927, -29.6425
100.000000, 77.859, -29.5859
101.500000, 77.833, -29.6097
103.000000, 77.819, -29.4335
104.400002, 77.752, -29.6581
106.000000, 77.665, -30.0924
107.500000, 77.585, -30.2346
109.000000, 77.509, -30.4998
110.599998, 77.432, -30.7393
112.000000, 77.361, -30.8925
113.800003, 77.289, -31.2515
115.000000, 77.272, -31.2587
117.199997, 77.210, -31.2407
118.000000, 77.147, -31.4816
120.599998, 77.002, -32.1549
122.000000, 76.953, -31.9737
124.099998, 76.910, -31.7136
125.000000, 76.907, -31.6030
126.500000, 76.862, -31.6733
128.000000, 76.800, -32.0087
131.500000, 76.538, -31.0712
132.000000, 76.510, -30.8988
134.000000, 76.474, -30.8264
136.000000, 76.412, -30.4456
138.000000, 76.317, -30.3762
140.000000, 76.305, -30.0954
143.000000, 76.301, -29.4898
145.000000, 76.319, -29.1161
147.500000, 76.412, -29.5659
150.000000, 76.511, -30.3182
152.500000, 76.551, -30.8033
155.000000, 76.509, -31.4330
157.500000, 76.407, -31.9535
160.000000, 76.307, -32.2153
162.500000, 76.247, -32.3542
165.000000, 76.188, -32.8542
167.500000, 76.119, -33.1949
170.000000, 76.050, -33.2011
172.500000, 75.985, -33.3318
175.000000, 75.926, -33.5307
177.500000, 75.868, -33.5440
180.000000, 75.804, -33.5021
182.500000, 75.755, -33.6731
185.000000, 75.701, -33.8150
187.500000, 75.645, -33.9417
190.000000, 75.596, -34.0708
192.500000, 75.555, -34.1191
195.000000, 75.513, -34.1476
197.500000, 75.463, -34.1818
200.000000, 75.414, -34.2338
203.000000, 75.369, -34.2959
206.000000, 75.335, -34.3660
209.000000, 75.288, -34.5140
212.000000, 75.239, -34.6412
214.000000, 75.207, -34.6112
218.000000, 75.139, -34.5511
220.000000, 75.111, -34.5621
224.000000, 75.051, -34.5936
227.000000, 75.003, -34.6951
230.000000, 74.965, -34.7154
233.000000, 74.942, -34.7039
236.000000, 74.908, -34.6871
240.000000, 74.847, -34.7074
243.000000, 74.811, -34.7746
247.000000, 74.767, -34.9331
250.000000, 74.730, -34.9875
254.000000, 74.683, -34.9390
258.000000, 74.643, -34.8854
262.000000, 74.601, -34.8212
265.000000, 74.569, -34.7828
269.000000, 74.526, -34.7988
272.000000, 74.492, -34.7932
276.000000, 74.449, -34.6668
280.000000, 74.405, -34.3962
