* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	96.484916
20.290907	96.484916
20.586045	96.484916
20.885476	96.534197
21.189262	96.617550
21.497467	96.702116
21.810155	96.787912
22.127391	96.874097
22.449241	96.960805
22.775773	97.048774
23.107054	97.093343
23.443154	97.134487
23.784142	97.176229
24.130091	97.218578
24.481071	97.261543
24.837156	97.305133
25.198421	97.349357
25.564940	97.394224
25.936791	97.439744
26.314050	97.485926
26.696797	97.536045
27.085111	97.591470
27.479073	97.647701
27.878765	97.704749
28.284271	97.762415
28.695675	97.820542
29.113064	97.879515
29.536523	97.939345
29.966142	98.000046
30.402009	98.061629
30.844217	98.102998
31.292856	98.132751
31.748021	98.162937
32.209807	98.193562
32.678309	98.224632
33.153626	98.256154
33.635857	98.288135
34.125101	98.314557
34.621462	98.321953
35.125043	98.329457
35.635949	98.337071
36.154286	98.344795
36.680162	98.352631
37.213687	98.360581
37.754973	98.368647
38.304131	98.376831
38.861278	98.385133
39.426528	98.393556
40.000000	98.402102
40.581813	98.410772
41.172089	98.419568
41.770951	98.427843
42.378524	98.432807
42.994934	98.437844
43.620309	98.442954
44.254781	98.448139
44.898482	98.453398
45.551545	98.458735
46.214108	98.464149
46.886308	98.469641
47.568285	98.475214
48.260181	98.480868
48.962142	98.486603
49.674312	98.492423
50.396842	98.498327
51.129881	98.504316
51.873582	98.510393
52.628101	98.516559
53.393594	98.522814
54.170222	98.529160
54.958146	98.535598
55.757531	98.542130
56.568542	98.548757
57.391351	98.555480
58.226127	98.562301
59.073046	98.569222
59.932283	98.576243
60.804018	98.583366
61.688433	98.590593
62.585712	98.597925
63.496042	98.605363
64.419613	98.612910
65.356618	98.620566
66.307252	98.628334
67.271713	98.636215
68.250203	98.644210
69.242925	98.652322
70.250086	98.648003
71.271897	98.635443
72.308571	98.622700
73.360323	98.609771
74.427374	98.596655
75.509945	98.583348
76.608262	98.569847
77.722555	98.556150
78.853056	98.542253
80.000000	98.528155
81.163627	98.513851
82.344179	98.499339
83.541903	98.484617
84.757048	98.469680
85.989867	98.454526
87.240619	98.439151
88.509563	98.423553
89.796964	98.407728
91.103091	98.391672
92.428216	98.375384
93.772615	98.358858
95.136569	98.342092
96.520362	98.325082
97.924283	98.307824
99.348625	98.290316
100.793684	98.272553
102.259762	98.254532
103.747164	98.236248
105.256202	98.217699
106.787188	98.198879
108.340444	98.179786
109.916292	98.160415
111.515061	98.140763
113.137085	98.120825
114.782702	98.100596
116.452255	98.080074
118.146092	98.059252
119.864566	98.038128
121.608036	98.016697
123.376866	97.994954
125.171424	97.972895
126.992084	97.950515
128.839227	97.927809
130.713236	97.904774
132.614504	97.881403
134.543426	97.857692
136.500406	97.833636
138.485850	97.809231
140.500173	97.784470
142.543795	97.759349
144.617142	97.733863
146.720647	97.708006
148.854748	97.681773
151.019890	97.655159
153.216525	97.628157
155.445111	97.600763
157.706112	97.572970
160.000000	97.544773
162.327254	97.516165
164.688358	97.487142
167.083805	97.457697
169.514095	97.427823
171.979734	97.397514
174.481237	97.366765
177.019125	97.335569
179.593928	97.303919
182.206182	97.271808
184.856431	97.239231
187.545230	97.206179
190.273138	97.172647
193.040725	97.219565
195.848567	97.273039
198.697250	97.217162
201.587368	97.130149
204.519524	97.053780
207.494329	97.039005
210.512403	97.024015
213.574377	97.008807
216.680888	96.993378
219.832584	96.977725
223.030122	96.961844
226.274170	96.945732
229.565404	96.950238
232.904509	96.961311
236.292183	96.972544
239.729132	96.983941
243.216073	96.995504
246.753732	97.007235
250.342848	97.019137
253.984168	97.031211
257.678453	97.043462
261.426473	97.055890
265.229008	97.031224
269.086853	97.005457
273.000811	96.979316
276.971700	96.952794
281.000346	96.925886
285.087590	96.898587
289.234284	96.870891
293.441294	96.842792
297.709496	96.814285
302.039780	96.785363
306.433050	96.756020
310.890221	96.726250
315.412224	96.722117
320.000000	96.737502
324.654507	96.753112
329.376716	96.768948
334.167610	96.785015
339.028190	96.801315
343.959469	96.817853
348.962474	96.818936
354.038251	96.797709
359.187855	96.776173
364.412363	96.754323
369.712863	96.732156
375.090460	96.729957
380.546277	96.831066
386.081450	96.933647
391.697134	97.037719
397.394500	96.977386
403.174736	96.966681
409.039048	97.006405
414.988657	97.046707
421.024807	97.202798
427.148753	97.250531
433.361775	97.190579
439.665167	97.216818
446.060244	97.287368
452.548340	97.358945
459.130807	97.431563
465.809019	97.505237
472.584367	97.452300
479.458265	97.409410
486.432146	97.456963
493.507464	97.505208
500.685695	97.646217
507.968337	97.714078
515.356906	97.645611
522.852945	97.696360
530.458016	97.791345
538.173706	97.887711
546.001623	97.955202
553.943399	97.859362
562.000691	97.884077
570.175180	97.913806
578.468569	97.943967
586.882588	97.968904
595.418991	97.960761
604.079560	97.952500
612.866100	97.944118
621.780442	97.935615
630.824447	97.926988
640.000000	97.918236
649.309014	97.909356
658.753431	97.900347
668.335221	97.891207
678.056380	97.881934
687.918938	97.872527
697.924949	97.862982
708.076501	97.852140
718.375711	97.837831
728.824726	97.823314
739.425726	97.808586
750.180921	97.793644
761.092554	97.778484
772.162900	97.763104
783.394268	97.747500
794.789000	97.708699
806.349472	97.655463
818.078095	97.684333
829.977315	97.641866
842.049613	97.498971
854.297507	97.455749
866.723550	97.411899
879.330334	97.454864
892.120489	97.483466
