* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	108.746929
20.290907	108.746929
20.586045	108.746929
20.885476	108.833473
21.189262	108.919233
21.497467	108.993875
21.810155	109.104622
22.127391	109.181805
22.449241	109.255867
22.775773	109.329646
23.107054	109.403470
23.443154	109.477609
23.784142	109.551194
24.130091	109.662207
24.481071	109.836888
24.837156	109.732212
25.198421	109.805772
25.564940	109.872869
25.936791	109.928086
26.314050	109.983832
26.696797	110.038876
27.085111	110.094720
27.479073	110.029439
27.878765	110.036002
28.284271	110.177795
28.695675	110.247791
29.113064	110.291940
29.536523	110.336730
29.966142	110.390033
30.402009	110.445624
30.844217	110.486073
31.292856	110.517359
31.748021	110.549101
32.209807	110.581304
32.678309	110.607403
33.153626	110.631582
33.635857	110.656114
34.125101	110.681002
34.621462	110.706252
35.125043	110.728660
35.635949	110.750337
36.154286	110.772330
36.680162	110.794642
37.213687	110.817279
37.754973	110.836932
38.304131	110.844361
38.861278	110.851899
39.426528	110.859546
40.000000	110.867304
40.581813	110.875175
41.172089	110.883161
41.770951	110.891263
42.378524	110.899483
42.994934	110.907822
43.620309	110.916283
44.254781	110.924866
44.898482	110.933575
45.551545	110.942410
46.214108	110.951373
46.886308	110.955727
47.568285	110.945398
48.260181	110.934919
48.962142	110.924288
49.674312	110.913502
50.396842	110.902559
51.129881	110.891456
51.873582	110.880193
52.628101	110.868765
53.393594	110.857172
54.170222	110.845409
54.958146	110.831119
55.757531	110.804036
56.568542	110.776559
57.391351	110.748682
58.226127	110.720400
59.073046	110.695239
59.932283	110.671065
60.804018	110.646540
61.688433	110.621659
62.585712	110.596415
63.496042	110.566915
64.419613	110.535577
65.356618	110.503784
66.307252	110.471528
67.271713	110.435788
68.250203	110.399016
69.242925	110.361710
70.250086	110.324804
71.271897	110.288204
72.308571	110.251072
73.360323	110.191303
74.427374	110.043822
75.509945	109.999031
76.608262	110.043135
77.722555	110.087881
78.853056	110.070373
80.000000	110.033647
81.163627	109.996386
82.344179	109.951150
83.541903	109.895876
84.757048	109.877540
85.989867	109.949445
87.240619	109.730423
88.509563	109.803957
89.796964	109.814381
91.103091	109.703520
92.428216	109.599816
93.772615	109.544792
95.136569	109.488967
96.520362	109.444135
97.924283	109.399794
99.348625	109.353497
100.793684	109.298464
102.259762	109.242630
103.747164	109.187634
105.256202	109.131975
106.787188	109.084633
108.340444	109.040424
109.916292	108.995571
111.515061	108.951736
113.137085	108.907381
114.782702	108.857836
116.452255	108.784139
118.146092	108.728815
119.864566	108.692231
121.608036	108.655115
123.376866	108.616477
125.171424	108.572605
126.992084	108.528096
128.839227	108.471706
130.713236	108.397753
132.614504	108.346039
134.543426	108.301808
136.500406	108.256934
138.485850	108.213138
140.500173	108.168761
142.543795	108.121898
144.617142	108.066820
146.720647	108.010940
148.854748	107.937768
151.019890	107.869634
153.216525	107.814461
155.445111	107.758662
157.706112	107.703661
160.000000	107.647860
162.327254	107.609235
164.688358	107.572448
167.083805	107.535126
169.514095	107.477591
171.979734	107.403473
174.481237	107.329874
177.019125	107.255806
179.593928	107.182037
182.206182	107.142465
184.856431	107.129279
187.545230	107.115901
190.273138	107.102329
193.040725	107.088559
195.848567	107.074589
198.697250	107.060416
201.587368	107.046036
204.519524	107.031448
