* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 18, 2025 3:35:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Sancai Narrow) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.847, 16.2370
20.600000, 81.849, 15.7609
20.900000, 81.850, 15.2232
21.200001, 81.853, 14.6794
21.400000, 81.856, 14.3175
21.799999, 81.865, 13.6041
22.000000, 81.871, 13.2578
22.400000, 81.884, 12.5944
22.700001, 81.893, 12.1215
23.000000, 81.902, 11.6616
23.299999, 81.909, 11.2037
23.600000, 81.913, 10.7386
24.000000, 81.912, 10.1025
24.299999, 81.907, 9.6195
24.700001, 81.897, 8.9855
25.000000, 81.890, 8.5290
25.400000, 81.885, 7.9528
25.799999, 81.884, 7.4069
26.200001, 81.888, 6.8743
26.500000, 81.891, 6.4739
26.900000, 81.891, 5.9323
27.200001, 81.887, 5.5222
27.600000, 81.876, 4.9791
28.000000, 81.862, 4.4531
28.500000, 81.843, 3.8334
29.000000, 81.827, 3.2525
29.500000, 81.814, 2.6904
30.000000, 81.801, 2.1258
30.400000, 81.788, 1.6656
30.700001, 81.777, 1.3150
31.100000, 81.763, 0.8412
31.500000, 81.752, 0.3630
32.000000, 81.739, -0.2278
32.500000, 81.724, -0.7836
33.000000, 81.703, -1.2773
33.500000, 81.680, -1.7138
34.000000, 81.656, -2.1369
34.500000, 81.635, -2.5960
35.000000, 81.616, -3.0989
35.500000, 81.596, -3.6022
36.000000, 81.576, -4.0573
36.500000, 81.558, -4.4620
37.000000, 81.543, -4.8628
37.500000, 81.524, -5.3004
38.200001, 81.488, -5.9451
38.700001, 81.460, -6.3714
39.500000, 81.418, -6.9734
40.000000, 81.388, -7.3301
40.599998, 81.349, -7.7401
41.200001, 81.318, -8.1368
41.799999, 81.298, -8.5623
42.500000, 81.266, -9.0498
43.099998, 81.217, -9.3248
43.700001, 81.171, -9.4988
44.400002, 81.143, -9.9152
45.000000, 81.122, -10.5596
45.500000, 81.093, -11.1104
46.200001, 81.051, -11.6154
46.799999, 81.031, -11.8812
47.500000, 81.003, -12.2794
48.200001, 80.951, -12.7831
48.700001, 80.913, -13.1117
49.400002, 80.879, -13.5092
50.000000, 80.855, -13.8467
50.799999, 80.807, -14.3046
51.500000, 80.755, -14.6950
52.200001, 80.712, -15.0735
53.000000, 80.673, -15.4593
53.799999, 80.630, -15.8158
54.500000, 80.586, -16.1613
55.200001, 80.546, -16.5125
56.000000, 80.527, -16.8576
57.000000, 80.515, -17.2532
58.000000, 80.451, -17.6624
59.000000, 80.355, -18.0786
60.000000, 80.277, -18.5239
60.799999, 80.227, -18.8620
61.500000, 80.190, -19.1303
62.200001, 80.156, -19.3786
63.000000, 80.118, -19.6481
64.000000, 80.064, -19.9907
65.000000, 79.998, -20.3495
66.000000, 79.936, -20.6979
67.000000, 79.883, -21.0108
