* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 18, 2025 3:37:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Sancai) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.732, 24.2159
20.600000, 80.747, 23.7151
20.900000, 80.766, 23.1753
21.200001, 80.788, 22.6459
21.400000, 80.804, 22.2928
21.799999, 80.837, 21.5706
22.000000, 80.851, 21.1994
22.400000, 80.874, 20.4448
22.700001, 80.887, 19.8792
23.000000, 80.898, 19.3218
23.299999, 80.908, 18.7750
23.600000, 80.920, 18.2378
24.000000, 80.937, 17.5349
24.299999, 80.950, 17.0205
24.700001, 80.963, 16.3600
25.000000, 80.969, 15.8876
25.400000, 80.973, 15.2839
25.799999, 80.974, 14.6940
26.200001, 80.974, 14.0991
26.500000, 80.975, 13.6445
26.900000, 80.976, 13.0331
27.200001, 80.978, 12.5791
27.600000, 80.982, 11.9907
28.000000, 80.987, 11.4256
28.500000, 80.991, 10.7450
29.000000, 80.993, 10.0827
29.500000, 80.991, 9.4385
30.000000, 80.989, 8.8207
30.400000, 80.990, 8.3481
30.700001, 80.990, 8.0045
31.100000, 80.989, 7.5560
31.500000, 80.985, 7.1122
32.000000, 80.974, 6.5574
32.500000, 80.958, 6.0020
33.000000, 80.943, 5.4525
33.500000, 80.933, 4.9144
34.000000, 80.929, 4.3848
34.500000, 80.926, 3.8526
35.000000, 80.917, 3.3110
35.500000, 80.899, 2.7713
36.000000, 80.874, 2.2631
36.500000, 80.848, 1.8144
37.000000, 80.828, 1.4238
37.500000, 80.814, 1.0519
38.200001, 80.799, 0.4590
38.700001, 80.787, -0.0565
39.500000, 80.763, -0.9861
40.000000, 80.744, -1.5325
40.599998, 80.719, -2.0376
41.200001, 80.698, -2.3726
41.799999, 80.686, -2.6801
42.500000, 80.667, -3.1818
43.099998, 80.631, -3.6735
43.700001, 80.589, -4.0792
44.400002, 80.558, -4.5053
45.000000, 80.543, -5.0056
45.500000, 80.528, -5.5156
46.200001, 80.505, -6.1637
46.799999, 80.495, -6.5574
47.500000, 80.485, -6.9350
48.200001, 80.446, -7.3452
48.700001, 80.403, -7.6627
49.400002, 80.359, -8.1550
50.000000, 80.345, -8.6255
50.799999, 80.328, -9.1621
51.500000, 80.293, -9.4360
52.200001, 80.243, -9.7175
53.000000, 80.168, -10.2599
53.799999, 80.096, -10.8074
54.500000, 80.079, -11.2084
55.200001, 80.100, -11.7309
56.000000, 80.122, -12.3639
57.000000, 80.148, -12.6325
58.000000, 80.137, -12.6966
59.000000, 80.003, -12.9985
60.000000, 79.873, -13.5632
60.799999, 79.823, -14.1385
61.500000, 79.789, -14.4845
62.200001, 79.750, -14.6814
63.000000, 79.699, -14.9810
64.000000, 79.641, -15.5002
65.000000, 79.611, -15.8670
66.000000, 79.579, -16.1232
67.000000, 79.525, -16.5482
68.000000, 79.465, -17.0825
69.000000, 79.415, -17.4215
70.000000, 79.366, -17.6570
71.000000, 79.304, -17.9776
72.000000, 79.257, -18.3264
73.000000, 79.227, -18.6623
74.000000, 79.184, -18.9527
75.000000, 79.131, -19.2333
76.199997, 79.067, -19.5513
77.500000, 79.005, -19.8734
78.800003, 78.944, -20.2447
80.000000, 78.895, -20.5253
81.199997, 78.841, -20.8163
82.500000, 78.780, -21.1871
83.800003, 78.719, -21.4435
85.000000, 78.660, -21.6575
86.199997, 78.608, -21.9108
87.500000, 78.554, -22.1944
88.500000, 78.509, -22.4588
90.000000, 78.454, -22.9052
91.199997, 78.400, -23.1534
92.500000, 78.332, -23.3251
93.800003, 78.270, -23.4565
95.000000, 78.219, -23.6106
96.199997, 78.171, -23.8338
97.500000, 78.128, -24.1061
98.800003, 78.090, -24.3706
100.000000, 78.054, -24.4981
101.500000, 77.989, -24.6138
103.000000, 77.917, -24.9119
104.400002, 77.860, -25.1857
106.000000, 77.763, -25.2981
107.500000, 77.698, -25.4162
109.000000, 77.683, -25.7045
110.599998, 77.644, -25.8715
112.000000, 77.586, -25.9049
113.800003, 77.508, -25.9151
115.000000, 77.468, -26.0886
117.199997, 77.403, -26.4115
118.000000, 77.375, -26.4247
120.599998, 77.271, -26.5900
122.000000, 77.226, -26.8867
124.099998, 77.178, -27.1523
125.000000, 77.152, -27.1990
126.500000, 77.103, -27.2710
128.000000, 77.054, -27.4026
131.500000, 76.931, -27.6687
132.000000, 76.915, -27.7171
134.000000, 76.860, -27.9042
136.000000, 76.805, -28.0217
138.000000, 76.743, -28.1177
140.000000, 76.693, -28.2010
143.000000, 76.626, -28.3283
145.000000, 76.568, -28.4011
147.500000, 76.496, -28.5381
150.000000, 76.435, -28.6409
152.500000, 76.374, -28.7501
155.000000, 76.307, -28.8431
157.500000, 76.249, -28.9789
160.000000, 76.183, -29.0757
162.500000, 76.114, -29.0843
165.000000, 76.048, -29.1099
167.500000, 75.987, -29.1965
170.000000, 75.929, -29.1457
172.500000, 75.873, -29.1180
175.000000, 75.811, -29.1884
177.500000, 75.750, -29.2077
180.000000, 75.695, -29.2058
182.500000, 75.635, -29.2102
185.000000, 75.572, -29.2010
187.500000, 75.511, -29.1588
190.000000, 75.455, -29.0558
192.500000, 75.400, -28.9306
195.000000, 75.345, -28.7916
197.500000, 75.291, -28.5547
200.000000, 75.248, -28.2148
203.000000, 75.211, -27.7239
206.000000, 75.192, -27.2111
209.000000, 75.206, -26.7707
212.000000, 75.253, -26.3213
214.000000, 75.300, -26.1579
218.000000, 75.393, -26.3124
220.000000, 75.431, -26.5012
224.000000, 75.494, -27.1140
227.000000, 75.516, -27.5396
230.000000, 75.492, -27.8273
233.000000, 75.450, -28.1068
236.000000, 75.430, -28.3904
240.000000, 75.412, -28.7510
243.000000, 75.386, -29.0353
247.000000, 75.339, -29.3415
250.000000, 75.301, -29.5282
254.000000, 75.260, -29.7204
258.000000, 75.233, -29.8419
262.000000, 75.203, -29.9450
265.000000, 75.182, -29.9901
269.000000, 75.151, -30.1185
272.000000, 75.128, -30.2279
276.000000, 75.104, -30.3224
280.000000, 75.078, -30.3918
285.000000, 75.044, -30.4684
290.000000, 75.015, -30.5614
295.000000, 74.988, -30.6831
300.000000, 74.966, -30.8291
