* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 2, 2024 4:44:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Spinfit W1 M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.658, 15.3305
20.600000, 81.654, 14.9471
20.900000, 81.658, 14.6040
21.200001, 81.673, 14.3075
21.400000, 81.688, 14.1023
21.799999, 81.711, 13.5939
22.000000, 81.712, 13.2723
22.400000, 81.683, 12.5025
22.700001, 81.638, 11.8518
23.000000, 81.584, 11.1822
23.299999, 81.538, 10.5265
23.600000, 81.517, 9.9035
24.000000, 81.536, 9.1330
24.299999, 81.581, 8.6003
24.700001, 81.657, 7.9528
25.000000, 81.706, 7.5189
25.400000, 81.739, 7.0093
25.799999, 81.730, 6.5568
26.200001, 81.695, 6.1142
26.500000, 81.668, 5.7569
26.900000, 81.652, 5.2252
27.200001, 81.659, 4.7966
27.600000, 81.690, 4.2401
28.000000, 81.723, 3.7827
28.500000, 81.739, 3.4259
29.000000, 81.715, 3.2027
29.500000, 81.670, 2.7861
30.000000, 81.624, 1.8552
30.400000, 81.585, 0.7532
30.700001, 81.552, -0.1363
31.100000, 81.502, -1.1619
31.500000, 81.457, -1.7865
32.000000, 81.431, -2.0075
32.500000, 81.447, -2.0348
33.000000, 81.470, -2.3578
33.500000, 81.457, -3.0381
34.000000, 81.406, -3.7619
34.500000, 81.350, -4.2512
35.000000, 81.315, -4.5401
35.500000, 81.294, -4.8492
36.000000, 81.269, -5.2968
36.500000, 81.241, -5.8218
37.000000, 81.228, -6.3119
37.500000, 81.232, -6.7133
38.200001, 81.226, -7.1478
38.700001, 81.194, -7.4436
39.500000, 81.128, -8.1242
40.000000, 81.110, -8.6859
40.599998, 81.122, -9.3004
41.200001, 81.148, -9.7141
41.799999, 81.146, -10.0484
42.500000, 81.087, -10.6105
43.099998, 81.013, -11.2767
43.700001, 80.953, -11.9576
44.400002, 80.888, -12.5279
45.000000, 80.812, -12.7466
45.500000, 80.748, -12.8271
46.200001, 80.713, -13.0511
46.799999, 80.749, -13.4460
47.500000, 80.800, -13.9465
48.200001, 80.776, -14.2610
48.700001, 80.709, -14.4353
49.400002, 80.604, -14.9017
50.000000, 80.548, -15.6027
50.799999, 80.496, -16.5308
51.500000, 80.421, -16.8508
52.200001, 80.342, -16.8531
53.000000, 80.307, -17.0989
53.799999, 80.302, -17.5838
54.500000, 80.282, -17.7087
55.200001, 80.243, -17.8557
56.000000, 80.121, -18.5748
57.000000, 79.931, -18.9614
58.000000, 79.989, -19.3810
59.000000, 79.894, -21.3198
60.000000, 79.764, -21.0097
60.799999, 79.853, -19.4850
61.500000, 79.804, -17.7865
62.200001, 79.660, -15.8921
63.000000, 79.586, -15.9464
64.000000, 79.471, -19.2259
65.000000, 79.502, -19.8900
66.000000, 79.722, -19.4057
67.000000, 79.644, -21.0231
68.000000, 79.482, -24.2821
69.000000, 79.300, -26.4869
70.000000, 79.008, -24.9803
71.000000, 78.729, -22.1443
72.000000, 78.630, -21.4246
73.000000, 78.577, -23.6973
74.000000, 78.330, -25.8956
75.000000, 78.281, -26.1333
76.199997, 78.434, -25.6701
77.500000, 78.364, -24.5521
78.800003, 78.348, -26.2469
80.000000, 78.385, -30.2767
81.199997, 78.512, -32.1525
82.500000, 78.914, -28.1167
83.800003, 79.097, -21.8669
85.000000, 78.746, -20.4433
86.199997, 78.546, -25.0209
87.500000, 78.199, -30.0437
88.500000, 77.886, -27.5302
90.000000, 77.806, -22.6923
91.199997, 78.074, -20.9995
92.500000, 78.547, -22.3081
93.800003, 78.731, -23.4306
95.000000, 78.758, -24.9678
96.199997, 78.605, -25.8117
97.500000, 78.370, -23.8115
98.800003, 78.320, -21.8216
100.000000, 78.401, -23.0517
101.500000, 78.395, -26.3450
103.000000, 78.194, -27.2588
104.400002, 78.010, -27.6164
106.000000, 78.036, -28.1578
107.500000, 78.081, -28.6019
109.000000, 78.031, -29.1330
110.599998, 77.912, -29.1884
112.000000, 77.802, -29.5391
113.800003, 77.726, -29.8237
115.000000, 77.701, -30.0840
117.199997, 77.611, -30.4385
118.000000, 77.552, -30.4289
120.599998, 77.393, -30.4522
122.000000, 77.396, -30.7951
124.099998, 77.334, -30.9938
125.000000, 77.283, -31.0101
126.500000, 77.215, -31.0242
128.000000, 77.156, -31.3057
131.500000, 76.998, -31.6415
132.000000, 76.985, -31.6800
134.000000, 76.944, -31.9092
136.000000, 76.875, -32.2425
138.000000, 76.809, -32.3729
140.000000, 76.754, -32.5312
143.000000, 76.675, -32.6343
145.000000, 76.607, -32.7386
147.500000, 76.522, -32.9343
150.000000, 76.454, -33.1852
152.500000, 76.375, -33.3722
155.000000, 76.298, -33.3558
157.500000, 76.225, -33.2917
160.000000, 76.143, -33.3930
162.500000, 76.079, -33.4860
165.000000, 76.043, -33.5953
167.500000, 75.992, -33.7158
170.000000, 75.921, -33.7760
172.500000, 75.848, -33.8181
175.000000, 75.789, -33.8871
177.500000, 75.740, -33.9237
180.000000, 75.685, -33.9334
182.500000, 75.624, -33.9876
185.000000, 75.567, -34.0448
187.500000, 75.518, -34.0392
190.000000, 75.463, -34.0121
192.500000, 75.399, -34.0376
195.000000, 75.333, -34.0357
197.500000, 75.274, -34.0462
200.000000, 75.216, -34.0437
203.000000, 75.145, -33.9908
206.000000, 75.055, -33.8729
209.000000, 74.951, -33.7408
212.000000, 74.842, -33.5082
214.000000, 74.769, -33.2214
218.000000, 74.637, -32.2001
220.000000, 74.599, -31.3130
224.000000, 74.684, -28.9971
227.000000, 74.910, -27.9301
230.000000, 75.182, -28.0662
233.000000, 75.370, -29.0765
236.000000, 75.441, -30.3299
240.000000, 75.420, -31.6248
243.000000, 75.373, -32.2688
247.000000, 75.299, -32.7648
250.000000, 75.244, -33.0096
254.000000, 75.179, -33.4053
258.000000, 75.116, -33.7261
262.000000, 75.061, -33.8988
265.000000, 75.024, -33.9823
269.000000, 74.982, -34.1150
272.000000, 74.958, -34.1850
276.000000, 74.931, -34.3213
280.000000, 74.903, -34.4832
285.000000, 74.862, -34.6178
290.000000, 74.825, -34.6561
295.000000, 74.799, -34.7159
300.000000, 74.777, -34.7997
304.000000, 74.757, -34.8673
307.000000, 74.741, -34.9091
311.000000, 74.722, -34.9603
315.000000, 74.707, -35.0470
320.000000, 74.692, -35.1288
325.000000, 74.676, -35.1431
330.000000, 74.660, -35.1658
335.000000, 74.651, -35.3089
340.000000, 74.646, -35.4486
345.000000, 74.637, -35.5636
350.000000, 74.630, -35.6440
355.000000, 74.622, -35.7341
360.000000, 74.617, -35.8295
365.000000, 74.612, -35.8978
370.000000, 74.608, -35.9556
375.000000, 74.608, -36.0412
382.000000, 74.611, -36.2028
387.000000, 74.609, -36.2963
395.000000, 74.609, -36.5239
400.000000, 74.619, -36.6390
406.000000, 74.633, -36.7556
412.000000, 74.637, -36.8976
418.000000, 74.634, -37.0863
425.000000, 74.645, -37.2766
431.000000, 74.665, -37.4080
437.000000, 74.682, -37.5211
444.000000, 74.691, -37.6862
450.000000, 74.698, -37.8779
455.000000, 74.707, -38.0447
462.000000, 74.725, -38.2168
468.000000, 74.740, -38.3791
475.000000, 74.751, -38.6130
482.000000, 74.762, -38.8198
487.000000, 74.775, -38.9395
494.000000, 74.793, -39.1207
500.000000, 74.808, -39.3103
508.000000, 74.826, -39.5674
515.000000, 74.841, -39.7784
522.000000, 74.859, -40.0030
530.000000, 74.877, -40.2516
538.000000, 74.888, -40.5067
545.000000, 74.895, -40.7463
552.000000, 74.906, -40.9818
560.000000, 74.930, -41.2315
570.000000, 74.952, -41.5165
580.000000, 74.961, -41.8234
590.000000, 74.973, -42.1470
600.000000, 74.983, -42.4301
608.000000, 74.987, -42.6514
615.000000, 74.990, -42.8543
622.000000, 74.995, -43.0508
630.000000, 75.001, -43.2342
640.000000, 75.003, -43.4526
650.000000, 75.004, -43.7063
660.000000, 75.006, -43.9033
670.000000, 75.007, -44.1096
680.000000, 75.004, -44.3372
690.000000, 75.000, -44.4980
700.000000, 74.998, -44.6256
710.000000, 74.997, -44.7437
720.000000, 74.995, -44.8319
730.000000, 74.992, -44.8747
740.000000, 74.988, -44.8902
750.000000, 74.982, -44.8715
762.000000, 74.971, -44.8661
775.000000, 74.972, -44.8631
788.000000, 74.971, -44.7738
800.000000, 74.966, -44.6914
812.000000, 74.962, -44.5655
825.000000, 74.968, -44.3680
838.000000, 74.977, -44.1290
850.000000, 74.991, -43.8967
862.000000, 75.011, -43.6960
875.000000, 75.034, -43.4217
885.000000, 75.049, -43.1830
900.000000, 75.085, -42.8218
912.000000, 75.126, -42.5013
925.000000, 75.174, -42.1584
938.000000, 75.221, -41.8386
950.000000, 75.264, -41.5615
962.000000, 75.312, -41.2786
975.000000, 75.377, -40.9915
988.000000, 75.444, -40.7320
1000.000000, 75.510, -40.5118
1015.000000, 75.587, -40.2218
1030.000000, 75.655, -39.9612
1044.000000, 75.724, -39.7082
1060.000000, 75.815, -39.4296
1075.000000, 75.907, -39.2063
1090.000000, 75.996, -38.9678
1106.000000, 76.092, -38.7870
1120.000000, 76.176, -38.6862
1138.000000, 76.279, -38.5936
1150.000000, 76.347, -38.5294
1172.000000, 76.474, -38.4669
1180.000000, 76.519, -38.4645
1206.000000, 76.658, -38.4411
1220.000000, 76.724, -38.4284
1241.000000, 76.821, -38.4583
1250.000000, 76.862, -38.4710
1265.000000, 76.925, -38.4942
1280.000000, 76.985, -38.5122
1315.000000, 77.107, -38.5517
1320.000000, 77.125, -38.5561
1340.000000, 77.195, -38.5690
1360.000000, 77.260, -38.5282
1380.000000, 77.314, -38.4932
1400.000000, 77.366, -38.4288
1430.000000, 77.445, -38.3045
1450.000000, 77.498, -38.1962
1475.000000, 77.557, -38.0250
1500.000000, 77.605, -37.8211
1525.000000, 77.653, -37.6157
1550.000000, 77.704, -37.3581
