* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 2, 2024 4:46:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Spinfit W1 MS) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.386, 16.7305
20.600000, 81.373, 16.2276
20.900000, 81.387, 15.7529
21.200001, 81.435, 15.3295
21.400000, 81.473, 15.0626
21.799999, 81.520, 14.6088
22.000000, 81.509, 14.4775
22.400000, 81.402, 14.5783
22.700001, 81.267, 15.0432
23.000000, 81.132, 15.7621
23.299999, 81.045, 16.4806
23.600000, 81.041, 16.8357
24.000000, 81.155, 16.2595
24.299999, 81.286, 14.9819
24.700001, 81.440, 12.5767
25.000000, 81.500, 10.7046
25.400000, 81.491, 8.7095
25.799999, 81.415, 7.5853
26.200001, 81.329, 7.1650
26.500000, 81.283, 7.0322
26.900000, 81.259, 6.7793
27.200001, 81.266, 6.4824
27.600000, 81.313, 6.0605
28.000000, 81.412, 5.7421
28.500000, 81.584, 5.3780
29.000000, 81.707, 4.6670
29.500000, 81.674, 3.5075
30.000000, 81.511, 2.2132
30.400000, 81.393, 1.2388
30.700001, 81.364, 0.4893
31.100000, 81.406, -0.6462
31.500000, 81.464, -1.8779
32.000000, 81.423, -2.9855
32.500000, 81.234, -2.8410
33.000000, 81.073, -1.5446
33.500000, 81.115, -0.5470
34.000000, 81.304, -1.1267
34.500000, 81.445, -2.7951
35.000000, 81.445, -3.9988
35.500000, 81.367, -3.7760
36.000000, 81.316, -2.6776
36.500000, 81.295, -2.0859
37.000000, 81.234, -2.6931
37.500000, 81.121, -4.0741
38.200001, 81.020, -5.8719
38.700001, 81.048, -6.6986
39.500000, 81.135, -7.7760
40.000000, 81.147, -8.6031
40.599998, 81.128, -9.8130
41.200001, 81.091, -10.7724
41.799999, 81.068, -10.5878
42.500000, 81.164, -9.1950
43.099998, 81.281, -8.9453
43.700001, 81.159, -10.4118
44.400002, 80.649, -11.9259
45.000000, 80.385, -11.0547
45.500000, 80.634, -9.9592
46.200001, 81.288, -10.9009
46.799999, 81.501, -13.2349
47.500000, 81.155, -14.7282
48.200001, 80.598, -14.2857
48.700001, 80.331, -14.2982
49.400002, 80.198, -16.0627
50.000000, 80.262, -17.8920
50.799999, 80.528, -18.4855
51.500000, 80.733, -17.4766
52.200001, 80.746, -16.2149
53.000000, 80.572, -15.5445
53.799999, 80.380, -15.9495
54.500000, 80.287, -16.5532
55.200001, 80.248, -16.9077
56.000000, 80.205, -17.0533
57.000000, 80.142, -17.4490
58.000000, 80.116, -18.9043
59.000000, 80.086, -20.6953
60.000000, 80.027, -20.5462
60.799999, 79.957, -19.4668
61.500000, 79.831, -19.5093
62.200001, 79.648, -20.7852
63.000000, 79.549, -22.0402
64.000000, 79.703, -21.2251
65.000000, 79.738, -19.0710
66.000000, 79.523, -18.1401
67.000000, 79.362, -19.3338
68.000000, 79.332, -20.7532
69.000000, 79.326, -21.4755
70.000000, 79.310, -22.2519
71.000000, 79.201, -23.0206
72.000000, 79.062, -22.7928
73.000000, 79.164, -22.5825
74.000000, 79.324, -23.2407
75.000000, 79.332, -23.7243
76.199997, 79.255, -24.4751
77.500000, 79.117, -25.1526
78.800003, 78.964, -24.9490
80.000000, 78.940, -25.2076
81.199997, 78.919, -25.8208
82.500000, 78.798, -26.0415
83.800003, 78.702, -26.3703
85.000000, 78.648, -26.8193
86.199997, 78.609, -26.9916
87.500000, 78.563, -27.5021
88.500000, 78.517, -28.1281
90.000000, 78.481, -27.7856
91.199997, 78.390, -27.2580
92.500000, 78.260, -27.4680
