* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 3, 2024 12:12:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Spiral Dots M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.433, 16.9862
20.600000, 81.433, 16.4620
20.900000, 81.426, 16.0105
21.200001, 81.421, 15.6833
21.400000, 81.421, 15.4978
21.799999, 81.426, 15.0774
22.000000, 81.424, 14.8015
22.400000, 81.398, 14.1100
22.700001, 81.355, 13.5319
23.000000, 81.302, 12.9822
23.299999, 81.257, 12.5061
23.600000, 81.237, 12.0940
24.000000, 81.267, 11.5467
24.299999, 81.322, 11.0638
24.700001, 81.405, 10.3091
25.000000, 81.452, 9.7239
25.400000, 81.480, 9.0443
25.799999, 81.475, 8.5364
26.200001, 81.458, 8.1027
26.500000, 81.442, 7.7146
26.900000, 81.411, 7.0231
27.200001, 81.376, 6.4075
27.600000, 81.319, 5.6171
28.000000, 81.278, 5.0403
28.500000, 81.311, 4.6102
29.000000, 81.448, 4.0690
29.500000, 81.591, 3.0725
30.000000, 81.614, 1.9377
30.400000, 81.521, 1.4596
30.700001, 81.413, 1.5707
31.100000, 81.275, 2.3417
31.500000, 81.204, 3.4383
32.000000, 81.221, 4.3511
32.500000, 81.277, 4.0697
33.000000, 81.295, 2.6949
33.500000, 81.264, 0.8167
34.000000, 81.217, -0.9578
34.500000, 81.177, -2.1982
35.000000, 81.162, -2.7103
35.500000, 81.198, -2.6701
36.000000, 81.292, -2.6479
36.500000, 81.385, -3.2073
37.000000, 81.385, -4.3403
37.500000, 81.253, -5.4398
38.200001, 80.983, -5.8282
38.700001, 80.881, -5.4446
39.500000, 80.911, -5.2787
40.000000, 80.943, -5.5345
40.599998, 80.970, -5.6406
41.200001, 81.034, -5.6855
41.799999, 81.092, -6.4267
42.500000, 81.024, -8.2185
43.099998, 80.879, -9.5939
43.700001, 80.801, -10.1641
44.400002, 80.858, -10.2912
45.000000, 80.910, -10.5603
45.500000, 80.882, -10.9441
46.200001, 80.786, -11.5170
46.799999, 80.753, -12.0144
47.500000, 80.782, -12.6021
48.200001, 80.771, -12.9181
48.700001, 80.706, -12.8716
49.400002, 80.592, -12.7549
50.000000, 80.541, -13.0710
50.799999, 80.540, -14.0559
51.500000, 80.534, -14.6881
52.200001, 80.491, -14.8109
53.000000, 80.422, -14.9863
53.799999, 80.365, -15.6774
54.500000, 80.330, -16.2619
55.200001, 80.293, -16.5024
56.000000, 80.210, -16.7985
57.000000, 80.042, -17.7412
58.000000, 80.003, -18.4284
59.000000, 80.094, -18.7627
60.000000, 80.045, -18.8999
60.799999, 79.981, -18.8060
61.500000, 79.987, -18.9457
62.200001, 80.008, -19.4403
63.000000, 79.961, -20.2113
64.000000, 79.796, -20.9240
65.000000, 79.682, -21.0633
66.000000, 79.684, -21.1555
67.000000, 79.666, -21.4222
68.000000, 79.608, -21.7320
69.000000, 79.542, -22.1179
70.000000, 79.469, -22.3692
71.000000, 79.409, -22.6129
72.000000, 79.357, -23.0315
73.000000, 79.318, -23.3703
74.000000, 79.281, -23.6083
75.000000, 79.225, -23.8867
76.199997, 79.166, -24.2658
77.500000, 79.111, -24.5832
78.800003, 79.052, -24.7705
80.000000, 78.999, -24.9717
81.199997, 78.926, -25.1989
82.500000, 78.845, -25.5540
83.800003, 78.779, -25.8642
85.000000, 78.729, -26.0679
