* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 7, 2024 12:10:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Spring M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.430, 16.3517
20.600000, 81.397, 15.4433
20.900000, 81.366, 14.8280
21.200001, 81.365, 14.5931
21.400000, 81.385, 14.5409
21.799999, 81.449, 14.3418
22.000000, 81.476, 14.0910
22.400000, 81.482, 13.2521
22.700001, 81.442, 12.4421
23.000000, 81.381, 11.6254
23.299999, 81.328, 10.9046
23.600000, 81.306, 10.3160
24.000000, 81.337, 9.6937
24.299999, 81.389, 9.2946
24.700001, 81.457, 8.8131
25.000000, 81.484, 8.4940
25.400000, 81.478, 8.1257
25.799999, 81.443, 7.7668
26.200001, 81.407, 7.3125
26.500000, 81.394, 6.8684
26.900000, 81.398, 6.1743
27.200001, 81.415, 5.6539
27.600000, 81.445, 5.0820
28.000000, 81.473, 4.7107
28.500000, 81.489, 4.4204
29.000000, 81.467, 4.0441
29.500000, 81.406, 3.4004
30.000000, 81.334, 2.5635
30.400000, 81.298, 1.8885
30.700001, 81.294, 1.4231
31.100000, 81.314, 0.8601
31.500000, 81.340, 0.3467
32.000000, 81.346, -0.2091
32.500000, 81.316, -0.6119
33.000000, 81.294, -0.8987
33.500000, 81.317, -1.2635
34.000000, 81.368, -1.8542
34.500000, 81.388, -2.5602
35.000000, 81.343, -3.1312
35.500000, 81.252, -3.4799
36.000000, 81.158, -3.7907
36.500000, 81.089, -4.2843
37.000000, 81.050, -4.9379
37.500000, 81.043, -5.5392
38.200001, 81.075, -6.0991
38.700001, 81.093, -6.4182
39.500000, 81.055, -7.0554
40.000000, 81.006, -7.5182
40.599998, 80.960, -8.0429
41.200001, 80.943, -8.4514
41.799999, 80.942, -8.8220
42.500000, 80.918, -9.5346
43.099998, 80.845, -10.3643
43.700001, 80.755, -10.9294
44.400002, 80.733, -11.0569
45.000000, 80.764, -11.2263
45.500000, 80.737, -11.5947
46.200001, 80.593, -12.0346
46.799999, 80.504, -12.1789
47.500000, 80.540, -12.6128
48.200001, 80.597, -13.4797
48.700001, 80.577, -14.0062
49.400002, 80.509, -14.4633
50.000000, 80.481, -14.9873
50.799999, 80.475, -15.9631
51.500000, 80.445, -16.2495
52.200001, 80.369, -15.8500
53.000000, 80.170, -15.6933
53.799999, 79.904, -15.8788
54.500000, 79.998, -15.4997
55.200001, 80.543, -15.5424
56.000000, 81.095, -16.8308
57.000000, 80.947, -17.3448
58.000000, 80.339, -17.1212
59.000000, 79.831, -19.6005
60.000000, 79.762, -21.0802
60.799999, 79.870, -20.9462
61.500000, 79.765, -22.0417
62.200001, 79.408, -25.6767
63.000000, 78.921, -31.0467
64.000000, 78.882, -30.7114
65.000000, 79.446, -23.4045
66.000000, 79.627, -19.1968
67.000000, 79.522, -21.0852
68.000000, 79.622, -24.3900
69.000000, 79.801, -23.3857
70.000000, 79.767, -21.1484
71.000000, 79.432, -20.8661
72.000000, 79.081, -21.1565
73.000000, 78.950, -21.9273
74.000000, 78.917, -24.1416
75.000000, 78.815, -25.6490
76.199997, 78.752, -24.1318
77.500000, 78.970, -23.1037
78.800003, 78.938, -24.9257
80.000000, 78.685, -25.9256
81.199997, 78.646, -26.3810
82.500000, 78.581, -26.5742
83.800003, 78.395, -26.3334
85.000000, 78.306, -26.5291
86.199997, 78.271, -26.2109
87.500000, 78.132, -25.7836
88.500000, 77.915, -26.5050
90.000000, 77.774, -27.9649
91.199997, 77.979, -28.0384
92.500000, 78.048, -28.4383
93.800003, 77.876, -28.1894
95.000000, 77.737, -27.3997
96.199997, 77.629, -27.1186
97.500000, 77.555, -27.7941
98.800003, 77.518, -28.9144
100.000000, 77.470, -28.7582
101.500000, 77.293, -27.8085
103.000000, 77.280, -28.2988
104.400002, 77.306, -27.8119
106.000000, 77.120, -25.2541
107.500000, 77.173, -23.2205
109.000000, 77.265, -22.5695
110.599998, 77.391, -21.9892
112.000000, 77.395, -20.5383
113.800003, 77.464, -23.3046
115.000000, 77.512, -25.6680
117.199997, 77.681, -27.2052
118.000000, 77.788, -27.9485
120.599998, 77.764, -28.8527
122.000000, 77.593, -28.7985
124.099998, 77.535, -29.8408
125.000000, 77.518, -30.1955
126.500000, 77.397, -30.5546
128.000000, 77.221, -30.6679
131.500000, 77.084, -30.4920
132.000000, 77.084, -30.5130
134.000000, 77.116, -31.0523
136.000000, 77.099, -31.2525
138.000000, 76.978, -31.2295
140.000000, 76.831, -31.3634
143.000000, 76.760, -31.6836
145.000000, 76.689, -31.8731
147.500000, 76.596, -32.2140
150.000000, 76.515, -32.4084
152.500000, 76.452, -32.5726
155.000000, 76.389, -32.6015
157.500000, 76.317, -32.6992
160.000000, 76.242, -32.8669
162.500000, 76.175, -32.9917
165.000000, 76.108, -32.9106
167.500000, 76.036, -32.9813
170.000000, 75.980, -33.2342
172.500000, 75.942, -33.3124
175.000000, 75.895, -33.3516
177.500000, 75.836, -33.4447
180.000000, 75.783, -33.5285
182.500000, 75.723, -33.6223
185.000000, 75.672, -33.6383
187.500000, 75.615, -33.6782
190.000000, 75.559, -33.7580
192.500000, 75.512, -33.7735
195.000000, 75.466, -33.7808
197.500000, 75.415, -33.8699
200.000000, 75.359, -33.9385
203.000000, 75.300, -33.9842
206.000000, 75.253, -33.9893
209.000000, 75.198, -33.9765
212.000000, 75.129, -34.0284
214.000000, 75.083, -34.0469
218.000000, 74.993, -34.0673
220.000000, 74.952, -34.0570
224.000000, 74.884, -34.0077
227.000000, 74.823, -33.9873
230.000000, 74.753, -33.8987
233.000000, 74.671, -33.6731
236.000000, 74.589, -33.2586
240.000000, 74.500, -32.5734
243.000000, 74.459, -31.8041
247.000000, 74.447, -30.5731
250.000000, 74.514, -29.4796
254.000000, 74.705, -28.2956
258.000000, 74.937, -28.3100
262.000000, 75.118, -29.2515
265.000000, 75.194, -30.0993
