* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 2, 2024 3:28:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Stock Narrow M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.128, 18.0844
20.600000, 81.145, 17.4351
20.900000, 81.150, 16.8156
21.200001, 81.145, 16.3207
21.400000, 81.138, 16.0428
21.799999, 81.129, 15.5052
22.000000, 81.127, 15.1945
22.400000, 81.128, 14.4172
22.700001, 81.129, 13.7113
23.000000, 81.128, 12.9680
23.299999, 81.129, 12.2730
23.600000, 81.135, 11.6993
24.000000, 81.155, 11.1725
24.299999, 81.180, 10.9293
24.700001, 81.218, 10.6987
25.000000, 81.242, 10.5129
25.400000, 81.255, 10.1610
25.799999, 81.244, 9.6650
26.200001, 81.210, 9.0763
26.500000, 81.179, 8.6324
26.900000, 81.143, 8.1047
27.200001, 81.127, 7.7623
27.600000, 81.126, 7.3088
28.000000, 81.136, 6.7264
28.500000, 81.131, 5.6757
29.000000, 81.079, 4.3898
29.500000, 81.005, 3.2596
30.000000, 80.980, 2.5966
30.400000, 81.027, 2.3597
30.700001, 81.088, 2.2468
31.100000, 81.169, 2.0855
31.500000, 81.205, 1.9059
32.000000, 81.166, 1.7484
32.500000, 81.084, 1.6518
33.000000, 81.031, 1.3629
33.500000, 81.028, 0.6938
34.000000, 81.047, -0.1517
34.500000, 81.065, -0.7638
35.000000, 81.084, -1.0245
35.500000, 81.100, -1.2488
36.000000, 81.084, -1.7836
36.500000, 81.020, -2.6101
37.000000, 80.943, -3.4084
37.500000, 80.912, -3.9233
38.200001, 80.953, -4.1984
38.700001, 80.976, -4.2165
39.500000, 80.909, -4.1830
40.000000, 80.830, -4.3924
40.599998, 80.744, -5.0656
41.200001, 80.702, -5.9205
