* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 2, 2024 3:25:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Stock Wide M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.379, 18.1480
20.600000, 81.388, 17.5972
20.900000, 81.399, 16.9071
21.200001, 81.407, 16.1881
21.400000, 81.412, 15.7382
21.799999, 81.423, 15.0045
22.000000, 81.433, 14.7372
22.400000, 81.466, 14.3545
22.700001, 81.498, 14.1152
23.000000, 81.529, 13.8373
23.299999, 81.549, 13.4829
23.600000, 81.553, 13.0541
24.000000, 81.536, 12.4128
24.299999, 81.516, 11.9083
24.700001, 81.493, 11.2030
25.000000, 81.484, 10.6290
25.400000, 81.476, 9.7957
25.799999, 81.465, 8.9468
26.200001, 81.448, 8.1984
26.500000, 81.441, 7.7507
26.900000, 81.451, 7.2755
27.200001, 81.475, 6.9383
27.600000, 81.511, 6.4174
28.000000, 81.517, 5.8173
28.500000, 81.449, 5.1997
29.000000, 81.331, 5.0701
29.500000, 81.268, 5.3516
30.000000, 81.335, 5.3698
30.400000, 81.456, 4.7412
30.700001, 81.546, 3.8655
31.100000, 81.620, 2.3674
31.500000, 81.618, 0.8739
32.000000, 81.529, -0.4654
32.500000, 81.417, -1.0227
33.000000, 81.351, -1.1212
33.500000, 81.337, -1.2553
34.000000, 81.338, -1.6320
34.500000, 81.321, -2.0902
35.000000, 81.288, -2.3970
35.500000, 81.263, -2.5289
36.000000, 81.255, -2.6739
36.500000, 81.249, -3.0036
37.000000, 81.230, -3.5007
37.500000, 81.200, -4.0331
38.200001, 81.170, -4.7393
38.700001, 81.156, -5.2872
39.500000, 81.104, -6.2362
40.000000, 81.052, -6.7132
40.599998, 81.002, -7.0765
41.200001, 80.984, -7.3165
41.799999, 80.986, -7.5768
42.500000, 80.988, -8.0028
43.099998, 80.977, -8.5034
43.700001, 80.949, -9.0902
44.400002, 80.895, -9.7203
45.000000, 80.849, -10.1058
45.500000, 80.823, -10.3345
46.200001, 80.813, -10.6415
46.799999, 80.816, -10.9836
47.500000, 80.802, -11.4520
48.200001, 80.753, -11.8733
48.700001, 80.710, -12.1319
49.400002, 80.661, -12.5519
50.000000, 80.631, -13.0325
50.799999, 80.590, -13.6863
51.500000, 80.554, -14.0860
52.200001, 80.527, -14.3838
53.000000, 80.500, -14.7832
53.799999, 80.453, -15.2337
54.500000, 80.393, -15.5927
55.200001, 80.331, -15.9483
56.000000, 80.280, -16.4321
57.000000, 80.241, -17.0311
58.000000, 80.202, -17.2210
59.000000, 80.188, -17.2613
60.000000, 80.169, -17.8225
60.799999, 80.106, -18.4534
61.500000, 80.015, -18.8002
62.200001, 79.910, -18.8139
63.000000, 79.807, -18.5420
64.000000, 79.726, -18.4932
65.000000, 79.683, -19.3718
66.000000, 79.683, -20.6048
67.000000, 79.710, -21.3210
68.000000, 79.689, -21.5335
69.000000, 79.621, -21.7880
70.000000, 79.556, -22.2219
71.000000, 79.509, -22.5208
72.000000, 79.471, -22.7029
73.000000, 79.431, -22.8870
74.000000, 79.391, -23.0656
75.000000, 79.334, -23.4080
76.199997, 79.254, -23.9769
77.500000, 79.195, -24.4810
78.800003, 79.151, -24.8149
80.000000, 79.117, -25.0730
81.199997, 79.057, -25.3207
82.500000, 78.979, -25.7049
83.800003, 78.912, -26.0536
85.000000, 78.853, -26.2392
86.199997, 78.803, -26.5000
87.500000, 78.751, -26.7649
88.500000, 78.696, -26.9658
90.000000, 78.609, -27.1969
91.199997, 78.559, -27.3179
92.500000, 78.502, -27.5244
93.800003, 78.449, -27.8120
95.000000, 78.399, -28.0813
96.199997, 78.347, -28.2699
97.500000, 78.298, -28.4807
98.800003, 78.240, -28.6922
100.000000, 78.187, -28.8459
101.500000, 78.129, -29.0769
103.000000, 78.070, -29.3389
104.400002, 78.013, -29.5584
106.000000, 77.956, -29.7878
107.500000, 77.901, -30.0087
109.000000, 77.839, -30.2382
110.599998, 77.773, -30.4103
112.000000, 77.722, -30.5584
113.800003, 77.657, -30.7787
115.000000, 77.615, -30.9234
117.199997, 77.542, -31.1439
118.000000, 77.517, -31.2301
120.599998, 77.434, -31.4433
122.000000, 77.386, -31.5857
124.099998, 77.317, -31.7825
125.000000, 77.287, -31.8405
126.500000, 77.236, -31.9223
128.000000, 77.183, -32.0023
131.500000, 77.073, -32.2861
132.000000, 77.060, -32.3331
134.000000, 77.004, -32.5257
136.000000, 76.940, -32.6239
138.000000, 76.885, -32.7882
140.000000, 76.830, -32.9763
143.000000, 76.721, -33.1483
145.000000, 76.667, -33.3313
147.500000, 76.619, -33.5255
150.000000, 76.566, -33.6311
152.500000, 76.500, -33.7620
155.000000, 76.442, -33.9397
157.500000, 76.375, -33.9713
160.000000, 76.310, -33.9835
162.500000, 76.261, -34.1299
165.000000, 76.209, -34.2658
167.500000, 76.147, -34.3739
170.000000, 76.097, -34.4291
172.500000, 76.050, -34.5287
175.000000, 76.004, -34.5732
177.500000, 75.949, -34.6693
180.000000, 75.901, -34.7645
182.500000, 75.864, -34.8904
185.000000, 75.821, -34.9548
187.500000, 75.774, -35.0227
190.000000, 75.724, -35.0781
192.500000, 75.688, -35.1174
195.000000, 75.658, -35.2031
197.500000, 75.620, -35.3091
200.000000, 75.582, -35.4045
203.000000, 75.544, -35.5060
206.000000, 75.511, -35.6086
209.000000, 75.477, -35.6533
212.000000, 75.435, -35.7545
214.000000, 75.402, -35.8320
218.000000, 75.350, -35.9099
220.000000, 75.325, -35.9684
224.000000, 75.270, -36.0546
227.000000, 75.235, -36.0916
230.000000, 75.206, -36.1264
233.000000, 75.180, -36.2114
236.000000, 75.147, -36.2914
240.000000, 75.113, -36.2837
243.000000, 75.092, -36.3595
247.000000, 75.057, -36.5077
250.000000, 75.028, -36.6048
254.000000, 74.990, -36.6521
258.000000, 74.958, -36.7959
262.000000, 74.931, -36.9192
265.000000, 74.908, -36.9355
269.000000, 74.877, -36.9480
272.000000, 74.860, -37.0235
276.000000, 74.842, -37.1771
280.000000, 74.820, -37.3381
285.000000, 74.797, -37.4305
290.000000, 74.775, -37.5478
295.000000, 74.745, -37.6969
300.000000, 74.730, -37.8183
304.000000, 74.721, -37.9268
307.000000, 74.714, -38.0199
311.000000, 74.702, -38.1264
315.000000, 74.689, -38.1750
320.000000, 74.672, -38.2130
325.000000, 74.654, -38.3318
330.000000, 74.642, -38.5055
335.000000, 74.637, -38.6123
340.000000, 74.632, -38.7563
345.000000, 74.631, -38.9281
350.000000, 74.634, -39.0540
355.000000, 74.626, -39.2047
360.000000, 74.618, -39.3752
365.000000, 74.623, -39.5115
370.000000, 74.627, -39.6762
375.000000, 74.627, -39.8587
382.000000, 74.627, -40.0865
387.000000, 74.626, -40.2606
395.000000, 74.632, -40.4751
400.000000, 74.638, -40.6774
