* Measurement data measured by REW V5.40 beta 102
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Oct 9, 2025 7:45:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (TE Dbl Flg Wt Deepest) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 79.505, 19.1161
20.600000, 79.612, 20.5141
20.900000, 79.880, 21.6278
21.200001, 80.224, 21.7072
21.400000, 80.427, 21.1016
21.799999, 80.633, 18.7067
22.000000, 80.609, 17.2259
22.400000, 80.335, 14.5331
22.700001, 80.027, 13.2832
23.000000, 79.763, 12.8957
23.299999, 79.649, 13.1245
23.600000, 79.718, 13.4273
24.000000, 79.978, 13.2212
24.299999, 80.160, 12.5769
24.700001, 80.245, 11.6731
25.000000, 80.183, 11.4573
25.400000, 80.030, 12.1170
25.799999, 79.967, 13.3763
26.200001, 80.085, 14.0668
26.500000, 80.256, 13.6874
26.900000, 80.492, 12.0663
27.200001, 80.619, 10.4423
27.600000, 80.698, 8.4355
28.000000, 80.692, 7.0969
28.500000, 80.615, 6.3385
29.000000, 80.488, 5.9532
29.500000, 80.333, 5.4862
30.000000, 80.241, 4.9619
30.400000, 80.287, 4.5253
30.700001, 80.393, 4.1252
31.100000, 80.573, 3.4400
31.500000, 80.705, 2.6686
32.000000, 80.700, 1.9352
32.500000, 80.513, 1.7856
33.000000, 80.264, 2.0804
33.500000, 80.073, 2.2721
34.000000, 79.982, 2.0222
34.500000, 79.973, 1.5423
35.000000, 80.023, 1.1878
35.500000, 80.109, 0.9963
36.000000, 80.197, 0.7629
36.500000, 80.262, 0.3824
37.000000, 80.315, -0.0775
37.500000, 80.382, -0.5883
38.200001, 80.462, -1.5741
38.700001, 80.430, -2.4894
39.500000, 80.171, -3.8580
40.000000, 79.977, -4.4995
40.599998, 79.839, -5.1840
41.200001, 79.829, -5.7351
41.799999, 79.901, -5.8014
42.500000, 80.026, -5.2808
43.099998, 80.097, -4.9655
43.700001, 80.054, -5.1634
44.400002, 79.882, -5.6706
45.000000, 79.767, -5.9985
45.500000, 79.765, -6.2874
46.200001, 79.860, -6.9526
46.799999, 79.933, -7.6660
47.500000, 79.935, -8.4234
48.200001, 79.849, -9.0258
48.700001, 79.759, -9.3251
49.400002, 79.665, -9.5457
50.000000, 79.647, -9.7410
50.799999, 79.646, -10.2738
51.500000, 79.584, -10.7422
52.200001, 79.495, -10.9618
53.000000, 79.453, -11.1866
53.799999, 79.498, -11.7013
54.500000, 79.564, -12.3431
55.200001, 79.587, -12.9416
56.000000, 79.532, -13.1178
57.000000, 79.472, -12.7669
58.000000, 79.402, -13.0760
59.000000, 79.254, -13.4979
60.000000, 79.197, -14.4017
60.799999, 79.118, -15.5604
61.500000, 79.020, -15.8300
62.200001, 78.992, -15.3709
63.000000, 79.022, -15.0824
64.000000, 78.979, -15.6122
65.000000, 78.870, -16.4840
66.000000, 78.780, -17.0777
67.000000, 78.740, -17.2758
68.000000, 78.713, -17.5700
69.000000, 78.682, -17.9006
70.000000, 78.665, -18.1160
71.000000, 78.640, -18.2505
72.000000, 78.604, -18.5018
73.000000, 78.563, -18.8771
74.000000, 78.532, -19.2582
75.000000, 78.485, -19.6924
76.199997, 78.398, -20.1251
77.500000, 78.317, -20.5305
78.800003, 78.243, -20.8018
80.000000, 78.192, -21.1503
81.199997, 78.153, -21.3337
82.500000, 78.124, -21.2433
83.800003, 78.074, -21.2978
85.000000, 78.024, -21.4809
86.199997, 77.955, -21.8378
87.500000, 77.872, -22.4604
88.500000, 77.830, -22.8878
90.000000, 77.762, -23.1430
91.199997, 77.708, -23.2334
92.500000, 77.681, -23.3296
93.800003, 77.641, -23.5534
95.000000, 77.593, -23.8634
96.199997, 77.545, -24.0996
97.500000, 77.484, -24.1673
98.800003, 77.440, -24.2066
100.000000, 77.392, -24.3111
101.500000, 77.313, -24.6081
103.000000, 77.258, -24.8742
104.400002, 77.207, -24.9388
106.000000, 77.150, -25.1462
107.500000, 77.105, -25.3295
109.000000, 77.061, -25.4636
110.599998, 77.011, -25.5785
112.000000, 76.974, -25.7432
113.800003, 76.920, -26.0287
115.000000, 76.876, -26.1718
117.199997, 76.796, -26.3440
118.000000, 76.764, -26.4032
120.599998, 76.650, -26.5919
122.000000, 76.600, -26.6631
124.099998, 76.536, -26.8618
125.000000, 76.512, -26.9486
126.500000, 76.473, -27.0584
128.000000, 76.428, -27.1492
131.500000, 76.313, -27.2709
132.000000, 76.294, -27.2919
134.000000, 76.226, -27.4025
136.000000, 76.183, -27.4645
138.000000, 76.139, -27.5676
140.000000, 76.084, -27.7133
143.000000, 76.020, -27.9429
145.000000, 75.975, -28.0187
147.500000, 75.913, -28.1170
150.000000, 75.841, -28.1411
152.500000, 75.767, -28.2173
155.000000, 75.700, -28.3773
157.500000, 75.650, -28.4824
160.000000, 75.603, -28.5264
162.500000, 75.560, -28.5564
165.000000, 75.528, -28.6191
167.500000, 75.473, -28.6281
170.000000, 75.412, -28.7127
172.500000, 75.359, -28.8045
175.000000, 75.311, -28.7927
177.500000, 75.267, -28.8221
180.000000, 75.218, -28.8718
182.500000, 75.167, -28.9371
185.000000, 75.120, -28.9453
187.500000, 75.078, -28.9258
190.000000, 75.042, -28.9456
192.500000, 75.008, -29.0478
195.000000, 74.972, -29.1646
197.500000, 74.940, -29.1877
200.000000, 74.907, -29.1364
203.000000, 74.870, -29.0709
206.000000, 74.832, -29.0814
209.000000, 74.793, -29.0936
212.000000, 74.753, -29.1394
214.000000, 74.729, -29.2028
218.000000, 74.681, -29.2765
220.000000, 74.657, -29.2873
224.000000, 74.617, -29.3191
227.000000, 74.587, -29.3093
230.000000, 74.553, -29.2605
233.000000, 74.523, -29.2618
236.000000, 74.495, -29.3007
240.000000, 74.459, -29.2809
243.000000, 74.438, -29.2965
247.000000, 74.405, -29.3514
250.000000, 74.383, -29.4024
254.000000, 74.361, -29.4506
258.000000, 74.339, -29.4300
262.000000, 74.308, -29.4560
265.000000, 74.286, -29.4836
269.000000, 74.266, -29.4841
272.000000, 74.249, -29.4842
276.000000, 74.225, -29.5049
280.000000, 74.206, -29.5614
285.000000, 74.185, -29.5858
290.000000, 74.163, -29.5830
295.000000, 74.141, -29.6154
300.000000, 74.135, -29.6770
304.000000, 74.132, -29.7176
307.000000, 74.125, -29.7295
311.000000, 74.113, -29.7788
315.000000, 74.101, -29.8183
320.000000, 74.095, -29.8620
325.000000, 74.083, -29.9009
330.000000, 74.078, -29.9794
335.000000, 74.068, -30.0535
340.000000, 74.055, -30.0734
345.000000, 74.052, -30.0723
350.000000, 74.056, -30.1086
355.000000, 74.058, -30.1642
360.000000, 74.059, -30.2072
365.000000, 74.064, -30.2757
370.000000, 74.071, -30.3610
375.000000, 74.076, -30.4285
382.000000, 74.073, -30.5311
387.000000, 74.073, -30.6263
395.000000, 74.081, -30.8160
400.000000, 74.087, -30.8656
406.000000, 74.093, -30.9366
412.000000, 74.107, -31.0672
418.000000, 74.123, -31.2050
425.000000, 74.133, -31.3076
431.000000, 74.145, -31.4020
437.000000, 74.162, -31.5296
444.000000, 74.180, -31.6671
450.000000, 74.195, -31.8125
455.000000, 74.211, -31.9586
462.000000, 74.233, -32.1597
468.000000, 74.248, -32.2845
475.000000, 74.266, -32.4343
482.000000, 74.286, -32.6005
487.000000, 74.297, -32.7256
494.000000, 74.311, -32.9125
500.000000, 74.323, -33.0896
508.000000, 74.344, -33.3265
515.000000, 74.366, -33.5190
522.000000, 74.386, -33.7318
530.000000, 74.414, -33.9629
538.000000, 74.437, -34.1992
545.000000, 74.455, -34.3986
552.000000, 74.470, -34.6213
560.000000, 74.486, -34.8612
570.000000, 74.502, -35.1221
580.000000, 74.515, -35.4147
590.000000, 74.528, -35.7018
600.000000, 74.532, -35.9422
608.000000, 74.534, -36.1205
615.000000, 74.538, -36.2915
622.000000, 74.544, -36.4686
630.000000, 74.548, -36.6713
640.000000, 74.550, -36.8873
650.000000, 74.554, -37.0783
660.000000, 74.551, -37.2886
670.000000, 74.546, -37.4685
680.000000, 74.543, -37.6054
690.000000, 74.535, -37.7371
700.000000, 74.528, -37.8666
710.000000, 74.521, -37.9531
720.000000, 74.511, -37.9980
730.000000, 74.498, -38.0149
740.000000, 74.490, -38.0248
750.000000, 74.485, -38.0224
762.000000, 74.481, -37.9773
775.000000, 74.476, -37.8480
788.000000, 74.470, -37.6960
800.000000, 74.469, -37.5705
812.000000, 74.470, -37.3729
825.000000, 74.477, -37.0735
838.000000, 74.487, -36.7645
850.000000, 74.498, -36.4875
862.000000, 74.515, -36.1645
875.000000, 74.535, -35.7699
885.000000, 74.552, -35.4418
900.000000, 74.589, -34.9209
912.000000, 74.624, -34.5004
925.000000, 74.667, -34.0573
938.000000, 74.720, -33.6165
950.000000, 74.775, -33.1932
962.000000, 74.831, -32.7616
975.000000, 74.896, -32.2980
988.000000, 74.961, -31.8657
1000.000000, 75.027, -31.4972
1015.000000, 75.124, -31.0252
1030.000000, 75.228, -30.5761
1044.000000, 75.324, -30.1765
1060.000000, 75.438, -29.7672
1075.000000, 75.555, -29.4380
1090.000000, 75.675, -29.1450
1106.000000, 75.801, -28.8835
1120.000000, 75.912, -28.6966
1138.000000, 76.059, -28.5181
1150.000000, 76.157, -28.4595
1172.000000, 76.330, -28.4039
1180.000000, 76.389, -28.3901
1206.000000, 76.573, -28.4025
1220.000000, 76.669, -28.4534
1241.000000, 76.807, -28.5610
1250.000000, 76.863, -28.6228
1265.000000, 76.954, -28.7361
1280.000000, 77.041, -28.8474
1315.000000, 77.224, -29.0807
1320.000000, 77.249, -29.1228
1340.000000, 77.341, -29.3054
1360.000000, 77.421, -29.4693
1380.000000, 77.493, -29.6329
1400.000000, 77.564, -29.7964
1430.000000, 77.665, -30.0184
1450.000000, 77.725, -30.1284
1475.000000, 77.793, -30.2483
1500.000000, 77.852, -30.3271
1525.000000, 77.903, -30.3848
1550.000000, 77.944, -30.4103
1575.000000, 77.976, -30.3810
1600.000000, 78.003, -30.3073
1625.000000, 78.022, -30.1647
1650.000000, 78.033, -29.8970
1675.000000, 78.043, -29.5246
1700.000000, 78.058, -29.0618
1725.000000, 78.088, -28.5369
1750.000000, 78.134, -27.9361
1775.000000, 78.194, -27.2523
1800.000000, 78.269, -26.5558
1825.000000, 78.364, -25.8847
1850.000000, 78.470, -25.2585
1875.000000, 78.582, -24.6894
1900.000000, 78.694, -24.1771
1925.000000, 78.806, -23.7155
1950.000000, 78.920, -23.3008
1975.000000, 79.033, -22.9199
2000.000000, 79.145, -22.5523
2030.000000, 79.279, -22.1482
2060.000000, 79.412, -21.7436
2090.000000, 79.550, -21.3314
2120.000000, 79.695, -20.9069
2140.000000, 79.796, -20.6323
2180.000000, 80.014, -20.1471
2200.000000, 80.133, -19.9657
2240.000000, 80.379, -19.7715
2270.000000, 80.560, -19.7543
2300.000000, 80.730, -19.8418
2330.000000, 80.890, -19.9966
2360.000000, 81.041, -20.2030
2400.000000, 81.235, -20.5357
2430.000000, 81.378, -20.8214
2470.000000, 81.566, -21.2414
2500.000000, 81.703, -21.5938
2540.000000, 81.880, -22.1255
2580.000000, 82.054, -22.7408
2620.000000, 82.220, -23.4843
2650.000000, 82.337, -24.1119
2690.000000, 82.475, -25.0219
2720.000000, 82.565, -25.7586
2760.000000, 82.669, -26.7845
2800.000000, 82.752, -27.8425
2850.000000, 82.826, -29.1889
2900.000000, 82.872, -30.5452
2950.000000, 82.890, -31.9031
3000.000000, 82.880, -33.2241
3040.000000, 82.853, -34.2269
3070.000000, 82.823, -34.9594
3110.000000, 82.770, -35.9034
3150.000000, 82.705, -36.8010
3200.000000, 82.605, -37.8364
3250.000000, 82.488, -38.7494
3300.000000, 82.360, -39.5381
3350.000000, 82.227, -40.2161
3400.000000, 82.089, -40.7811
3450.000000, 81.945, -41.2526
3500.000000, 81.800, -41.6465
3550.000000, 81.655, -41.9586
3600.000000, 81.511, -42.1877
3650.000000, 81.368, -42.3476
3700.000000, 81.224, -42.4209
3750.000000, 81.079, -42.4037
3820.000000, 80.884, -42.2984
3870.000000, 80.752, -42.1825
3950.000000, 80.548, -41.9291
4000.000000, 80.423, -41.7467
4060.000000, 80.275, -41.4831
4120.000000, 80.133, -41.1780
4180.000000, 80.001, -40.8483
4250.000000, 79.853, -40.4808
4310.000000, 79.729, -40.2330
4370.000000, 79.595, -40.0450
4440.000000, 79.420, -39.8596
4500.000000, 79.246, -39.6841
4550.000000, 79.080, -39.4563
4620.000000, 78.822, -38.9212
4680.000000, 78.588, -38.1172
4750.000000, 78.328, -36.6098
4820.000000, 78.144, -34.4812
4870.000000, 78.097, -32.7566
4940.000000, 78.164, -30.6027
5000.000000, 78.309, -29.4392
5080.000000, 78.520, -29.0877
5150.000000, 78.642, -29.6316
5220.000000, 78.673, -30.6052
5300.000000, 78.598, -31.9090
5380.000000, 78.418, -33.1674
5450.000000, 78.190, -34.1013
5520.000000, 77.908, -34.8258
5600.000000, 77.533, -35.3520
5700.000000, 77.010, -35.4462
5800.000000, 76.448, -34.8912
5900.000000, 75.869, -33.6223
6000.000000, 75.292, -31.6193
6080.000000, 74.850, -29.4690
6150.000000, 74.487, -27.1845
6220.000000, 74.154, -24.5539
6300.000000, 73.825, -21.1743
6400.000000, 73.530, -16.4378
6500.000000, 73.403, -11.3714
6600.000000, 73.462, -6.3640
6700.000000, 73.704, -1.8829
6800.000000, 74.085, 1.5309
6900.000000, 74.527, 3.6121
7000.000000, 74.944, 4.3843
7100.000000, 75.267, 4.1427
7200.000000, 75.458, 3.3210
7300.000000, 75.511, 2.3998
7400.000000, 75.458, 1.7092
7500.000000, 75.349, 1.4100
7620.000000, 75.201, 1.5702
7750.000000, 75.073, 2.1742
7880.000000, 75.009, 2.8974
8000.000000, 75.030, 3.3323
8120.000000, 75.126, 3.0479
8250.000000, 75.257, 1.3411
8380.000000, 75.253, -2.2129
8500.000000, 74.938, -6.6543
8620.000000, 74.230, -10.9251
8750.000000, 73.075, -13.7926
8850.000000, 72.020, -14.0767
9000.000000, 70.378, -11.1841
9120.000000, 69.171, -6.2689
9250.000000, 68.094, 1.1293
9380.000000, 67.323, 9.9144
9500.000000, 66.885, 18.6373
9620.000000, 66.706, 27.5462
9750.000000, 66.785, 37.1667
9880.000000, 67.156, 46.1980
10000.000000, 67.702, 53.5522
10150.000000, 68.568, 61.4428
10300.000000, 69.602, 67.9483
10440.000000, 70.705, 72.8042
10600.000000, 72.098, 76.7021
10750.000000, 73.505, 78.4495
10900.000000, 74.954, 78.1026
11060.000000, 76.446, 75.1503
11200.000000, 77.591, 70.4054
11380.000000, 78.678, 61.9449
11500.000000, 79.103, 55.4789
11720.000000, 79.263, 43.8333
11800.000000, 79.145, 40.0597
12060.000000, 78.368, 31.3761
12200.000000, 77.948, 29.1162
12410.000000, 77.697, 28.2313
12500.000000, 77.898, 27.8804
12650.000000, 78.429, 23.7113
12800.000000, 78.441, 16.0008
13150.000000, 76.886, 2.4877
13200.000000, 76.609, 1.2318
13400.000000, 75.464, -2.4537
13600.000000, 74.324, -4.1081
13800.000000, 73.290, -4.0076
14000.000000, 72.451, -2.5643
14300.000000, 71.694, 0.8208
14500.000000, 71.577, 2.5641
14750.000000, 71.782, 2.3678
15000.000000, 72.107, -1.6630
15250.000000, 72.128, -9.3426
15500.000000, 71.525, -18.2849
15750.000000, 70.377, -25.7508
16000.000000, 68.997, -30.6401
16250.000000, 67.655, -33.3930
16500.000000, 66.465, -35.2978
16750.000000, 65.362, -37.4257
17000.000000, 64.196, -40.2764
17250.000000, 62.814, -43.4026
17500.000000, 61.086, -45.8458
17750.000000, 59.004, -46.1503
18000.000000, 56.706, -42.8441
18250.000000, 54.579, -34.5038
18500.000000, 53.243, -25.3921
18750.000000, 52.241, -22.0345
19000.000000, 50.922, -21.8556
19250.000000, 49.241, -23.1258
19500.000000, 47.189, -25.3554
19750.000000, 44.925, -27.9412
