* Measurement data measured by REW V5.40 beta 98
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Sep 3, 2025 1:07:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (TE Dbl Flg Wt) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.741, 17.8614
20.600000, 80.749, 17.4163
20.900000, 80.758, 16.9144
21.200001, 80.765, 16.4020
21.400000, 80.770, 16.0553
21.799999, 80.780, 15.3536
22.000000, 80.784, 15.0033
22.400000, 80.790, 14.3178
22.700001, 80.794, 13.8251
23.000000, 80.798, 13.3528
23.299999, 80.802, 12.8979
23.600000, 80.806, 12.4545
24.000000, 80.811, 11.8715
24.299999, 80.814, 11.4358
24.700001, 80.816, 10.8544
25.000000, 80.817, 10.4178
25.400000, 80.817, 9.8358
25.799999, 80.816, 9.2579
26.200001, 80.814, 8.6934
26.500000, 80.812, 8.2867
26.900000, 80.810, 7.7742
27.200001, 80.810, 7.4111
27.600000, 80.812, 6.9436
28.000000, 80.814, 6.4742
28.500000, 80.815, 5.8607
29.000000, 80.808, 5.2257
29.500000, 80.795, 4.6084
30.000000, 80.781, 4.0367
30.400000, 80.774, 3.6046
30.700001, 80.770, 3.2836
31.100000, 80.763, 2.8510
31.500000, 80.751, 2.4169
32.000000, 80.727, 1.8961
32.500000, 80.701, 1.4144
33.000000, 80.681, 0.9455
33.500000, 80.667, 0.4460
34.000000, 80.649, -0.0838
34.500000, 80.623, -0.5846
35.000000, 80.595, -1.0032
35.500000, 80.575, -1.3645
36.000000, 80.566, -1.7542
36.500000, 80.557, -2.2244
37.000000, 80.536, -2.7318
37.500000, 80.505, -3.1920
38.200001, 80.470, -3.7361
38.700001, 80.457, -4.1421
39.500000, 80.438, -4.8955
40.000000, 80.417, -5.3417
40.599998, 80.392, -5.7963
41.200001, 80.372, -6.2291
41.799999, 80.347, -6.6833
42.500000, 80.307, -7.1698
43.099998, 80.277, -7.5289
43.700001, 80.250, -7.9053
44.400002, 80.209, -8.3816
45.000000, 80.166, -8.7441
45.500000, 80.138, -9.0049
46.200001, 80.114, -9.3927
46.799999, 80.091, -9.7680
47.500000, 80.053, -10.1844
48.200001, 80.021, -10.5899
48.700001, 80.004, -10.9306
49.400002, 79.977, -11.4489
50.000000, 79.945, -11.8101
50.799999, 79.901, -12.1443
51.500000, 79.866, -12.4651
52.200001, 79.827, -12.8625
53.000000, 79.789, -13.3021
53.799999, 79.759, -13.7020
54.500000, 79.723, -14.0153
55.200001, 79.681, -14.2845
56.000000, 79.639, -14.6333
57.000000, 79.586, -15.1224
58.000000, 79.546, -15.4920
59.000000, 79.516, -15.9983
60.000000, 79.445, -16.4818
60.799999, 79.385, -16.7189
61.500000, 79.344, -16.9406
62.200001, 79.309, -17.1877
63.000000, 79.272, -17.4332
64.000000, 79.219, -17.7132
65.000000, 79.159, -18.0677
66.000000, 79.110, -18.4992
