* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 3, 2024 12:07:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Velvet M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.366, 16.8524
20.600000, 81.388, 16.5328
20.900000, 81.404, 16.1643
21.200001, 81.408, 15.7532
21.400000, 81.406, 15.4434
21.799999, 81.399, 14.7181
22.000000, 81.397, 14.3023
22.400000, 81.398, 13.3914
22.700001, 81.403, 12.6790
23.000000, 81.408, 11.9880
23.299999, 81.409, 11.3567
23.600000, 81.400, 10.8109
24.000000, 81.372, 10.2285
24.299999, 81.340, 9.8882
24.700001, 81.293, 9.5180
25.000000, 81.265, 9.2624
25.400000, 81.249, 8.8863
25.799999, 81.266, 8.4095
26.200001, 81.308, 7.8074
26.500000, 81.343, 7.2919
26.900000, 81.377, 6.5824
27.200001, 81.386, 6.0810
27.600000, 81.378, 5.4962
28.000000, 81.361, 4.9973
28.500000, 81.348, 4.3905
29.000000, 81.355, 3.6798
29.500000, 81.365, 2.8793
30.000000, 81.356, 2.1477
30.400000, 81.334, 1.7090
30.700001, 81.313, 1.4661
31.100000, 81.290, 1.1980
31.500000, 81.280, 0.8924
32.000000, 81.283, 0.3485
32.500000, 81.286, -0.3473
33.000000, 81.268, -1.0237
33.500000, 81.226, -1.5334
34.000000, 81.173, -1.8898
34.500000, 81.125, -2.2446
35.000000, 81.094, -2.7239
35.500000, 81.083, -3.3107
36.000000, 81.088, -3.8890
36.500000, 81.101, -4.3733
37.000000, 81.103, -4.7740
37.500000, 81.082, -5.1509
38.200001, 81.024, -5.7176
38.700001, 80.988, -6.1647
39.500000, 80.962, -6.9075
40.000000, 80.949, -7.3294
40.599998, 80.923, -7.7716
41.200001, 80.890, -8.2264
41.799999, 80.859, -8.7649
42.500000, 80.824, -9.3820
43.099998, 80.787, -9.7512
43.700001, 80.745, -10.0192
44.400002, 80.698, -10.4377
45.000000, 80.663, -10.9199
45.500000, 80.644, -11.2975
46.200001, 80.625, -11.6931
46.799999, 80.591, -12.0163
47.500000, 80.516, -12.5396
48.200001, 80.444, -13.1549
48.700001, 80.428, -13.5288
49.400002, 80.456, -13.8659
50.000000, 80.476, -14.0223
50.799999, 80.445, -14.2508
51.500000, 80.381, -14.6477
52.200001, 80.320, -15.1521
53.000000, 80.262, -15.5758
53.799999, 80.215, -15.9141
54.500000, 80.187, -16.4129
55.200001, 80.173, -17.0107
56.000000, 80.145, -17.3589
57.000000, 80.031, -17.0595
58.000000, 79.944, -17.0283
59.000000, 79.972, -17.9815
60.000000, 79.968, -18.4814
60.799999, 79.925, -18.6939
61.500000, 79.864, -19.4290
62.200001, 79.799, -20.2309
63.000000, 79.792, -20.3699
64.000000, 79.789, -20.1557
65.000000, 79.619, -20.4520
66.000000, 79.503, -21.1313
67.000000, 79.512, -21.9829
68.000000, 79.482, -22.6814
69.000000, 79.353, -23.4196
70.000000, 79.212, -23.6063
71.000000, 79.168, -23.3866
72.000000, 79.152, -23.3559
73.000000, 79.154, -23.5482
74.000000, 79.148, -24.0103
75.000000, 79.121, -24.3428
76.199997, 79.089, -24.7041
77.500000, 78.959, -25.0070
78.800003, 78.822, -25.1674
80.000000, 78.778, -25.3350
81.199997, 78.781, -25.4663
82.500000, 78.715, -25.8056
83.800003, 78.645, -26.1356
85.000000, 78.607, -26.3229
86.199997, 78.543, -26.4725
87.500000, 78.451, -27.2439
88.500000, 78.377, -27.8585
90.000000, 78.289, -27.9989
91.199997, 78.242, -27.8633
92.500000, 78.206, -27.8602
93.800003, 78.157, -28.0220
95.000000, 78.114, -28.2407
96.199997, 78.081, -28.6317
97.500000, 78.028, -29.0679
98.800003, 77.939, -29.2567
100.000000, 77.848, -29.5956
101.500000, 77.777, -29.9342
103.000000, 77.749, -29.7590
104.400002, 77.673, -29.9831
106.000000, 77.589, -30.0850
107.500000, 77.537, -30.1274
109.000000, 77.484, -30.2231
110.599998, 77.397, -30.1560
112.000000, 77.283, -30.1376
113.800003, 77.255, -30.4890
115.000000, 77.275, -30.8530
117.199997, 77.226, -31.0505
118.000000, 77.199, -31.1382
120.599998, 77.108, -31.5706
122.000000, 77.062, -31.4353
124.099998, 76.984, -31.5032
125.000000, 76.944, -31.6102
126.500000, 76.891, -31.7674
128.000000, 76.849, -31.9058
131.500000, 76.706, -31.9968
132.000000, 76.685, -32.0449
134.000000, 76.600, -32.2435
136.000000, 76.511, -32.2683
138.000000, 76.410, -32.3109
140.000000, 76.385, -32.4334
143.000000, 76.374, -32.5808
145.000000, 76.329, -32.7204
147.500000, 76.276, -32.6687
150.000000, 76.215, -32.7223
152.500000, 76.154, -32.9984
155.000000, 76.055, -33.2416
157.500000, 75.950, -33.2250
160.000000, 75.862, -33.0839
162.500000, 75.791, -33.0168
165.000000, 75.722, -33.0089
167.500000, 75.674, -32.8152
170.000000, 75.635, -32.4708
172.500000, 75.549, -32.2770
175.000000, 75.490, -31.9877
177.500000, 75.477, -31.4434
180.000000, 75.512, -30.9681
182.500000, 75.547, -30.8054
185.000000, 75.580, -31.0001
187.500000, 75.609, -31.4555
190.000000, 75.615, -31.9986
192.500000, 75.593, -32.3880
195.000000, 75.557, -32.6575
197.500000, 75.519, -32.9854
200.000000, 75.481, -33.2574
203.000000, 75.431, -33.4824
206.000000, 75.387, -33.5926
209.000000, 75.336, -33.7111
212.000000, 75.278, -33.8512
214.000000, 75.248, -33.9201
218.000000, 75.207, -34.1036
220.000000, 75.180, -34.2098
224.000000, 75.130, -34.2292
227.000000, 75.101, -34.2634
230.000000, 75.066, -34.3674
233.000000, 75.029, -34.4439
236.000000, 74.995, -34.4989
240.000000, 74.948, -34.6328
243.000000, 74.907, -34.7426
247.000000, 74.864, -34.7744
250.000000, 74.841, -34.8360
254.000000, 74.811, -34.9441
258.000000, 74.781, -34.9956
262.000000, 74.755, -35.0725
265.000000, 74.738, -35.1432
269.000000, 74.716, -35.1927
272.000000, 74.695, -35.2110
276.000000, 74.666, -35.2449
280.000000, 74.637, -35.3152
285.000000, 74.611, -35.4481
290.000000, 74.585, -35.5565
295.000000, 74.564, -35.6506
300.000000, 74.550, -35.7400
304.000000, 74.536, -35.7452
307.000000, 74.522, -35.7645
311.000000, 74.505, -35.8324
315.000000, 74.492, -35.9375
320.000000, 74.475, -36.0924
325.000000, 74.460, -36.2675
330.000000, 74.448, -36.3487
335.000000, 74.430, -36.4010
340.000000, 74.420, -36.4457
345.000000, 74.413, -36.4996
350.000000, 74.401, -36.5825
355.000000, 74.391, -36.7335
360.000000, 74.380, -36.8210
