* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 3, 2024 12:09:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M-121i (Velvet Wide M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.858, 15.0961
20.600000, 80.817, 14.7646
20.900000, 80.953, 15.0201
21.200001, 81.284, 15.3455
21.400000, 81.561, 15.2657
21.799999, 82.073, 14.0565
22.000000, 82.249, 13.0237
22.400000, 82.386, 10.7343
22.700001, 82.323, 9.3902
23.000000, 82.181, 8.7650
23.299999, 82.032, 8.9322
23.600000, 81.929, 9.6401
24.000000, 81.866, 10.6797
24.299999, 81.829, 11.0858
24.700001, 81.730, 10.9587
25.000000, 81.623, 10.4965
25.400000, 81.512, 9.6668
25.799999, 81.529, 8.7933
26.200001, 81.687, 8.0211
26.500000, 81.844, 7.6488
26.900000, 82.011, 7.7017
27.200001, 82.067, 8.2821
27.600000, 82.052, 9.6910
28.000000, 81.977, 11.2879
28.500000, 81.862, 12.2741
29.000000, 81.745, 11.2040
29.500000, 81.636, 8.5237
30.000000, 81.556, 5.6848
30.400000, 81.514, 4.1571
30.700001, 81.491, 3.6052
31.100000, 81.475, 3.5433
31.500000, 81.498, 3.8654
32.000000, 81.619, 4.0225
32.500000, 81.829, 3.2171
33.000000, 82.014, 1.4500
33.500000, 82.034, -0.5829
34.000000, 81.823, -2.0331
34.500000, 81.456, -2.4635
35.000000, 81.118, -2.1968
35.500000, 80.966, -2.1196
36.000000, 80.993, -2.7457
36.500000, 81.070, -3.6373
37.000000, 81.110, -3.9834
37.500000, 81.141, -3.5981
38.200001, 81.256, -3.4122
38.700001, 81.322, -4.5680
39.500000, 81.154, -7.3101
40.000000, 80.935, -7.8551
40.599998, 80.815, -7.1850
41.200001, 80.943, -7.1111
41.799999, 81.111, -8.7254
42.500000, 81.131, -10.9362
43.099998, 81.058, -11.3991
43.700001, 81.026, -10.8415
44.400002, 80.999, -10.5958
45.000000, 80.908, -11.0115
45.500000, 80.808, -11.3656
46.200001, 80.700, -11.6272
46.799999, 80.637, -11.9022
47.500000, 80.626, -12.4969
48.200001, 80.782, -13.4150
48.700001, 80.948, -14.1987
49.400002, 81.033, -14.8698
50.000000, 80.888, -14.4438
50.799999, 80.641, -13.1694
51.500000, 80.616, -13.2797
52.200001, 80.695, -14.4391
53.000000, 80.735, -15.1806
53.799999, 80.643, -15.4718
54.500000, 80.444, -16.2431
55.200001, 80.242, -16.9405
56.000000, 80.185, -16.8871
57.000000, 80.249, -16.9817
58.000000, 80.193, -18.2236
59.000000, 80.062, -18.9180
60.000000, 79.859, -18.3087
60.799999, 79.735, -18.6365
61.500000, 79.646, -19.9803
62.200001, 79.529, -20.5127
63.000000, 79.503, -18.6600
64.000000, 79.746, -17.1825
65.000000, 79.880, -19.6107
66.000000, 79.789, -21.5714
67.000000, 79.649, -21.1202
68.000000, 79.600, -20.7113
69.000000, 79.558, -21.8761
70.000000, 79.395, -22.6343
71.000000, 79.317, -22.1017
72.000000, 79.391, -21.9364
73.000000, 79.416, -22.7193
74.000000, 79.378, -23.8130
75.000000, 79.328, -24.6715
76.199997, 79.180, -24.9407
77.500000, 79.032, -24.8872
78.800003, 78.976, -24.4795
80.000000, 78.955, -24.2960
81.199997, 78.929, -25.0496
82.500000, 78.881, -25.6996
83.800003, 78.845, -26.3032
85.000000, 78.791, -26.7663
86.199997, 78.682, -26.8060
87.500000, 78.583, -26.8173
88.500000, 78.463, -26.9896
90.000000, 78.269, -27.0625
91.199997, 78.291, -27.0016
92.500000, 78.274, -27.1548
93.800003, 78.198, -27.3636
95.000000, 78.146, -27.4991
96.199997, 78.082, -27.7160
97.500000, 78.044, -28.3181
98.800003, 77.969, -28.7243
100.000000, 77.898, -28.9564
101.500000, 77.849, -28.8535
103.000000, 77.823, -28.8825
104.400002, 77.813, -29.2686
106.000000, 77.807, -29.5756
107.500000, 77.806, -29.7390
109.000000, 77.756, -29.5065
110.599998, 77.649, -29.3303
112.000000, 77.585, -29.8635
113.800003, 77.540, -30.3923
115.000000, 77.482, -30.3318
117.199997, 77.416, -30.5752
118.000000, 77.404, -30.5775
120.599998, 77.319, -30.3603
122.000000, 77.220, -30.6275
124.099998, 77.106, -31.1705
125.000000, 77.084, -31.2034
126.500000, 77.055, -31.1355
128.000000, 77.007, -31.1253
131.500000, 76.894, -31.6341
132.000000, 76.881, -31.6713
134.000000, 76.829, -31.8023
136.000000, 76.792, -31.8803
138.000000, 76.735, -32.0363
140.000000, 76.687, -32.0750
143.000000, 76.614, -32.0026
145.000000, 76.566, -32.2089
147.500000, 76.516, -32.4325
150.000000, 76.434, -32.3953
152.500000, 76.368, -32.6521
155.000000, 76.325, -32.6638
157.500000, 76.263, -32.6618
160.000000, 76.192, -32.7377
162.500000, 76.127, -32.8994
165.000000, 76.080, -33.1147
167.500000, 76.029, -33.1657
170.000000, 75.973, -33.2485
172.500000, 75.921, -33.3590
175.000000, 75.876, -33.3352
177.500000, 75.846, -33.3696
180.000000, 75.805, -33.3142
182.500000, 75.755, -33.3136
185.000000, 75.709, -33.5261
187.500000, 75.677, -33.7545
190.000000, 75.636, -33.7920
192.500000, 75.596, -33.8179
195.000000, 75.568, -33.8643
197.500000, 75.529, -33.7854
200.000000, 75.484, -33.7401
203.000000, 75.427, -33.8062
206.000000, 75.383, -33.8755
209.000000, 75.351, -33.9279
212.000000, 75.315, -33.9733
214.000000, 75.291, -33.9966
218.000000, 75.240, -34.0864
220.000000, 75.216, -34.1790
224.000000, 75.163, -34.3420
227.000000, 75.142, -34.3477
230.000000, 75.125, -34.3189
233.000000, 75.088, -34.3449
236.000000, 75.054, -34.4441
240.000000, 75.013, -34.4701
243.000000, 74.984, -34.4632
247.000000, 74.950, -34.4818
250.000000, 74.930, -34.5288
254.000000, 74.908, -34.6769
258.000000, 74.882, -34.7510
262.000000, 74.846, -34.7940
265.000000, 74.824, -34.8083
269.000000, 74.806, -34.8630
272.000000, 74.796, -34.9232
276.000000, 74.774, -34.9782
280.000000, 74.749, -35.0243
285.000000, 74.718, -35.0544
290.000000, 74.691, -35.1548
295.000000, 74.673, -35.2875
300.000000, 74.661, -35.3932
304.000000, 74.651, -35.4405
307.000000, 74.648, -35.4661
311.000000, 74.641, -35.5436
315.000000, 74.628, -35.6367
320.000000, 74.613, -35.7145
325.000000, 74.606, -35.8109
330.000000, 74.603, -35.8951
335.000000, 74.597, -35.9796
340.000000, 74.591, -36.0420
345.000000, 74.585, -36.2051
350.000000, 74.582, -36.3401
355.000000, 74.579, -36.4271
360.000000, 74.576, -36.5768
365.000000, 74.575, -36.7005
370.000000, 74.577, -36.8226
375.000000, 74.582, -36.9330
382.000000, 74.586, -37.0964
387.000000, 74.584, -37.2127
395.000000, 74.585, -37.3546
400.000000, 74.592, -37.4721
406.000000, 74.608, -37.6169
412.000000, 74.623, -37.8170
418.000000, 74.634, -37.9861
425.000000, 74.641, -38.1902
431.000000, 74.655, -38.3788
437.000000, 74.668, -38.4995
444.000000, 74.683, -38.6750
450.000000, 74.693, -38.8370
455.000000, 74.699, -38.9945
462.000000, 74.713, -39.2094
468.000000, 74.735, -39.3583
475.000000, 74.755, -39.5986
482.000000, 74.764, -39.8813
487.000000, 74.772, -40.0725
494.000000, 74.787, -40.3186
500.000000, 74.799, -40.4957
508.000000, 74.820, -40.7404
515.000000, 74.840, -40.9464
522.000000, 74.859, -41.1811
530.000000, 74.877, -41.4738
538.000000, 74.893, -41.7580
545.000000, 74.906, -41.9685
552.000000, 74.922, -42.2056
560.000000, 74.941, -42.5009
570.000000, 74.963, -42.8470
580.000000, 74.980, -43.1798
590.000000, 74.998, -43.4872
600.000000, 75.011, -43.7867
608.000000, 75.020, -44.0497
615.000000, 75.027, -44.2842
622.000000, 75.034, -44.5001
630.000000, 75.038, -44.7267
640.000000, 75.041, -45.0106
650.000000, 75.046, -45.2921
660.000000, 75.051, -45.5376
670.000000, 75.051, -45.7718
680.000000, 75.050, -46.0196
690.000000, 75.051, -46.1891
700.000000, 75.051, -46.3534
710.000000, 75.051, -46.4980
720.000000, 75.049, -46.6284
730.000000, 75.042, -46.7195
740.000000, 75.038, -46.7699
750.000000, 75.036, -46.8310
762.000000, 75.034, -46.9024
775.000000, 75.030, -46.8818
788.000000, 75.024, -46.8253
800.000000, 75.031, -46.7806
812.000000, 75.041, -46.6922
825.000000, 75.043, -46.5274
838.000000, 75.055, -46.3430
850.000000, 75.071, -46.1351
862.000000, 75.089, -45.8999
875.000000, 75.110, -45.6604
885.000000, 75.130, -45.4724
900.000000, 75.169, -45.1303
912.000000, 75.207, -44.8489
925.000000, 75.253, -44.5564
938.000000, 75.305, -44.2649
950.000000, 75.355, -43.9817
962.000000, 75.405, -43.7166
975.000000, 75.464, -43.4527
988.000000, 75.530, -43.1989
1000.000000, 75.598, -43.0263
1015.000000, 75.686, -42.8133
1030.000000, 75.768, -42.5744
1044.000000, 75.840, -42.3117
1060.000000, 75.932, -42.0208
1075.000000, 76.036, -41.8116
1090.000000, 76.139, -41.6772
1106.000000, 76.245, -41.5583
1120.000000, 76.338, -41.5098
1138.000000, 76.454, -41.4592
1150.000000, 76.529, -41.4446
1172.000000, 76.668, -41.4821
1180.000000, 76.716, -41.5061
1206.000000, 76.868, -41.6254
1220.000000, 76.946, -41.6925
1241.000000, 77.058, -41.8321
1250.000000, 77.104, -41.9144
1265.000000, 77.177, -42.0651
1280.000000, 77.242, -42.1746
1315.000000, 77.384, -42.3886
1320.000000, 77.403, -42.4255
1340.000000, 77.474, -42.5704
1360.000000, 77.541, -42.7061
1380.000000, 77.606, -42.8068
1400.000000, 77.669, -42.8871
1430.000000, 77.750, -43.0423
1450.000000, 77.799, -43.1135
1475.000000, 77.859, -43.1441
1500.000000, 77.913, -43.1651
1525.000000, 77.960, -43.1836
1550.000000, 78.006, -43.1649
1575.000000, 78.048, -43.1165
1600.000000, 78.086, -42.9991
1625.000000, 78.118, -42.8276
1650.000000, 78.147, -42.5920
1675.000000, 78.178, -42.2961
1700.000000, 78.211, -41.9581
1725.000000, 78.245, -41.5523
1750.000000, 78.285, -41.0963
1775.000000, 78.335, -40.5775
1800.000000, 78.395, -39.9940
1825.000000, 78.465, -39.4169
1850.000000, 78.545, -38.8662
1875.000000, 78.636, -38.3082
1900.000000, 78.736, -37.7388
1925.000000, 78.844, -37.2258
1950.000000, 78.957, -36.7826
1975.000000, 79.074, -36.3673
2000.000000, 79.196, -35.9922
2030.000000, 79.350, -35.6206
2060.000000, 79.506, -35.3032
2090.000000, 79.661, -35.0349
2120.000000, 79.814, -34.8328
2140.000000, 79.915, -34.7205
2180.000000, 80.120, -34.5690
2200.000000, 80.223, -34.5364
2240.000000, 80.427, -34.5658
2270.000000, 80.579, -34.6442
2300.000000, 80.730, -34.7787
2330.000000, 80.879, -34.9629
2360.000000, 81.024, -35.1983
2400.000000, 81.210, -35.5964
2430.000000, 81.343, -35.9544
2470.000000, 81.512, -36.5214
2500.000000, 81.635, -36.9958
2540.000000, 81.787, -37.7074
2580.000000, 81.922, -38.4980
2620.000000, 82.041, -39.3574
2650.000000, 82.122, -40.0518
2690.000000, 82.212, -41.0297
2720.000000, 82.264, -41.7887
2760.000000, 82.317, -42.8174
2800.000000, 82.352, -43.8765
2850.000000, 82.370, -45.1986
2900.000000, 82.357, -46.4855
2950.000000, 82.314, -47.7189
3000.000000, 82.243, -48.8798
3040.000000, 82.167, -49.7392
3070.000000, 82.099, -50.3324
3110.000000, 81.997, -51.0610
3150.000000, 81.886, -51.6889
3200.000000, 81.733, -52.3636
3250.000000, 81.570, -52.9066
3300.000000, 81.397, -53.2970
3350.000000, 81.217, -53.5600
3400.000000, 81.033, -53.6799
3450.000000, 80.849, -53.6512
3500.000000, 80.668, -53.5210
3550.000000, 80.493, -53.2839
3600.000000, 80.322, -52.9275
3650.000000, 80.159, -52.5049
3700.000000, 80.006, -52.0019
3750.000000, 79.858, -51.4061
3820.000000, 79.662, -50.5070
3870.000000, 79.536, -49.8198
3950.000000, 79.353, -48.6338
4000.000000, 79.248, -47.8415
4060.000000, 79.133, -46.8676
4120.000000, 79.031, -45.8891
4180.000000, 78.935, -44.9313
4250.000000, 78.830, -43.8465
4310.000000, 78.741, -42.9504
4370.000000, 78.646, -42.0737
4440.000000, 78.517, -41.0774
4500.000000, 78.388, -40.1725
4550.000000, 78.266, -39.2864
4620.000000, 78.078, -37.6826
4680.000000, 77.925, -35.8257
4750.000000, 77.817, -33.0236
4820.000000, 77.868, -29.8405
4870.000000, 78.018, -27.7747
4940.000000, 78.336, -25.7569
5000.000000, 78.630, -24.9793
5080.000000, 78.949, -25.0383
5150.000000, 79.129, -25.6668
5220.000000, 79.217, -26.4931
5300.000000, 79.225, -27.4550
5380.000000, 79.152, -28.3379
5450.000000, 79.036, -28.9809
5520.000000, 78.879, -29.4511
5600.000000, 78.652, -29.7246
5700.000000, 78.311, -29.6435
5800.000000, 77.917, -28.9827
5900.000000, 77.501, -27.5909
6000.000000, 77.097, -25.5196
6080.000000, 76.785, -23.4417
6150.000000, 76.530, -21.2639
6220.000000, 76.308, -18.7346
6300.000000, 76.106, -15.4591
6400.000000, 75.951, -10.8493
6500.000000, 75.950, -5.8567
6600.000000, 76.132, -0.7480
6700.000000, 76.502, 4.0228
6800.000000, 77.035, 7.9186
6900.000000, 77.668, 10.5755
7000.000000, 78.321, 11.9189
7100.000000, 78.925, 12.1508
7200.000000, 79.434, 11.6376
7300.000000, 79.850, 10.7251
7400.000000, 80.205, 9.7141
7500.000000, 80.536, 8.7101
7620.000000, 80.952, 7.3342
7750.000000, 81.455, 5.0523
7880.000000, 81.956, 1.1486
8000.000000, 82.272, -4.2474
