* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 7, 2024 4:01:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N3 (Final E M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.006, -157.9918
20.600000, 83.022, -158.4792
20.900000, 83.038, -159.0150
21.200001, 83.052, -159.5745
21.400000, 83.060, -159.9620
21.799999, 83.074, -160.7612
22.000000, 83.078, -161.1627
22.400000, 83.083, -161.9402
22.700001, 83.086, -162.4844
23.000000, 83.089, -162.9921
23.299999, 83.095, -163.4720
23.600000, 83.102, -163.9392
24.000000, 83.112, -164.5689
24.299999, 83.119, -165.0582
24.700001, 83.124, -165.7339
25.000000, 83.126, -166.2483
25.400000, 83.126, -166.9214
25.799999, 83.126, -167.5569
26.200001, 83.131, -168.1447
26.500000, 83.136, -168.5601
26.900000, 83.141, -169.0957
27.200001, 83.141, -169.4920
27.600000, 83.131, -170.0134
28.000000, 83.110, -170.5183
28.500000, 83.082, -171.1294
29.000000, 83.065, -171.7670
29.500000, 83.061, -172.4734
30.000000, 83.051, -173.1783
30.400000, 83.036, -173.6409
30.700001, 83.023, -173.9021
31.100000, 83.013, -174.1828
31.500000, 83.014, -174.5033
32.000000, 83.010, -175.1134
32.500000, 82.972, -175.8857
33.000000, 82.906, -176.5101
33.500000, 82.860, -176.7826
34.000000, 82.877, -176.8888
34.500000, 82.932, -177.1847
35.000000, 82.961, -177.8081
35.500000, 82.927, -178.5706
36.000000, 82.854, -179.2416
36.500000, 82.793, -179.7977
37.000000, 82.766, 179.6461
37.500000, 82.758, 179.0665
38.200001, 82.746, 178.4375
38.700001, 82.743, 178.1788
39.500000, 82.752, 177.7643
40.000000, 82.746, 177.3712
40.599998, 82.720, 176.8465
41.200001, 82.687, 176.3629
41.799999, 82.653, 175.9078
42.500000, 82.603, 175.3746
43.099998, 82.548, 174.9282
43.700001, 82.494, 174.4782
44.400002, 82.440, 173.9176
45.000000, 82.396, 173.4528
45.500000, 82.361, 173.1362
46.200001, 82.320, 172.8322
46.799999, 82.292, 172.6391
47.500000, 82.257, 172.3707
48.200001, 82.212, 171.9876
48.700001, 82.175, 171.6482
49.400002, 82.123, 171.1237
50.000000, 82.080, 170.6852
50.799999, 82.023, 170.2011
51.500000, 81.976, 169.8621
52.200001, 81.931, 169.5202
53.000000, 81.884, 169.0829
53.799999, 81.840, 168.6649
54.500000, 81.800, 168.3692
55.200001, 81.757, 168.1139
56.000000, 81.707, 167.7835
57.000000, 81.642, 167.2903
58.000000, 81.575, 166.8703
59.000000, 81.513, 166.5306
60.000000, 81.453, 166.1746
60.799999, 81.405, 165.8837
61.500000, 81.361, 165.6331
62.200001, 81.314, 165.3972
63.000000, 81.262, 165.1534
64.000000, 81.200, 164.8621
65.000000, 81.132, 164.5656
66.000000, 81.063, 164.2590
67.000000, 81.000, 163.9332
68.000000, 80.938, 163.6350
69.000000, 80.881, 163.3784
70.000000, 80.825, 163.1619
71.000000, 80.765, 163.0322
72.000000, 80.703, 162.8695
73.000000, 80.636, 162.5842
74.000000, 80.571, 162.3258
75.000000, 80.512, 162.1514
76.199997, 80.440, 161.9244
77.500000, 80.359, 161.6221
78.800003, 80.276, 161.3629
80.000000, 80.204, 161.1676
81.199997, 80.136, 160.9755
82.500000, 80.047, 160.8152
83.800003, 79.961, 160.6368
85.000000, 79.898, 160.4329
