* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 7, 2024 3:41:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N3 (H570 M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.057, -160.8997
20.600000, 83.064, -161.4258
20.900000, 83.070, -161.9937
21.200001, 83.074, -162.5684
21.400000, 83.078, -162.9556
21.799999, 83.085, -163.7371
22.000000, 83.088, -164.1275
22.400000, 83.095, -164.8952
22.700001, 83.100, -165.4518
23.000000, 83.104, -165.9890
23.299999, 83.108, -166.5086
23.600000, 83.111, -167.0147
24.000000, 83.113, -167.6755
24.299999, 83.115, -168.1635
24.700001, 83.115, -168.8032
25.000000, 83.114, -169.2725
25.400000, 83.112, -169.8823
25.799999, 83.108, -170.4760
26.200001, 83.102, -171.0607
26.500000, 83.096, -171.4976
26.900000, 83.086, -172.0795
27.200001, 83.077, -172.5135
27.600000, 83.063, -173.0820
28.000000, 83.050, -173.6329
28.500000, 83.037, -174.2949
29.000000, 83.026, -174.9358
29.500000, 83.014, -175.5660
30.000000, 82.998, -176.1863
30.400000, 82.981, -176.6719
30.700001, 82.967, -177.0285
31.100000, 82.948, -177.4951
31.500000, 82.930, -177.9543
32.000000, 82.908, -178.5228
32.500000, 82.886, -179.0868
33.000000, 82.863, -179.6430
33.500000, 82.836, 179.8169
34.000000, 82.809, 179.3013
34.500000, 82.782, 178.8116
35.000000, 82.757, 178.3380
35.500000, 82.734, 177.8651
36.000000, 82.710, 177.3866
36.500000, 82.682, 176.9113
37.000000, 82.652, 176.4532
37.500000, 82.622, 176.0179
38.200001, 82.581, 175.4368
38.700001, 82.552, 175.0337
39.500000, 82.503, 174.3999
40.000000, 82.474, 174.0005
40.599998, 82.439, 173.5107
41.200001, 82.402, 173.0227
41.799999, 82.363, 172.5565
42.500000, 82.315, 172.0432
43.099998, 82.271, 171.6205
43.700001, 82.228, 171.2146
44.400002, 82.181, 170.7665
45.000000, 82.142, 170.3966
45.500000, 82.110, 170.0926
46.200001, 82.064, 169.6684
46.799999, 82.024, 169.2991
47.500000, 81.975, 168.8620
48.200001, 81.922, 168.4476
48.700001, 81.884, 168.1796
49.400002, 81.832, 167.8281
50.000000, 81.792, 167.5227
50.799999, 81.739, 167.1076
51.500000, 81.687, 166.7644
52.200001, 81.634, 166.4408
53.000000, 81.576, 166.0634
53.799999, 81.520, 165.6767
54.500000, 81.472, 165.3648
55.200001, 81.423, 165.0917
56.000000, 81.370, 164.7796
57.000000, 81.302, 164.3102
58.000000, 81.225, 163.8578
59.000000, 81.148, 163.5421
60.000000, 81.081, 163.2426
60.799999, 81.029, 162.9630
61.500000, 80.980, 162.7090
62.200001, 80.925, 162.4651
63.000000, 80.861, 162.2158
64.000000, 80.790, 161.9253
65.000000, 80.725, 161.6206
66.000000, 80.656, 161.3618
67.000000, 80.588, 161.1120
68.000000, 80.516, 160.7981
69.000000, 80.447, 160.5108
70.000000, 80.384, 160.2766
71.000000, 80.303, 160.0893
72.000000, 80.215, 159.9523
73.000000, 80.152, 159.7719
74.000000, 80.098, 159.5728
75.000000, 80.033, 159.4085
76.199997, 79.951, 159.1462
77.500000, 79.869, 158.8696
78.800003, 79.779, 158.7394
80.000000, 79.697, 158.6027
81.199997, 79.622, 158.4465
82.500000, 79.540, 158.2826
83.800003, 79.459, 158.1045
85.000000, 79.384, 157.9731
86.199997, 79.303, 157.8840
87.500000, 79.221, 157.7702
88.500000, 79.159, 157.6684
90.000000, 79.066, 157.5333
91.199997, 78.993, 157.4302
92.500000, 78.912, 157.3452
93.800003, 78.833, 157.2722
95.000000, 78.763, 157.2129
96.199997, 78.692, 157.1661
97.500000, 78.615, 157.1115
98.800003, 78.538, 157.0539
100.000000, 78.463, 157.0269
101.500000, 78.374, 157.0110
103.000000, 78.288, 157.0092
104.400002, 78.206, 157.0063
106.000000, 78.113, 156.9734
107.500000, 78.029, 156.9786
109.000000, 77.949, 156.9909
110.599998, 77.864, 156.9954
112.000000, 77.789, 156.9992
113.800003, 77.689, 157.0158
115.000000, 77.625, 157.0570
117.199997, 77.508, 157.1796
118.000000, 77.465, 157.2199
120.599998, 77.329, 157.3221
122.000000, 77.254, 157.3478
124.099998, 77.146, 157.4405
125.000000, 77.102, 157.4934
126.500000, 77.027, 157.6101
128.000000, 76.951, 157.7367
131.500000, 76.767, 157.9471
132.000000, 76.741, 157.9823
134.000000, 76.640, 158.1325
136.000000, 76.538, 158.2960
138.000000, 76.432, 158.5020
140.000000, 76.325, 158.7195
143.000000, 76.168, 159.0078
145.000000, 76.063, 159.2458
147.500000, 75.930, 159.6295
150.000000, 75.798, 160.0725
152.500000, 75.665, 160.4880
155.000000, 75.528, 160.9751
157.500000, 75.390, 161.5685
160.000000, 75.254, 162.3297
162.500000, 75.123, 163.2456
165.000000, 75.013, 164.2718
167.500000, 74.934, 165.4865
170.000000, 74.904, 166.8361
172.500000, 74.934, 168.1302
175.000000, 75.018, 169.1373
177.500000, 75.139, 169.6810
180.000000, 75.255, 169.7858
182.500000, 75.336, 169.5558
185.000000, 75.366, 169.1596
187.500000, 75.351, 168.7513
190.000000, 75.306, 168.3832
192.500000, 75.238, 168.1209
195.000000, 75.158, 167.9751
197.500000, 75.074, 167.9269
200.000000, 74.985, 167.9361
203.000000, 74.872, 168.0167
206.000000, 74.766, 168.1767
209.000000, 74.663, 168.4163
212.000000, 74.562, 168.7103
214.000000, 74.497, 168.9350
218.000000, 74.368, 169.4384
220.000000, 74.304, 169.7034
224.000000, 74.181, 170.2776
227.000000, 74.099, 170.7068
230.000000, 74.023, 171.1639
233.000000, 73.953, 171.6840
236.000000, 73.884, 172.2114
240.000000, 73.802, 172.8841
243.000000, 73.759, 173.3719
247.000000, 73.707, 173.9633
250.000000, 73.662, 174.3095
254.000000, 73.591, 174.7371
258.000000, 73.520, 175.1405
262.000000, 73.445, 175.5645
265.000000, 73.383, 175.9259
269.000000, 73.301, 176.4616
272.000000, 73.238, 176.8630
276.000000, 73.157, 177.4221
280.000000, 73.080, 177.9524
285.000000, 72.984, 178.6312
290.000000, 72.896, 179.3571
295.000000, 72.812, -179.9549
300.000000, 72.727, -179.1781
304.000000, 72.663, -178.5730
307.000000, 72.617, -178.1249
311.000000, 72.553, -177.5127
315.000000, 72.491, -176.8862
320.000000, 72.420, -176.1083
325.000000, 72.360, -175.2902
330.000000, 72.304, -174.5416
335.000000, 72.246, -173.8319
340.000000, 72.190, -173.1027
345.000000, 72.130, -172.3901
350.000000, 72.068, -171.7177
355.000000, 72.009, -171.0078
360.000000, 71.950, -170.2540
365.000000, 71.897, -169.5014
370.000000, 71.844, -168.7674
375.000000, 71.793, -168.0378
382.000000, 71.724, -167.0277
387.000000, 71.676, -166.3192
395.000000, 71.606, -165.1702
400.000000, 71.568, -164.4290
406.000000, 71.520, -163.5601
412.000000, 71.469, -162.7154
418.000000, 71.426, -161.8472
425.000000, 71.381, -160.8392
431.000000, 71.337, -159.9809
437.000000, 71.294, -159.1428
444.000000, 71.246, -158.1966
450.000000, 71.210, -157.3443
455.000000, 71.181, -156.6394
462.000000, 71.139, -155.6672
468.000000, 71.106, -154.8414
475.000000, 71.069, -153.8788
482.000000, 71.032, -152.9360
487.000000, 71.008, -152.2573
494.000000, 70.975, -151.2985
500.000000, 70.947, -150.4983
508.000000, 70.906, -149.3936
515.000000, 70.873, -148.4314
522.000000, 70.851, -147.4881
530.000000, 70.828, -146.4282
538.000000, 70.796, -145.4104
545.000000, 70.769, -144.5041
552.000000, 70.749, -143.5756
560.000000, 70.729, -142.5215
570.000000, 70.704, -141.2081
580.000000, 70.676, -139.9030
590.000000, 70.655, -138.6455
600.000000, 70.642, -137.3669
608.000000, 70.625, -136.3567
615.000000, 70.608, -135.4866
622.000000, 70.596, -134.6021
630.000000, 70.586, -133.5814
640.000000, 70.573, -132.3482
650.000000, 70.558, -131.1374
660.000000, 70.549, -129.9039
670.000000, 70.546, -128.6515
680.000000, 70.541, -127.4182
690.000000, 70.539, -126.2020
700.000000, 70.543, -124.9715
710.000000, 70.548, -123.7739
720.000000, 70.550, -122.5587
730.000000, 70.550, -121.3290
740.000000, 70.551, -120.1180
750.000000, 70.563, -118.9270
762.000000, 70.581, -117.5009
775.000000, 70.604, -115.9891
788.000000, 70.634, -114.4631
800.000000, 70.653, -113.0464
812.000000, 70.674, -111.6442
825.000000, 70.712, -110.1028
838.000000, 70.751, -108.6024
850.000000, 70.796, -107.2604
862.000000, 70.841, -105.9245
875.000000, 70.891, -104.4999
885.000000, 70.933, -103.4126
900.000000, 71.002, -101.8430
912.000000, 71.062, -100.5731
925.000000, 71.127, -99.1903
938.000000, 71.191, -97.8637
950.000000, 71.253, -96.6824
962.000000, 71.315, -95.4995
975.000000, 71.381, -94.1988
988.000000, 71.460, -92.9086
1000.000000, 71.546, -91.7451
1015.000000, 71.661, -90.3163
1030.000000, 71.780, -88.9717
1044.000000, 71.890, -87.7879
1060.000000, 72.014, -86.5885
1075.000000, 72.133, -85.5193
1090.000000, 72.248, -84.4695
1106.000000, 72.364, -83.3780
1120.000000, 72.467, -82.4604
1138.000000, 72.599, -81.3757
1150.000000, 72.686, -80.6883
1172.000000, 72.838, -79.5091
1180.000000, 72.891, -79.0975
1206.000000, 73.050, -77.8115
1220.000000, 73.131, -77.2027
1241.000000, 73.248, -76.3494
1250.000000, 73.294, -75.9927
1265.000000, 73.365, -75.4001
1280.000000, 73.430, -74.8252
1315.000000, 73.553, -73.6428
1320.000000, 73.565, -73.4812
1340.000000, 73.600, -72.8491
1360.000000, 73.608, -72.1901
1380.000000, 73.589, -71.4340
1400.000000, 73.544, -70.4602
1430.000000, 73.466, -68.4316
1450.000000, 73.447, -66.6267
1475.000000, 73.499, -64.1220
1500.000000, 73.640, -61.6869
1525.000000, 73.835, -59.6489
1550.000000, 74.047, -57.9913
1575.000000, 74.256, -56.6039
1600.000000, 74.451, -55.4166
1625.000000, 74.634, -54.3809
1650.000000, 74.806, -53.4461
1675.000000, 74.962, -52.5634
1700.000000, 75.112, -51.6978
1725.000000, 75.255, -50.8827
1750.000000, 75.390, -50.0887
1775.000000, 75.519, -49.3252
1800.000000, 75.646, -48.5970
1825.000000, 75.773, -47.9116
1850.000000, 75.895, -47.2788
1875.000000, 76.011, -46.6560
1900.000000, 76.123, -46.0559
1925.000000, 76.235, -45.4883
1950.000000, 76.346, -44.9530
1975.000000, 76.455, -44.4687
2000.000000, 76.559, -44.0099
2030.000000, 76.674, -43.5082
2060.000000, 76.780, -43.0488
2090.000000, 76.881, -42.6258
2120.000000, 76.975, -42.2604
2140.000000, 77.036, -42.0375
2180.000000, 77.146, -41.6151
2200.000000, 77.195, -41.4246
2240.000000, 77.279, -41.0965
2270.000000, 77.331, -40.8840
2300.000000, 77.375, -40.6898
2330.000000, 77.410, -40.5102
2360.000000, 77.436, -40.3336
2400.000000, 77.454, -40.0853
2430.000000, 77.457, -39.9026
2470.000000, 77.446, -39.6567
2500.000000, 77.426, -39.4622
2540.000000, 77.384, -39.1680
2580.000000, 77.324, -38.8250
2620.000000, 77.249, -38.4227
2650.000000, 77.183, -38.0654
2690.000000, 77.084, -37.5007
2720.000000, 76.999, -37.0168
2760.000000, 76.874, -36.2778
2800.000000, 76.739, -35.3778
2850.000000, 76.560, -34.0249
2900.000000, 76.377, -32.3484
2950.000000, 76.209, -30.2773
3000.000000, 76.077, -27.9013
3040.000000, 76.012, -25.8768
3070.000000, 75.990, -24.3156
3110.000000, 75.986, -22.2557
3150.000000, 76.005, -20.2843
3200.000000, 76.054, -17.9121
3250.000000, 76.125, -15.5852
3300.000000, 76.224, -13.3084
3350.000000, 76.354, -11.1105
3400.000000, 76.518, -9.0248
3450.000000, 76.714, -7.1289
3500.000000, 76.941, -5.4746
3550.000000, 77.187, -4.1033
3600.000000, 77.442, -3.0634
3650.000000, 77.700, -2.3737
3700.000000, 77.952, -2.0456
3750.000000, 78.184, -2.1203
3820.000000, 78.443, -2.8661
3870.000000, 78.558, -3.7861
3950.000000, 78.577, -5.6176
4000.000000, 78.477, -6.7448
4060.000000, 78.244, -7.7874
4120.000000, 77.907, -8.2066
4180.000000, 77.516, -7.7433
4250.000000, 77.067, -5.9905
4310.000000, 76.751, -3.5786
4370.000000, 76.543, -0.6256
4440.000000, 76.454, 3.0246
4500.000000, 76.499, 5.9876
4550.000000, 76.602, 8.1544
4620.000000, 76.807, 10.6120
4680.000000, 77.006, 12.1663
4750.000000, 77.231, 13.3797
4820.000000, 77.418, 14.0479
4870.000000, 77.516, 14.2729
4940.000000, 77.599, 14.3732
5000.000000, 77.618, 14.3778
5080.000000, 77.574, 14.4440
5150.000000, 77.479, 14.6893
5220.000000, 77.345, 15.1827
5300.000000, 77.160, 16.0800
5380.000000, 76.967, 17.3503
5450.000000, 76.799, 18.7590
5520.000000, 76.639, 20.4185
5600.000000, 76.478, 22.5996
5700.000000, 76.322, 25.6925
5800.000000, 76.231, 29.0744
5900.000000, 76.212, 32.6734
6000.000000, 76.271, 36.3787
6080.000000, 76.379, 39.3951
6150.000000, 76.521, 42.0353
6220.000000, 76.712, 44.6254
6300.000000, 76.996, 47.4844
6400.000000, 77.462, 50.7948
6500.000000, 78.057, 53.5850
6600.000000, 78.782, 55.5279
6700.000000, 79.626, 56.2541
6800.000000, 80.544, 55.3334
6900.000000, 81.452, 52.3243
7000.000000, 82.214, 47.0537
7100.000000, 82.672, 39.9299
7200.000000, 82.718, 31.9637
7300.000000, 82.346, 24.4010
7400.000000, 81.642, 18.2653
7500.000000, 80.743, 14.0863
7620.000000, 79.599, 11.6193
7750.000000, 78.456, 11.4227
7880.000000, 77.501, 12.8744
8000.000000, 76.808, 14.9878
8120.000000, 76.290, 17.3745
8250.000000, 75.898, 19.8138
8380.000000, 75.645, 21.7774
8500.000000, 75.493, 22.9634
8620.000000, 75.373, 23.3808
