* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 27, 2024 12:35:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N3 (Stock M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.538, 199.8396
20.600000, 82.620, 198.8783
20.900000, 82.702, 197.8392
21.200001, 82.768, 196.8695
21.400000, 82.802, 196.2952
21.799999, 82.848, 195.3513
22.000000, 82.864, 194.9743
22.400000, 82.886, 194.3501
22.700001, 82.896, 193.9416
23.000000, 82.898, 193.5598
23.299999, 82.889, 193.2201
23.600000, 82.873, 192.9587
24.000000, 82.851, 192.7647
24.299999, 82.850, 192.6853
24.700001, 82.883, 192.4642
25.000000, 82.929, 192.0514
25.400000, 82.988, 191.0537
25.799999, 83.010, 189.6681
26.200001, 82.982, 188.2427
26.500000, 82.942, 187.3704
26.900000, 82.895, 186.6125
27.200001, 82.881, 186.3018
27.600000, 82.891, 186.0278
28.000000, 82.907, 185.7150
28.500000, 82.899, 185.1998
29.000000, 82.881, 184.6541
29.500000, 82.918, 184.0330
30.000000, 83.015, 183.1363
30.400000, 83.085, 182.2509
30.700001, 83.105, 181.6251
31.100000, 83.084, 181.0358
31.500000, 83.034, 180.8091
32.000000, 82.990, 180.7709
32.500000, 82.994, 180.4389
33.000000, 83.007, 179.5384
33.500000, 82.988, 178.3862
34.000000, 82.945, 177.4653
34.500000, 82.912, 176.9258
35.000000, 82.899, 176.5315
35.500000, 82.883, 176.0097
36.000000, 82.843, 175.3149
36.500000, 82.791, 174.5841
37.000000, 82.752, 173.9447
37.500000, 82.744, 173.4015
38.200001, 82.763, 172.6365
38.700001, 82.760, 172.0233
39.500000, 82.696, 171.1322
40.000000, 82.649, 170.7578
40.599998, 82.632, 170.3859
41.200001, 82.649, 169.8567
41.799999, 82.662, 169.1240
42.500000, 82.647, 168.2652
43.099998, 82.622, 167.6949
43.700001, 82.592, 167.2639
44.400002, 82.547, 166.8254
45.000000, 82.497, 166.4153
45.500000, 82.454, 166.0227
46.200001, 82.404, 165.4319
46.799999, 82.379, 164.9313
47.500000, 82.360, 164.3661
48.200001, 82.324, 163.8532
48.700001, 82.284, 163.5347
49.400002, 82.222, 163.0983
50.000000, 82.168, 162.6877
50.799999, 82.111, 162.1469
51.500000, 82.092, 161.6636
52.200001, 82.078, 161.0662
53.000000, 82.023, 160.3839
53.799999, 81.957, 159.8930
54.500000, 81.935, 159.4510
55.200001, 81.923, 158.8872
56.000000, 81.872, 158.3257
57.000000, 81.770, 157.8537
58.000000, 81.683, 157.0767
59.000000, 81.608, 156.1125
60.000000, 81.562, 155.5279
60.799999, 81.555, 155.0781
61.500000, 81.548, 154.5688
62.200001, 81.530, 154.1594
63.000000, 81.506, 153.9633
64.000000, 81.458, 153.8204
65.000000, 81.367, 153.4146
66.000000, 81.261, 152.7403
67.000000, 81.182, 152.0228
68.000000, 81.153, 151.4477
69.000000, 81.129, 151.0290
70.000000, 81.061, 150.8050
71.000000, 80.993, 150.6381
72.000000, 80.944, 150.3112
73.000000, 80.885, 149.8221
74.000000, 80.835, 149.1682
75.000000, 80.802, 148.5630
76.199997, 80.726, 148.2772
77.500000, 80.599, 147.8580
78.800003, 80.526, 147.0118
80.000000, 80.463, 146.6073
81.199997, 80.381, 146.5292
