* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 7, 2024 3:42:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N3 (Velvet M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.445, -158.7547
20.600000, 83.458, -159.3192
20.900000, 83.469, -159.9325
21.200001, 83.479, -160.5387
21.400000, 83.486, -160.9317
21.799999, 83.504, -161.6832
22.000000, 83.515, -162.0415
22.400000, 83.539, -162.7314
22.700001, 83.558, -163.2361
23.000000, 83.574, -163.7395
23.299999, 83.586, -164.2461
23.600000, 83.591, -164.7560
24.000000, 83.591, -165.4345
24.299999, 83.587, -165.9366
24.700001, 83.581, -166.5917
25.000000, 83.578, -167.0722
25.400000, 83.578, -167.6999
25.799999, 83.580, -168.3111
26.200001, 83.581, -168.9000
26.500000, 83.580, -169.3244
26.900000, 83.579, -169.8700
27.200001, 83.577, -170.2708
27.600000, 83.574, -170.8065
28.000000, 83.570, -171.3520
28.500000, 83.562, -172.0401
29.000000, 83.550, -172.7076
29.500000, 83.536, -173.3322
30.000000, 83.522, -173.9209
30.400000, 83.511, -174.3846
30.700001, 83.503, -174.7372
31.100000, 83.492, -175.2180
31.500000, 83.481, -175.7060
32.000000, 83.465, -176.3044
32.500000, 83.448, -176.8591
33.000000, 83.430, -177.3546
33.500000, 83.415, -177.8103
34.000000, 83.399, -178.2686
34.500000, 83.381, -178.7601
35.000000, 83.357, -179.2791
35.500000, 83.331, -179.7955
36.000000, 83.305, 179.7123
36.500000, 83.284, 179.2428
37.000000, 83.263, 178.7849
37.500000, 83.240, 178.3339
38.200001, 83.203, 177.7142
38.700001, 83.175, 177.2758
39.500000, 83.131, 176.5912
40.000000, 83.105, 176.1972
40.599998, 83.079, 175.7623
41.200001, 83.055, 175.3248
41.799999, 83.028, 174.8458
42.500000, 82.982, 174.2716
43.099998, 82.936, 173.8365
43.700001, 82.895, 173.4662
44.400002, 82.857, 173.0530
45.000000, 82.826, 172.6736
45.500000, 82.798, 172.3455
46.200001, 82.756, 171.8881
46.799999, 82.722, 171.4958
47.500000, 82.683, 171.0372
48.200001, 82.640, 170.6102
48.700001, 82.608, 170.3390
49.400002, 82.562, 169.9894
50.000000, 82.524, 169.6884
50.799999, 82.470, 169.2651
51.500000, 82.422, 168.8871
52.200001, 82.374, 168.5213
53.000000, 82.321, 168.1284
53.799999, 82.268, 167.7565
54.500000, 82.221, 167.4405
55.200001, 82.176, 167.1294
56.000000, 82.126, 166.7903
57.000000, 82.064, 166.4243
58.000000, 82.002, 166.0672
59.000000, 81.936, 165.6384
60.000000, 81.865, 165.2341
60.799999, 81.812, 164.9695
61.500000, 81.767, 164.7499
62.200001, 81.720, 164.5284
63.000000, 81.660, 164.2877
64.000000, 81.587, 163.9946
65.000000, 81.525, 163.6482
66.000000, 81.469, 163.3047
67.000000, 81.410, 163.0345
68.000000, 81.347, 162.7612
69.000000, 81.285, 162.5004
70.000000, 81.230, 162.2975
71.000000, 81.161, 162.1125
72.000000, 81.081, 161.9349
73.000000, 81.019, 161.7082
74.000000, 80.963, 161.4430
75.000000, 80.903, 161.2131
76.199997, 80.827, 160.9565
77.500000, 80.750, 160.7452
78.800003, 80.677, 160.5899
80.000000, 80.600, 160.4479
81.199997, 80.514, 160.2733
82.500000, 80.438, 160.0624
83.800003, 80.377, 159.8301
85.000000, 80.303, 159.6605
86.199997, 80.221, 159.5366
87.500000, 80.143, 159.4326
88.500000, 80.086, 159.3370
90.000000, 79.997, 159.1905
91.199997, 79.926, 159.0876
92.500000, 79.849, 158.9677
93.800003, 79.774, 158.8569
95.000000, 79.705, 158.7774
96.199997, 79.637, 158.6995
97.500000, 79.568, 158.6207
98.800003, 79.501, 158.5718
100.000000, 79.438, 158.5433
101.500000, 79.358, 158.4845
103.000000, 79.278, 158.4210
104.400002, 79.202, 158.3824
106.000000, 79.115, 158.3444
107.500000, 79.038, 158.3225
109.000000, 78.963, 158.3182
110.599998, 78.882, 158.3374
112.000000, 78.814, 158.3625
113.800003, 78.720, 158.3846
115.000000, 78.656, 158.3900
117.199997, 78.547, 158.4128
118.000000, 78.510, 158.4291
120.599998, 78.387, 158.5185
122.000000, 78.318, 158.5881
124.099998, 78.216, 158.6629
125.000000, 78.175, 158.6947
126.500000, 78.107, 158.7639
128.000000, 78.037, 158.8295
131.500000, 77.879, 158.9926
132.000000, 77.858, 159.0211
134.000000, 77.770, 159.1397
136.000000, 77.683, 159.2580
138.000000, 77.595, 159.3977
140.000000, 77.507, 159.5542
143.000000, 77.384, 159.7744
145.000000, 77.300, 159.9276
147.500000, 77.196, 160.1591
150.000000, 77.094, 160.3964
