* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 7, 2024 3:56:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N3 (Velvet Wide M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.772, -161.1297
20.600000, 83.669, -160.4637
20.900000, 83.672, -160.4228
21.200001, 83.791, -161.3660
21.400000, 83.903, -162.4835
21.799999, 84.115, -165.2623
22.000000, 84.186, -166.5672
22.400000, 84.235, -168.2571
22.700001, 84.221, -168.4423
23.000000, 84.211, -167.8295
23.299999, 84.238, -166.8724
23.600000, 84.300, -166.1265
24.000000, 84.376, -166.0991
24.299999, 84.381, -166.8344
24.700001, 84.300, -168.3207
25.000000, 84.205, -169.3536
25.400000, 84.114, -170.1572
25.799999, 84.135, -170.3248
26.200001, 84.259, -170.2929
26.500000, 84.369, -170.3755
26.900000, 84.477, -170.6730
27.200001, 84.515, -170.9484
27.600000, 84.533, -171.2919
28.000000, 84.548, -171.6965
28.500000, 84.553, -172.5879
29.000000, 84.450, -173.9041
29.500000, 84.190, -175.0668
30.000000, 83.892, -175.5794
30.400000, 83.771, -175.7474
30.700001, 83.787, -176.0624
31.100000, 83.914, -176.9913
31.500000, 84.068, -178.3671
32.000000, 84.166, -179.9415
32.500000, 84.121, 179.4390
33.000000, 83.997, 179.7939
33.500000, 83.874, -179.6916
34.000000, 83.784, -179.8380
34.500000, 83.733, 179.2285
35.000000, 83.730, 178.0208
35.500000, 83.773, 177.1388
36.000000, 83.836, 176.8331
36.500000, 83.885, 176.9217
37.000000, 83.894, 177.0179
37.500000, 83.853, 176.8499
38.200001, 83.741, 176.2791
38.700001, 83.679, 175.9038
39.500000, 83.665, 175.2784
40.000000, 83.655, 174.5961
40.599998, 83.578, 173.5446
41.200001, 83.469, 172.6064
41.799999, 83.421, 171.9199
42.500000, 83.451, 171.2737
43.099998, 83.466, 170.9720
43.700001, 83.440, 171.1665
44.400002, 83.395, 171.7973
45.000000, 83.337, 172.0562
45.500000, 83.233, 171.8618
46.200001, 82.993, 171.2567
46.799999, 82.797, 170.7482
47.500000, 82.740, 170.0175
48.200001, 82.850, 168.8680
48.700001, 82.940, 168.0374
49.400002, 82.994, 167.4612
50.000000, 82.957, 167.6873
50.799999, 82.829, 168.4500
51.500000, 82.709, 168.7285
52.200001, 82.639, 168.1838
53.000000, 82.623, 167.0658
53.799999, 82.614, 166.5291
54.500000, 82.566, 166.6781
55.200001, 82.468, 166.7924
56.000000, 82.362, 166.4196
57.000000, 82.377, 165.6099
58.000000, 82.425, 165.2658
59.000000, 82.321, 165.1099
60.000000, 82.186, 164.3981
60.799999, 82.141, 163.8099
61.500000, 82.105, 163.5811
62.200001, 82.037, 163.4455
63.000000, 81.959, 163.0585
64.000000, 81.940, 162.2863
65.000000, 81.911, 162.0387
66.000000, 81.787, 162.1072
67.000000, 81.639, 161.7473
68.000000, 81.597, 161.3594
69.000000, 81.599, 160.9713
70.000000, 81.520, 160.7045
71.000000, 81.464, 160.7339
72.000000, 81.445, 160.6518
73.000000, 81.390, 160.4514
74.000000, 81.323, 160.2139
75.000000, 81.227, 160.0713
76.199997, 81.075, 160.1306
77.500000, 80.962, 159.7698
78.800003, 80.926, 159.4259
80.000000, 80.881, 159.3275
81.199997, 80.772, 159.2123
82.500000, 80.680, 158.9780
83.800003, 80.594, 158.9205
85.000000, 80.515, 158.7922
86.199997, 80.477, 158.5837
87.500000, 80.453, 158.4590
88.500000, 80.391, 158.3588
90.000000, 80.279, 158.2883
91.199997, 80.203, 158.2804
92.500000, 80.106, 158.1880
93.800003, 80.014, 158.1543
95.000000, 79.953, 158.1186
96.199997, 79.895, 158.0001
97.500000, 79.821, 157.9090
98.800003, 79.752, 157.7448
100.000000, 79.698, 157.6412
101.500000, 79.623, 157.6774
103.000000, 79.530, 157.6179
104.400002, 79.440, 157.5513
106.000000, 79.367, 157.4933
107.500000, 79.305, 157.3870
109.000000, 79.237, 157.2466
110.599998, 79.126, 157.2639
112.000000, 79.026, 157.3501
113.800003, 78.941, 157.4977
115.000000, 78.890, 157.5770
117.199997, 78.785, 157.6847
118.000000, 78.746, 157.7553
120.599998, 78.623, 157.9246
122.000000, 78.545, 157.9742
124.099998, 78.437, 157.9210
125.000000, 78.396, 157.9220
126.500000, 78.324, 157.9863
128.000000, 78.249, 158.0151
131.500000, 78.113, 158.2505
132.000000, 78.093, 158.3008
134.000000, 78.005, 158.5122
136.000000, 77.915, 158.6921
138.000000, 77.828, 158.8145
140.000000, 77.739, 159.0231
143.000000, 77.617, 159.3062
145.000000, 77.540, 159.4417
147.500000, 77.433, 159.5596
150.000000, 77.329, 159.7966
152.500000, 77.244, 160.0927
155.000000, 77.153, 160.3707
157.500000, 77.061, 160.6851
160.000000, 76.975, 160.9435
162.500000, 76.870, 161.1015
165.000000, 76.771, 161.3308
167.500000, 76.691, 161.6155
170.000000, 76.602, 161.9467
172.500000, 76.525, 162.2888
175.000000, 76.455, 162.5625
177.500000, 76.373, 162.8725
180.000000, 76.294, 163.2787
182.500000, 76.208, 163.5830
185.000000, 76.113, 163.8776
187.500000, 76.030, 164.2026
190.000000, 75.959, 164.5240
192.500000, 75.881, 164.8415
195.000000, 75.805, 165.2350
197.500000, 75.732, 165.6339
200.000000, 75.666, 166.0316
203.000000, 75.597, 166.5494
206.000000, 75.522, 166.9456
209.000000, 75.451, 167.2871
212.000000, 75.380, 167.6587
214.000000, 75.335, 167.9108
218.000000, 75.245, 168.4581
220.000000, 75.203, 168.7617
224.000000, 75.114, 169.3035
227.000000, 75.044, 169.7574
230.000000, 74.974, 170.2205
233.000000, 74.907, 170.7079
236.000000, 74.842, 171.1549
240.000000, 74.750, 171.7007
243.000000, 74.686, 172.1014
247.000000, 74.606, 172.6708
250.000000, 74.546, 173.1342
254.000000, 74.466, 173.7205
258.000000, 74.393, 174.2726
262.000000, 74.325, 174.8641
265.000000, 74.273, 175.3180
269.000000, 74.200, 175.9034
272.000000, 74.148, 176.3547
276.000000, 74.086, 176.9514
280.000000, 74.021, 177.5079
285.000000, 73.944, 178.1490
290.000000, 73.863, 178.8683
295.000000, 73.778, 179.6489
300.000000, 73.698, -179.5882
304.000000, 73.636, -178.9775
307.000000, 73.592, -178.5216
311.000000, 73.536, -177.9321
315.000000, 73.480, -177.3550
320.000000, 73.413, -176.6301
325.000000, 73.350, -175.9081
330.000000, 73.282, -175.1872
335.000000, 73.218, -174.4123
340.000000, 73.159, -173.6678
345.000000, 73.101, -172.9253
350.000000, 73.040, -172.1595
355.000000, 72.984, -171.3793
360.000000, 72.935, -170.6405
365.000000, 72.893, -169.9056
370.000000, 72.852, -169.1973
375.000000, 72.807, -168.5277
382.000000, 72.743, -167.5742
387.000000, 72.696, -166.8184
395.000000, 72.625, -165.5997
400.000000, 72.583, -164.8354
406.000000, 72.530, -163.9668
412.000000, 72.477, -163.1410
418.000000, 72.435, -162.3625
425.000000, 72.395, -161.4080
431.000000, 72.354, -160.5474
437.000000, 72.306, -159.6959
444.000000, 72.256, -158.7071
450.000000, 72.219, -157.8371
455.000000, 72.187, -157.1498
462.000000, 72.142, -156.2424
468.000000, 72.107, -155.4416
475.000000, 72.072, -154.4607
482.000000, 72.033, -153.5078
487.000000, 72.011, -152.8107
494.000000, 71.967, -151.9076
500.000000, 71.949, -151.0058
508.000000, 71.905, -150.1326
515.000000, 71.877, -148.9336
522.000000, 71.897, -148.1660
530.000000, 71.838, -147.6238
538.000000, 71.729, -146.5000
545.000000, 71.666, -145.2126
552.000000, 71.633, -144.0141
560.000000, 71.604, -142.9048
570.000000, 71.569, -141.8949
580.000000, 71.593, -141.0829
590.000000, 71.646, -139.6949
600.000000, 71.621, -138.1743
608.000000, 71.612, -137.3262
615.000000, 71.610, -136.4274
622.000000, 71.592, -135.5625
630.000000, 71.581, -134.5515
640.000000, 71.563, -133.3138
650.000000, 71.543, -132.0662
660.000000, 71.534, -130.7933
670.000000, 71.538, -129.5904
680.000000, 71.545, -128.3781
690.000000, 71.554, -127.1575
700.000000, 71.558, -125.9816
710.000000, 71.554, -124.8012
720.000000, 71.551, -123.6029
730.000000, 71.550, -122.3370
740.000000, 71.547, -121.0644
750.000000, 71.550, -119.8492
762.000000, 71.565, -118.4431
775.000000, 71.593, -116.9331
788.000000, 71.621, -115.4166
800.000000, 71.642, -114.0267
812.000000, 71.667, -112.6215
825.000000, 71.701, -111.1063
838.000000, 71.736, -109.6194
850.000000, 71.781, -108.2726
862.000000, 71.829, -106.9770
875.000000, 71.875, -105.5813
885.000000, 71.910, -104.4851
900.000000, 71.959, -102.8294
912.000000, 71.999, -101.5307
925.000000, 72.052, -100.1712
938.000000, 72.118, -98.8776
950.000000, 72.188, -97.7308
962.000000, 72.265, -96.5632
975.000000, 72.352, -95.2243
988.000000, 72.443, -93.8844
1000.000000, 72.533, -92.7126
1015.000000, 72.661, -91.3356
1030.000000, 72.787, -90.0338
1044.000000, 72.897, -88.8891
1060.000000, 73.016, -87.6195
1075.000000, 73.125, -86.5073
1090.000000, 73.233, -85.4638
1106.000000, 73.357, -84.3963
1120.000000, 73.471, -83.5320
1138.000000, 73.616, -82.5171
1150.000000, 73.702, -81.8717
1172.000000, 73.835, -80.6607
1180.000000, 73.880, -80.2253
1206.000000, 74.030, -78.9988
1220.000000, 74.111, -78.4182
1241.000000, 74.231, -77.5522
1250.000000, 74.282, -77.1902
1265.000000, 74.364, -76.6261
1280.000000, 74.440, -76.1230
1315.000000, 74.574, -75.1101
1320.000000, 74.586, -74.9596
1340.000000, 74.616, -74.3289
1360.000000, 74.611, -73.6443
1380.000000, 74.575, -72.8461
1400.000000, 74.517, -71.7900
1430.000000, 74.441, -69.4899
1450.000000, 74.439, -67.5923
1475.000000, 74.522, -65.1266
1500.000000, 74.678, -62.8746
1525.000000, 74.871, -60.9871
1550.000000, 75.075, -59.4390
1575.000000, 75.272, -58.1737
1600.000000, 75.455, -57.0789
1625.000000, 75.622, -56.0491
1650.000000, 75.781, -55.1045
1675.000000, 75.939, -54.2762
1700.000000, 76.097, -53.4740
1725.000000, 76.245, -52.6987
1750.000000, 76.383, -51.9468
1775.000000, 76.509, -51.1931
1800.000000, 76.629, -50.4787
1825.000000, 76.747, -49.8026
1850.000000, 76.866, -49.1375
1875.000000, 76.986, -48.5083
1900.000000, 77.102, -47.9305
1925.000000, 77.213, -47.3944
1950.000000, 77.321, -46.8899
1975.000000, 77.430, -46.4166
2000.000000, 77.537, -45.9788
2030.000000, 77.661, -45.4879
2060.000000, 77.774, -45.0432
2090.000000, 77.869, -44.6293
2120.000000, 77.951, -44.2425
2140.000000, 78.005, -44.0079
2180.000000, 78.115, -43.5876
2200.000000, 78.168, -43.4129
2240.000000, 78.266, -43.1167
2270.000000, 78.329, -42.9309
2300.000000, 78.381, -42.7640
2330.000000, 78.421, -42.6107
2360.000000, 78.451, -42.4763
2400.000000, 78.475, -42.2947
2430.000000, 78.477, -42.1549
2470.000000, 78.464, -41.9385
2500.000000, 78.451, -41.7719
2540.000000, 78.422, -41.5732
2580.000000, 78.371, -41.3115
2620.000000, 78.299, -40.9622
2650.000000, 78.235, -40.6590
2690.000000, 78.140, -40.2134
2720.000000, 78.062, -39.8214
2760.000000, 77.947, -39.1758
2800.000000, 77.821, -38.4225
2850.000000, 77.660, -37.3559
2900.000000, 77.490, -36.0403
2950.000000, 77.318, -34.4514
3000.000000, 77.161, -32.6434
3040.000000, 77.046, -31.0106
3070.000000, 76.971, -29.7034
3110.000000, 76.892, -27.8655
3150.000000, 76.837, -25.9305
3200.000000, 76.808, -23.4141
3250.000000, 76.825, -20.8724
3300.000000, 76.891, -18.3938
3350.000000, 77.000, -16.0370
3400.000000, 77.144, -13.8240
3450.000000, 77.317, -11.8081
3500.000000, 77.517, -10.0445
3550.000000, 77.744, -8.5808
3600.000000, 77.987, -7.4198
3650.000000, 78.232, -6.5741
3700.000000, 78.470, -6.0729
3750.000000, 78.687, -5.9335
3820.000000, 78.929, -6.3303
3870.000000, 79.045, -7.0030
3950.000000, 79.103, -8.6032
4000.000000, 79.043, -9.7197
4060.000000, 78.857, -10.8404
4120.000000, 78.561, -11.4227
4180.000000, 78.196, -11.1944
4250.000000, 77.762, -9.7388
4310.000000, 77.440, -7.5964
4370.000000, 77.212, -4.9087
4440.000000, 77.091, -1.5106
4500.000000, 77.096, 1.3089
4550.000000, 77.158, 3.4324
4620.000000, 77.310, 5.8829
4680.000000, 77.474, 7.4466
4750.000000, 77.668, 8.6950
4820.000000, 77.834, 9.4306
4870.000000, 77.922, 9.7149
4940.000000, 77.994, 9.8761
5000.000000, 78.004, 9.8904
5080.000000, 77.946, 9.9279
5150.000000, 77.836, 10.0827
5220.000000, 77.685, 10.3985
5300.000000, 77.479, 11.0763
5380.000000, 77.243, 12.1378
5450.000000, 77.023, 13.3698
5520.000000, 76.803, 14.8823
5600.000000, 76.563, 16.9236
5700.000000, 76.296, 19.9374
5800.000000, 76.089, 23.3029
5900.000000, 75.947, 26.9559
6000.000000, 75.870, 30.8406
6080.000000, 75.856, 34.0521
6150.000000, 75.883, 36.9174
6220.000000, 75.951, 39.7986
6300.000000, 76.082, 43.0735
6400.000000, 76.329, 47.1120
6500.000000, 76.687, 50.9736
6600.000000, 77.163, 54.5114
6700.000000, 77.750, 57.5581
6800.000000, 78.450, 59.8764
6900.000000, 79.252, 61.2015
7000.000000, 80.131, 61.2029
7100.000000, 81.040, 59.5065
7200.000000, 81.892, 55.8256
7300.000000, 82.564, 50.1897
7400.000000, 82.926, 43.1044
7500.000000, 82.900, 35.5563
7620.000000, 82.382, 27.5064
7750.000000, 81.424, 21.3893
7880.000000, 80.332, 18.2627
8000.000000, 79.389, 17.5038
8120.000000, 78.590, 18.1156
8250.000000, 77.914, 19.6128
8380.000000, 77.431, 21.3570
8500.000000, 77.128, 22.8130
8620.000000, 76.926, 23.8333
8750.000000, 76.774, 24.2297
8850.000000, 76.669, 23.9451
9000.000000, 76.461, 22.6165
9120.000000, 76.197, 21.0511
9250.000000, 75.773, 19.2657
9380.000000, 75.220, 17.8074
9500.000000, 74.628, 17.0407
9620.000000, 73.996, 17.0097
9750.000000, 73.312, 17.8638
9880.000000, 72.674, 19.5299
10000.000000, 72.160, 21.6511
10150.000000, 71.650, 24.8992
10300.000000, 71.299, 28.5435
10440.000000, 71.135, 32.0462
10600.000000, 71.146, 35.8338
10750.000000, 71.349, 38.8363
10900.000000, 71.729, 41.0152
11060.000000, 72.306, 41.9368
11200.000000, 72.910, 41.0594
11380.000000, 73.688, 37.0679
11500.000000, 74.096, 32.5290
11720.000000, 74.322, 21.3521
11800.000000, 74.187, 16.9544
12060.000000, 73.010, 4.5354
12200.000000, 72.078, 0.0705
12410.000000, 70.608, -3.3935
12500.000000, 70.012, -3.8752
12650.000000, 69.110, -3.7068
12800.000000, 68.354, -2.6767
13150.000000, 67.198, 1.5434
13200.000000, 67.100, 2.2476
13400.000000, 66.877, 5.1407
13600.000000, 66.915, 7.8843
13800.000000, 67.218, 10.2955
14000.000000, 67.789, 12.1400
14300.000000, 69.153, 13.1500
14500.000000, 70.449, 12.0498
14750.000000, 72.495, 7.2135
15000.000000, 74.779, -3.3307
15250.000000, 76.756, -20.5451
15500.000000, 77.823, -42.6148
15750.000000, 77.805, -65.3778
16000.000000, 77.054, -85.9316
16250.000000, 75.947, -104.2977
16500.000000, 74.533, -121.2458
16750.000000, 72.708, -136.2968
17000.000000, 70.485, -148.2286
17250.000000, 68.040, -156.2733
17500.000000, 65.600, -160.5739
17750.000000, 63.323, -161.8264
18000.000000, 61.264, -160.8079
18250.000000, 59.438, -158.3678
18500.000000, 57.802, -154.8750
18750.000000, 56.342, -150.4780
19000.000000, 55.071, -145.7214
19250.000000, 53.944, -140.9273
19500.000000, 53.007, -136.3953
19750.000000, 52.472, -132.4984
20000.000000, 52.440, -130.1828
