* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2024 11:14:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 (Bass, Azla Max) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 85.016, -166.5717
20.600000, 85.023, -167.0410
20.900000, 85.031, -167.5789
21.200001, 85.039, -168.1852
21.400000, 85.041, -168.6306
21.799999, 85.032, -169.5766
22.000000, 85.019, -170.0411
22.400000, 84.984, -170.8621
22.700001, 84.960, -171.3491
23.000000, 84.950, -171.7479
23.299999, 84.958, -172.1213
23.600000, 84.982, -172.5405
24.000000, 85.022, -173.2421
24.299999, 85.043, -173.8638
24.700001, 85.048, -174.7256
25.000000, 85.037, -175.3233
25.400000, 85.014, -175.9974
25.799999, 84.995, -176.5554
26.200001, 84.987, -177.0819
26.500000, 84.983, -177.5017
26.900000, 84.976, -178.1132
27.200001, 84.967, -178.5986
27.600000, 84.950, -179.2545
28.000000, 84.932, -179.9038
28.500000, 84.909, 179.2974
29.000000, 84.883, 178.5235
29.500000, 84.852, 177.8049
30.000000, 84.822, 177.1451
30.400000, 84.801, 176.6285
30.700001, 84.787, 176.2289
31.100000, 84.766, 175.6763
31.500000, 84.739, 175.1214
32.000000, 84.701, 174.4716
32.500000, 84.666, 173.8850
33.000000, 84.639, 173.3197
33.500000, 84.616, 172.7319
34.000000, 84.591, 172.1268
34.500000, 84.562, 171.5329
35.000000, 84.531, 170.9522
35.500000, 84.492, 170.3663
36.000000, 84.443, 169.7870
36.500000, 84.384, 169.2586
37.000000, 84.333, 168.7897
37.500000, 84.299, 168.3125
38.200001, 84.264, 167.5105
38.700001, 84.223, 166.9163
39.500000, 84.135, 166.2097
40.000000, 84.095, 165.8575
40.599998, 84.061, 165.2786
41.200001, 84.009, 164.5125
41.799999, 83.927, 163.8288
42.500000, 83.840, 163.3569
43.099998, 83.799, 163.0390
43.700001, 83.769, 162.5820
44.400002, 83.712, 161.8989
45.000000, 83.648, 161.3154
45.500000, 83.594, 160.8663
46.200001, 83.525, 160.2953
46.799999, 83.471, 159.8564
47.500000, 83.412, 159.3601
48.200001, 83.348, 158.8358
48.700001, 83.296, 158.4635
49.400002, 83.221, 157.9916
50.000000, 83.161, 157.6283
50.799999, 83.091, 157.1316
51.500000, 83.024, 156.6497
52.200001, 82.943, 156.1547
53.000000, 82.840, 155.6302
53.799999, 82.748, 155.1226
54.500000, 82.677, 154.6506
55.200001, 82.607, 154.1990
56.000000, 82.526, 153.7603
57.000000, 82.426, 153.1726
58.000000, 82.311, 152.4359
59.000000, 82.189, 151.8355
60.000000, 82.081, 151.4993
60.799999, 82.000, 151.2734
61.500000, 81.929, 151.0285
62.200001, 81.855, 150.7662
63.000000, 81.768, 150.4957
64.000000, 81.652, 150.1333
65.000000, 81.528, 149.6487
66.000000, 81.418, 149.1827
67.000000, 81.322, 148.8466
68.000000, 81.215, 148.5558
69.000000, 81.106, 148.1876
70.000000, 81.009, 147.7525
71.000000, 80.904, 147.4260
72.000000, 80.782, 147.2220
73.000000, 80.648, 146.9803
74.000000, 80.508, 146.7267
75.000000, 80.378, 146.5214
76.199997, 80.242, 146.3184
77.500000, 80.109, 146.1539
78.800003, 79.958, 146.0264
80.000000, 79.812, 145.8278
81.199997, 79.669, 145.5384
82.500000, 79.528, 145.3764
83.800003, 79.400, 145.3312
85.000000, 79.272, 145.2779
86.199997, 79.129, 145.1954
87.500000, 78.980, 145.0645
88.500000, 78.877, 144.9865
90.000000, 78.721, 144.9666
91.199997, 78.580, 145.0092
92.500000, 78.424, 145.0934
93.800003, 78.271, 145.1704
95.000000, 78.145, 145.2100
96.199997, 78.046, 145.3368
97.500000, 77.947, 145.4812
98.800003, 77.801, 145.5785
100.000000, 77.645, 145.7122
101.500000, 77.475, 145.8185
103.000000, 77.333, 145.9548
104.400002, 77.223, 146.0181
106.000000, 77.092, 146.3437
107.500000, 76.944, 146.7670
109.000000, 76.776, 146.9846
110.599998, 76.615, 147.3354
112.000000, 76.489, 147.6795
113.800003, 76.317, 148.2372
115.000000, 76.214, 148.6128
117.199997, 76.047, 149.3600
118.000000, 75.985, 149.5835
120.599998, 75.757, 150.0168
122.000000, 75.636, 150.3969
124.099998, 75.474, 151.2029
125.000000, 75.406, 151.4580
126.500000, 75.292, 151.9387
128.000000, 75.187, 152.4832
131.500000, 74.942, 153.4820
132.000000, 74.905, 153.6155
134.000000, 74.759, 154.3369
136.000000, 74.636, 155.1709
138.000000, 74.521, 156.0451
140.000000, 74.393, 156.7663
143.000000, 74.212, 158.0547
145.000000, 74.128, 158.9313
147.500000, 74.017, 159.8557
150.000000, 73.909, 160.7844
152.500000, 73.796, 161.8344
155.000000, 73.705, 162.9026
157.500000, 73.616, 163.8806
160.000000, 73.525, 164.7342
162.500000, 73.437, 165.6645
165.000000, 73.354, 166.7450
167.500000, 73.295, 167.7623
170.000000, 73.242, 168.6982
172.500000, 73.185, 169.8135
175.000000, 73.141, 170.8951
177.500000, 73.106, 171.8023
180.000000, 73.049, 172.5431
182.500000, 72.992, 173.3049
185.000000, 72.958, 174.1103
187.500000, 72.925, 175.0110
190.000000, 72.900, 175.9755
192.500000, 72.886, 176.8326
195.000000, 72.861, 177.7076
197.500000, 72.833, 178.5240
200.000000, 72.821, 179.2561
203.000000, 72.809, -179.7030
206.000000, 72.797, -178.6475
209.000000, 72.801, -177.7515
212.000000, 72.799, -176.9176
214.000000, 72.789, -176.3168
218.000000, 72.787, -175.1301
220.000000, 72.795, -174.5715
224.000000, 72.792, -173.5439
227.000000, 72.804, -172.8249
230.000000, 72.819, -171.9861
233.000000, 72.824, -171.2340
236.000000, 72.808, -170.7428
240.000000, 72.804, -169.9250
243.000000, 72.814, -169.1306
247.000000, 72.824, -168.1599
250.000000, 72.837, -167.4525
254.000000, 72.868, -166.6446
258.000000, 72.888, -166.0102
262.000000, 72.900, -165.2163
265.000000, 72.914, -164.6639
269.000000, 72.944, -163.9605
272.000000, 72.955, -163.4521
276.000000, 72.964, -162.8628
280.000000, 72.986, -162.2618
285.000000, 73.015, -161.4485
290.000000, 73.043, -160.5094
295.000000, 73.072, -159.8596
300.000000, 73.092, -159.2474
304.000000, 73.107, -158.6179
307.000000, 73.112, -158.1689
311.000000, 73.119, -157.5693
315.000000, 73.138, -156.9761
320.000000, 73.160, -156.2683
325.000000, 73.178, -155.7710
330.000000, 73.187, -155.1365
335.000000, 73.204, -154.4300
340.000000, 73.223, -153.7963
345.000000, 73.235, -153.3084
350.000000, 73.244, -152.7165
355.000000, 73.261, -152.0250
360.000000, 73.263, -151.3537
365.000000, 73.274, -150.7949
370.000000, 73.296, -150.2550
375.000000, 73.318, -149.8180
382.000000, 73.327, -149.1231
387.000000, 73.334, -148.5173
395.000000, 73.347, -147.6846
400.000000, 73.358, -147.1431
406.000000, 73.360, -146.5339
412.000000, 73.365, -145.8616
418.000000, 73.374, -145.2883
425.000000, 73.382, -144.6396
431.000000, 73.394, -144.0207
437.000000, 73.386, -143.3807
444.000000, 73.387, -142.6998
450.000000, 73.396, -142.1557
455.000000, 73.404, -141.6307
462.000000, 73.420, -140.9305
468.000000, 73.429, -140.4506
475.000000, 73.421, -139.8335
482.000000, 73.419, -139.2267
487.000000, 73.424, -138.7750
494.000000, 73.431, -138.0589
500.000000, 73.428, -137.4542
508.000000, 73.426, -136.7126
515.000000, 73.418, -136.0572
522.000000, 73.412, -135.4233
530.000000, 73.411, -134.6439
538.000000, 73.406, -133.7924
545.000000, 73.406, -133.1458
552.000000, 73.401, -132.5300
560.000000, 73.389, -131.8075
570.000000, 73.385, -130.8206
580.000000, 73.387, -129.7667
590.000000, 73.384, -128.7917
600.000000, 73.390, -127.8978
608.000000, 73.396, -127.0832
615.000000, 73.396, -126.4013
622.000000, 73.377, -125.7577
630.000000, 73.362, -125.0315
640.000000, 73.364, -124.0594
650.000000, 73.364, -122.9804
660.000000, 73.364, -121.9972
670.000000, 73.371, -121.0336
680.000000, 73.385, -119.9357
690.000000, 73.387, -118.8485
700.000000, 73.384, -117.8155
710.000000, 73.373, -116.7781
720.000000, 73.370, -115.6711
730.000000, 73.391, -114.4928
740.000000, 73.416, -113.2796
750.000000, 73.441, -112.1033
762.000000, 73.465, -110.7432
775.000000, 73.491, -109.2064
788.000000, 73.544, -107.6490
800.000000, 73.600, -106.2677
812.000000, 73.657, -104.8590
825.000000, 73.731, -103.3642
838.000000, 73.824, -101.8340
850.000000, 73.931, -100.5170
862.000000, 74.043, -99.2670
875.000000, 74.156, -97.9841
885.000000, 74.250, -97.0500
900.000000, 74.401, -95.7019
912.000000, 74.512, -94.6822
925.000000, 74.627, -93.7321
938.000000, 74.743, -92.8857
950.000000, 74.847, -92.0826
962.000000, 74.948, -91.2010
975.000000, 75.052, -90.2493
988.000000, 75.142, -89.3928
1000.000000, 75.224, -88.5972
1015.000000, 75.358, -87.6213
1030.000000, 75.488, -86.6978
1044.000000, 75.605, -85.8130
1060.000000, 75.747, -84.8811
1075.000000, 75.873, -84.0095
1090.000000, 75.996, -83.1749
1106.000000, 76.139, -82.3418
1120.000000, 76.269, -81.6205
1138.000000, 76.432, -80.7628
1150.000000, 76.531, -80.2332
1172.000000, 76.708, -79.2519
1180.000000, 76.776, -78.9335
1206.000000, 77.003, -77.9850
1220.000000, 77.118, -77.5170
1241.000000, 77.285, -76.8097
1250.000000, 77.358, -76.5036
1265.000000, 77.476, -76.0510
1280.000000, 77.590, -75.6461
1315.000000, 77.852, -74.6935
1320.000000, 77.888, -74.5718
1340.000000, 78.025, -74.1230
