* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 23, 2024 11:27:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 (Mid-high, Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 85.489, -172.7435
20.600000, 85.486, -173.2281
20.900000, 85.491, -173.8000
21.200001, 85.503, -174.4514
21.400000, 85.511, -174.9265
21.799999, 85.518, -175.9247
22.000000, 85.516, -176.4159
22.400000, 85.502, -177.3170
22.700001, 85.492, -177.9056
23.000000, 85.488, -178.4412
23.299999, 85.492, -178.9652
23.600000, 85.502, -179.5163
24.000000, 85.515, 179.6814
24.299999, 85.519, 179.0475
24.700001, 85.513, 178.2167
25.000000, 85.504, 177.6354
25.400000, 85.490, 176.9204
25.799999, 85.478, 176.2346
26.200001, 85.466, 175.5309
26.500000, 85.453, 174.9843
26.900000, 85.428, 174.2537
27.200001, 85.406, 173.7261
27.600000, 85.380, 173.0634
28.000000, 85.362, 172.4284
28.500000, 85.349, 171.6203
29.000000, 85.332, 170.7778
29.500000, 85.301, 169.9522
30.000000, 85.264, 169.1933
30.400000, 85.238, 168.6221
30.700001, 85.222, 168.1932
31.100000, 85.203, 167.6021
31.500000, 85.183, 166.9922
32.000000, 85.152, 166.2411
32.500000, 85.117, 165.5372
33.000000, 85.085, 164.8666
33.500000, 85.057, 164.1876
34.000000, 85.026, 163.4901
34.500000, 84.989, 162.8128
35.000000, 84.948, 162.2003
35.500000, 84.910, 161.6511
36.000000, 84.880, 161.1133
36.500000, 84.856, 160.5292
37.000000, 84.831, 159.8852
37.500000, 84.798, 159.2196
38.200001, 84.734, 158.3434
38.700001, 84.679, 157.7726
39.500000, 84.589, 156.8946
40.000000, 84.541, 156.3474
40.599998, 84.500, 155.6930
41.200001, 84.475, 155.0242
41.799999, 84.442, 154.3307
42.500000, 84.374, 153.5466
43.099998, 84.302, 152.9391
43.700001, 84.243, 152.3470
44.400002, 84.193, 151.6111
45.000000, 84.145, 151.0080
45.500000, 84.094, 150.5873
46.200001, 84.017, 150.0717
46.799999, 83.953, 149.5647
47.500000, 83.877, 148.8745
48.200001, 83.805, 148.2274
48.700001, 83.765, 147.8119
49.400002, 83.717, 147.1960
50.000000, 83.670, 146.6077
50.799999, 83.593, 145.8861
51.500000, 83.523, 145.3884
52.200001, 83.449, 144.9252
53.000000, 83.354, 144.3503
53.799999, 83.272, 143.7372
54.500000, 83.219, 143.1806
55.200001, 83.157, 142.6285
56.000000, 83.058, 141.9990
57.000000, 82.922, 141.1277
58.000000, 82.827, 140.3346
59.000000, 82.766, 139.7436
60.000000, 82.664, 139.1124
60.799999, 82.552, 138.6395
61.500000, 82.470, 138.2858
62.200001, 82.402, 137.9059
63.000000, 82.316, 137.4238
64.000000, 82.190, 136.8717
65.000000, 82.073, 136.3448
66.000000, 81.957, 135.8418
67.000000, 81.853, 135.3887
68.000000, 81.755, 134.8106
69.000000, 81.631, 134.1998
70.000000, 81.508, 133.6902
71.000000, 81.408, 133.3222
72.000000, 81.318, 133.0695
73.000000, 81.214, 132.6837
74.000000, 81.089, 132.2128
75.000000, 80.974, 131.7881
76.199997, 80.838, 131.2989
77.500000, 80.695, 130.8062
78.800003, 80.565, 130.3962
80.000000, 80.450, 130.0309
81.199997, 80.312, 129.7710
82.500000, 80.158, 129.5112
83.800003, 80.022, 129.0119
85.000000, 79.895, 128.6282
86.199997, 79.748, 128.3759
87.500000, 79.594, 128.0488
88.500000, 79.489, 127.8011
90.000000, 79.339, 127.5564
91.199997, 79.211, 127.3923
92.500000, 79.068, 127.1601
93.800003, 78.928, 127.0013
95.000000, 78.807, 126.8987
96.199997, 78.690, 126.7580
97.500000, 78.569, 126.6444
98.800003, 78.432, 126.5941
100.000000, 78.296, 126.5205
101.500000, 78.134, 126.3994
103.000000, 77.989, 126.3078
104.400002, 77.863, 126.3199
106.000000, 77.709, 126.4033
107.500000, 77.579, 126.4791
109.000000, 77.439, 126.5057
110.599998, 77.286, 126.4152
112.000000, 77.157, 126.4137
113.800003, 76.985, 126.5977
115.000000, 76.879, 126.5967
117.199997, 76.712, 126.8527
118.000000, 76.657, 126.9628
120.599998, 76.464, 127.1633
122.000000, 76.331, 127.2638
124.099998, 76.122, 127.6182
125.000000, 76.040, 127.8066
126.500000, 75.919, 127.9872
128.000000, 75.795, 128.1401
131.500000, 75.548, 128.5405
132.000000, 75.512, 128.6229
134.000000, 75.369, 129.0711
136.000000, 75.241, 129.6002
138.000000, 75.111, 129.9890
140.000000, 74.975, 130.4232
143.000000, 74.763, 131.3240
145.000000, 74.628, 131.5483
147.500000, 74.481, 132.1249
150.000000, 74.372, 133.1263
152.500000, 74.281, 133.7344
155.000000, 74.189, 134.2089
157.500000, 74.047, 134.8875
160.000000, 73.926, 135.7369
162.500000, 73.850, 136.4047
165.000000, 73.770, 137.1239
167.500000, 73.697, 137.8131
170.000000, 73.614, 138.3362
172.500000, 73.530, 138.9901
175.000000, 73.451, 139.5288
177.500000, 73.395, 139.9947
180.000000, 73.346, 140.6041
182.500000, 73.282, 141.4549
185.000000, 73.209, 142.2189
187.500000, 73.173, 142.9499
190.000000, 73.167, 143.5898
192.500000, 73.143, 144.2189
195.000000, 73.110, 144.7892
197.500000, 73.071, 145.1926
200.000000, 73.023, 145.5557
203.000000, 72.960, 146.2628
206.000000, 72.931, 146.8688
209.000000, 72.911, 147.5605
212.000000, 72.907, 148.1942
214.000000, 72.906, 148.5232
218.000000, 72.882, 149.1971
220.000000, 72.879, 149.6095
224.000000, 72.883, 150.3794
227.000000, 72.894, 151.0298
230.000000, 72.882, 151.4178
233.000000, 72.856, 151.6551
236.000000, 72.849, 152.0755
240.000000, 72.857, 152.5256
243.000000, 72.857, 152.8780
247.000000, 72.858, 153.4853
250.000000, 72.867, 154.0428
254.000000, 72.897, 154.6203
258.000000, 72.927, 154.8995
262.000000, 72.934, 155.2159
265.000000, 72.925, 155.4532
269.000000, 72.928, 155.8507
272.000000, 72.943, 156.3136
276.000000, 72.962, 156.6920
280.000000, 72.990, 156.8937
285.000000, 72.995, 157.1963
290.000000, 73.002, 157.4211
295.000000, 73.013, 157.6507
300.000000, 73.027, 158.1914
304.000000, 73.032, 158.4704
307.000000, 73.040, 158.5821
311.000000, 73.059, 158.6919
315.000000, 73.077, 158.8729
320.000000, 73.114, 159.1411
325.000000, 73.156, 159.1992
330.000000, 73.150, 159.5330
335.000000, 73.122, 159.7729
340.000000, 73.131, 159.9379
345.000000, 73.168, 160.1617
350.000000, 73.184, 160.4193
355.000000, 73.192, 160.5710
360.000000, 73.199, 160.8187
365.000000, 73.194, 160.9400
370.000000, 73.194, 161.0245
375.000000, 73.202, 161.0502
382.000000, 73.203, 161.1974
387.000000, 73.206, 161.3503
395.000000, 73.230, 161.5289
400.000000, 73.277, 161.6602
406.000000, 73.313, 161.7532
412.000000, 73.308, 161.8546
418.000000, 73.299, 161.9016
425.000000, 73.294, 162.1675
431.000000, 73.313, 162.2461
437.000000, 73.315, 162.2936
444.000000, 73.300, 162.5244
450.000000, 73.298, 162.6385
455.000000, 73.313, 162.6936
462.000000, 73.320, 162.7292
468.000000, 73.306, 162.8262
475.000000, 73.291, 163.0878
482.000000, 73.300, 163.2372
487.000000, 73.301, 163.2447
494.000000, 73.304, 163.3752
500.000000, 73.301, 163.5928
508.000000, 73.288, 163.8374
515.000000, 73.289, 163.9129
522.000000, 73.289, 163.9609
530.000000, 73.294, 164.1042
538.000000, 73.293, 164.3765
545.000000, 73.296, 164.6949
552.000000, 73.297, 164.8812
560.000000, 73.303, 165.0194
570.000000, 73.316, 165.2256
580.000000, 73.301, 165.3477
590.000000, 73.283, 165.5397
600.000000, 73.272, 165.9073
608.000000, 73.265, 166.1919
615.000000, 73.263, 166.5163
622.000000, 73.261, 166.8366
630.000000, 73.259, 167.0809
640.000000, 73.235, 167.4022
650.000000, 73.234, 167.7524
660.000000, 73.242, 168.1667
670.000000, 73.243, 168.6898
680.000000, 73.264, 169.3048
690.000000, 73.285, 169.6548
700.000000, 73.296, 169.9752
710.000000, 73.310, 170.4862
720.000000, 73.316, 171.0593
730.000000, 73.325, 171.7125
740.000000, 73.365, 172.4600
750.000000, 73.413, 173.1577
762.000000, 73.468, 173.9401
775.000000, 73.539, 174.6763
788.000000, 73.635, 175.3265
800.000000, 73.744, 176.0143
812.000000, 73.869, 176.7287
825.000000, 74.000, 177.2984
838.000000, 74.122, 177.6346
850.000000, 74.245, 177.7332
862.000000, 74.374, 177.9096
875.000000, 74.485, 178.1235
885.000000, 74.556, 178.2788
900.000000, 74.646, 178.4378
912.000000, 74.723, 178.5357
925.000000, 74.818, 178.7997
938.000000, 74.904, 179.0954
950.000000, 74.987, 179.2977
962.000000, 75.079, 179.5431
975.000000, 75.175, 179.8140
988.000000, 75.292, -179.9193
1000.000000, 75.408, -179.6834
1015.000000, 75.516, -179.3304
1030.000000, 75.625, -179.0648
1044.000000, 75.740, -178.8749
1060.000000, 75.879, -178.6875
1075.000000, 76.020, -178.5406
1090.000000, 76.169, -178.3987
1106.000000, 76.316, -178.2641
1120.000000, 76.435, -178.1598
1138.000000, 76.602, -178.0371
1150.000000, 76.717, -178.0343
1172.000000, 76.913, -178.2361
1180.000000, 76.984, -178.3008
1206.000000, 77.231, -178.5234
1220.000000, 77.358, -178.6010
1241.000000, 77.531, -178.7906
1250.000000, 77.603, -178.9257
1265.000000, 77.721, -179.1578
1280.000000, 77.841, -179.3511
1315.000000, 78.120, -179.8019
1320.000000, 78.158, -179.8685
1340.000000, 78.299, 179.8161
