* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2024 11:17:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 (Reference, Azla Max)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 85.342, -166.9862
20.600000, 85.354, -167.6006
20.900000, 85.358, -168.2771
21.200001, 85.352, -168.9598
21.400000, 85.344, -169.4052
21.799999, 85.320, -170.2370
22.000000, 85.309, -170.6125
22.400000, 85.296, -171.2864
22.700001, 85.299, -171.7550
23.000000, 85.310, -172.2294
23.299999, 85.323, -172.7333
23.600000, 85.332, -173.2697
24.000000, 85.329, -174.0046
24.299999, 85.315, -174.5383
24.700001, 85.289, -175.1980
25.000000, 85.269, -175.6592
25.400000, 85.251, -176.2633
25.799999, 85.241, -176.8891
26.200001, 85.235, -177.5401
26.500000, 85.229, -178.0271
26.900000, 85.216, -178.6479
27.200001, 85.204, -179.0856
27.600000, 85.185, -179.6463
28.000000, 85.164, 179.7890
28.500000, 85.134, 179.0438
29.000000, 85.105, 178.2617
29.500000, 85.083, 177.4793
30.000000, 85.070, 176.7212
30.400000, 85.060, 176.1372
30.700001, 85.048, 175.7161
31.100000, 85.021, 175.1855
31.500000, 84.984, 174.6956
32.000000, 84.934, 174.1202
32.500000, 84.893, 173.5222
33.000000, 84.867, 172.8426
33.500000, 84.843, 172.1070
34.000000, 84.812, 171.4235
34.500000, 84.773, 170.8829
35.000000, 84.737, 170.4578
35.500000, 84.709, 170.0201
36.000000, 84.682, 169.4708
36.500000, 84.643, 168.8405
37.000000, 84.594, 168.2470
37.500000, 84.545, 167.7682
38.200001, 84.496, 167.1980
38.700001, 84.467, 166.7262
39.500000, 84.404, 165.8218
40.000000, 84.356, 165.2721
40.599998, 84.303, 164.7119
41.200001, 84.255, 164.2293
41.799999, 84.202, 163.7565
42.500000, 84.119, 163.1824
43.099998, 84.043, 162.6781
43.700001, 83.983, 162.1534
44.400002, 83.937, 161.4885
45.000000, 83.902, 160.8993
45.500000, 83.863, 160.4492
46.200001, 83.789, 159.9399
46.799999, 83.719, 159.5761
47.500000, 83.641, 159.1218
48.200001, 83.567, 158.5952
48.700001, 83.516, 158.2005
49.400002, 83.450, 157.6513
50.000000, 83.396, 157.1938
50.799999, 83.321, 156.6322
51.500000, 83.250, 156.1902
52.200001, 83.176, 155.7486
53.000000, 83.084, 155.2253
53.799999, 82.990, 154.7552
54.500000, 82.912, 154.4273
55.200001, 82.838, 154.1166
56.000000, 82.747, 153.6567
57.000000, 82.618, 152.9343
58.000000, 82.517, 152.3184
59.000000, 82.444, 151.8556
60.000000, 82.331, 151.4564
60.799999, 82.218, 151.1589
61.500000, 82.134, 150.8571
62.200001, 82.064, 150.4991
63.000000, 81.984, 150.0750
64.000000, 81.871, 149.6198
65.000000, 81.764, 149.2510
66.000000, 81.664, 148.9569
67.000000, 81.548, 148.7301
68.000000, 81.429, 148.4216
69.000000, 81.317, 148.0552
70.000000, 81.219, 147.7998
71.000000, 81.118, 147.5154
72.000000, 80.991, 147.1964
73.000000, 80.864, 146.9651
74.000000, 80.752, 146.6821
75.000000, 80.644, 146.3501
76.199997, 80.520, 146.0664
77.500000, 80.368, 145.8333
78.800003, 80.207, 145.5061
80.000000, 80.067, 145.2543
81.199997, 79.929, 145.1951
82.500000, 79.779, 145.2065
83.800003, 79.633, 145.1448
85.000000, 79.496, 144.9711
86.199997, 79.356, 144.8060
87.500000, 79.209, 144.7752
88.500000, 79.099, 144.8097
90.000000, 78.935, 144.8382
91.199997, 78.807, 144.8239
92.500000, 78.678, 144.7709
93.800003, 78.546, 144.8056
95.000000, 78.405, 144.8855
96.199997, 78.267, 144.8956
97.500000, 78.129, 144.8756
98.800003, 77.997, 144.9944
100.000000, 77.868, 145.1179
101.500000, 77.693, 145.2939
103.000000, 77.547, 145.5647
104.400002, 77.421, 145.8963
106.000000, 77.278, 146.1846
107.500000, 77.156, 146.3726
109.000000, 77.011, 146.5778
110.599998, 76.845, 146.8521
112.000000, 76.714, 147.1953
113.800003, 76.594, 147.9675
115.000000, 76.519, 148.3609
117.199997, 76.281, 148.5294
118.000000, 76.189, 148.6496
120.599998, 75.966, 149.3455
122.000000, 75.876, 149.8798
124.099998, 75.686, 150.7059
125.000000, 75.610, 151.0235
126.500000, 75.496, 151.4789
128.000000, 75.368, 151.9386
131.500000, 75.126, 153.2940
132.000000, 75.101, 153.4671
134.000000, 74.977, 153.9399
136.000000, 74.832, 154.3990
138.000000, 74.702, 155.1653
140.000000, 74.589, 155.9497
143.000000, 74.414, 157.3354
145.000000, 74.318, 158.1779
147.500000, 74.193, 159.1056
150.000000, 74.077, 159.9974
152.500000, 73.975, 161.0026
155.000000, 73.870, 162.0710
157.500000, 73.754, 163.2537
160.000000, 73.660, 164.3496
162.500000, 73.564, 165.2699
165.000000, 73.487, 166.2783
167.500000, 73.420, 167.2828
170.000000, 73.339, 168.2233
172.500000, 73.259, 169.1048
175.000000, 73.199, 170.1689
177.500000, 73.160, 171.2432
180.000000, 73.121, 172.3339
182.500000, 73.067, 173.3642
185.000000, 73.019, 174.2201
187.500000, 72.997, 174.9973
190.000000, 72.982, 175.8884
192.500000, 72.958, 176.7545
195.000000, 72.926, 177.6379
197.500000, 72.904, 178.5620
200.000000, 72.888, 179.4183
203.000000, 72.871, -179.6698
206.000000, 72.868, -178.8468
209.000000, 72.869, -177.9276
212.000000, 72.864, -176.8902
214.000000, 72.848, -176.2161
218.000000, 72.844, -174.9996
220.000000, 72.848, -174.4924
224.000000, 72.831, -173.4224
227.000000, 72.840, -172.6575
230.000000, 72.857, -171.8450
233.000000, 72.864, -171.0965
236.000000, 72.861, -170.3751
240.000000, 72.862, -169.3252
243.000000, 72.871, -168.5354
247.000000, 72.872, -167.7467
250.000000, 72.872, -167.1778
254.000000, 72.906, -166.3705
258.000000, 72.948, -165.4967
262.000000, 72.963, -164.7362
265.000000, 72.966, -164.2524
269.000000, 72.977, -163.5443
272.000000, 72.988, -162.9678
276.000000, 73.005, -162.1538
280.000000, 73.020, -161.4007
285.000000, 73.024, -160.6061
290.000000, 73.031, -159.6158
295.000000, 73.061, -158.6942
300.000000, 73.095, -157.9706
304.000000, 73.121, -157.4349
307.000000, 73.133, -157.0454
311.000000, 73.142, -156.4743
315.000000, 73.148, -155.9011
320.000000, 73.165, -155.2452
325.000000, 73.192, -154.6441
330.000000, 73.203, -153.9721
335.000000, 73.210, -153.1350
340.000000, 73.232, -152.4890
345.000000, 73.250, -151.8609
350.000000, 73.262, -151.4068
355.000000, 73.281, -150.8405
360.000000, 73.292, -150.1025
365.000000, 73.285, -149.4331
370.000000, 73.279, -148.8229
375.000000, 73.295, -148.2668
382.000000, 73.318, -147.3883
387.000000, 73.328, -146.8206
395.000000, 73.341, -146.0116
400.000000, 73.346, -145.3873
406.000000, 73.357, -144.6993
412.000000, 73.359, -144.0054
418.000000, 73.358, -143.3763
425.000000, 73.365, -142.6983
431.000000, 73.369, -142.0352
437.000000, 73.368, -141.3709
444.000000, 73.379, -140.6492
450.000000, 73.388, -140.0384
455.000000, 73.387, -139.4029
462.000000, 73.397, -138.6231
468.000000, 73.403, -138.0482
475.000000, 73.402, -137.4123
482.000000, 73.399, -136.6172
487.000000, 73.396, -136.0789
494.000000, 73.388, -135.3402
500.000000, 73.389, -134.6619
508.000000, 73.395, -133.8510
515.000000, 73.399, -133.1096
522.000000, 73.413, -132.2738
530.000000, 73.414, -131.3807
538.000000, 73.411, -130.6326
545.000000, 73.410, -129.9587
552.000000, 73.415, -129.2196
560.000000, 73.414, -128.4613
570.000000, 73.395, -127.3507
580.000000, 73.401, -126.3039
590.000000, 73.405, -125.2588
600.000000, 73.407, -124.2728
608.000000, 73.403, -123.4447
615.000000, 73.395, -122.7244
622.000000, 73.394, -121.9588
630.000000, 73.393, -121.0257
640.000000, 73.387, -119.9804
650.000000, 73.390, -118.8961
660.000000, 73.393, -117.6259
670.000000, 73.397, -116.4483
680.000000, 73.409, -115.3987
690.000000, 73.413, -114.2175
700.000000, 73.416, -112.9991
710.000000, 73.425, -111.7667
720.000000, 73.444, -110.4789
730.000000, 73.467, -109.2776
740.000000, 73.495, -108.1047
750.000000, 73.522, -106.8530
762.000000, 73.560, -105.2712
775.000000, 73.617, -103.5895
788.000000, 73.687, -101.8288
800.000000, 73.757, -100.3120
812.000000, 73.843, -98.7719
825.000000, 73.965, -97.2207
838.000000, 74.096, -95.8125
850.000000, 74.217, -94.5919
862.000000, 74.342, -93.4031
875.000000, 74.466, -92.2827
885.000000, 74.558, -91.4673
900.000000, 74.694, -90.2420
912.000000, 74.798, -89.3230
925.000000, 74.909, -88.3657
938.000000, 75.009, -87.3597
950.000000, 75.095, -86.4589
962.000000, 75.185, -85.5432
975.000000, 75.281, -84.5525
988.000000, 75.383, -83.4516
1000.000000, 75.480, -82.3962
1015.000000, 75.596, -81.3528
1030.000000, 75.711, -80.2830
1044.000000, 75.830, -79.2754
1060.000000, 75.976, -78.2347
1075.000000, 76.113, -77.2383
1090.000000, 76.251, -76.2622
1106.000000, 76.393, -75.3302
1120.000000, 76.523, -74.5165
1138.000000, 76.695, -73.4677
1150.000000, 76.803, -72.7980
1172.000000, 77.002, -71.7092
1180.000000, 77.075, -71.3323
1206.000000, 77.301, -70.1666
1220.000000, 77.424, -69.5785
1241.000000, 77.604, -68.7752
1250.000000, 77.677, -68.4310
1265.000000, 77.801, -67.8877
1280.000000, 77.927, -67.3964
1315.000000, 78.214, -66.1783
1320.000000, 78.252, -66.0114
1340.000000, 78.399, -65.3951
1360.000000, 78.545, -64.8182
1380.000000, 78.694, -64.2998
1400.000000, 78.840, -63.8063
1430.000000, 79.048, -63.1183
1450.000000, 79.182, -62.6836
1475.000000, 79.345, -62.1284
1500.000000, 79.502, -61.6477
1525.000000, 79.657, -61.2052
1550.000000, 79.811, -60.8066
1575.000000, 79.964, -60.4683
1600.000000, 80.110, -60.1475
1625.000000, 80.250, -59.8571
1650.000000, 80.387, -59.6484
1675.000000, 80.517, -59.4682
1700.000000, 80.639, -59.3244
1725.000000, 80.764, -59.2215
1750.000000, 80.887, -59.1774
1775.000000, 81.003, -59.1682
1800.000000, 81.107, -59.2005
1825.000000, 81.201, -59.2745
1850.000000, 81.288, -59.3876
1875.000000, 81.364, -59.5440
1900.000000, 81.433, -59.7370
1925.000000, 81.493, -59.9677
1950.000000, 81.542, -60.2113
1975.000000, 81.579, -60.4437
2000.000000, 81.604, -60.7105
2030.000000, 81.614, -61.1031
2060.000000, 81.609, -61.4698
2090.000000, 81.584, -61.7610
2120.000000, 81.537, -62.0028
2140.000000, 81.497, -62.1503
2180.000000, 81.402, -62.3545
2200.000000, 81.344, -62.3948
2240.000000, 81.218, -62.3756
2270.000000, 81.110, -62.2897
2300.000000, 80.990, -62.0884
