* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 23, 2024 11:16:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 (Reference, Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.925, -171.3716
20.600000, 84.933, -171.9733
20.900000, 84.947, -172.6623
21.200001, 84.964, -173.4059
21.400000, 84.973, -173.9216
21.799999, 84.978, -174.9389
22.000000, 84.974, -175.4065
22.400000, 84.954, -176.1996
22.700001, 84.940, -176.6714
23.000000, 84.934, -177.0842
23.299999, 84.939, -177.5042
23.600000, 84.953, -177.9892
24.000000, 84.973, -178.7750
24.299999, 84.982, -179.4436
24.700001, 84.981, 179.6442
25.000000, 84.974, 178.9975
25.400000, 84.963, 178.2169
25.799999, 84.956, 177.5031
26.200001, 84.952, 176.8005
26.500000, 84.947, 176.2588
26.900000, 84.934, 175.5182
27.200001, 84.920, 174.9641
27.600000, 84.898, 174.2501
28.000000, 84.880, 173.5739
28.500000, 84.862, 172.7654
29.000000, 84.848, 171.9627
29.500000, 84.831, 171.1426
30.000000, 84.805, 170.3123
30.400000, 84.778, 169.6637
30.700001, 84.756, 169.2020
31.100000, 84.726, 168.6330
31.500000, 84.700, 168.1156
32.000000, 84.677, 167.4992
32.500000, 84.660, 166.8408
33.000000, 84.640, 166.0912
33.500000, 84.609, 165.2771
34.000000, 84.569, 164.4757
34.500000, 84.528, 163.7464
35.000000, 84.494, 163.0922
35.500000, 84.465, 162.4782
36.000000, 84.435, 161.8702
36.500000, 84.402, 161.2482
37.000000, 84.365, 160.6002
37.500000, 84.323, 159.9263
38.200001, 84.257, 158.9854
38.700001, 84.210, 158.3560
39.500000, 84.151, 157.4176
40.000000, 84.121, 156.8485
40.599998, 84.082, 156.2017
41.200001, 84.039, 155.6198
41.799999, 83.995, 155.0516
42.500000, 83.940, 154.3066
43.099998, 83.885, 153.6280
