* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 23, 2024 11:13:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 (Reference, H570 M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.143, -169.6439
20.600000, 83.156, -170.1895
20.900000, 83.179, -170.7850
21.200001, 83.206, -171.4329
21.400000, 83.221, -171.9010
21.799999, 83.235, -172.8887
22.000000, 83.232, -173.3762
22.400000, 83.211, -174.2517
22.700001, 83.195, -174.7803
23.000000, 83.191, -175.2070
23.299999, 83.206, -175.5822
23.600000, 83.240, -175.9776
24.000000, 83.298, -176.6403
24.299999, 83.335, -177.2637
24.700001, 83.353, -178.2052
25.000000, 83.338, -178.9127
25.400000, 83.295, -179.7418
25.799999, 83.252, 179.6105
26.200001, 83.238, 179.0833
26.500000, 83.253, 178.6869
26.900000, 83.299, 178.0671
27.200001, 83.339, 177.5157
27.600000, 83.383, 176.6987
28.000000, 83.406, 175.8529
28.500000, 83.405, 174.8256
29.000000, 83.379, 173.8575
29.500000, 83.336, 172.9845
30.000000, 83.295, 172.2673
30.400000, 83.276, 171.7966
30.700001, 83.275, 171.4571
31.100000, 83.284, 170.9479
31.500000, 83.291, 170.3302
32.000000, 83.275, 169.4655
32.500000, 83.237, 168.6634
33.000000, 83.205, 168.0186
33.500000, 83.200, 167.4511
34.000000, 83.208, 166.8400
34.500000, 83.199, 166.1711
35.000000, 83.167, 165.5002
35.500000, 83.122, 164.8282
36.000000, 83.077, 164.1061
36.500000, 83.031, 163.3496
37.000000, 82.989, 162.6558
37.500000, 82.962, 162.0716
38.200001, 82.960, 161.2396
38.700001, 82.955, 160.4896
39.500000, 82.892, 159.2422
40.000000, 82.838, 158.6580
40.599998, 82.796, 158.1375
41.200001, 82.780, 157.6006
41.799999, 82.757, 156.9565
42.500000, 82.707, 156.1968
43.099998, 82.656, 155.6314
43.700001, 82.613, 155.0784
44.400002, 82.569, 154.2293
45.000000, 82.515, 153.2636
45.500000, 82.450, 152.4447
46.200001, 82.359, 151.6450
46.799999, 82.320, 151.3425
47.500000, 82.312, 151.0743
48.200001, 82.276, 150.6061
48.700001, 82.221, 150.1785
49.400002, 82.139, 149.5323
50.000000, 82.087, 148.9460
50.799999, 82.034, 148.1834
51.500000, 81.981, 147.6021
52.200001, 81.917, 147.0283
53.000000, 81.833, 146.2692
53.799999, 81.750, 145.4746
54.500000, 81.691, 144.8582
55.200001, 81.645, 144.3233
56.000000, 81.589, 143.7848
57.000000, 81.494, 143.2183
58.000000, 81.401, 142.4735
59.000000, 81.296, 141.4697
60.000000, 81.182, 140.7871
60.799999, 81.105, 140.3640
61.500000, 81.039, 139.8681
62.200001, 80.973, 139.3348
63.000000, 80.908, 138.8407
64.000000, 80.827, 138.3678
65.000000, 80.724, 137.7798
66.000000, 80.604, 137.1302
67.000000, 80.497, 136.7552
68.000000, 80.409, 136.2820
69.000000, 80.302, 135.4912
70.000000, 80.217, 134.9745
71.000000, 80.176, 134.6197
72.000000, 80.074, 134.0253
73.000000, 79.907, 133.5374
74.000000, 79.775, 133.2396
75.000000, 79.670, 132.9618
76.199997, 79.546, 132.6759
77.500000, 79.415, 132.0466
78.800003, 79.278, 131.3096
80.000000, 79.163, 130.9412
81.199997, 79.046, 130.5413
82.500000, 78.900, 130.0253
83.800003, 78.772, 129.6934
85.000000, 78.655, 129.3549
86.199997, 78.539, 129.0657
87.500000, 78.419, 128.8675
88.500000, 78.313, 128.7081
90.000000, 78.152, 128.3598
91.199997, 78.032, 128.0078
92.500000, 77.900, 127.7833
93.800003, 77.758, 127.5632
95.000000, 77.625, 127.2452
96.199997, 77.502, 126.9424
97.500000, 77.376, 126.7752
98.800003, 77.244, 126.8377
100.000000, 77.134, 126.9221
101.500000, 77.012, 126.8082
103.000000, 76.849, 126.6821
104.400002, 76.697, 126.3669
106.000000, 76.570, 126.0519
107.500000, 76.427, 126.1031
109.000000, 76.259, 126.2261
110.599998, 76.104, 126.1833
112.000000, 75.982, 126.2100
113.800003, 75.809, 126.6123
115.000000, 75.724, 126.8391
117.199997, 75.567, 126.9948
118.000000, 75.492, 126.9427
120.599998, 75.276, 126.8237
122.000000, 75.168, 126.6770
124.099998, 74.995, 126.7275
125.000000, 74.902, 126.7725
126.500000, 74.745, 126.9390
128.000000, 74.631, 127.4181
131.500000, 74.487, 127.5808
132.000000, 74.453, 127.6751
134.000000, 74.251, 128.6340
136.000000, 74.049, 129.3728
138.000000, 73.893, 129.7732
140.000000, 73.727, 130.2357
143.000000, 73.533, 130.8821
145.000000, 73.392, 131.5742
147.500000, 73.217, 132.2292
150.000000, 73.060, 133.1918
152.500000, 72.849, 134.2048
155.000000, 72.707, 135.7043
157.500000, 72.659, 137.5821
160.000000, 72.695, 139.0551
162.500000, 72.762, 140.1862
165.000000, 72.801, 141.0349
167.500000, 72.863, 141.5512
170.000000, 72.920, 141.9610
172.500000, 72.916, 142.1902
175.000000, 72.882, 142.3923
177.500000, 72.840, 142.8681
180.000000, 72.786, 143.2780
182.500000, 72.775, 143.4952
185.000000, 72.787, 143.6144
187.500000, 72.759, 143.6099
190.000000, 72.707, 143.9252
192.500000, 72.659, 144.3790
195.000000, 72.628, 145.0190
197.500000, 72.605, 145.4614
200.000000, 72.571, 145.7945
203.000000, 72.559, 146.1731
206.000000, 72.564, 146.5714
209.000000, 72.576, 147.1957
212.000000, 72.595, 147.9093
214.000000, 72.609, 148.1888
218.000000, 72.611, 148.7188
220.000000, 72.598, 148.9596
224.000000, 72.610, 149.2112
227.000000, 72.632, 149.3445
230.000000, 72.624, 149.5838
233.000000, 72.611, 150.1233
236.000000, 72.630, 150.5948
240.000000, 72.653, 150.9050
243.000000, 72.629, 151.1828
247.000000, 72.621, 151.4161
250.000000, 72.648, 151.6232
254.000000, 72.707, 151.9920
258.000000, 72.716, 152.3239
262.000000, 72.726, 152.6081
265.000000, 72.758, 152.7652
269.000000, 72.811, 152.9488
272.000000, 72.839, 153.0740
276.000000, 72.858, 153.3402
280.000000, 72.875, 153.4758
285.000000, 72.929, 153.5478
290.000000, 72.980, 153.8785
295.000000, 72.998, 154.1767
300.000000, 73.008, 154.3427
304.000000, 73.009, 154.3536
307.000000, 72.996, 154.3071
311.000000, 72.985, 154.2397
315.000000, 72.994, 154.2629
320.000000, 73.017, 154.3748
325.000000, 73.049, 154.5491
330.000000, 73.060, 154.6094
335.000000, 73.078, 154.5585
340.000000, 73.118, 154.5023
345.000000, 73.160, 154.4152
350.000000, 73.187, 154.2549
355.000000, 73.201, 154.2863
360.000000, 73.205, 154.2748
365.000000, 73.232, 154.2696
370.000000, 73.259, 154.3220
375.000000, 73.264, 154.3293
382.000000, 73.281, 154.3703
387.000000, 73.285, 154.4830
395.000000, 73.281, 154.2400
400.000000, 73.281, 154.1086
406.000000, 73.289, 154.1069
412.000000, 73.305, 154.1166
418.000000, 73.319, 154.1184
425.000000, 73.335, 154.1060
431.000000, 73.361, 153.9510
437.000000, 73.357, 153.8440
444.000000, 73.341, 153.8265
450.000000, 73.333, 153.6021
455.000000, 73.336, 153.4742
462.000000, 73.337, 153.6060
468.000000, 73.338, 153.5016
475.000000, 73.352, 153.4877
482.000000, 73.369, 153.5519
487.000000, 73.390, 153.4866
494.000000, 73.406, 153.2706
500.000000, 73.396, 153.2136
508.000000, 73.401, 153.2244
515.000000, 73.411, 153.1631
522.000000, 73.424, 153.1184
530.000000, 73.416, 153.0386
538.000000, 73.397, 153.0140
545.000000, 73.382, 153.0555
552.000000, 73.379, 152.9943
560.000000, 73.402, 152.8537
570.000000, 73.402, 152.8016
580.000000, 73.361, 152.9144
590.000000, 73.356, 153.0279
600.000000, 73.351, 152.9753
608.000000, 73.361, 152.9677
615.000000, 73.387, 152.9957
622.000000, 73.406, 153.0925
630.000000, 73.413, 153.1500
640.000000, 73.409, 153.2246
650.000000, 73.413, 153.3923
660.000000, 73.414, 153.5625
670.000000, 73.423, 153.7994
680.000000, 73.414, 153.8664
690.000000, 73.411, 153.9229
700.000000, 73.429, 154.0819
710.000000, 73.443, 154.3922
720.000000, 73.451, 154.6780
730.000000, 73.482, 154.7982
740.000000, 73.515, 155.0157
750.000000, 73.545, 155.2489
762.000000, 73.573, 155.8034
775.000000, 73.605, 156.3842
788.000000, 73.678, 156.7484
800.000000, 73.766, 156.9518
812.000000, 73.876, 157.2985
825.000000, 73.989, 157.8358
838.000000, 74.093, 158.3471
850.000000, 74.202, 158.6498
862.000000, 74.314, 158.8239
875.000000, 74.435, 158.8873
885.000000, 74.539, 158.9781
900.000000, 74.679, 159.0182
912.000000, 74.787, 158.9008
925.000000, 74.903, 158.7906
938.000000, 75.015, 158.6684
950.000000, 75.111, 158.6470
962.000000, 75.218, 158.5909
975.000000, 75.337, 158.4597
988.000000, 75.465, 158.2807
1000.000000, 75.595, 158.1032
1015.000000, 75.702, 157.9103
1030.000000, 75.806, 157.7189
1044.000000, 75.935, 157.4796
1060.000000, 76.092, 157.2662
1075.000000, 76.234, 157.0684
1090.000000, 76.370, 156.7811
1106.000000, 76.516, 156.3345
1120.000000, 76.653, 156.0341
1138.000000, 76.805, 155.6729
1150.000000, 76.906, 155.3334
1172.000000, 77.108, 154.6624
1180.000000, 77.179, 154.3881
1206.000000, 77.414, 153.5943
1220.000000, 77.533, 153.1145
1241.000000, 77.709, 152.3841
1250.000000, 77.780, 152.0508
1265.000000, 77.894, 151.4291
1280.000000, 78.002, 150.7819
1315.000000, 78.259, 149.5306
1320.000000, 78.298, 149.3373
1340.000000, 78.455, 148.3922
1360.000000, 78.605, 147.4803
1380.000000, 78.747, 146.6961
1400.000000, 78.882, 145.8756
1430.000000, 79.082, 144.5168
1450.000000, 79.203, 143.6537
1475.000000, 79.362, 142.5112
1500.000000, 79.531, 141.2492
1525.000000, 79.687, 139.9944
1550.000000, 79.833, 138.7830
1575.000000, 79.978, 137.5542
1600.000000, 80.131, 136.3403
1625.000000, 80.275, 135.1443
1650.000000, 80.422, 133.8885
1675.000000, 80.569, 132.5740
1700.000000, 80.702, 131.2435
1725.000000, 80.838, 129.9271
1750.000000, 80.976, 128.4744
1775.000000, 81.111, 127.0167
1800.000000, 81.237, 125.5409
1825.000000, 81.357, 124.0078
1850.000000, 81.471, 122.4590
1875.000000, 81.574, 120.8191
1900.000000, 81.674, 119.1278
1925.000000, 81.765, 117.4669
1950.000000, 81.842, 115.7523
1975.000000, 81.907, 113.9326
2000.000000, 81.959, 112.1313
2030.000000, 82.000, 110.1004
2060.000000, 82.020, 107.9978
2090.000000, 82.031, 105.8605
2120.000000, 82.034, 103.8192
2140.000000, 82.021, 102.4904
2180.000000, 81.954, 99.9117
2200.000000, 81.907, 98.6689
2240.000000, 81.799, 96.3181
2270.000000, 81.706, 94.6601
2300.000000, 81.607, 93.1153
2330.000000, 81.497, 91.6795
2360.000000, 81.380, 90.3422
2400.000000, 81.217, 88.7664
2430.000000, 81.090, 87.8239
2470.000000, 80.925, 86.7534
2500.000000, 80.815, 86.0781
2540.000000, 80.670, 85.3838
2580.000000, 80.532, 84.8237
2620.000000, 80.422, 84.4737
2650.000000, 80.367, 84.3005
2690.000000, 80.322, 84.1519
2720.000000, 80.305, 84.0655
2760.000000, 80.301, 83.8837
2800.000000, 80.327, 83.6827
2850.000000, 80.396, 83.3229
2900.000000, 80.471, 82.8105
2950.000000, 80.546, 82.2157
3000.000000, 80.642, 81.5721
3040.000000, 80.728, 80.9666
3070.000000, 80.793, 80.4832
3110.000000, 80.885, 79.7547
3150.000000, 80.978, 78.9788
3200.000000, 81.094, 77.9825
3250.000000, 81.201, 76.8906
3300.000000, 81.306, 75.7735
3350.000000, 81.415, 74.5758
3400.000000, 81.509, 73.1966
3450.000000, 81.593, 71.7426
3500.000000, 81.650, 70.3218
3550.000000, 81.692, 69.0149
3600.000000, 81.728, 67.8110
3650.000000, 81.758, 66.6366
3700.000000, 81.791, 65.5067
3750.000000, 81.829, 64.4860
3820.000000, 81.904, 63.1525
3870.000000, 81.964, 62.2566
3950.000000, 82.091, 60.8907
4000.000000, 82.188, 59.9691
4060.000000, 82.308, 58.8728
4120.000000, 82.448, 57.6775
4180.000000, 82.611, 56.2914
4250.000000, 82.818, 54.3941
4310.000000, 82.983, 52.5688
4370.000000, 83.129, 50.5180
4440.000000, 83.272, 47.8336
4500.000000, 83.356, 45.2913
4550.000000, 83.388, 43.1179
4620.000000, 83.374, 40.0367
4680.000000, 83.311, 37.4722
4750.000000, 83.178, 34.6002
4820.000000, 82.981, 31.9894
4870.000000, 82.813, 30.3433
4940.000000, 82.544, 28.3906
5000.000000, 82.297, 27.0758
5080.000000, 81.957, 25.7902
5150.000000, 81.664, 25.1628
5220.000000, 81.395, 24.9356
5300.000000, 81.129, 25.0667
5380.000000, 80.921, 25.5305
5450.000000, 80.785, 26.1754
5520.000000, 80.692, 26.9261
5600.000000, 80.635, 27.8647
5700.000000, 80.634, 29.0554
5800.000000, 80.729, 30.1849
5900.000000, 80.884, 30.8681
6000.000000, 81.025, 31.1080
6080.000000, 81.118, 31.2701
6150.000000, 81.201, 31.4869
6220.000000, 81.301, 31.7497
6300.000000, 81.436, 32.1202
6400.000000, 81.616, 32.6529
6500.000000, 81.832, 33.2565
6600.000000, 82.093, 33.8470
6700.000000, 82.396, 34.5007
6800.000000, 82.755, 35.1592
6900.000000, 83.186, 35.6986
7000.000000, 83.692, 36.1569
7100.000000, 84.291, 36.4254
7200.000000, 84.994, 36.3213
7300.000000, 85.816, 35.7090
7400.000000, 86.779, 34.3262
7500.000000, 87.889, 31.7077
7620.000000, 89.383, 25.9777
7750.000000, 91.007, 15.2123
7880.000000, 92.143, -0.9747
8000.000000, 92.261, -18.8803
8120.000000, 91.356, -35.7767
8250.000000, 89.575, -49.4867
8380.000000, 87.515, -57.7078
8500.000000, 85.700, -61.4829
8620.000000, 84.083, -62.8394
8750.000000, 82.569, -62.6584
8850.000000, 81.560, -61.7258
9000.000000, 80.251, -59.4008
9120.000000, 79.353, -57.0487
9250.000000, 78.511, -54.1827
9380.000000, 77.792, -51.0920
9500.000000, 77.227, -48.0371
9620.000000, 76.745, -44.8701
9750.000000, 76.312, -41.3817
9880.000000, 75.969, -37.8669
10000.000000, 75.724, -34.7219
10150.000000, 75.503, -30.8474
10300.000000, 75.375, -27.0364
10440.000000, 75.348, -23.6312
10600.000000, 75.416, -19.8959
10750.000000, 75.582, -16.8490
10900.000000, 75.840, -14.5193
11060.000000, 76.158, -13.0778
11200.000000, 76.418, -12.7314
11380.000000, 76.673, -13.5122
11500.000000, 76.749, -14.6969
11720.000000, 76.578, -17.6338
11800.000000, 76.400, -18.5889
12060.000000, 75.476, -19.5864
12200.000000, 74.854, -18.4183
12410.000000, 73.984, -14.3213
12500.000000, 73.680, -11.8332
12650.000000, 73.281, -7.0750
12800.000000, 73.021, -1.8950
13150.000000, 72.962, 10.6900
13200.000000, 73.008, 12.4523
13400.000000, 73.312, 19.2605
13600.000000, 73.781, 25.5247
13800.000000, 74.379, 31.3497
14000.000000, 75.134, 36.8767
14300.000000, 76.704, 44.1913
14500.000000, 78.178, 47.8044
14750.000000, 80.580, 48.8503
15000.000000, 83.347, 42.3013
15250.000000, 85.507, 25.7142
15500.000000, 85.952, 3.2429
15750.000000, 84.618, -15.9169
16000.000000, 82.510, -26.8589
16250.000000, 80.586, -31.3035
16500.000000, 79.177, -33.0651
16750.000000, 78.139, -34.9558
17000.000000, 77.214, -37.9708
17250.000000, 76.169, -42.2523
17500.000000, 74.785, -47.1199
17750.000000, 72.932, -50.9317
18000.000000, 70.659, -51.7848
18250.000000, 68.199, -48.1985
18500.000000, 65.834, -39.9354
18750.000000, 63.795, -28.1710
19000.000000, 62.202, -15.0209
19250.000000, 61.157, -1.1167
19500.000000, 60.537, 12.7242
19750.000000, 60.207, 25.1416
20000.000000, 60.033, 32.5755
