* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 23, 2024 11:11:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 (Reference, Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.684, -171.9503
20.600000, 84.711, -174.0085
20.900000, 84.691, -175.5626
21.200001, 84.620, -176.1606
21.400000, 84.553, -176.0112
21.799999, 84.413, -174.7319
22.000000, 84.350, -173.8646
22.400000, 84.249, -172.3977
22.700001, 84.178, -171.9578
23.000000, 84.099, -172.2267
23.299999, 84.013, -173.0883
23.600000, 83.932, -174.2794
24.000000, 83.870, -175.8664
24.299999, 83.882, -176.8126
24.700001, 83.981, -177.7613
25.000000, 84.100, -178.4648
25.400000, 84.263, -179.8033
25.799999, 84.370, 178.1660
26.200001, 84.388, 175.6145
26.500000, 84.348, 173.7068
26.900000, 84.264, 171.7831
27.200001, 84.219, 171.1354
27.600000, 84.232, 171.4158
28.000000, 84.336, 172.5217
28.500000, 84.487, 173.8573
29.000000, 84.494, 174.2605
29.500000, 84.317, 173.7368
30.000000, 84.125, 172.6244
30.400000, 84.109, 171.3740
30.700001, 84.197, 170.2182
31.100000, 84.381, 168.5066
31.500000, 84.526, 166.9123
32.000000, 84.524, 165.6319
32.500000, 84.327, 165.2869
33.000000, 84.067, 165.1749
33.500000, 83.869, 164.2548
34.000000, 83.789, 162.3373
34.500000, 83.834, 160.3547
35.000000, 83.971, 159.3593
35.500000, 84.100, 159.5982
36.000000, 84.104, 160.6764
36.500000, 83.941, 162.0506
37.000000, 83.703, 163.0700
37.500000, 83.559, 162.9264
38.200001, 83.660, 160.2712
38.700001, 83.847, 157.7878
39.500000, 84.078, 155.7683
40.000000, 84.155, 155.8649
40.599998, 84.220, 155.9016
41.200001, 84.235, 154.5858
41.799999, 84.126, 152.1962
42.500000, 83.785, 150.1959
43.099998, 83.397, 150.7648
43.700001, 83.141, 153.2459
44.400002, 83.201, 156.0483
45.000000, 83.421, 156.6376
45.500000, 83.524, 155.9686
46.200001, 83.349, 154.4879
46.799999, 82.966, 153.4640
47.500000, 82.643, 152.2625
48.200001, 82.761, 150.3706
48.700001, 83.001, 149.0796
49.400002, 83.244, 148.3659
50.000000, 83.213, 148.4893
50.799999, 82.798, 147.9711
51.500000, 82.336, 146.6969
52.200001, 82.243, 145.6899
53.000000, 82.517, 144.9598
53.799999, 82.565, 144.7984
54.500000, 82.425, 145.2960
55.200001, 82.422, 145.0333
56.000000, 82.489, 143.2729
57.000000, 82.292, 141.8852
58.000000, 81.883, 141.9690
59.000000, 81.577, 141.6041
60.000000, 81.584, 140.5439
60.799999, 81.697, 139.3171
61.500000, 81.735, 138.2669
62.200001, 81.636, 137.7116
63.000000, 81.377, 138.1492
64.000000, 81.178, 139.2118
65.000000, 81.267, 138.1613
66.000000, 81.181, 136.7389
67.000000, 80.925, 137.2772
68.000000, 80.708, 136.7879
69.000000, 80.546, 135.5134
70.000000, 80.609, 134.5096
71.000000, 80.625, 133.8192
72.000000, 80.589, 133.1792
73.000000, 80.318, 132.7451
74.000000, 80.111, 133.8676
75.000000, 80.042, 132.6612
76.199997, 79.839, 130.7218
77.500000, 79.985, 129.3005
78.800003, 80.136, 131.0207
80.000000, 80.095, 130.3261
81.199997, 79.715, 131.1688
82.500000, 79.487, 130.8009
83.800003, 79.320, 131.2050
85.000000, 79.439, 129.1967
86.199997, 79.075, 128.6567
87.500000, 79.032, 129.0914
88.500000, 78.873, 128.6214
90.000000, 78.821, 129.4463
91.199997, 78.793, 127.3723
92.500000, 78.537, 127.9020
93.800003, 78.581, 127.2750
95.000000, 78.269, 126.3366
96.199997, 78.114, 128.3220
97.500000, 78.244, 127.7515
98.800003, 77.969, 127.3456
100.000000, 77.868, 128.7634
101.500000, 77.939, 126.0426
103.000000, 77.476, 125.5354
104.400002, 77.458, 127.2412
106.000000, 77.357, 125.1780
107.500000, 76.807, 125.8567
109.000000, 76.814, 127.6070
110.599998, 76.876, 125.3890
112.000000, 76.495, 125.3190
113.800003, 76.319, 128.5135
115.000000, 76.444, 127.6638
117.199997, 76.056, 124.2872
118.000000, 75.807, 125.0822
120.599998, 75.914, 128.2394
122.000000, 76.048, 126.0406
124.099998, 75.608, 123.8591
125.000000, 75.337, 124.8366
126.500000, 75.138, 128.1956
128.000000, 75.283, 130.4937
131.500000, 75.393, 127.1151
132.000000, 75.303, 126.5041
134.000000, 74.772, 125.7913
136.000000, 74.304, 128.4706
138.000000, 74.205, 131.8179
140.000000, 74.340, 133.3266
143.000000, 74.594, 133.2888
145.000000, 74.664, 132.5087
147.500000, 74.523, 131.3945
150.000000, 74.284, 130.7782
152.500000, 74.073, 131.0704
155.000000, 73.927, 131.5974
157.500000, 73.857, 132.9876
160.000000, 73.819, 134.5114
162.500000, 73.700, 135.8668
165.000000, 73.445, 137.4563
167.500000, 73.117, 139.1266
170.000000, 72.843, 139.4503
172.500000, 72.744, 138.8328
175.000000, 72.828, 138.8461
177.500000, 72.909, 139.8384
180.000000, 72.852, 140.8593
182.500000, 72.787, 142.0557
185.000000, 72.770, 142.9370
187.500000, 72.751, 143.3740
190.000000, 72.745, 143.7606
192.500000, 72.798, 144.6127
195.000000, 72.811, 145.2226
197.500000, 72.808, 145.3417
