* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 12, 2024 4:34:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nova (Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 91.344, 176.6029
20.600000, 91.316, 176.2440
20.900000, 91.287, 175.8760
21.200001, 91.265, 175.5133
21.400000, 91.254, 175.2643
21.799999, 91.238, 174.7300
22.000000, 91.227, 174.4454
22.400000, 91.195, 173.8687
22.700001, 91.159, 173.4617
23.000000, 91.116, 173.1001
23.299999, 91.071, 172.7872
23.600000, 91.032, 172.5081
24.000000, 90.993, 172.1427
24.299999, 90.973, 171.8453
24.700001, 90.952, 171.4086
25.000000, 90.935, 171.0692
25.400000, 90.904, 170.6411
25.799999, 90.867, 170.2666
26.200001, 90.827, 169.9322
26.500000, 90.798, 169.6810
26.900000, 90.761, 169.3129
27.200001, 90.734, 169.0062
27.600000, 90.696, 168.5765
28.000000, 90.656, 168.1612
28.500000, 90.606, 167.7061
29.000000, 90.557, 167.3168
29.500000, 90.507, 166.9502
30.000000, 90.454, 166.5779
30.400000, 90.411, 166.2759
30.700001, 90.382, 166.0495
31.100000, 90.348, 165.7478
31.500000, 90.317, 165.4454
32.000000, 90.277, 165.0748
32.500000, 90.227, 164.7341
33.000000, 90.170, 164.4349
33.500000, 90.113, 164.1542
34.000000, 90.062, 163.8542
34.500000, 90.016, 163.5250
35.000000, 89.970, 163.1983
35.500000, 89.920, 162.9097
36.000000, 89.869, 162.6591
36.500000, 89.819, 162.4133
37.000000, 89.772, 162.1447
37.500000, 89.727, 161.8585
38.200001, 89.668, 161.4815
38.700001, 89.624, 161.2535
39.500000, 89.547, 160.9376
40.000000, 89.493, 160.7432
40.599998, 89.428, 160.5018
41.200001, 89.367, 160.2638
41.799999, 89.311, 160.0423
42.500000, 89.247, 159.7887
43.099998, 89.187, 159.5491
43.700001, 89.124, 159.2922
44.400002, 89.053, 159.0092
45.000000, 88.998, 158.7993
45.500000, 88.956, 158.6414
46.200001, 88.894, 158.4342
46.799999, 88.836, 158.2661
47.500000, 88.768, 158.0711
48.200001, 88.704, 157.8633
48.700001, 88.658, 157.7085
49.400002, 88.593, 157.4977
50.000000, 88.536, 157.3360
50.799999, 88.462, 157.1540
51.500000, 88.397, 157.0112
52.200001, 88.329, 156.8693
53.000000, 88.249, 156.7065
53.799999, 88.177, 156.5320
54.500000, 88.120, 156.3745
55.200001, 88.062, 156.2587
56.000000, 87.993, 156.1932
57.000000, 87.910, 156.0775
58.000000, 87.825, 155.8743
59.000000, 87.743, 155.7185
60.000000, 87.662, 155.6089
60.799999, 87.590, 155.5254
61.500000, 87.526, 155.4565
62.200001, 87.465, 155.3940
63.000000, 87.399, 155.3340
64.000000, 87.318, 155.2645
65.000000, 87.236, 155.1969
66.000000, 87.157, 155.1448
67.000000, 87.078, 155.1006
68.000000, 86.995, 155.0719
69.000000, 86.913, 155.0341
70.000000, 86.832, 155.0031
71.000000, 86.749, 154.9972
72.000000, 86.667, 154.9834
73.000000, 86.595, 154.9573
74.000000, 86.527, 154.9302
75.000000, 86.451, 154.9290
76.199997, 86.361, 154.9523
77.500000, 86.265, 154.9985
78.800003, 86.168, 155.0733
80.000000, 86.085, 155.1293
81.199997, 86.005, 155.1929
82.500000, 85.914, 155.2644
83.800003, 85.822, 155.3696
85.000000, 85.739, 155.4791
86.199997, 85.658, 155.5774
87.500000, 85.576, 155.6773
88.500000, 85.513, 155.7554
90.000000, 85.413, 155.9012
91.199997, 85.328, 156.0433
92.500000, 85.242, 156.2197
93.800003, 85.169, 156.4058
95.000000, 85.095, 156.5801
96.199997, 85.016, 156.7310
97.500000, 84.935, 156.8624
98.800003, 84.858, 156.9996
100.000000, 84.789, 157.1338
101.500000, 84.705, 157.3340
103.000000, 84.619, 157.5723
104.400002, 84.537, 157.8087
106.000000, 84.443, 158.0923
107.500000, 84.358, 158.3465
109.000000, 84.279, 158.6062
110.599998, 84.198, 158.8763
112.000000, 84.126, 159.1046
113.800003, 84.029, 159.4509
115.000000, 83.967, 159.7013
117.199997, 83.853, 160.1194
118.000000, 83.813, 160.2739
120.599998, 83.685, 160.7895
122.000000, 83.622, 161.0379
124.099998, 83.526, 161.4669
125.000000, 83.486, 161.6639
126.500000, 83.421, 161.9873
128.000000, 83.358, 162.3085
131.500000, 83.204, 163.0319
132.000000, 83.182, 163.1367
134.000000, 83.101, 163.5662
136.000000, 83.026, 164.0171
138.000000, 82.945, 164.4539
140.000000, 82.868, 164.9167
143.000000, 82.762, 165.6192
145.000000, 82.691, 166.1092
147.500000, 82.604, 166.7195
150.000000, 82.520, 167.3095
152.500000, 82.440, 167.9252
155.000000, 82.365, 168.5588
157.500000, 82.290, 169.1594
160.000000, 82.215, 169.7523
162.500000, 82.144, 170.3563
165.000000, 82.076, 170.9866
167.500000, 82.010, 171.6101
170.000000, 81.949, 172.2190
172.500000, 81.889, 172.8149
175.000000, 81.825, 173.4430
177.500000, 81.769, 174.1041
180.000000, 81.718, 174.7443
182.500000, 81.669, 175.3295
185.000000, 81.622, 175.9251
187.500000, 81.575, 176.5415
190.000000, 81.532, 177.1330
192.500000, 81.490, 177.7252
195.000000, 81.444, 178.3457
197.500000, 81.400, 178.9803
200.000000, 81.363, 179.5862
203.000000, 81.323, -179.7210
206.000000, 81.280, -178.9885
209.000000, 81.241, -178.2743
212.000000, 81.207, -177.5870
214.000000, 81.182, -177.1156
218.000000, 81.139, -176.1495
220.000000, 81.119, -175.6830
224.000000, 81.081, -174.7968
227.000000, 81.060, -174.1265
230.000000, 81.042, -173.4310
233.000000, 81.020, -172.7620
236.000000, 80.995, -172.1062
240.000000, 80.966, -171.2443
243.000000, 80.948, -170.6199
247.000000, 80.931, -169.7836
250.000000, 80.922, -169.1162
254.000000, 80.905, -168.2878
258.000000, 80.891, -167.5002
262.000000, 80.877, -166.7254
265.000000, 80.868, -166.1453
269.000000, 80.857, -165.3624
272.000000, 80.850, -164.7501
276.000000, 80.841, -163.9557
280.000000, 80.833, -163.2276
285.000000, 80.830, -162.3271
290.000000, 80.830, -161.4228
295.000000, 80.824, -160.5569
300.000000, 80.823, -159.7189
304.000000, 80.827, -159.0591
307.000000, 80.831, -158.5638
311.000000, 80.834, -157.8998
315.000000, 80.837, -157.2500
320.000000, 80.843, -156.4395
325.000000, 80.852, -155.6313
330.000000, 80.855, -154.8821
335.000000, 80.861, -154.1377
340.000000, 80.872, -153.3966
345.000000, 80.880, -152.6587
350.000000, 80.886, -151.9205
355.000000, 80.895, -151.2075
360.000000, 80.908, -150.5123
365.000000, 80.919, -149.8337
370.000000, 80.931, -149.2019
375.000000, 80.945, -148.5674
382.000000, 80.959, -147.6131
387.000000, 80.969, -146.9566
395.000000, 80.991, -145.9856
400.000000, 81.004, -145.3704
406.000000, 81.014, -144.6252
412.000000, 81.026, -143.8877
418.000000, 81.042, -143.1660
425.000000, 81.056, -142.3605
431.000000, 81.067, -141.7060
437.000000, 81.084, -141.0416
444.000000, 81.102, -140.2383
450.000000, 81.115, -139.5595
455.000000, 81.125, -139.0139
462.000000, 81.139, -138.2560
468.000000, 81.153, -137.5977
475.000000, 81.168, -136.8465
482.000000, 81.178, -136.1160
487.000000, 81.183, -135.5927
494.000000, 81.193, -134.8582
500.000000, 81.205, -134.2390
508.000000, 81.222, -133.4399
515.000000, 81.236, -132.7424
522.000000, 81.248, -132.0439
530.000000, 81.263, -131.2364
538.000000, 81.274, -130.4071
545.000000, 81.283, -129.7232
552.000000, 81.294, -129.0461
560.000000, 81.309, -128.2619
570.000000, 81.324, -127.2802
580.000000, 81.337, -126.3383
590.000000, 81.350, -125.3880
600.000000, 81.364, -124.4070
608.000000, 81.375, -123.6067
615.000000, 81.384, -122.9121
622.000000, 81.393, -122.2405
630.000000, 81.402, -121.4767
640.000000, 81.411, -120.5110
650.000000, 81.425, -119.5635
660.000000, 81.439, -118.6004
670.000000, 81.452, -117.6281
680.000000, 81.467, -116.6703
690.000000, 81.482, -115.7021
700.000000, 81.496, -114.7299
710.000000, 81.509, -113.7528
720.000000, 81.523, -112.7585
730.000000, 81.542, -111.7635
740.000000, 81.562, -110.7937
750.000000, 81.580, -109.8193
762.000000, 81.603, -108.6342
775.000000, 81.633, -107.3271
788.000000, 81.667, -105.9990
800.000000, 81.702, -104.8079
812.000000, 81.741, -103.6138
825.000000, 81.785, -102.3062
838.000000, 81.831, -100.9822
850.000000, 81.879, -99.7688
862.000000, 81.932, -98.5717
875.000000, 81.991, -97.2709
885.000000, 82.040, -96.2702
900.000000, 82.122, -94.7847
912.000000, 82.190, -93.6234
925.000000, 82.266, -92.3880
938.000000, 82.350, -91.1721
950.000000, 82.432, -90.0627
962.000000, 82.515, -88.9857
975.000000, 82.611, -87.8291
988.000000, 82.709, -86.6840
1000.000000, 82.801, -85.6753
1015.000000, 82.924, -84.4955
1030.000000, 83.046, -83.3459
1044.000000, 83.163, -82.3279
1060.000000, 83.297, -81.2209
1075.000000, 83.425, -80.2205
1090.000000, 83.554, -79.2524
1106.000000, 83.691, -78.2952
1120.000000, 83.808, -77.5074
1138.000000, 83.954, -76.5406
1150.000000, 84.051, -75.9452
1172.000000, 84.221, -74.9339
1180.000000, 84.281, -74.5759
1206.000000, 84.469, -73.4489
1220.000000, 84.566, -72.8713
1241.000000, 84.705, -72.0305
1250.000000, 84.762, -71.6890
1265.000000, 84.853, -71.1373
1280.000000, 84.941, -70.5958
1315.000000, 85.131, -69.3572
1320.000000, 85.157, -69.1817
1340.000000, 85.256, -68.4869
1360.000000, 85.351, -67.7905
1380.000000, 85.441, -67.0947
1400.000000, 85.527, -66.3993
1430.000000, 85.652, -65.3536
1450.000000, 85.731, -64.6578
1475.000000, 85.829, -63.7646
1500.000000, 85.923, -62.8658
1525.000000, 86.015, -61.9550
1550.000000, 86.106, -61.0342
1575.000000, 86.198, -60.1068
1600.000000, 86.291, -59.1698
1625.000000, 86.385, -58.2346
1650.000000, 86.477, -57.2893
1675.000000, 86.571, -56.3430
1700.000000, 86.664, -55.4057
1725.000000, 86.761, -54.4729
1750.000000, 86.862, -53.5552
1775.000000, 86.963, -52.6435
1800.000000, 87.067, -51.7393
1825.000000, 87.172, -50.8443
1850.000000, 87.279, -49.9633
1875.000000, 87.388, -49.0948
1900.000000, 87.500, -48.2293
1925.000000, 87.614, -47.3875
1950.000000, 87.730, -46.5791
1975.000000, 87.849, -45.7864
2000.000000, 87.970, -45.0034
2030.000000, 88.120, -44.1037
2060.000000, 88.273, -43.2511
2090.000000, 88.429, -42.4364
2120.000000, 88.588, -41.6635
2140.000000, 88.695, -41.1692
2180.000000, 88.913, -40.2324
2200.000000, 89.024, -39.8031
2240.000000, 89.246, -39.0346
2270.000000, 89.414, -38.5148
2300.000000, 89.583, -38.0515
2330.000000, 89.753, -37.6527
2360.000000, 89.922, -37.3170
2400.000000, 90.146, -36.9648
2430.000000, 90.314, -36.7850
2470.000000, 90.533, -36.6450
2500.000000, 90.692, -36.6166
2540.000000, 90.898, -36.6892
2580.000000, 91.096, -36.8757
2620.000000, 91.283, -37.1747
2650.000000, 91.415, -37.4714
2690.000000, 91.577, -37.9549
2720.000000, 91.687, -38.3819
2760.000000, 91.819, -39.0300
2800.000000, 91.933, -39.7609
2850.000000, 92.046, -40.7594
2900.000000, 92.124, -41.8156
2950.000000, 92.166, -42.9117
3000.000000, 92.172, -44.0080
3040.000000, 92.153, -44.8508
3070.000000, 92.125, -45.4531
3110.000000, 92.071, -46.2076
3150.000000, 92.000, -46.8967
3200.000000, 91.891, -47.6408
3250.000000, 91.763, -48.2494
3300.000000, 91.620, -48.7188
3350.000000, 91.467, -49.0460
3400.000000, 91.307, -49.2384
3450.000000, 91.143, -49.3051
3500.000000, 90.977, -49.2447
3550.000000, 90.812, -49.0626
3600.000000, 90.649, -48.7679
3650.000000, 90.490, -48.3788
3700.000000, 90.337, -47.9056
3750.000000, 90.189, -47.3561
3820.000000, 89.995, -46.4690
3870.000000, 89.866, -45.7693
3950.000000, 89.679, -44.5519
4000.000000, 89.572, -43.7530
4060.000000, 89.456, -42.7635
4120.000000, 89.354, -41.7535
4180.000000, 89.265, -40.7261
4250.000000, 89.177, -39.5289
4310.000000, 89.118, -38.5327
4370.000000, 89.072, -37.5772
4440.000000, 89.032, -36.5458
4500.000000, 89.007, -35.7669
4550.000000, 88.993, -35.2050
4620.000000, 88.974, -34.5645
4680.000000, 88.953, -34.1465
4750.000000, 88.916, -33.8077
4820.000000, 88.859, -33.5983
4870.000000, 88.803, -33.5011
4940.000000, 88.704, -33.4113
5000.000000, 88.597, -33.3380
5080.000000, 88.425, -33.1993
5150.000000, 88.247, -33.0117
5220.000000, 88.047, -32.7285
5300.000000, 87.796, -32.2621
5380.000000, 87.527, -31.6067
5450.000000, 87.280, -30.8632
5520.000000, 87.027, -29.9541
5600.000000, 86.736, -28.6979
5700.000000, 86.382, -26.8120
5800.000000, 86.047, -24.6047
5900.000000, 85.739, -22.0887
6000.000000, 85.471, -19.3075
6080.000000, 85.288, -16.9514
6150.000000, 85.154, -14.8120
6220.000000, 85.047, -12.6191
6300.000000, 84.959, -10.1004
6400.000000, 84.901, -6.9950
6500.000000, 84.901, -4.0130
6600.000000, 84.953, -1.2526
6700.000000, 85.043, 1.1786
6800.000000, 85.150, 3.2453
6900.000000, 85.263, 4.9559
7000.000000, 85.367, 6.3357
7100.000000, 85.448, 7.4460
7200.000000, 85.497, 8.3805
7300.000000, 85.510, 9.2497
7400.000000, 85.491, 10.1396
7500.000000, 85.447, 11.1504
7620.000000, 85.383, 12.6172
7750.000000, 85.332, 14.4805
7880.000000, 85.321, 16.5530
8000.000000, 85.364, 18.5424
8120.000000, 85.464, 20.4420
8250.000000, 85.631, 22.2393
8380.000000, 85.847, 23.6467
8500.000000, 86.075, 24.4977
8620.000000, 86.298, 24.8671
8750.000000, 86.487, 24.8800
8850.000000, 86.594, 25.0712
9000.000000, 86.981, 26.3350
9120.000000, 87.580, 25.0676
9250.000000, 87.857, 20.6637
9380.000000, 87.738, 16.8011
9500.000000, 87.503, 14.2195
9620.000000, 87.224, 12.3116
9750.000000, 86.900, 10.8454
9880.000000, 86.576, 9.9033
