* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 12, 2024 4:33:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nova (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 91.476, 177.4881
20.600000, 91.447, 177.0775
20.900000, 91.415, 176.6333
21.200001, 91.386, 176.1975
21.400000, 91.370, 175.9169
21.799999, 91.340, 175.3890
22.000000, 91.324, 175.1459
22.400000, 91.290, 174.7064
22.700001, 91.262, 174.4111
23.000000, 91.232, 174.1279
23.299999, 91.205, 173.8335
23.600000, 91.180, 173.5067
24.000000, 91.150, 173.0070
24.299999, 91.128, 172.5992
24.700001, 91.097, 172.0645
25.000000, 91.070, 171.7086
25.400000, 91.034, 171.3239
25.799999, 91.000, 171.0226
26.200001, 90.969, 170.7426
26.500000, 90.946, 170.5072
26.900000, 90.915, 170.1343
27.200001, 90.889, 169.8172
27.600000, 90.852, 169.3786
28.000000, 90.814, 168.9657
28.500000, 90.768, 168.5280
29.000000, 90.723, 168.1731
29.500000, 90.676, 167.8522
30.000000, 90.628, 167.5067
30.400000, 90.588, 167.1903
30.700001, 90.559, 166.9324
31.100000, 90.520, 166.5800
31.500000, 90.483, 166.2463
32.000000, 90.438, 165.8895
32.500000, 90.394, 165.6030
33.000000, 90.349, 165.3606
33.500000, 90.305, 165.1298
34.000000, 90.264, 164.8812
34.500000, 90.227, 164.5899
35.000000, 90.187, 164.2561
35.500000, 90.137, 163.9214
36.000000, 90.078, 163.6365
36.500000, 90.018, 163.4027
37.000000, 89.966, 163.1689
37.500000, 89.915, 162.8994
38.200001, 89.838, 162.5282
38.700001, 89.785, 162.3230
39.500000, 89.722, 161.9876
40.000000, 89.688, 161.6911
40.599998, 89.638, 161.3031
41.200001, 89.580, 160.9812
41.799999, 89.523, 160.7064
42.500000, 89.452, 160.3419
43.099998, 89.381, 160.0164
43.700001, 89.314, 159.7562
44.400002, 89.253, 159.5389
45.000000, 89.208, 159.3707
45.500000, 89.165, 159.2222
46.200001, 89.093, 159.0093
46.799999, 89.026, 158.8489
47.500000, 88.959, 158.7117
48.200001, 88.909, 158.5847
48.700001, 88.876, 158.4598
49.400002, 88.819, 158.2469
50.000000, 88.761, 158.0842
50.799999, 88.685, 157.9230
51.500000, 88.626, 157.7739
52.200001, 88.564, 157.5868
53.000000, 88.493, 157.3646
53.799999, 88.429, 157.1691
54.500000, 88.372, 157.0451
55.200001, 88.306, 156.9881
56.000000, 88.228, 156.9476
57.000000, 88.143, 156.7698
58.000000, 88.066, 156.5529
59.000000, 87.987, 156.4733
60.000000, 87.901, 156.3755
60.799999, 87.830, 156.2383
61.500000, 87.769, 156.1408
62.200001, 87.711, 156.0974
63.000000, 87.646, 156.0729
64.000000, 87.570, 155.9896
65.000000, 87.498, 155.8931
66.000000, 87.424, 155.8568
67.000000, 87.343, 155.8648
68.000000, 87.270, 155.8144
69.000000, 87.196, 155.6856
70.000000, 87.108, 155.5974
71.000000, 87.013, 155.5248
72.000000, 86.928, 155.4363
73.000000, 86.861, 155.4145
74.000000, 86.802, 155.4686
75.000000, 86.737, 155.5063
76.199997, 86.642, 155.5454
77.500000, 86.540, 155.6385
78.800003, 86.446, 155.6989
80.000000, 86.362, 155.7741
81.199997, 86.271, 155.7992
82.500000, 86.180, 155.8109
83.800003, 86.101, 155.9381
85.000000, 86.022, 156.0791
86.199997, 85.938, 156.1486
87.500000, 85.851, 156.1956
88.500000, 85.793, 156.2599
90.000000, 85.703, 156.4442
91.199997, 85.619, 156.6044
92.500000, 85.532, 156.7170
93.800003, 85.453, 156.8205
95.000000, 85.375, 156.9689
96.199997, 85.297, 157.1355
97.500000, 85.219, 157.2912
98.800003, 85.146, 157.4404
100.000000, 85.079, 157.5931
101.500000, 84.992, 157.8003
103.000000, 84.902, 158.0005
104.400002, 84.825, 158.2125
106.000000, 84.746, 158.5004
107.500000, 84.666, 158.7596
109.000000, 84.581, 158.9847
110.599998, 84.492, 159.2323
112.000000, 84.415, 159.4574
113.800003, 84.323, 159.7724
115.000000, 84.264, 159.9993
117.199997, 84.158, 160.4358
118.000000, 84.119, 160.6063
120.599998, 83.994, 161.1344
122.000000, 83.929, 161.3474
124.099998, 83.834, 161.7158
125.000000, 83.793, 161.9040
126.500000, 83.726, 162.2390
128.000000, 83.660, 162.5959
131.500000, 83.515, 163.3217
132.000000, 83.496, 163.4265
134.000000, 83.418, 163.8551
136.000000, 83.334, 164.2950
138.000000, 83.254, 164.7283
140.000000, 83.182, 165.1584
143.000000, 83.079, 165.8532
145.000000, 83.009, 166.3278
147.500000, 82.917, 166.8990
150.000000, 82.829, 167.5062
152.500000, 82.748, 168.1202
155.000000, 82.670, 168.7048
157.500000, 82.592, 169.2701
160.000000, 82.517, 169.8589
162.500000, 82.451, 170.4687
165.000000, 82.386, 171.0721
167.500000, 82.321, 171.6954
170.000000, 82.257, 172.3140
172.500000, 82.192, 172.9306
175.000000, 82.133, 173.5247
177.500000, 82.078, 174.1432
180.000000, 82.029, 174.7770
182.500000, 81.978, 175.3893
185.000000, 81.925, 175.9845
187.500000, 81.878, 176.5519
190.000000, 81.834, 177.1321
192.500000, 81.791, 177.7511
195.000000, 81.749, 178.3627
197.500000, 81.709, 178.9474
200.000000, 81.674, 179.5255
203.000000, 81.629, -179.7396
206.000000, 81.589, -179.0188
209.000000, 81.548, -178.2877
212.000000, 81.507, -177.5733
214.000000, 81.486, -177.1079
218.000000, 81.448, -176.2300
220.000000, 81.427, -175.7784
224.000000, 81.383, -174.8839
227.000000, 81.356, -174.2220
230.000000, 81.335, -173.5602
233.000000, 81.315, -172.8846
236.000000, 81.294, -172.2100
240.000000, 81.268, -171.3206
243.000000, 81.252, -170.6768
247.000000, 81.229, -169.8575
250.000000, 81.212, -169.2615
254.000000, 81.196, -168.4196
258.000000, 81.181, -167.6106
262.000000, 81.164, -166.8573
265.000000, 81.156, -166.2857
269.000000, 81.150, -165.5165
272.000000, 81.146, -164.9292
276.000000, 81.141, -164.2058
280.000000, 81.136, -163.4900
285.000000, 81.127, -162.5815
290.000000, 81.121, -161.7155
295.000000, 81.123, -160.8223
300.000000, 81.122, -159.9413
304.000000, 81.120, -159.2798
307.000000, 81.121, -158.7891
311.000000, 81.122, -158.1360
315.000000, 81.120, -157.4915
320.000000, 81.118, -156.7103
325.000000, 81.119, -155.9378
330.000000, 81.119, -155.1856
335.000000, 81.119, -154.4384
340.000000, 81.124, -153.6939
345.000000, 81.127, -152.9485
350.000000, 81.129, -152.1836
355.000000, 81.132, -151.4090
360.000000, 81.134, -150.6010
365.000000, 81.138, -149.7440
370.000000, 81.157, -148.8921
375.000000, 81.192, -148.0938
382.000000, 81.256, -147.1227
387.000000, 81.294, -146.5212
395.000000, 81.336, -145.6844
400.000000, 81.354, -145.1941
406.000000, 81.369, -144.5732
412.000000, 81.383, -143.9203
418.000000, 81.396, -143.2565
425.000000, 81.409, -142.5037
431.000000, 81.421, -141.8646
437.000000, 81.433, -141.2299
444.000000, 81.442, -140.5032
450.000000, 81.452, -139.8631
455.000000, 81.461, -139.3360
462.000000, 81.474, -138.6152
468.000000, 81.482, -137.9840
475.000000, 81.492, -137.2305
482.000000, 81.504, -136.5033
487.000000, 81.513, -135.9958
494.000000, 81.528, -135.2874
500.000000, 81.540, -134.6775
508.000000, 81.553, -133.8727
515.000000, 81.561, -133.1914
522.000000, 81.570, -132.4992
530.000000, 81.579, -131.7090
538.000000, 81.586, -130.9180
545.000000, 81.595, -130.2360
552.000000, 81.605, -129.5582
560.000000, 81.620, -128.7993
570.000000, 81.635, -127.8504
580.000000, 81.645, -126.9028
590.000000, 81.658, -125.9348
600.000000, 81.670, -124.9654
608.000000, 81.678, -124.1959
615.000000, 81.686, -123.5380
622.000000, 81.694, -122.8821
630.000000, 81.705, -122.1190
640.000000, 81.718, -121.1505
650.000000, 81.730, -120.1968
660.000000, 81.743, -119.2452
670.000000, 81.757, -118.3038
680.000000, 81.769, -117.3459
690.000000, 81.785, -116.3949
700.000000, 81.800, -115.4557
710.000000, 81.813, -114.4991
720.000000, 81.829, -113.5158
730.000000, 81.846, -112.5353
740.000000, 81.863, -111.5697
750.000000, 81.881, -110.6047
762.000000, 81.904, -109.4346
775.000000, 81.933, -108.1727
788.000000, 81.966, -106.8921
800.000000, 81.993, -105.6920
812.000000, 82.025, -104.5103
825.000000, 82.068, -103.2026
838.000000, 82.116, -101.8801
850.000000, 82.163, -100.6687
862.000000, 82.212, -99.4358
875.000000, 82.272, -98.1117
885.000000, 82.321, -97.1295
900.000000, 82.403, -95.6649
912.000000, 82.472, -94.5059
925.000000, 82.545, -93.2751
938.000000, 82.625, -92.0516
950.000000, 82.704, -90.9303
962.000000, 82.788, -89.8408
975.000000, 82.885, -88.6826
988.000000, 82.987, -87.5674
1000.000000, 83.084, -86.5672
1015.000000, 83.205, -85.3811
1030.000000, 83.330, -84.2555
1044.000000, 83.450, -83.2406
1060.000000, 83.588, -82.1218
1075.000000, 83.719, -81.1117
