* Measurement data measured by REW V5.40 beta 102
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Oct 9, 2025 7:37:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pandamon 2 (Stock Narrow M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.227, -157.1081
20.600000, 80.230, -157.4275
20.900000, 80.229, -157.7856
21.200001, 80.226, -158.1346
21.400000, 80.225, -158.3555
21.799999, 80.228, -158.7642
22.000000, 80.234, -158.9541
22.400000, 80.253, -159.3189
22.700001, 80.269, -159.5897
23.000000, 80.283, -159.8606
23.299999, 80.292, -160.1253
23.600000, 80.296, -160.3733
24.000000, 80.298, -160.6685
24.299999, 80.301, -160.8712
24.700001, 80.314, -161.1502
25.000000, 80.328, -161.3887
25.400000, 80.350, -161.7510
25.799999, 80.365, -162.1250
26.200001, 80.374, -162.4463
26.500000, 80.379, -162.6293
26.900000, 80.389, -162.8124
27.200001, 80.400, -162.9401
27.600000, 80.417, -163.1507
28.000000, 80.428, -163.4275
28.500000, 80.423, -163.8139
29.000000, 80.409, -164.1575
29.500000, 80.404, -164.4566
30.000000, 80.412, -164.7908
30.400000, 80.420, -165.1051
30.700001, 80.420, -165.3438
31.100000, 80.414, -165.6198
31.500000, 80.405, -165.8161
32.000000, 80.403, -165.9824
32.500000, 80.410, -166.1604
33.000000, 80.417, -166.4098
33.500000, 80.415, -166.6921
34.000000, 80.412, -166.9435
34.500000, 80.419, -167.1599
35.000000, 80.437, -167.3893
35.500000, 80.455, -167.6595
36.000000, 80.459, -167.9400
36.500000, 80.447, -168.1768
37.000000, 80.428, -168.3499
37.500000, 80.417, -168.4953
38.200001, 80.426, -168.7646
38.700001, 80.442, -169.0284
39.500000, 80.456, -169.4317
40.000000, 80.449, -169.5778
40.599998, 80.434, -169.6526
41.200001, 80.419, -169.7137
41.799999, 80.407, -169.8270
42.500000, 80.400, -170.0075
43.099998, 80.400, -170.1724
43.700001, 80.403, -170.3466
44.400002, 80.408, -170.5727
45.000000, 80.413, -170.7867
45.500000, 80.416, -170.9689
46.200001, 80.410, -171.1843
46.799999, 80.396, -171.3040
47.500000, 80.384, -171.4283
48.200001, 80.385, -171.6490
48.700001, 80.389, -171.8594
49.400002, 80.392, -172.1021
50.000000, 80.390, -172.1839
50.799999, 80.383, -172.1912
51.500000, 80.375, -172.2620
52.200001, 80.368, -172.4465
53.000000, 80.359, -172.7061
53.799999, 80.345, -172.9112
54.500000, 80.330, -173.0504
55.200001, 80.318, -173.2099
56.000000, 80.308, -173.4233
57.000000, 80.296, -173.5975
58.000000, 80.286, -173.7195
59.000000, 80.266, -173.9434
60.000000, 80.247, -174.0793
60.799999, 80.246, -174.1456
61.500000, 80.242, -174.2278
62.200001, 80.233, -174.3093
63.000000, 80.230, -174.4341
64.000000, 80.225, -174.6774
65.000000, 80.212, -174.8849
66.000000, 80.196, -175.0665
67.000000, 80.166, -175.2080
68.000000, 80.144, -175.2993
69.000000, 80.132, -175.4043
70.000000, 80.117, -175.4740
71.000000, 80.099, -175.5766
72.000000, 80.084, -175.7298
73.000000, 80.078, -175.8150
74.000000, 80.071, -175.8855
75.000000, 80.051, -176.0325
76.199997, 80.027, -176.2160
77.500000, 80.004, -176.2749
78.800003, 79.983, -176.3267
80.000000, 79.971, -176.4241
81.199997, 79.959, -176.4857
82.500000, 79.944, -176.6377
83.800003, 79.925, -176.8221
85.000000, 79.899, -176.8755
86.199997, 79.870, -176.9144
87.500000, 79.845, -177.0017
88.500000, 79.827, -177.0805
90.000000, 79.804, -177.2167
91.199997, 79.788, -177.3192
92.500000, 79.767, -177.4530
93.800003, 79.739, -177.5325
95.000000, 79.715, -177.5244
96.199997, 79.693, -177.5290
97.500000, 79.667, -177.5659
98.800003, 79.641, -177.6169
100.000000, 79.617, -177.6784
101.500000, 79.591, -177.7103
103.000000, 79.569, -177.7436
104.400002, 79.546, -177.8009
106.000000, 79.518, -177.8832
107.500000, 79.486, -177.9484
109.000000, 79.453, -178.0036
110.599998, 79.425, -178.0389
112.000000, 79.401, -177.9939
113.800003, 79.371, -177.9667
115.000000, 79.350, -177.9871
117.199997, 79.308, -178.0311
118.000000, 79.292, -178.0452
120.599998, 79.241, -178.0496
122.000000, 79.213, -178.0424
124.099998, 79.169, -178.0253
125.000000, 79.151, -178.0380
126.500000, 79.122, -178.0832
128.000000, 79.094, -178.1267
131.500000, 79.025, -178.0687
132.000000, 79.015, -178.0552
134.000000, 78.975, -178.0119
136.000000, 78.933, -177.9723
138.000000, 78.889, -177.9212
140.000000, 78.848, -177.8556
143.000000, 78.789, -177.7098
145.000000, 78.744, -177.6171
147.500000, 78.682, -177.6487
150.000000, 78.637, -177.6488
152.500000, 78.589, -177.5108
155.000000, 78.530, -177.3936
157.500000, 78.472, -177.2892
160.000000, 78.413, -177.1592
162.500000, 78.356, -177.0597
165.000000, 78.293, -176.9264
167.500000, 78.227, -176.7440
170.000000, 78.167, -176.5685
172.500000, 78.104, -176.3805
175.000000, 78.035, -176.1574
177.500000, 77.964, -175.8442
180.000000, 77.886, -175.4695
182.500000, 77.811, -175.0655
185.000000, 77.738, -174.5243
187.500000, 77.678, -173.8715
190.000000, 77.646, -173.1432
192.500000, 77.641, -172.3896
195.000000, 77.661, -171.7422
197.500000, 77.701, -171.2478
200.000000, 77.749, -170.9431
203.000000, 77.795, -170.8409
206.000000, 77.814, -170.8604
209.000000, 77.811, -170.9181
212.000000, 77.789, -170.9424
214.000000, 77.766, -170.9190
218.000000, 77.714, -170.8565
220.000000, 77.687, -170.8261
224.000000, 77.626, -170.6730
227.000000, 77.578, -170.4737
230.000000, 77.536, -170.2593
233.000000, 77.494, -170.0415
236.000000, 77.446, -169.8090
240.000000, 77.385, -169.4883
243.000000, 77.343, -169.1998
247.000000, 77.287, -168.8316
250.000000, 77.244, -168.5479
254.000000, 77.183, -168.1349
258.000000, 77.127, -167.7090
262.000000, 77.078, -167.2896
265.000000, 77.045, -166.9934
269.000000, 76.998, -166.5650
272.000000, 76.961, -166.2207
276.000000, 76.915, -165.7563
280.000000, 76.869, -165.3131
285.000000, 76.814, -164.7822
290.000000, 76.763, -164.2010
295.000000, 76.710, -163.6111
300.000000, 76.659, -162.9693
304.000000, 76.621, -162.4380
307.000000, 76.594, -162.0440
311.000000, 76.561, -161.5261
315.000000, 76.532, -161.0211
320.000000, 76.499, -160.3755
325.000000, 76.470, -159.7710
330.000000, 76.448, -159.1619
335.000000, 76.425, -158.5528
340.000000, 76.401, -157.9870
345.000000, 76.380, -157.4511
350.000000, 76.363, -156.9370
355.000000, 76.339, -156.4189
360.000000, 76.311, -155.9110
365.000000, 76.281, -155.4209
370.000000, 76.247, -154.9150
375.000000, 76.216, -154.4072
382.000000, 76.173, -153.6880
387.000000, 76.142, -153.1740
395.000000, 76.090, -152.3257
400.000000, 76.061, -151.7616
406.000000, 76.027, -151.1171
412.000000, 75.990, -150.4620
418.000000, 75.954, -149.7843
425.000000, 75.914, -148.9800
431.000000, 75.880, -148.3067
437.000000, 75.850, -147.6255
444.000000, 75.813, -146.7981
450.000000, 75.781, -146.0851
455.000000, 75.755, -145.4789
462.000000, 75.724, -144.6439
468.000000, 75.700, -143.9308
475.000000, 75.675, -143.1003
482.000000, 75.652, -142.2832
487.000000, 75.638, -141.7081
494.000000, 75.618, -140.9014
500.000000, 75.602, -140.2127
508.000000, 75.579, -139.3451
515.000000, 75.558, -138.5323
522.000000, 75.539, -137.6826
530.000000, 75.521, -136.7558
538.000000, 75.502, -135.8445
545.000000, 75.486, -135.0432
552.000000, 75.471, -134.2551
560.000000, 75.457, -133.3454
570.000000, 75.440, -132.1704
580.000000, 75.425, -131.0126
590.000000, 75.416, -129.8742
600.000000, 75.405, -128.7450
608.000000, 75.395, -127.8359
615.000000, 75.387, -127.0372
622.000000, 75.381, -126.2315
630.000000, 75.376, -125.3202
640.000000, 75.377, -124.1737
650.000000, 75.378, -123.0387
660.000000, 75.380, -121.8979
670.000000, 75.382, -120.7684
680.000000, 75.385, -119.6548
690.000000, 75.389, -118.5322
700.000000, 75.395, -117.3960
710.000000, 75.401, -116.2783
720.000000, 75.410, -115.1637
730.000000, 75.424, -114.0504
740.000000, 75.437, -112.9541
750.000000, 75.450, -111.8421
762.000000, 75.471, -110.5058
775.000000, 75.498, -109.0628
788.000000, 75.520, -107.6519
800.000000, 75.542, -106.3460
