* Measurement data measured by REW V5.40 beta 102
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Oct 9, 2025 7:36:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pandamon 2 (Stock Wide M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.007, -155.8865
20.600000, 80.014, -156.2215
20.900000, 80.019, -156.6007
21.200001, 80.021, -156.9687
21.400000, 80.023, -157.1979
21.799999, 80.030, -157.6088
22.000000, 80.036, -157.7922
22.400000, 80.050, -158.1298
22.700001, 80.060, -158.3708
23.000000, 80.070, -158.6103
23.299999, 80.079, -158.8510
23.600000, 80.088, -159.0934
24.000000, 80.104, -159.4227
24.299999, 80.120, -159.6798
24.700001, 80.145, -160.0444
25.000000, 80.164, -160.3333
25.400000, 80.181, -160.7236
25.799999, 80.188, -161.0920
26.200001, 80.186, -161.4141
26.500000, 80.182, -161.6218
26.900000, 80.180, -161.8651
27.200001, 80.182, -162.0342
27.600000, 80.191, -162.2561
28.000000, 80.205, -162.4809
28.500000, 80.224, -162.7676
29.000000, 80.238, -163.0606
29.500000, 80.243, -163.3598
30.000000, 80.243, -163.6603
30.400000, 80.243, -163.9002
30.700001, 80.246, -164.0826
31.100000, 80.254, -164.3344
31.500000, 80.264, -164.5965
32.000000, 80.275, -164.9222
32.500000, 80.281, -165.2181
33.000000, 80.286, -165.4763
33.500000, 80.291, -165.7180
34.000000, 80.295, -165.9616
34.500000, 80.294, -166.2000
35.000000, 80.290, -166.4254
35.500000, 80.289, -166.6609
36.000000, 80.291, -166.9391
36.500000, 80.293, -167.2486
37.000000, 80.291, -167.5238
37.500000, 80.286, -167.7039
38.200001, 80.277, -167.8220
38.700001, 80.266, -167.8977
39.500000, 80.239, -168.1167
40.000000, 80.228, -168.2990
40.599998, 80.233, -168.5251
41.200001, 80.255, -168.7378
41.799999, 80.279, -168.9290
42.500000, 80.291, -169.1352
43.099998, 80.288, -169.3149
43.700001, 80.282, -169.5011
44.400002, 80.276, -169.7130
45.000000, 80.269, -169.8787
45.500000, 80.261, -170.0025
46.200001, 80.251, -170.1662
46.799999, 80.250, -170.3200
47.500000, 80.256, -170.5173
48.200001, 80.258, -170.6910
48.700001, 80.255, -170.7921
49.400002, 80.248, -170.9430
50.000000, 80.240, -171.1083
50.799999, 80.230, -171.3393
51.500000, 80.222, -171.4998
52.200001, 80.213, -171.6213
53.000000, 80.200, -171.7469
53.799999, 80.189, -171.8998
54.500000, 80.181, -172.0586
55.200001, 80.175, -172.2108
56.000000, 80.173, -172.3615
57.000000, 80.169, -172.5351
58.000000, 80.155, -172.7401
59.000000, 80.142, -173.0201
60.000000, 80.142, -173.2275
60.799999, 80.142, -173.2909
61.500000, 80.128, -173.3184
62.200001, 80.109, -173.3607
63.000000, 80.101, -173.4697
64.000000, 80.106, -173.6515
65.000000, 80.097, -173.7559
66.000000, 80.076, -173.8671
67.000000, 80.061, -174.0848
68.000000, 80.044, -174.2801
69.000000, 80.027, -174.4009
70.000000, 80.013, -174.5332
71.000000, 79.999, -174.6337
72.000000, 79.985, -174.7069
73.000000, 79.972, -174.8179
74.000000, 79.963, -174.9200
75.000000, 79.954, -175.0457
76.199997, 79.938, -175.2434
77.500000, 79.921, -175.3374
78.800003, 79.897, -175.3762
80.000000, 79.870, -175.4732
