* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Feb 28, 2025 8:33:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ND Planet (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 99.419, -168.6978
20.600000, 99.417, -169.0859
20.900000, 99.408, -169.5331
21.200001, 99.396, -169.9852
21.400000, 99.387, -170.2784
21.799999, 99.374, -170.8226
22.000000, 99.371, -171.0691
22.400000, 99.377, -171.5219
22.700001, 99.390, -171.8510
23.000000, 99.407, -172.1973
23.299999, 99.420, -172.5751
23.600000, 99.426, -172.9831
24.000000, 99.416, -173.5448
24.299999, 99.397, -173.9506
24.700001, 99.364, -174.4411
25.000000, 99.341, -174.7703
25.400000, 99.319, -175.1812
25.799999, 99.307, -175.5942
26.200001, 99.302, -176.0267
26.500000, 99.297, -176.3587
26.900000, 99.287, -176.7939
27.200001, 99.278, -177.1059
27.600000, 99.264, -177.5017
28.000000, 99.249, -177.8848
28.500000, 99.233, -178.3611
29.000000, 99.216, -178.8345
29.500000, 99.198, -179.2922
30.000000, 99.180, -179.7292
30.400000, 99.166, 179.9316
30.700001, 99.155, 179.6805
31.100000, 99.140, 179.3484
31.500000, 99.125, 179.0186
32.000000, 99.105, 178.6088
32.500000, 99.082, 178.2039
33.000000, 99.057, 177.8115
33.500000, 99.031, 177.4375
34.000000, 99.008, 177.0745
34.500000, 98.988, 176.7053
35.000000, 98.971, 176.3227
35.500000, 98.951, 175.9423
36.000000, 98.928, 175.5878
36.500000, 98.903, 175.2664
37.000000, 98.880, 174.9617
37.500000, 98.859, 174.6524
38.200001, 98.827, 174.2021
38.700001, 98.803, 173.8790
39.500000, 98.762, 173.3756
40.000000, 98.736, 173.0700
40.599998, 98.706, 172.7144
41.200001, 98.677, 172.3721
41.799999, 98.648, 172.0411
42.500000, 98.613, 171.6710
43.099998, 98.582, 171.3680
43.700001, 98.551, 171.0662
44.400002, 98.513, 170.7036
45.000000, 98.480, 170.3962
45.500000, 98.454, 170.1498
46.200001, 98.424, 169.8029
46.799999, 98.400, 169.4946
47.500000, 98.366, 169.1579
48.200001, 98.326, 168.8803
48.700001, 98.295, 168.6964
49.400002, 98.253, 168.4059
50.000000, 98.217, 168.1253
50.799999, 98.170, 167.7704
51.500000, 98.130, 167.5086
52.200001, 98.088, 167.2664
53.000000, 98.040, 166.9779
53.799999, 97.996, 166.6761
54.500000, 97.960, 166.4148
55.200001, 97.921, 166.1688
56.000000, 97.873, 165.9088
57.000000, 97.821, 165.5877
58.000000, 97.768, 165.2974
59.000000, 97.710, 165.0357
60.000000, 97.658, 164.6595
60.799999, 97.617, 164.3264
61.500000, 97.580, 164.0850
62.200001, 97.539, 163.8711
63.000000, 97.487, 163.6226
64.000000, 97.432, 163.3557
65.000000, 97.395, 163.1587
66.000000, 97.350, 162.9583
67.000000, 97.290, 162.7299
68.000000, 97.228, 162.5001
69.000000, 97.168, 162.3138
70.000000, 97.111, 162.1679
