* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Apr 16, 2025 10:57:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Project Meta (Azla Foamax) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.601, -1.5461
20.600000, 80.578, -1.8380
20.900000, 80.552, -2.1505
21.200001, 80.529, -2.4737
21.400000, 80.518, -2.7078
21.799999, 80.501, -3.2407
22.000000, 80.493, -3.5371
22.400000, 80.472, -4.1563
22.700001, 80.451, -4.6057
23.000000, 80.425, -5.0095
23.299999, 80.397, -5.3527
23.600000, 80.372, -5.6381
24.000000, 80.348, -5.9628
24.299999, 80.338, -6.1979
24.700001, 80.331, -6.5386
25.000000, 80.325, -6.8223
25.400000, 80.312, -7.2241
25.799999, 80.288, -7.6234
26.200001, 80.256, -7.9986
26.500000, 80.230, -8.2652
26.900000, 80.196, -8.6164
27.200001, 80.172, -8.8881
27.600000, 80.143, -9.2671
28.000000, 80.115, -9.6548
28.500000, 80.080, -10.1183
29.000000, 80.047, -10.5321
29.500000, 80.014, -10.9074
30.000000, 79.979, -11.2822
30.400000, 79.950, -11.6009
30.700001, 79.926, -11.8508
31.100000, 79.895, -12.1877
31.500000, 79.864, -12.5122
32.000000, 79.828, -12.8834
32.500000, 79.795, -13.2209
33.000000, 79.760, -13.5506
33.500000, 79.720, -13.8947
34.000000, 79.673, -14.2531
34.500000, 79.626, -14.6095
35.000000, 79.585, -14.9517
35.500000, 79.552, -15.2833
36.000000, 79.523, -15.6155
36.500000, 79.489, -15.9510
37.000000, 79.445, -16.2777
37.500000, 79.395, -16.5804
38.200001, 79.327, -16.9663
38.700001, 79.286, -17.2389
39.500000, 79.226, -17.7026
40.000000, 79.181, -17.9906
40.599998, 79.121, -18.3044
41.200001, 79.063, -18.5908
41.799999, 79.014, -18.8827
42.500000, 78.963, -19.2383
43.099998, 78.917, -19.5268
43.700001, 78.868, -19.7936
44.400002, 78.807, -20.1257
45.000000, 78.753, -20.4558
45.500000, 78.704, -20.7458
46.200001, 78.632, -21.1194
46.799999, 78.569, -21.3801
47.500000, 78.503, -21.6211
48.200001, 78.447, -21.8273
48.700001, 78.412, -21.9725
49.400002, 78.361, -22.1897
50.000000, 78.308, -22.3987
50.799999, 78.226, -22.7175
51.500000, 78.153, -23.0050
52.200001, 78.091, -23.2495
53.000000, 78.031, -23.4745
53.799999, 77.965, -23.6924
54.500000, 77.896, -23.8859
55.200001, 77.829, -24.0879
56.000000, 77.758, -24.3496
57.000000, 77.662, -24.6442
58.000000, 77.571, -24.8536
59.000000, 77.491, -25.1097
60.000000, 77.399, -25.3267
60.799999, 77.321, -25.4372
61.500000, 77.255, -25.5614
62.200001, 77.191, -25.7219
63.000000, 77.117, -25.8793
64.000000, 77.024, -25.9929
65.000000, 76.933, -26.1020
66.000000, 76.842, -26.2643
67.000000, 76.745, -26.4202
68.000000, 76.648, -26.5118
69.000000, 76.561, -26.6073
70.000000, 76.474, -26.7145
71.000000, 76.387, -26.7866
72.000000, 76.301, -26.8840
73.000000, 76.203, -27.0008
74.000000, 76.102, -27.0592
75.000000, 76.012, -27.0562
76.199997, 75.912, -27.1049
77.500000, 75.797, -27.1760
78.800003, 75.692, -27.1705
80.000000, 75.590, -27.1452
81.199997, 75.481, -27.0791
82.500000, 75.363, -27.0117
83.800003, 75.247, -26.9874
85.000000, 75.142, -26.9506
86.199997, 75.038, -26.8575
87.500000, 74.935, -26.7857
88.500000, 74.859, -26.7407
90.000000, 74.741, -26.5898
91.199997, 74.650, -26.4924
92.500000, 74.548, -26.3707
93.800003, 74.445, -26.1163
95.000000, 74.347, -25.8808
96.199997, 74.240, -25.7213
97.500000, 74.128, -25.5692
98.800003, 74.029, -25.3089
100.000000, 73.941, -25.0619
101.500000, 73.837, -24.8066
103.000000, 73.728, -24.5053
104.400002, 73.617, -24.2037
106.000000, 73.495, -23.8005
107.500000, 73.390, -23.4608
109.000000, 73.288, -23.1102
110.599998, 73.177, -22.7422
112.000000, 73.088, -22.3846
113.800003, 72.979, -21.8879
115.000000, 72.904, -21.5906
117.199997, 72.763, -20.9776
118.000000, 72.714, -20.7544
120.599998, 72.562, -20.0722
122.000000, 72.474, -19.6161
124.099998, 72.358, -18.8505
125.000000, 72.308, -18.5127
126.500000, 72.227, -17.9852
128.000000, 72.150, -17.5238
131.500000, 71.973, -16.4014
132.000000, 71.950, -16.2487
134.000000, 71.870, -15.6746
136.000000, 71.780, -14.9399
138.000000, 71.685, -14.2178
140.000000, 71.610, -13.4841
143.000000, 71.520, -12.4143
145.000000, 71.450, -11.7434
147.500000, 71.353, -10.8435
150.000000, 71.277, -9.9570
152.500000, 71.208, -9.0274
155.000000, 71.147, -8.1269
157.500000, 71.093, -7.2498
160.000000, 71.049, -6.4692
162.500000, 71.006, -5.6069
165.000000, 70.957, -4.6913
167.500000, 70.895, -3.8178
170.000000, 70.846, -3.0213
172.500000, 70.826, -2.2045
175.000000, 70.802, -1.2756
177.500000, 70.769, -0.4141
180.000000, 70.745, 0.4605
182.500000, 70.725, 1.2725
185.000000, 70.702, 1.9650
187.500000, 70.690, 2.6481
190.000000, 70.678, 3.3869
192.500000, 70.665, 4.1408
195.000000, 70.657, 4.9402
197.500000, 70.662, 5.6436
200.000000, 70.663, 6.2925
203.000000, 70.671, 7.0367
206.000000, 70.671, 7.7980
209.000000, 70.661, 8.5854
212.000000, 70.657, 9.3722
214.000000, 70.655, 9.9224
218.000000, 70.668, 10.9677
220.000000, 70.672, 11.4430
224.000000, 70.681, 12.2468
227.000000, 70.697, 12.8362
230.000000, 70.715, 13.4894
233.000000, 70.733, 14.1355
236.000000, 70.746, 14.6790
240.000000, 70.752, 15.4905
243.000000, 70.762, 16.1012
247.000000, 70.785, 16.7878
250.000000, 70.801, 17.3079
254.000000, 70.819, 17.9848
258.000000, 70.836, 18.6651
262.000000, 70.853, 19.3188
265.000000, 70.865, 19.7652
269.000000, 70.884, 20.3757
272.000000, 70.895, 20.8487
276.000000, 70.915, 21.4809
280.000000, 70.941, 22.1079
285.000000, 70.957, 22.8731
290.000000, 70.971, 23.5001
295.000000, 70.994, 24.1364
300.000000, 71.022, 24.7106
304.000000, 71.038, 25.2270
307.000000, 71.048, 25.6362
311.000000, 71.060, 26.1806
315.000000, 71.076, 26.6644
320.000000, 71.094, 27.1809
325.000000, 71.101, 27.7845
330.000000, 71.108, 28.3846
335.000000, 71.121, 28.9671
340.000000, 71.132, 29.5474
345.000000, 71.150, 30.0445
350.000000, 71.170, 30.5209
355.000000, 71.181, 31.0094
360.000000, 71.193, 31.5645
365.000000, 71.201, 32.1169
370.000000, 71.202, 32.6054
375.000000, 71.203, 33.0374
382.000000, 71.219, 33.6617
387.000000, 71.232, 34.1286
395.000000, 71.233, 35.0044
400.000000, 71.231, 35.5516
406.000000, 71.236, 36.1012
412.000000, 71.242, 36.6111
418.000000, 71.246, 37.1587
425.000000, 71.244, 37.7833
431.000000, 71.249, 38.3313
437.000000, 71.251, 38.8995
444.000000, 71.247, 39.5493
450.000000, 71.243, 40.0877
455.000000, 71.242, 40.5322
462.000000, 71.236, 41.1377
468.000000, 71.230, 41.6814
475.000000, 71.226, 42.3083
482.000000, 71.213, 42.9487
487.000000, 71.203, 43.3772
494.000000, 71.191, 43.9667
500.000000, 71.183, 44.4962
508.000000, 71.178, 45.2034
515.000000, 71.167, 45.8124
522.000000, 71.152, 46.3955
