* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 15, 2025 4:27:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Project Meta (BGVP Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.769, -1.9598
20.600000, 80.756, -2.2342
20.900000, 80.742, -2.5277
21.200001, 80.730, -2.8217
21.400000, 80.725, -3.0263
21.799999, 80.715, -3.4739
22.000000, 80.709, -3.7178
22.400000, 80.688, -4.2287
22.700001, 80.665, -4.6092
23.000000, 80.637, -4.9670
23.299999, 80.607, -5.2937
23.600000, 80.581, -5.5930
24.000000, 80.555, -5.9717
24.299999, 80.542, -6.2591
24.700001, 80.529, -6.6602
25.000000, 80.519, -6.9708
25.400000, 80.500, -7.3809
25.799999, 80.474, -7.7683
26.200001, 80.444, -8.1277
26.500000, 80.421, -8.3837
26.900000, 80.392, -8.7178
27.200001, 80.373, -8.9683
27.600000, 80.349, -9.3050
28.000000, 80.327, -9.6447
28.500000, 80.298, -10.0707
29.000000, 80.263, -10.4918
29.500000, 80.223, -10.8990
30.000000, 80.183, -11.2912
30.400000, 80.155, -11.6030
30.700001, 80.136, -11.8408
31.100000, 80.113, -12.1635
31.500000, 80.089, -12.4828
32.000000, 80.054, -12.8558
32.500000, 80.016, -13.1937
33.000000, 79.979, -13.5228
33.500000, 79.944, -13.8733
34.000000, 79.906, -14.2411
34.500000, 79.867, -14.5918
35.000000, 79.828, -14.9029
35.500000, 79.791, -15.1894
36.000000, 79.754, -15.4813
36.500000, 79.715, -15.7884
37.000000, 79.673, -16.0962
37.500000, 79.632, -16.3900
38.200001, 79.578, -16.7828
38.700001, 79.538, -17.0616
39.500000, 79.471, -17.5130
40.000000, 79.428, -17.7977
40.599998, 79.377, -18.1316
41.200001, 79.327, -18.4343
41.799999, 79.280, -18.7006
42.500000, 79.228, -19.0082
43.099998, 79.182, -19.2993
43.700001, 79.129, -19.5963
44.400002, 79.062, -19.9106
45.000000, 79.007, -20.1596
45.500000, 78.964, -20.3704
46.200001, 78.906, -20.6746
46.799999, 78.858, -20.9306
47.500000, 78.800, -21.2146
48.200001, 78.738, -21.4861
48.700001, 78.693, -21.6756
49.400002, 78.636, -21.9405
50.000000, 78.592, -22.1674
50.799999, 78.531, -22.4488
51.500000, 78.466, -22.6623
52.200001, 78.397, -22.8793
53.000000, 78.324, -23.1809
53.799999, 78.257, -23.4945
54.500000, 78.200, -23.7068
55.200001, 78.141, -23.8749
56.000000, 78.073, -24.0885
57.000000, 77.982, -24.3691
58.000000, 77.892, -24.5690
59.000000, 77.801, -24.7872
60.000000, 77.707, -25.0562
60.799999, 77.636, -25.2495
61.500000, 77.576, -25.3924
62.200001, 77.514, -25.5144
63.000000, 77.444, -25.6497
64.000000, 77.360, -25.8455
65.000000, 77.272, -26.0350
66.000000, 77.180, -26.1819
67.000000, 77.088, -26.2953
68.000000, 76.999, -26.4036
69.000000, 76.912, -26.5024
70.000000, 76.831, -26.5824
71.000000, 76.746, -26.6974
72.000000, 76.651, -26.8312
73.000000, 76.559, -26.9438
74.000000, 76.472, -27.0002
75.000000, 76.384, -27.0038
76.199997, 76.282, -27.0644
77.500000, 76.173, -27.1761
78.800003, 76.060, -27.2093
80.000000, 75.954, -27.1958
81.199997, 75.848, -27.1815
82.500000, 75.737, -27.1390
83.800003, 75.632, -27.1345
85.000000, 75.537, -27.0950
86.199997, 75.442, -27.0176
87.500000, 75.332, -26.9050
88.500000, 75.250, -26.7990
90.000000, 75.130, -26.6517
91.199997, 75.031, -26.6023
92.500000, 74.926, -26.5177
93.800003, 74.826, -26.3184
95.000000, 74.733, -26.1926
96.199997, 74.635, -26.0888
97.500000, 74.532, -25.8992
98.800003, 74.436, -25.7010
100.000000, 74.347, -25.5055
101.500000, 74.236, -25.2623
103.000000, 74.131, -25.0302
104.400002, 74.031, -24.7525
106.000000, 73.912, -24.3986
107.500000, 73.804, -24.0823
109.000000, 73.698, -23.7776
110.599998, 73.592, -23.3793
112.000000, 73.506, -23.0529
113.800003, 73.394, -22.6273
115.000000, 73.321, -22.3380
117.199997, 73.180, -21.7440
118.000000, 73.132, -21.4897
120.599998, 72.986, -20.7182
122.000000, 72.902, -20.3457
124.099998, 72.777, -19.7245
125.000000, 72.726, -19.4715
126.500000, 72.644, -19.0700
128.000000, 72.566, -18.6581
131.500000, 72.390, -17.6292
132.000000, 72.368, -17.4548
134.000000, 72.284, -16.7521
136.000000, 72.191, -16.1269
138.000000, 72.097, -15.4768
140.000000, 72.014, -14.7948
143.000000, 71.895, -13.7699
145.000000, 71.821, -13.0503
147.500000, 71.733, -12.1797
150.000000, 71.648, -11.3922
152.500000, 71.580, -10.5732
155.000000, 71.508, -9.7076
157.500000, 71.434, -8.8377
160.000000, 71.374, -7.9608
162.500000, 71.328, -7.1075
165.000000, 71.287, -6.3140
167.500000, 71.242, -5.4766
170.000000, 71.192, -4.6662
172.500000, 71.146, -3.8491
175.000000, 71.113, -3.0496
177.500000, 71.078, -2.2984
180.000000, 71.042, -1.5129
182.500000, 71.013, -0.6560
185.000000, 70.992, 0.1351
187.500000, 70.979, 0.8241
190.000000, 70.967, 1.6159
192.500000, 70.960, 2.4220
195.000000, 70.948, 2.9773
197.500000, 70.925, 3.5363
200.000000, 70.908, 4.2225
203.000000, 70.892, 5.0882
206.000000, 70.894, 5.9340
209.000000, 70.899, 6.7379
212.000000, 70.900, 7.4845
214.000000, 70.899, 7.9535
218.000000, 70.890, 8.8531
220.000000, 70.888, 9.2853
224.000000, 70.891, 10.1903
227.000000, 70.900, 10.8175
230.000000, 70.910, 11.4341
233.000000, 70.918, 12.0934
236.000000, 70.927, 12.7411
240.000000, 70.946, 13.4933
243.000000, 70.956, 14.0193
247.000000, 70.963, 14.7056
250.000000, 70.975, 15.2690
254.000000, 70.993, 15.9823
258.000000, 71.004, 16.6423
262.000000, 71.017, 17.3003
265.000000, 71.030, 17.8078
269.000000, 71.049, 18.4207
272.000000, 71.061, 18.8570
276.000000, 71.076, 19.4863
280.000000, 71.082, 20.0900
285.000000, 71.098, 20.8065
290.000000, 71.123, 21.4517
295.000000, 71.143, 22.1299
300.000000, 71.155, 22.7655
304.000000, 71.164, 23.2525
307.000000, 71.170, 23.6161
311.000000, 71.182, 24.1184
315.000000, 71.199, 24.6075
320.000000, 71.218, 25.1509
325.000000, 71.228, 25.6670
330.000000, 71.235, 26.2564
335.000000, 71.241, 26.8566
340.000000, 71.248, 27.3658
345.000000, 71.259, 27.8958
350.000000, 71.269, 28.4411
355.000000, 71.272, 28.9589
360.000000, 71.275, 29.4468
365.000000, 71.278, 29.9336
370.000000, 71.279, 30.4284
375.000000, 71.283, 30.9481
382.000000, 71.287, 31.6591
387.000000, 71.285, 32.1115
395.000000, 71.278, 32.8259
400.000000, 71.279, 33.2842
406.000000, 71.283, 33.8763
412.000000, 71.282, 34.4593
418.000000, 71.275, 34.9993
425.000000, 71.266, 35.6411
431.000000, 71.263, 36.1708
437.000000, 71.261, 36.7050
444.000000, 71.252, 37.3437
450.000000, 71.245, 37.9526
455.000000, 71.237, 38.4139
462.000000, 71.228, 38.9733
468.000000, 71.225, 39.5038
475.000000, 71.217, 40.1307
482.000000, 71.206, 40.7579
487.000000, 71.196, 41.1971
494.000000, 71.182, 41.8237
500.000000, 71.174, 42.3831
508.000000, 71.158, 43.1387
515.000000, 71.142, 43.8025
522.000000, 71.126, 44.4116
530.000000, 71.107, 45.1309
538.000000, 71.095, 45.8458
545.000000, 71.082, 46.4701
552.000000, 71.064, 47.0992
560.000000, 71.046, 47.8255
570.000000, 71.026, 48.7237
580.000000, 71.001, 49.6592
590.000000, 70.975, 50.6094
600.000000, 70.945, 51.4965
608.000000, 70.928, 52.2258
615.000000, 70.917, 52.8670
622.000000, 70.906, 53.4983
630.000000, 70.886, 54.2204
640.000000, 70.858, 55.1671
650.000000, 70.833, 56.1704
660.000000, 70.811, 57.1462
670.000000, 70.788, 58.0837
680.000000, 70.770, 59.0397
690.000000, 70.748, 60.0514
700.000000, 70.725, 61.0515
710.000000, 70.706, 62.0261
720.000000, 70.689, 62.9881
730.000000, 70.672, 63.9806
740.000000, 70.653, 65.0082
750.000000, 70.636, 66.0590
762.000000, 70.620, 67.3398
775.000000, 70.601, 68.7353
788.000000, 70.587, 70.0776
800.000000, 70.578, 71.3295
812.000000, 70.565, 72.6025
825.000000, 70.556, 73.9959
838.000000, 70.563, 75.3661
850.000000, 70.572, 76.6219
862.000000, 70.578, 77.9070
875.000000, 70.590, 79.3398
885.000000, 70.607, 80.4241
900.000000, 70.636, 82.0307
912.000000, 70.657, 83.3122
925.000000, 70.686, 84.7113
938.000000, 70.723, 86.1141
950.000000, 70.762, 87.3502
962.000000, 70.804, 88.5461
975.000000, 70.853, 89.8613
988.000000, 70.908, 91.1663
1000.000000, 70.961, 92.3185
1015.000000, 71.034, 93.7696
1030.000000, 71.110, 95.1873
1044.000000, 71.179, 96.4406
1060.000000, 71.261, 97.7802
1075.000000, 71.337, 99.0163
1090.000000, 71.416, 100.2017
1106.000000, 71.506, 101.4050
1120.000000, 71.585, 102.4191
1138.000000, 71.682, 103.7030
1150.000000, 71.743, 104.5307
1172.000000, 71.852, 105.9911
1180.000000, 71.891, 106.5195
1206.000000, 72.005, 108.1893
