* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 15, 2025 4:39:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Project Meta (Final E M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.237, -2.8025
20.600000, 80.219, -3.1094
20.900000, 80.193, -3.4482
21.200001, 80.166, -3.7791
21.400000, 80.151, -3.9936
21.799999, 80.129, -4.4128
22.000000, 80.123, -4.6215
22.400000, 80.115, -5.0471
22.700001, 80.111, -5.3767
23.000000, 80.103, -5.7122
23.299999, 80.089, -6.0447
23.600000, 80.069, -6.3634
24.000000, 80.035, -6.7533
24.299999, 80.009, -7.0181
24.700001, 79.978, -7.3471
25.000000, 79.959, -7.5893
25.400000, 79.937, -7.9219
25.799999, 79.917, -8.2696
26.200001, 79.895, -8.6245
26.500000, 79.877, -8.8890
26.900000, 79.853, -9.2358
27.200001, 79.835, -9.4926
27.600000, 79.811, -9.8331
28.000000, 79.787, -10.1700
28.500000, 79.754, -10.5759
29.000000, 79.717, -10.9562
29.500000, 79.677, -11.3195
30.000000, 79.637, -11.6871
30.400000, 79.605, -11.9917
30.700001, 79.583, -12.2233
31.100000, 79.554, -12.5277
31.500000, 79.528, -12.8178
32.000000, 79.495, -13.1561
32.500000, 79.460, -13.4760
33.000000, 79.422, -13.7902
33.500000, 79.381, -14.1034
34.000000, 79.339, -14.4146
34.500000, 79.301, -14.7262
35.000000, 79.266, -15.0466
35.500000, 79.231, -15.3804
36.000000, 79.194, -15.7190
36.500000, 79.154, -16.0432
37.000000, 79.114, -16.3372
37.500000, 79.077, -16.5992
38.200001, 79.026, -16.9378
38.700001, 78.987, -17.1826
39.500000, 78.916, -17.6060
40.000000, 78.869, -17.8848
40.599998, 78.815, -18.2126
41.200001, 78.767, -18.5168
41.799999, 78.721, -18.7996
42.500000, 78.665, -19.1194
43.099998, 78.614, -19.3889
43.700001, 78.563, -19.6469
44.400002, 78.505, -19.9344
45.000000, 78.456, -20.1859
45.500000, 78.414, -20.4105
46.200001, 78.355, -20.7487
46.799999, 78.306, -21.0477
