* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 16, 2025 1:49:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Project Meta (Flo Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.127, 2.1732
20.600000, 80.108, 1.8024
20.900000, 80.084, 1.4119
21.200001, 80.063, 1.0410
21.400000, 80.052, 0.7996
21.799999, 80.038, 0.3131
22.000000, 80.035, 0.0638
22.400000, 80.030, -0.4431
22.700001, 80.026, -0.8207
23.000000, 80.019, -1.1859
23.299999, 80.008, -1.5337
23.600000, 79.995, -1.8641
24.000000, 79.973, -2.2848
24.299999, 79.954, -2.5920
24.700001, 79.928, -2.9989
25.000000, 79.908, -3.3058
25.400000, 79.884, -3.7218
25.799999, 79.862, -4.1476
26.200001, 79.840, -4.5784
26.500000, 79.824, -4.8969
26.900000, 79.801, -5.3016
27.200001, 79.782, -5.5843
27.600000, 79.757, -5.9352
28.000000, 79.733, -6.2708
28.500000, 79.702, -6.6975
29.000000, 79.669, -7.1466
29.500000, 79.634, -7.6042
30.000000, 79.600, -8.0492
30.400000, 79.575, -8.3915
30.700001, 79.558, -8.6416
31.100000, 79.534, -8.9672
31.500000, 79.509, -9.2821
32.000000, 79.474, -9.6579
32.500000, 79.438, -10.0215
33.000000, 79.402, -10.3908
33.500000, 79.367, -10.7742
34.000000, 79.332, -11.1584
34.500000, 79.297, -11.5213
35.000000, 79.264, -11.8559
35.500000, 79.231, -12.1749
36.000000, 79.195, -12.4942
36.500000, 79.155, -12.8180
37.000000, 79.112, -13.1421
37.500000, 79.071, -13.4665
38.200001, 79.020, -13.9276
38.700001, 78.986, -14.2522
39.500000, 78.928, -14.7077
40.000000, 78.888, -14.9412
40.599998, 78.838, -15.2033
41.200001, 78.787, -15.4948
41.799999, 78.737, -15.8338
42.500000, 78.680, -16.2541
43.099998, 78.633, -16.5935
43.700001, 78.586, -16.8993
44.400002, 78.527, -17.2357
45.000000, 78.473, -17.5321
45.500000, 78.428, -17.7913
46.200001, 78.367, -18.1583
46.799999, 78.316, -18.4472
47.500000, 78.256, -18.7205
48.200001, 78.197, -18.9385
48.700001, 78.159, -19.0977
49.400002, 78.110, -19.3602
50.000000, 78.066, -19.5970
50.799999, 78.002, -19.8668
51.500000, 77.943, -20.0778
52.200001, 77.879, -20.3180
53.000000, 77.804, -20.6102
53.799999, 77.735, -20.8634
54.500000, 77.681, -21.0720
55.200001, 77.621, -21.3069
56.000000, 77.544, -21.6096
57.000000, 77.449, -22.0012
58.000000, 77.364, -22.2695
59.000000, 77.290, -22.3595
60.000000, 77.213, -22.5479
60.799999, 77.138, -22.7797
61.500000, 77.075, -22.9507
62.200001, 77.018, -23.1001
63.000000, 76.947, -23.2765
64.000000, 76.848, -23.4742
65.000000, 76.758, -23.6403
66.000000, 76.675, -23.7786
67.000000, 76.586, -23.9187
68.000000, 76.489, -24.0476
69.000000, 76.402, -24.0832
70.000000, 76.321, -24.1219
71.000000, 76.225, -24.2567
72.000000, 76.128, -24.4031
73.000000, 76.050, -24.4943
74.000000, 75.976, -24.5030
75.000000, 75.899, -24.5179
76.199997, 75.798, -24.6614
77.500000, 75.680, -24.8002
78.800003, 75.560, -24.7950
80.000000, 75.455, -24.7472
81.199997, 75.358, -24.7485
82.500000, 75.257, -24.7660
83.800003, 75.142, -24.7138
85.000000, 75.035, -24.6544
86.199997, 74.941, -24.6121
87.500000, 74.839, -24.5180
88.500000, 74.755, -24.3848
90.000000, 74.635, -24.2638
91.199997, 74.539, -24.2056
92.500000, 74.442, -24.1012
93.800003, 74.346, -24.0009
95.000000, 74.248, -23.8443
96.199997, 74.149, -23.6443
97.500000, 74.045, -23.4367
98.800003, 73.942, -23.1890
100.000000, 73.852, -22.9716
101.500000, 73.742, -22.7379
103.000000, 73.636, -22.4871
104.400002, 73.544, -22.2219
106.000000, 73.435, -21.8317
107.500000, 73.324, -21.4288
109.000000, 73.218, -21.1092
110.599998, 73.109, -20.7460
112.000000, 73.016, -20.3556
113.800003, 72.908, -19.9396
115.000000, 72.837, -19.6596
117.199997, 72.688, -19.0405
118.000000, 72.634, -18.8146
120.599998, 72.487, -18.0160
122.000000, 72.415, -17.6294
124.099998, 72.304, -17.0581
125.000000, 72.255, -16.7596
126.500000, 72.177, -16.2405
128.000000, 72.108, -15.7431
131.500000, 71.941, -14.5812
132.000000, 71.916, -14.4327
134.000000, 71.819, -13.8426
136.000000, 71.735, -13.2193
138.000000, 71.652, -12.5395
140.000000, 71.576, -11.8374
143.000000, 71.466, -10.7189
145.000000, 71.388, -9.9874
