* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Apr 16, 2025 10:30:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Project Meta (Foam M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.568, -1.2660
20.600000, 80.556, -1.5599
20.900000, 80.539, -1.8809
21.200001, 80.519, -2.2018
21.400000, 80.506, -2.4161
21.799999, 80.482, -2.8419
22.000000, 80.472, -3.0508
22.400000, 80.457, -3.4605
22.700001, 80.450, -3.7687
23.000000, 80.445, -4.0881
23.299999, 80.440, -4.4244
23.600000, 80.429, -4.7749
24.000000, 80.405, -5.2457
24.299999, 80.379, -5.5847
24.700001, 80.341, -6.0046
25.000000, 80.313, -6.2985
25.400000, 80.283, -6.6784
25.799999, 80.259, -7.0605
26.200001, 80.240, -7.4455
26.500000, 80.226, -7.7282
26.900000, 80.205, -8.0867
27.200001, 80.189, -8.3414
27.600000, 80.165, -8.6722
28.000000, 80.141, -9.0091
28.500000, 80.108, -9.4516
29.000000, 80.073, -9.9023
29.500000, 80.036, -10.3276
30.000000, 80.000, -10.7076
30.400000, 79.971, -10.9848
30.700001, 79.950, -11.1859
31.100000, 79.920, -11.4553
31.500000, 79.888, -11.7334
32.000000, 79.848, -12.0943
32.500000, 79.810, -12.4667
33.000000, 79.776, -12.8482
33.500000, 79.743, -13.2332
34.000000, 79.710, -13.6077
34.500000, 79.676, -13.9580
35.000000, 79.643, -14.2856
35.500000, 79.610, -14.6044
36.000000, 79.571, -14.9193
36.500000, 79.525, -15.2183
37.000000, 79.476, -15.4945
37.500000, 79.431, -15.7687
38.200001, 79.379, -16.2033
38.700001, 79.343, -16.5381
39.500000, 79.278, -16.9972
40.000000, 79.234, -17.2168
40.599998, 79.182, -17.4744
41.200001, 79.132, -17.7821
41.799999, 79.083, -18.1254
42.500000, 79.030, -18.4955
43.099998, 78.986, -18.7541
43.700001, 78.940, -18.9876
44.400002, 78.882, -19.2974
45.000000, 78.828, -19.6056
45.500000, 78.782, -19.8550
46.200001, 78.722, -20.1428
46.799999, 78.676, -20.3544
47.500000, 78.620, -20.6242
48.200001, 78.556, -20.9243
48.700001, 78.508, -21.1342
49.400002, 78.443, -21.4050
50.000000, 78.388, -21.6142
50.799999, 78.315, -21.8663
51.500000, 78.251, -22.0875
52.200001, 78.189, -22.3223
53.000000, 78.123, -22.5785
53.799999, 78.062, -22.8059
54.500000, 78.009, -22.9873
55.200001, 77.955, -23.1588
56.000000, 77.890, -23.3846
57.000000, 77.796, -23.7213
58.000000, 77.693, -23.9345
59.000000, 77.603, -24.0956
60.000000, 77.508, -24.4070
60.799999, 77.429, -24.6484
61.500000, 77.371, -24.7974
62.200001, 77.319, -24.9204
63.000000, 77.254, -25.0591
64.000000, 77.164, -25.2522
65.000000, 77.071, -25.4551
66.000000, 76.979, -25.6062
67.000000, 76.888, -25.7478
