* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 15, 2025 4:41:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Project Meta (H570 M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.837, -5.4129
20.600000, 80.823, -5.6928
20.900000, 80.807, -6.0147
21.200001, 80.791, -6.3538
21.400000, 80.781, -6.5874
21.799999, 80.759, -7.0569
22.000000, 80.748, -7.2830
22.400000, 80.721, -7.6991
22.700001, 80.700, -7.9787
23.000000, 80.680, -8.2434
23.299999, 80.661, -8.5132
23.600000, 80.644, -8.8072
24.000000, 80.621, -9.2505
24.299999, 80.604, -9.6134
24.700001, 80.578, -10.1047
25.000000, 80.557, -10.4548
25.400000, 80.530, -10.8783
25.799999, 80.505, -11.2576
26.200001, 80.481, -11.6164
26.500000, 80.461, -11.8860
26.900000, 80.433, -12.2536
27.200001, 80.410, -12.5331
27.600000, 80.381, -12.9030
28.000000, 80.354, -13.2626
28.500000, 80.325, -13.6939
29.000000, 80.297, -14.1049
29.500000, 80.263, -14.4948
30.000000, 80.222, -14.8639
30.400000, 80.186, -15.1485
30.700001, 80.159, -15.3605
31.100000, 80.124, -15.6487
31.500000, 80.093, -15.9519
32.000000, 80.056, -16.3544
32.500000, 80.017, -16.7616
33.000000, 79.972, -17.1315
33.500000, 79.927, -17.4422
34.000000, 79.888, -17.7218
34.500000, 79.856, -18.0273
35.000000, 79.825, -18.3847
35.500000, 79.786, -18.7626
36.000000, 79.740, -19.1126
36.500000, 79.693, -19.4220
37.000000, 79.649, -19.7174
37.500000, 79.606, -20.0221
38.200001, 79.542, -20.4457
38.700001, 79.495, -20.7205
39.500000, 79.421, -21.1204
40.000000, 79.377, -21.3734
40.599998, 79.326, -21.6978
41.200001, 79.274, -22.0340
